Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,28.50,28.90,27.50,28.90,1000,28.90
2015-07-16,28.90,28.90,28.90,28.90,000,28.90
2015-07-15,29.00,29.00,26.60,28.90,000,28.90
2015-07-14,28.00,28.00,28.00,28.00,000,28.00
2015-07-13,29.00,29.00,28.00,28.00,600,28.00
2015-07-10,26.75,28.50,26.75,28.50,100,28.50
2015-07-09,25.70,28.15,25.70,28.15,000,28.15
2015-07-08,26.65,28.95,26.55,26.95,600,26.95
2015-07-07,26.10,27.90,26.10,27.90,000,27.90
2015-07-06,27.25,27.25,27.25,27.25,000,27.25
2015-07-03,28.40,28.40,27.25,27.25,000,27.25
2015-07-02,28.00,28.40,26.70,28.40,600,28.40
2015-07-01,28.00,28.00,28.00,28.00,000,28.00
2015-06-30,27.30,27.30,27.30,27.30,000,27.30
2015-06-29,27.30,27.30,27.30,27.30,000,27.30
2015-06-26,27.05,27.05,27.05,27.05,000,27.05
2015-06-25,26.05,28.00,26.05,28.00,100,28.00
2015-06-24,27.05,28.45,27.00,27.20,100,27.20
2015-06-23,27.80,27.80,27.80,27.80,100,27.80
2015-06-22,28.15,30.00,28.10,28.45,12800,28.45
2015-06-19,27.20,31.05,27.20,29.40,36000,29.40
2015-06-18,28.00,28.50,27.00,28.25,38300,28.25
2015-06-17,24.50,26.60,24.30,26.15,2400,26.15
2015-06-16,24.25,25.50,23.30,24.90,600,24.90
2015-06-15,23.60,23.90,23.60,23.60,5500,23.60
2015-06-12,22.45,23.50,22.45,22.50,1000,22.50
2015-06-11,23.80,23.80,23.80,23.80,000,23.80
2015-06-10,22.80,23.80,22.60,23.80,7000,23.80
2015-06-09,22.20,23.00,22.20,23.00,1500,23.00
2015-06-08,25.35,25.35,22.40,22.40,800,22.40
2015-06-05,22.70,23.15,22.70,23.10,2200,23.10
2015-06-04,23.00,23.40,22.70,23.40,2300,23.40
2015-06-03,21.50,22.50,21.50,22.50,6900,22.50
2015-06-02,22.50,22.50,22.50,22.50,000,22.50
2015-06-01,21.80,22.50,21.80,22.50,000,22.50
2015-05-29,23.10,23.20,22.60,22.60,4300,22.60
2015-05-28,23.00,23.00,22.20,22.20,42500,22.20
2015-05-27,23.65,23.70,22.35,22.90,9000,22.90
2015-05-26,23.85,23.85,21.75,22.60,29000,22.60
2015-05-25,22.75,22.75,20.70,22.75,34100,22.75
2015-05-22,21.70,21.70,21.70,21.70,000,21.70
2015-05-21,26.00,26.00,21.70,21.70,9500,21.70
2015-05-20,26.00,26.00,24.00,24.00,000,24.00
2015-05-19,25.15,25.15,25.15,25.15,000,25.15
2015-05-18,25.15,25.15,25.15,25.15,000,25.15
2015-05-15,25.15,25.15,25.15,25.15,000,25.15
2015-05-14,27.90,27.90,27.90,27.90,000,27.90
2015-05-13,27.30,28.30,27.05,27.90,1500,27.90
2015-05-12,23.55,27.25,23.55,27.25,000,27.25
2015-05-11,27.85,27.85,26.00,26.00,100,26.00
2015-05-08,25.35,25.35,25.35,25.35,000,25.35
2015-05-07,24.00,24.00,23.05,23.05,100,23.05
2015-05-06,24.00,25.00,22.50,24.90,700,24.90
2015-05-05,28.25,28.25,25.00,25.00,100,25.00
2015-05-04,28.25,28.25,25.00,26.75,1000,26.75
2015-05-01,26.40,26.40,26.40,26.40,000,26.40
2015-04-30,26.35,26.40,26.35,26.40,000,26.40
2015-04-29,23.95,24.00,23.95,24.00,000,24.00
2015-04-28,23.10,23.15,23.10,23.10,500,23.10
2015-04-27,24.00,24.00,21.00,21.05,500,21.05
2015-04-24,23.65,23.65,23.25,23.25,100,23.25
2015-04-23,24.00,24.00,21.50,21.50,500,21.50
2015-04-22,23.00,23.00,23.00,23.00,000,23.00
2015-04-21,25.00,25.00,23.00,23.00,1500,23.00
2015-04-20,25.00,25.00,25.00,25.00,000,25.00
2015-04-17,23.00,26.00,23.00,25.95,500,25.95
2015-04-16,25.95,25.95,25.00,25.00,200,25.00
2015-04-15,26.00,26.00,24.05,25.85,500,25.85
2015-04-14,25.70,25.70,25.70,25.70,000,25.70
