Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,7.00,7.17,6.76,7.05,180700,7.05
2015-07-16,7.09,7.50,6.75,6.83,494500,6.83
2015-07-15,6.05,6.90,5.90,6.90,948600,6.90
2015-07-14,5.45,5.99,5.45,5.75,50700,5.75
2015-07-13,5.62,5.70,5.30,5.44,26100,5.44
2015-07-10,5.45,5.60,5.27,5.34,23100,5.34
2015-07-09,5.32,5.60,5.32,5.44,32500,5.44
2015-07-08,5.50,5.50,5.36,5.44,3500,5.44
2015-07-07,5.60,5.78,5.41,5.51,20300,5.51
2015-07-06,5.38,5.60,5.18,5.55,11800,5.55
2015-07-03,5.20,5.45,5.20,5.37,7800,5.37
2015-07-02,5.41,5.50,5.30,5.35,7000,5.35
2015-07-01,5.40,5.50,5.30,5.35,45400,5.35
2015-06-30,5.23,5.38,5.15,5.22,31600,5.22
2015-06-29,5.00,5.28,5.00,5.18,3000,5.18
2015-06-26,5.50,5.50,5.30,5.35,14000,5.35
2015-06-25,5.50,5.52,5.40,5.51,4600,5.51
2015-06-24,5.35,5.88,5.35,5.67,33300,5.67
2015-06-23,5.30,5.70,5.23,5.33,11200,5.33
2015-06-22,5.10,5.26,5.10,5.25,17000,5.25
2015-06-19,5.13,5.25,5.12,5.19,11000,5.19
2015-06-18,5.23,5.23,5.06,5.15,8700,5.15
2015-06-17,5.14,5.22,5.00,5.10,9800,5.10
2015-06-16,5.13,5.13,4.91,4.97,12700,4.97
2015-06-15,5.13,5.13,5.01,5.10,7000,5.10
2015-06-12,5.25,5.25,4.95,5.24,20900,5.24
2015-06-11,5.06,5.22,5.05,5.07,6500,5.07
2015-06-10,5.19,5.19,4.98,5.06,16100,5.06
2015-06-09,5.19,5.20,4.96,4.99,3100,4.99
2015-06-08,5.35,5.35,5.00,5.05,17700,5.05
2015-06-05,5.10,5.38,5.05,5.18,28500,5.18
2015-06-04,5.30,5.30,5.05,5.17,38500,5.17
2015-06-03,5.37,5.47,4.91,5.35,36700,5.35
2015-06-02,5.77,5.77,5.40,5.48,17300,5.48
2015-06-01,5.75,5.75,5.56,5.56,8600,5.56
2015-05-29,5.46,5.88,5.46,5.70,7800,5.70
2015-05-28,5.50,5.72,5.40,5.57,11900,5.57
2015-05-27,5.52,5.55,5.40,5.52,3600,5.52
2015-05-26,5.41,5.66,5.41,5.52,11800,5.52
2015-05-25,6.04,6.04,5.39,5.60,9800,5.60
2015-05-22,5.73,5.81,5.55,5.73,17500,5.73
2015-05-21,5.71,5.80,5.66,5.80,7800,5.80
2015-05-20,5.75,5.86,5.75,5.76,9200,5.76
2015-05-19,5.83,5.88,5.60,5.77,24100,5.77
2015-05-18,6.03,6.03,5.82,5.85,3000,5.85
2015-05-15,5.75,5.92,5.70,5.85,62900,5.85
2015-05-14,5.95,5.95,5.66,5.80,15500,5.80
2015-05-13,5.70,5.94,5.67,5.83,17800,5.83
2015-05-12,5.98,5.98,5.71,5.73,6600,5.73
2015-05-11,6.00,6.00,5.70,5.85,25700,5.85
2015-05-08,5.77,6.14,5.76,5.85,18900,5.85
2015-05-07,5.90,6.02,5.70,5.86,44300,5.86
2015-05-06,6.15,6.20,5.70,5.82,26500,5.82
2015-05-05,6.30,6.47,5.99,6.08,70200,6.08
2015-05-04,6.15,6.32,6.15,6.28,27900,6.28
2015-05-01,5.92,5.92,5.92,5.92,000,5.92
2015-04-30,5.67,6.25,5.67,5.92,45600,5.92
2015-04-29,5.63,5.95,5.63,5.71,24800,5.71
2015-04-28,5.67,5.89,5.67,5.83,30300,5.83
2015-04-27,5.72,5.99,5.57,5.73,35500,5.73
2015-04-24,6.40,6.40,5.90,6.02,83000,6.02
2015-04-23,6.00,6.39,6.00,6.32,36000,6.32
2015-04-22,6.10,6.55,6.00,6.18,52500,6.18
2015-04-21,6.15,6.55,6.05,6.23,41100,6.23
2015-04-20,6.90,6.95,6.10,6.21,62900,6.21
2015-04-17,7.65,7.95,6.81,7.01,215200,7.01
2015-04-16,6.65,7.80,6.65,7.61,523100,7.61
2015-04-15,6.50,7.19,6.16,6.67,172400,6.67
2015-04-14,6.20,6.20,6.20,6.20,000,6.20
2015-04-13,5.75,6.48,5.60,6.20,196300,6.20
2015-04-10,5.43,5.68,5.31,5.54,26400,5.54
2015-04-09,5.55,5.80,5.51,5.61,39300,5.61
2015-04-08,5.47,5.58,5.38,5.49,18100,5.49
2015-04-07,5.51,5.79,5.22,5.44,54300,5.44
