Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,11.60,11.60,10.75,10.91,28700,10.91
2015-07-16,10.95,11.29,10.95,11.28,34700,11.28
2015-07-15,10.50,10.76,10.40,10.76,11800,10.76
2015-07-14,9.80,10.46,9.80,10.25,33100,10.25
2015-07-13,10.01,10.47,9.81,9.97,28500,9.97
2015-07-10,11.00,11.00,10.32,10.32,25900,10.32
2015-07-09,11.20,11.56,10.75,10.86,42300,10.86
2015-07-08,11.15,11.65,11.01,11.15,57300,11.15
2015-07-07,11.20,11.63,10.75,11.30,62600,11.30
2015-07-06,9.87,10.85,9.80,10.85,91800,10.85
2015-07-03,9.30,9.87,9.30,9.87,16500,9.87
2015-07-02,8.70,8.98,8.70,8.98,14000,8.98
2015-07-01,8.50,8.56,8.40,8.56,5800,8.56
2015-06-30,8.19,8.24,7.75,8.16,6900,8.16
2015-06-29,7.85,8.15,7.85,7.86,3500,7.86
2015-06-26,8.15,8.39,8.05,8.22,6900,8.22
2015-06-25,8.25,8.45,8.16,8.42,7800,8.42
2015-06-24,8.70,8.70,8.20,8.34,12100,8.34
2015-06-23,8.45,8.65,8.30,8.47,3500,8.47
2015-06-22,8.00,8.30,7.90,8.30,10700,8.30
2015-06-19,8.19,8.25,7.90,8.00,11300,8.00
2015-06-18,8.00,8.06,7.90,7.99,22600,7.99
2015-06-17,7.71,8.01,7.55,7.86,14500,7.86
2015-06-16,7.70,8.00,7.64,7.69,27600,7.69
2015-06-15,7.62,8.00,7.62,7.84,7600,7.84
2015-06-12,7.74,8.15,7.70,7.91,5500,7.91
2015-06-11,8.02,8.25,7.90,7.91,6500,7.91
2015-06-10,8.52,8.52,8.09,8.30,17600,8.30
2015-06-09,9.00,9.00,8.46,8.51,28100,8.51
2015-06-08,8.74,9.16,8.70,8.70,7100,8.70
2015-06-05,8.95,9.35,8.74,8.80,31800,8.80
2015-06-04,9.40,9.69,9.17,9.20,19700,9.20
2015-06-03,9.85,9.95,9.31,9.65,22700,9.65
2015-06-02,9.85,9.95,9.55,9.68,2000,9.68
2015-06-01,9.90,10.03,9.66,10.03,1200,10.03
2015-05-29,10.00,10.10,9.75,9.86,11400,9.86
