Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,250.60,257.00,249.60,252.10,15500,252.10
2015-07-16,245.00,254.30,241.60,248.60,28200,248.60
2015-07-15,224.00,245.00,222.60,237.40,32000,237.40
2015-07-14,221.50,224.80,217.00,221.70,8600,221.70
2015-07-13,223.90,226.40,217.30,220.00,7300,220.00
2015-07-10,225.40,229.00,221.00,221.70,5100,221.70
2015-07-09,230.00,232.00,221.40,222.90,4100,222.90
2015-07-08,234.00,237.00,228.00,228.60,5600,228.60
2015-07-07,234.30,239.80,233.10,235.00,15200,235.00
2015-07-06,228.00,242.10,228.00,234.30,18000,234.30
2015-07-03,233.00,234.80,230.00,230.00,6700,230.00
2015-07-02,231.00,240.60,230.00,230.10,26600,230.10
2015-07-01,234.00,236.50,230.00,230.00,14700,230.00
2015-06-30,229.40,232.80,225.50,230.00,16800,230.00
2015-06-29,230.00,230.00,223.00,226.00,7200,226.00
2015-06-26,233.50,247.90,230.10,234.60,8800,234.60
2015-06-25,234.50,234.50,229.60,231.70,2200,231.70
2015-06-24,242.80,243.00,234.10,236.00,6700,236.00
2015-06-23,236.00,245.00,235.00,240.50,10300,240.50
2015-06-22,234.60,240.50,233.00,234.60,5500,234.60
2015-06-19,232.10,237.50,230.00,234.40,7000,234.40
2015-06-18,234.40,229.00,227.60,229.00,6300,229.00
2015-06-17,228.00,237.00,226.20,233.30,28000,233.30
2015-06-16,222.60,230.50,220.00,228.40,12300,228.40
2015-06-15,221.50,226.40,220.20,220.90,4800,220.90
2015-06-12,216.40,222.00,216.00,220.40,9900,220.40
2015-06-11,230.00,235.80,212.50,214.60,9400,214.60
2015-06-10,217.00,241.00,217.00,227.70,36100,227.70
2015-06-09,210.50,217.30,208.60,215.10,5500,215.10
2015-06-08,221.00,223.00,209.20,209.20,7200,209.20
2015-06-05,212.00,229.40,212.00,221.60,39900,221.60
2015-06-04,201.10,221.80,196.60,214.10,30000,214.10
2015-06-03,210.30,214.50,203.00,205.00,12600,205.00
2015-06-02,242.00,242.00,210.00,213.70,48300,213.70
2015-06-01,249.90,249.90,235.00,241.90,13100,241.90
2015-05-29,275.00,275.00,230.00,236.30,60300,236.30
2015-05-28,280.00,280.00,265.00,270.00,20000,270.00
2015-05-27,286.00,293.80,275.00,277.60,22700,277.60
2015-05-26,281.00,291.50,275.50,287.20,42900,287.20
2015-05-25,277.75,281.90,273.80,279.30,32900,279.30
2015-05-22,262.70,276.90,262.70,271.60,23300,271.60
2015-05-21,264.00,268.00,254.50,265.70,17500,265.70
2015-05-20,262.00,270.50,258.00,259.90,20600,259.90
2015-05-19,265.00,273.00,258.20,262.60,28400,262.60
2015-05-18,260.00,272.00,253.00,264.10,37500,264.10
