Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,76.60,76.95,73.80,74.55,7700,74.55
2015-07-16,76.85,77.80,76.10,76.20,8700,76.20
2015-07-15,78.00,78.65,76.45,76.65,9200,76.65
2015-07-14,77.70,78.80,76.35,77.25,15000,77.25
2015-07-13,77.85,78.80,77.00,77.35,3600,77.35
2015-07-10,77.05,79.35,76.10,77.40,34000,77.40
2015-07-09,77.95,78.35,75.20,75.85,16400,75.85
2015-07-08,78.80,79.05,76.45,77.25,36300,77.25
2015-07-07,81.20,82.60,78.70,79.00,23900,79.00
2015-07-06,77.75,81.50,77.75,79.65,22000,79.65
2015-07-03,78.10,82.90,77.95,81.50,51700,81.50
2015-07-02,80.00,80.75,77.10,77.30,19800,77.30
2015-07-01,79.35,87.75,79.30,80.35,266700,80.35
2015-06-30,77.00,81.00,77.00,79.30,18800,79.30
2015-06-29,75.60,78.15,75.60,77.55,20500,77.55
2015-06-26,76.35,79.70,76.35,79.10,36700,79.10
2015-06-25,77.00,79.55,73.50,77.75,43400,77.75
2015-06-24,75.75,80.45,75.75,77.35,36500,77.35
2015-06-23,71.10,75.70,71.10,75.20,38700,75.20
2015-06-22,67.65,72.50,67.60,71.25,41400,71.25
2015-06-19,68.00,68.00,66.50,67.10,7100,67.10
2015-06-18,67.20,68.25,66.45,67.00,15100,67.00
2015-06-17,65.00,66.50,64.95,66.20,8800,66.20
2015-06-16,64.80,64.85,64.05,64.35,4300,64.35
2015-06-15,64.70,66.90,63.90,64.45,45600,64.45
2015-06-12,66.05,66.05,64.30,64.50,33000,64.50
2015-06-11,66.65,67.90,65.10,66.50,10300,66.50
2015-06-10,66.25,67.50,66.10,66.45,6500,66.45
2015-06-09,65.00,69.40,65.00,66.70,34200,66.70
2015-06-08,67.00,67.00,63.65,64.10,4300,64.10
2015-06-05,67.45,67.50,66.30,66.55,6000,66.55
2015-06-04,68.10,68.80,65.75,66.30,7300,66.30
2015-06-03,69.60,69.60,63.30,67.45,15300,67.45
2015-06-02,72.45,72.45,69.30,69.80,5400,69.80
2015-06-01,70.35,75.00,69.70,72.50,14000,72.50
2015-05-29,70.00,71.20,69.20,69.60,5200,69.60
2015-05-28,70.00,71.50,70.00,70.00,2000,70.00
2015-05-27,69.35,71.25,69.35,70.35,7500,70.35
2015-05-26,72.00,72.00,70.00,70.15,10700,70.15
2015-05-25,71.20,72.60,71.20,71.70,5000,71.70
2015-05-22,72.50,73.00,71.35,71.80,6000,71.80
2015-05-21,72.40,72.65,71.10,72.00,2300,72.00
2015-05-20,74.70,74.70,71.25,72.10,9400,72.10
2015-05-19,70.25,72.00,70.25,70.65,8000,70.65
2015-05-18,71.00,71.70,70.00,71.05,16000,71.05
2015-05-15,73.50,74.60,71.10,72.75,12400,72.75
2015-05-14,70.75,74.40,70.75,73.50,16400,73.50
2015-05-13,70.25,72.10,70.25,71.60,9400,71.60
2015-05-12,71.55,71.55,70.65,70.75,12300,70.75
2015-05-11,72.10,74.00,72.00,72.55,13600,72.55
2015-05-08,70.80,72.00,70.20,71.70,9400,71.70
2015-05-07,69.60,71.90,66.75,67.90,12600,67.90
2015-05-06,70.50,72.40,69.00,70.70,20400,70.70
2015-05-05,70.10,72.70,69.25,70.35,19200,70.35
2015-05-04,67.10,70.70,66.25,69.10,23700,69.10
2015-05-01,65.65,65.65,65.65,65.65,000,65.65
2015-04-30,65.50,66.60,64.85,65.65,6200,65.65
2015-04-29,65.40,66.30,64.20,65.10,17700,65.10
2015-04-28,66.00,66.60,64.00,65.35,19700,65.35
2015-04-27,68.00,68.25,64.50,65.85,22600,65.85
2015-04-24,68.00,68.20,64.70,65.00,32400,65.00
2015-04-23,68.70,70.20,67.90,68.15,9000,68.15
2015-04-22,70.00,71.00,67.60,68.90,17000,68.90
2015-04-21,70.00,71.20,69.30,69.60,19600,69.60
2015-04-20,73.40,73.60,70.15,70.45,18400,70.45
2015-04-17,74.00,74.45,72.50,73.95,25600,73.95
2015-04-16,74.85,75.30,73.10,74.00,37600,74.00
2015-04-15,75.80,78.00,74.00,75.10,48700,75.10
2015-04-14,75.05,75.05,75.05,75.05,000,75.05
2015-04-13,73.70,76.80,72.60,75.05,72000,75.05
2015-04-10,72.00,75.25,71.70,73.70,86800,73.70
2015-04-09,74.00,74.00,71.00,71.90,75700,71.90
2015-04-08,67.10,76.60,67.00,71.75,213000,71.75
2015-04-07,67.50,71.85,66.00,66.60,948600,66.60
2015-04-06,64.25,66.00,64.25,65.45,64800,65.45
2015-04-03,64.05,64.05,64.05,64.05,000,64.05
2015-04-02,64.05,64.05,64.05,64.05,000,64.05
2015-04-01,63.00,64.40,62.30,64.05,25000,64.05
2015-03-31,63.40,64.50,61.50,62.00,88300,62.00
2015-03-30,64.70,66.00,62.60,62.95,40100,62.95
2015-03-27,64.80,65.55,62.90,63.75,31500,63.75
2015-03-26,64.00,65.05,63.50,64.65,7200,64.65
2015-03-25,66.10,66.55,64.55,65.00,45900,65.00
2015-03-24,65.25,66.25,65.05,65.80,6600,65.80
2015-03-23,66.60,66.90,65.00,65.60,13000,65.60
2015-03-20,65.50,67.95,63.60,65.15,28300,65.15
2015-03-19,66.30,67.95,65.75,66.30,23300,66.30
2015-03-18,68.65,68.75,66.20,66.80,28100,66.80
2015-03-17,70.45,70.45,68.00,68.55,30100,68.55
2015-03-16,73.00,73.05,68.70,69.15,81500,69.15
2015-03-13,71.50,72.60,70.70,71.55,24700,71.55
2015-03-12,72.50,72.50,70.20,70.70,18000,70.70
2015-03-11,72.00,72.75,69.50,70.05,32300,70.05
2015-03-10,75.50,76.00,72.00,72.65,23900,72.65
2015-03-09,76.15,77.20,72.15,75.55,25100,75.55
2015-03-06,76.60,76.60,76.60,76.60,000,76.60
2015-03-05,79.50,79.50,76.00,76.60,51000,76.60
2015-03-04,81.65,81.65,76.25,77.25,39000,77.25
2015-03-03,78.60,80.50,78.35,79.80,36600,79.80
2015-03-02,83.65,83.65,77.70,78.35,40000,78.35
2015-02-27,78.15,81.15,77.70,79.35,86800,79.35
2015-02-26,79.75,80.15,77.65,77.95,22900,77.95
2015-02-25,82.55,83.00,79.50,79.75,24900,79.75
2015-02-24,81.50,83.55,80.85,81.40,46900,81.40
2015-02-23,81.05,81.60,79.05,79.15,27300,79.15
2015-02-20,83.25,83.25,80.50,80.80,34900,80.80
2015-02-19,84.10,84.95,82.00,82.80,20000,82.80
2015-02-18,83.45,85.25,82.90,84.00,44300,84.00
2015-02-17,82.25,82.25,82.25,82.25,000,82.25
2015-02-16,84.80,85.65,82.05,82.25,41800,82.25
2015-02-13,82.85,83.65,81.05,81.60,14000,81.60
2015-02-12,85.00,85.10,81.25,82.80,29700,82.80
