Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.96,0.96,0.96,0.96,000,0.96
2015-07-16,0.86,0.92,0.86,0.92,1600,0.92
2015-07-15,0.90,0.90,0.90,0.90,2000,0.90
2015-07-14,0.90,0.90,0.90,0.90,14900,0.90
2015-07-13,0.86,0.86,0.86,0.86,4500,0.86
2015-07-10,0.90,0.90,0.90,0.90,5000,0.90
2015-07-09,0.78,0.86,0.78,0.86,800,0.86
2015-07-08,0.82,0.82,0.82,0.82,1000,0.82
2015-07-07,0.82,0.82,0.82,0.82,9300,0.82
2015-07-06,0.79,0.79,0.73,0.79,10400,0.79
2015-07-03,0.76,0.76,0.76,0.76,900,0.76
2015-07-02,0.79,0.79,0.79,0.79,2900,0.79
2015-07-01,0.84,0.84,0.76,0.76,2100,0.76
2015-06-30,0.80,0.80,0.80,0.80,100,0.80
2015-06-29,0.84,0.84,0.84,0.84,000,0.84
2015-06-26,0.84,0.84,0.84,0.84,000,0.84
2015-06-25,0.84,0.84,0.84,0.84,000,0.84
2015-06-24,0.84,0.84,0.84,0.84,000,0.84
2015-06-23,0.84,0.84,0.84,0.84,000,0.84
2015-06-22,0.84,0.84,0.84,0.84,000,0.84
2015-06-19,0.84,0.84,0.84,0.84,000,0.84
2015-06-18,0.84,0.84,0.84,0.84,000,0.84
2015-06-17,0.84,0.84,0.84,0.84,000,0.84
2015-06-16,0.84,0.84,0.84,0.84,000,0.84
2015-06-15,0.84,0.84,0.84,0.84,1300,0.84
2015-06-12,0.88,0.88,0.80,0.80,700,0.80
2015-06-11,0.84,0.84,0.84,0.84,000,0.84
2015-06-10,0.80,0.80,0.80,0.80,000,0.80
2015-06-09,0.80,0.80,0.80,0.80,000,0.80
2015-06-08,0.75,0.80,0.75,0.80,1200,0.80
2015-06-05,0.86,0.86,0.78,0.78,5800,0.78
2015-06-04,0.78,0.82,0.78,0.82,10500,0.82
2015-06-03,0.82,0.82,0.82,0.82,300,0.82
2015-06-02,0.86,0.86,0.86,0.86,100,0.86
2015-06-01,0.87,0.87,0.87,0.87,000,0.87
2015-05-29,0.87,0.87,0.87,0.87,500,0.87
2015-05-28,0.87,0.87,0.87,0.87,1700,0.87
2015-05-27,0.91,0.91,0.91,0.91,000,0.91
2015-05-26,0.91,0.91,0.91,0.91,000,0.91
2015-05-25,0.91,0.91,0.91,0.91,000,0.91
2015-05-22,0.91,0.91,0.91,0.91,000,0.91
2015-05-21,0.91,0.91,0.91,0.91,000,0.91
2015-05-20,0.95,0.95,0.95,0.95,10000,0.95
2015-05-19,0.93,0.93,0.93,0.93,500,0.93
2015-05-18,0.85,0.85,0.85,0.85,000,0.85
2015-05-15,0.81,0.85,0.81,0.85,400,0.85
2015-05-14,0.81,0.81,0.81,0.81,000,0.81
2015-05-13,0.78,0.81,0.77,0.81,6800,0.81
2015-05-12,0.78,0.78,0.78,0.78,4200,0.78
2015-05-11,0.75,0.75,0.75,0.75,000,0.75
2015-05-08,0.75,0.75,0.75,0.75,000,0.75
2015-05-07,0.75,0.75,0.75,0.75,000,0.75
2015-05-06,0.75,0.75,0.75,0.75,000,0.75
2015-05-05,0.75,0.75,0.75,0.75,000,0.75
2015-05-04,0.75,0.75,0.75,0.75,000,0.75
2015-05-01,0.75,0.75,0.75,0.75,000,0.75
2015-04-30,0.75,0.75,0.75,0.75,000,0.75
2015-04-29,0.75,0.75,0.75,0.75,000,0.75
2015-04-28,0.75,0.75,0.75,0.75,000,0.75
2015-04-27,0.75,0.75,0.75,0.75,000,0.75
2015-04-24,0.75,0.75,0.75,0.75,000,0.75
2015-04-23,0.75,0.75,0.75,0.75,000,0.75
2015-04-22,0.75,0.75,0.75,0.75,1000,0.75
2015-04-21,0.72,0.72,0.72,0.72,000,0.72
2015-04-20,0.72,0.72,0.72,0.72,1000,0.72
2015-04-17,0.69,0.69,0.69,0.69,000,0.69
2015-04-16,0.69,0.69,0.69,0.69,000,0.69
2015-04-15,0.69,0.69,0.69,0.69,6800,0.69
2015-04-14,0.66,0.66,0.66,0.66,000,0.66
2015-04-13,0.66,0.66,0.66,0.66,000,0.66
2015-04-10,0.66,0.66,0.66,0.66,000,0.66
2015-04-09,0.66,0.66,0.66,0.66,600,0.66
2015-04-08,0.63,0.63,0.63,0.63,000,0.63
2015-04-07,0.63,0.63,0.63,0.63,500,0.63
2015-04-06,0.60,0.60,0.60,0.60,000,0.60
2015-04-03,0.60,0.60,0.60,0.60,000,0.60
2015-04-02,0.60,0.60,0.60,0.60,000,0.60
2015-04-01,0.60,0.60,0.60,0.60,200,0.60
2015-03-31,0.62,0.62,0.62,0.62,5700,0.62
2015-03-30,0.65,0.65,0.65,0.65,16400,0.65
2015-03-27,0.67,0.68,0.67,0.68,7000,0.68
2015-03-26,0.70,0.76,0.70,0.70,12900,0.70
2015-03-25,0.73,0.73,0.73,0.73,17000,0.73
2015-03-24,0.76,0.76,0.76,0.76,2300,0.76
2015-03-23,0.80,0.80,0.80,0.80,000,0.80
2015-03-20,0.84,0.84,0.84,0.84,7200,0.84
2015-03-19,0.90,0.90,0.88,0.88,6000,0.88
2015-03-18,0.97,0.97,0.97,0.97,500,0.97
2015-03-17,1.07,1.07,1.07,1.07,500,1.07
2015-03-16,1.18,1.18,1.18,1.18,000,1.18
2015-03-13,1.08,1.08,1.08,1.08,3700,1.08
2015-03-12,1.19,1.19,1.19,1.19,10000,1.19
2015-03-11,1.15,1.15,1.15,1.15,2000,1.15
2015-03-10,1.15,1.15,1.15,1.15,000,1.15
2015-03-09,1.15,1.15,1.15,1.15,000,1.15
2015-03-06,1.15,1.15,1.15,1.15,000,1.15
2015-03-05,1.15,1.15,1.15,1.15,300,1.15
2015-03-04,1.15,1.15,1.15,1.15,3600,1.15
2015-03-03,1.32,1.32,1.21,1.21,13000,1.21
2015-03-02,1.26,1.26,1.26,1.26,000,1.26
2015-02-27,1.10,1.20,1.10,1.20,2900,1.20
2015-02-26,1.15,1.15,1.15,1.15,000,1.15
2015-02-25,1.15,1.15,1.15,1.15,2300,1.15
2015-02-24,1.05,1.15,1.05,1.15,3600,1.15
2015-02-23,1.10,1.10,1.10,1.10,21600,1.10
2015-02-20,1.05,1.15,1.05,1.15,200,1.15
2015-02-19,1.05,1.10,1.05,1.10,2700,1.10
2015-02-18,1.05,1.10,1.05,1.10,3000,1.10
2015-02-17,1.10,1.10,1.10,1.10,000,1.10
2015-02-16,1.15,1.15,1.10,1.10,2000,1.10
2015-02-13,1.15,1.15,1.15,1.15,000,1.15
2015-02-12,1.00,1.10,1.00,1.10,1000,1.10
2015-02-11,1.05,1.05,1.05,1.05,5100,1.05
2015-02-10,1.10,1.10,1.10,1.10,000,1.10
2015-02-09,1.15,1.15,1.15,1.10,000,1.10
2015-02-06,1.10,1.10,1.10,1.10,16000,1.10
2015-02-05,1.12,1.13,1.12,1.13,13400,1.13
2015-02-04,1.12,1.12,1.12,1.12,1000,1.12
2015-02-03,1.12,1.12,1.12,1.12,300,1.12
2015-02-02,1.17,1.17,1.07,1.07,3200,1.07
2015-01-30,1.12,1.12,1.12,1.12,000,1.12
2015-01-29,1.17,1.17,1.17,1.17,1000,1.17
2015-01-28,1.17,1.17,1.17,1.17,000,1.17
2015-01-27,1.16,1.17,1.16,1.17,1400,1.17
2015-01-26,1.21,1.21,1.21,1.21,000,1.21
2015-01-23,1.16,1.21,1.16,1.21,3000,1.21
2015-01-22,1.16,1.22,1.16,1.16,6000,1.16
2015-01-21,1.13,1.22,1.13,1.22,6000,1.22
2015-01-20,1.16,1.17,1.16,1.17,000,1.17
2015-01-19,1.22,1.22,1.22,1.22,6000,1.22
2015-01-16,1.16,1.28,1.16,1.28,000,1.28
2015-01-15,1.21,1.22,1.21,1.22,3300,1.22
2015-01-14,1.20,1.20,1.17,1.17,5500,1.17
2015-01-13,1.14,1.23,1.14,1.23,1500,1.23
2015-01-12,1.19,1.19,1.19,1.19,6000,1.19
2015-01-09,1.14,1.21,1.14,1.14,4300,1.14
2015-01-08,1.15,1.20,1.15,1.20,6100,1.20
2015-01-07,1.21,1.21,1.21,1.21,3000,1.21
2015-01-06,1.39,1.39,1.27,1.27,8000,1.27
2015-01-05,1.33,1.33,1.33,1.33,17000,1.33
2015-01-02,1.27,1.27,1.27,1.27,12100,1.27
2015-01-01,1.21,1.21,1.21,1.21,2500,1.21
2014-12-31,1.16,1.16,1.16,1.16,2200,1.16
2014-12-30,1.11,1.11,1.10,1.11,4600,1.11
2014-12-29,1.06,1.06,1.06,1.06,5000,1.06
2014-12-26,1.01,1.01,1.01,1.01,5100,1.01
2014-12-25,0.97,0.97,0.97,0.97,000,0.97
2014-12-24,0.97,0.97,0.97,0.97,000,0.97
2014-12-23,0.90,0.97,0.90,0.97,100,0.97
2014-12-22,0.99,0.99,0.93,0.93,1500,0.93
2014-12-19,0.95,0.95,0.95,0.95,10000,0.95
2014-12-18,1.03,1.03,1.00,1.00,9500,1.00
2014-12-17,1.10,1.10,1.10,1.10,900,1.10
2014-12-16,1.19,1.19,1.19,1.19,6500,1.19
2014-12-15,1.13,1.32,1.13,1.32,19000,1.32
2014-12-12,1.25,1.25,1.25,1.25,2000,1.25
2014-12-11,1.06,1.14,1.06,1.14,9200,1.14
2014-12-10,1.01,1.12,1.01,1.12,500,1.12
2014-12-09,1.06,1.07,1.06,1.07,4500,1.07
2014-12-08,1.06,1.06,1.06,1.06,300,1.06
2014-12-05,1.16,1.16,1.16,1.16,000,1.16
2014-12-04,1.16,1.16,1.16,1.16,100,1.16
2014-12-03,1.21,1.30,1.20,1.20,2500,1.20
2014-12-02,1.25,1.25,1.25,1.25,000,1.25
2014-12-01,1.25,1.25,1.25,1.25,000,1.25
2014-11-28,1.24,1.25,1.24,1.25,2700,1.25
2014-11-27,1.22,1.30,1.22,1.30,2600,1.30
2014-11-26,1.22,1.30,1.22,1.28,6500,1.28
2014-11-25,1.28,1.39,1.28,1.28,5700,1.28
2014-11-24,1.28,1.33,1.25,1.33,35000,1.33
2014-11-21,1.34,1.34,1.28,1.28,12100,1.28
2014-11-20,1.30,1.30,1.30,1.30,19000,1.30
2014-11-19,1.40,1.40,1.30,1.30,9300,1.30
2014-11-18,1.43,1.43,1.33,1.34,5600,1.34
2014-11-17,1.34,1.39,1.34,1.39,1500,1.39
2014-11-14,1.52,1.54,1.40,1.40,21700,1.40
2014-11-13,1.40,1.47,1.40,1.47,12600,1.47
2014-11-12,1.31,1.40,1.31,1.40,16200,1.40
2014-11-11,1.30,1.37,1.30,1.37,5500,1.37
2014-11-10,1.24,1.33,1.23,1.33,48600,1.33
2014-11-07,1.27,1.27,1.20,1.27,32800,1.27
2014-11-06,1.21,1.21,1.21,1.21,000,1.21
2014-11-05,1.12,1.21,1.12,1.21,51600,1.21
2014-11-04,1.16,1.16,1.16,1.16,000,1.16
2014-11-03,1.16,1.16,1.16,1.16,76400,1.16
2014-10-31,1.23,1.24,1.22,1.22,13800,1.22
2014-10-30,1.29,1.29,1.28,1.28,13800,1.28
2014-10-29,1.34,1.34,1.34,1.34,4900,1.34
2014-10-28,1.41,1.41,1.41,1.41,10000,1.41
2014-10-27,1.55,1.55,1.48,1.48,2000,1.48
2014-10-24,1.54,1.54,1.54,1.54,000,1.54
2014-10-23,1.54,1.54,1.54,1.54,000,1.54
2014-10-22,1.54,1.54,1.54,1.54,21400,1.54
2014-10-21,1.62,1.62,1.62,1.62,8200,1.62
2014-10-20,1.80,1.80,1.70,1.70,200,1.70
