Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,10.50,11.70,10.42,11.05,25800,11.05
2015-07-16,10.60,10.69,10.52,10.59,16400,10.59
2015-07-15,11.30,11.45,10.45,10.59,31100,10.59
2015-07-14,11.92,12.40,11.06,11.27,66900,11.27
2015-07-13,12.45,13.00,11.95,12.10,56900,12.10
2015-07-10,12.80,12.80,11.50,12.03,240000,12.03
2015-07-09,10.56,12.66,10.33,12.46,539300,12.46
2015-07-08,10.13,10.68,10.06,10.55,42800,10.55
2015-07-07,10.18,10.40,9.93,9.99,35700,9.99
2015-07-06,9.70,10.29,9.65,10.11,39500,10.11
2015-07-03,9.77,9.81,9.70,9.75,12300,9.75
2015-07-02,9.75,9.85,9.75,9.80,3300,9.80
2015-07-01,9.85,9.85,9.70,9.74,17600,9.74
2015-06-30,9.66,9.78,9.65,9.71,26400,9.71
2015-06-29,9.67,9.72,9.60,9.65,12000,9.65
2015-06-26,9.83,9.83,9.66,9.68,7700,9.68
2015-06-25,9.70,9.80,9.70,9.75,7100,9.75
2015-06-24,9.70,9.85,9.66,9.73,12200,9.73
2015-06-23,9.65,9.80,9.65,9.70,4700,9.70
2015-06-22,9.80,9.80,9.66,9.79,24100,9.79
2015-06-19,9.66,9.72,9.66,9.66,16800,9.66
2015-06-18,9.66,9.70,9.66,9.67,23600,9.67
2015-06-17,9.00,9.83,9.00,9.66,13400,9.66
2015-06-16,9.60,9.67,9.60,9.62,30400,9.62
2015-06-15,9.80,9.80,9.66,9.66,11100,9.66
2015-06-12,9.65,9.73,9.65,9.66,21400,9.66
2015-06-11,9.66,9.77,9.65,9.72,36500,9.72
2015-06-10,9.90,9.92,9.75,9.77,10100,9.77
2015-06-09,9.62,9.86,9.62,9.70,31500,9.70
2015-06-08,9.67,9.67,9.65,9.65,44900,9.65
2015-06-05,9.99,9.99,9.76,9.79,33100,9.79
2015-06-04,10.40,10.40,9.70,10.00,124500,10.00
2015-06-03,10.00,10.00,9.60,9.70,42700,9.70
2015-06-02,10.10,10.35,9.95,10.04,117800,10.04
2015-06-01,9.73,10.30,9.70,10.10,198500,10.10
2015-05-29,9.52,9.70,9.52,9.61,16800,9.61
2015-05-28,9.52,9.85,9.52,9.75,136000,9.75
2015-05-27,9.50,9.65,9.50,9.55,97300,9.55
2015-05-26,9.60,9.75,9.55,9.59,156300,9.59
2015-05-25,9.78,9.85,9.50,9.62,262200,9.62
2015-05-22,10.00,10.10,9.45,9.50,476700,9.50
2015-05-21,8.85,9.50,8.66,9.45,109000,9.45
2015-05-20,8.65,9.00,8.40,8.63,51500,8.63
2015-05-19,8.65,8.93,8.55,8.69,57600,8.69
2015-05-18,7.80,8.80,7.76,8.40,107700,8.40
2015-05-15,7.95,7.95,7.52,7.66,5500,7.66
2015-05-14,7.51,7.52,7.51,7.52,600,7.52
2015-05-13,8.00,8.00,7.52,7.56,18400,7.56
2015-05-12,7.60,7.80,7.48,7.66,16300,7.66
2015-05-11,7.90,7.93,7.51,7.68,10200,7.68
2015-05-08,7.76,7.95,7.50,7.52,24100,7.52
2015-05-07,8.20,8.50,7.85,7.91,10100,7.91
2015-05-06,8.89,8.90,8.26,8.37,27300,8.37
2015-05-05,8.60,8.75,8.50,8.74,21900,8.74
2015-05-04,8.40,8.80,8.40,8.66,51800,8.66
2015-05-01,8.30,8.30,8.30,8.30,000,8.30
2015-04-30,8.25,8.90,8.22,8.30,87000,8.30
2015-04-29,8.20,8.60,8.20,8.41,39100,8.41
2015-04-28,8.50,8.50,7.77,8.20,24500,8.20
2015-04-27,8.25,8.25,7.70,7.77,60200,7.77
2015-04-24,8.00,8.00,7.45,7.52,4700,7.52
2015-04-23,8.00,8.00,7.73,7.90,6200,7.90
2015-04-22,7.81,8.10,7.66,7.90,5400,7.90
2015-04-21,7.76,8.25,7.67,8.00,16700,8.00
2015-04-20,8.14,8.20,7.75,7.94,27200,7.94
2015-04-17,8.35,8.48,7.81,8.14,52700,8.14
2015-04-16,8.24,8.45,7.40,8.37,192900,8.37
2015-04-15,7.20,7.79,7.20,7.46,150600,7.46
2015-04-14,7.21,7.21,7.21,7.21,000,7.21
2015-04-13,7.18,7.54,7.00,7.21,95400,7.21
2015-04-10,6.79,7.00,6.62,6.90,36100,6.90
2015-04-09,6.62,6.70,6.60,6.68,7900,6.68
2015-04-08,6.80,6.83,6.65,6.67,20900,6.67
2015-04-07,7.10,7.10,6.70,6.83,53900,6.83
2015-04-06,6.38,7.29,6.15,6.82,248200,6.82
2015-04-03,6.20,6.20,6.20,6.20,000,6.20
2015-04-02,6.20,6.20,6.20,6.20,000,6.20
2015-04-01,6.00,6.20,6.00,6.20,3900,6.20
2015-03-31,5.70,6.00,5.70,5.90,1200,5.90
2015-03-30,6.25,6.25,5.75,5.96,30000,5.96
2015-03-27,5.66,5.90,5.25,5.79,103600,5.79
2015-03-26,5.81,5.83,5.70,5.76,26300,5.76
2015-03-25,6.00,6.09,5.70,6.02,47100,6.02
2015-03-24,5.99,5.99,5.72,5.87,10800,5.87
2015-03-23,6.00,6.00,5.70,5.79,37800,5.79
2015-03-20,6.35,6.35,5.95,6.00,279700,6.00
2015-03-19,6.05,6.20,6.02,6.14,11500,6.14
2015-03-18,6.24,6.37,6.00,6.01,33100,6.01
2015-03-17,6.23,6.23,5.96,5.99,279000,5.99
2015-03-16,6.40,6.40,6.16,6.30,10200,6.30
2015-03-13,5.98,6.49,5.98,6.29,26500,6.29
2015-03-12,6.80,6.91,6.42,6.44,33500,6.44
2015-03-11,6.85,6.85,6.62,6.75,3000,6.75
2015-03-10,7.73,7.73,6.65,6.74,35700,6.74
2015-03-09,6.99,7.05,6.71,6.73,20300,6.73
2015-03-06,6.90,6.90,6.90,6.90,000,6.90
2015-03-05,7.00,7.08,6.85,6.90,3100,6.90
2015-03-04,6.51,7.16,6.51,7.11,34300,7.11
2015-03-03,7.37,7.37,7.01,7.14,11400,7.14
2015-03-02,6.47,7.58,6.20,7.20,234400,7.20
2015-02-27,6.21,6.73,6.21,6.50,19900,6.50
2015-02-26,6.47,6.58,6.32,6.37,1400,6.37
2015-02-25,6.55,6.65,6.47,6.47,9700,6.47
2015-02-24,6.71,6.88,6.56,6.70,9600,6.70
2015-02-23,6.75,6.95,6.70,6.74,19000,6.74
2015-02-20,6.60,7.19,6.51,6.79,22400,6.79
2015-02-19,7.05,7.05,6.75,6.77,7800,6.77
2015-02-18,6.75,6.90,6.63,6.65,5900,6.65
2015-02-17,6.75,6.75,6.75,6.75,000,6.75
2015-02-16,7.33,7.33,6.73,6.75,28700,6.75
2015-02-13,6.84,6.84,6.60,6.70,12400,6.70
2015-02-12,6.38,6.88,6.38,6.57,3900,6.57
2015-02-11,6.45,6.64,6.42,6.50,3000,6.50
2015-02-10,6.42,6.64,6.42,6.42,4400,6.42
2015-02-09,6.52,6.62,6.42,6.44,13600,6.44
2015-02-06,6.67,6.72,6.60,6.61,7700,6.61
2015-02-05,6.90,6.97,6.73,6.73,12200,6.73
2015-02-04,7.03,7.03,6.90,6.96,25600,6.96
2015-02-03,6.90,7.49,6.90,7.12,12200,7.12
2015-02-02,7.27,7.27,7.01,7.07,3200,7.07
2015-01-30,7.00,7.10,7.00,7.06,6700,7.06
2015-01-29,7.02,7.25,6.95,7.02,31300,7.02
2015-01-28,7.23,7.23,7.05,7.07,36200,7.07
2015-01-27,7.45,7.55,7.01,7.20,31200,7.20
