Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,35.10,35.65,34.25,34.50,7000,34.50
2015-07-16,36.10,36.45,35.00,35.40,8600,35.40
2015-07-15,35.95,36.20,35.25,36.00,12200,36.00
2015-07-14,34.00,36.20,34.00,35.20,37500,35.20
2015-07-13,34.90,34.90,34.20,34.50,5100,34.50
2015-07-10,33.85,35.05,33.75,34.15,4600,34.15
2015-07-09,33.85,36.90,33.40,34.60,50800,34.60
2015-07-08,33.10,36.50,32.40,33.75,20700,33.75
2015-07-07,33.35,33.85,33.00,33.30,5900,33.30
2015-07-06,30.90,34.50,30.50,33.35,19500,33.35
2015-07-03,31.65,31.65,30.90,31.20,9200,31.20
2015-07-02,31.60,32.50,31.30,31.85,14700,31.85
2015-07-01,31.30,32.00,31.30,31.60,14900,31.60
2015-06-30,31.20,31.50,30.90,31.20,9900,31.20
2015-06-29,30.55,31.25,30.00,30.95,9300,30.95
2015-06-26,32.00,32.00,31.35,31.75,14000,31.75
2015-06-25,33.00,33.00,31.85,32.05,10000,32.05
2015-06-24,33.30,33.70,32.60,32.95,9800,32.95
2015-06-23,34.55,34.55,33.55,33.60,7000,33.60
2015-06-22,33.35,35.00,33.30,34.00,17000,34.00
2015-06-19,35.55,35.65,33.00,33.50,37300,33.50
2015-06-18,35.80,36.90,34.30,35.05,126200,35.05
2015-06-17,32.50,35.75,32.50,35.75,442300,35.75
2015-06-16,30.40,30.75,29.30,29.80,7900,29.80
2015-06-15,29.85,32.00,29.20,29.35,37500,29.35
2015-06-12,30.40,32.70,28.60,28.70,4400,28.70
2015-06-11,30.10,30.85,28.50,28.90,4100,28.90
2015-06-10,30.30,30.50,29.50,29.80,4700,29.80
2015-06-09,30.85,32.80,28.80,29.10,8400,29.10
2015-06-08,31.80,31.85,29.25,29.25,4500,29.25
2015-06-05,29.50,30.50,29.25,29.65,3600,29.65
2015-06-04,31.20,31.25,28.30,29.60,5100,29.60
2015-06-03,31.00,32.00,27.70,29.85,10300,29.85
2015-06-02,32.30,32.70,31.90,32.05,4000,32.05
2015-06-01,33.10,33.60,32.40,32.50,2000,32.50
2015-05-29,34.00,34.00,33.00,33.60,6700,33.60
2015-05-28,32.60,33.00,32.50,32.50,9000,32.50
2015-05-27,32.10,33.40,32.00,32.60,4800,32.60
2015-05-26,32.65,33.90,32.00,33.30,4200,33.30
2015-05-25,33.05,33.95,33.05,33.35,2000,33.35
2015-05-22,33.60,33.90,33.40,33.40,4400,33.40
2015-05-21,34.75,34.80,33.50,33.80,4200,33.80
2015-05-20,35.10,35.10,33.85,34.05,7500,34.05
2015-05-19,35.40,35.40,34.50,35.25,1600,35.25
2015-05-18,35.45,36.00,34.75,35.10,2000,35.10
2015-05-15,39.40,40.00,35.00,35.15,4900,35.15
2015-05-14,34.85,35.00,30.10,35.00,8900,35.00
2015-05-13,35.25,35.70,34.95,34.95,1100,34.95
2015-05-12,35.70,35.70,34.20,34.95,3700,34.95
2015-05-11,35.00,36.00,35.00,35.70,2800,35.70
2015-05-08,34.75,35.55,34.60,34.70,1600,34.70
2015-05-07,35.95,35.95,34.05,34.20,4900,34.20
2015-05-06,35.80,36.40,34.10,35.30,15100,35.30
2015-05-05,36.95,37.00,36.00,36.30,3600,36.30
2015-05-04,36.00,37.00,36.00,36.35,3300,36.35
2015-05-01,35.35,35.35,35.35,35.35,000,35.35
2015-04-30,36.00,37.00,35.00,35.35,12400,35.35
2015-04-29,33.00,37.00,33.00,35.55,14300,35.55
2015-04-28,32.05,34.35,32.00,33.65,13700,33.65
2015-04-27,34.50,35.00,32.10,32.60,17900,32.60
2015-04-24,35.95,36.45,35.00,35.20,9700,35.20
2015-04-23,37.45,37.70,36.10,36.40,6600,36.40
2015-04-22,37.45,37.50,36.05,36.70,6900,36.70
2015-04-21,36.95,37.00,36.30,36.50,7700,36.50
2015-04-20,38.90,39.50,36.50,36.70,15800,36.70
2015-04-17,40.65,40.65,38.15,38.45,11000,38.45
2015-04-16,41.05,41.25,39.15,39.55,16700,39.55
2015-04-15,41.35,41.45,40.00,40.05,22200,40.05
2015-04-14,40.75,40.75,40.75,40.75,000,40.75
2015-04-13,41.15,41.85,40.00,40.75,15400,40.75
2015-04-10,40.95,42.05,40.00,41.35,22400,41.35
2015-04-09,43.80,43.80,40.50,40.80,22700,40.80
2015-04-08,44.90,45.00,42.00,42.50,28300,42.50
2015-04-07,45.70,45.70,42.85,43.25,46100,43.25
2015-04-06,42.20,47.60,40.00,45.90,209000,45.90
2015-04-03,41.55,41.55,41.55,41.55,000,41.55
2015-04-02,41.55,41.55,41.55,41.55,000,41.55
2015-04-01,39.55,45.45,39.55,41.55,169500,41.55
2015-03-31,34.40,39.10,34.40,39.10,119700,39.10
2015-03-30,31.60,33.25,30.00,32.60,28400,32.60
2015-03-27,33.65,34.45,30.00,32.30,53900,32.30
2015-03-26,34.50,35.90,33.80,34.00,7500,34.00
2015-03-25,39.50,39.50,34.30,34.50,5500,34.50
2015-03-24,37.00,37.00,34.20,34.65,10600,34.65
2015-03-23,37.85,38.20,36.85,37.10,5000,37.10
2015-03-20,40.20,40.25,37.10,38.30,29800,38.30
2015-03-19,41.50,41.50,38.10,39.55,8700,39.55
2015-03-18,38.90,39.90,37.00,39.10,15900,39.10
2015-03-17,39.00,39.75,38.10,38.55,26100,38.55
2015-03-16,40.60,40.90,38.40,38.55,16000,38.55
2015-03-13,42.15,42.75,40.05,40.35,16000,40.35
2015-03-12,42.15,43.00,42.05,42.40,10600,42.40
2015-03-11,42.45,43.50,42.40,42.80,8300,42.80
2015-03-10,44.00,44.00,42.10,42.45,12200,42.45
2015-03-09,45.45,45.90,44.10,44.45,19000,44.45
2015-03-06,46.05,46.05,46.05,46.05,000,46.05
2015-03-05,46.70,46.70,45.65,46.05,10300,46.05
2015-03-04,48.15,48.70,46.00,46.25,10100,46.25
2015-03-03,47.90,48.60,47.10,47.40,17800,47.40
2015-03-02,47.00,47.90,45.80,47.05,11600,47.05
2015-02-27,46.20,47.50,46.05,47.25,88000,47.25
2015-02-26,47.65,47.65,46.00,46.10,6100,46.10
2015-02-25,47.50,47.70,46.75,46.85,1400,46.85
2015-02-24,46.45,47.70,46.10,47.05,10800,47.05
2015-02-23,47.25,48.20,46.50,46.70,15500,46.70
2015-02-20,48.65,48.65,47.05,47.60,6200,47.60
2015-02-19,48.80,51.20,47.30,48.10,18200,48.10
2015-02-18,47.95,49.65,47.50,48.05,7800,48.05
2015-02-17,47.35,47.35,47.35,47.35,000,47.35
2015-02-16,47.10,48.20,46.50,47.35,7700,47.35
2015-02-13,47.10,48.80,46.60,47.10,8900,47.10
