Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2.61,2.75,2.53,2.70,27000,2.70
2015-07-16,2.73,2.77,2.63,2.68,76900,2.68
2015-07-15,2.76,2.94,2.66,2.75,218300,2.75
2015-07-14,2.45,2.93,2.45,2.76,186800,2.76
2015-07-13,2.45,2.54,2.41,2.45,38100,2.45
2015-07-10,2.31,2.49,2.31,2.42,25900,2.42
2015-07-09,2.48,2.52,2.45,2.48,29800,2.48
2015-07-08,2.41,2.56,2.38,2.49,32000,2.49
2015-07-07,2.52,2.59,2.49,2.50,15900,2.50
2015-07-06,2.43,2.70,2.43,2.60,22700,2.60
2015-07-03,2.40,2.69,2.35,2.62,113900,2.62
2015-07-02,2.40,2.47,2.34,2.42,41700,2.42
2015-07-01,2.37,2.43,2.35,2.36,30800,2.36
2015-06-30,2.39,2.45,2.37,2.39,8900,2.39
2015-06-29,2.34,2.45,2.34,2.43,8200,2.43
2015-06-26,2.46,2.51,2.41,2.42,38400,2.42
2015-06-25,2.50,2.55,2.46,2.46,26000,2.46
2015-06-24,2.55,2.65,2.50,2.53,24800,2.53
2015-06-23,2.59,2.65,2.53,2.64,20900,2.64
2015-06-22,2.55,2.60,2.55,2.56,37100,2.56
2015-06-19,2.46,2.49,2.39,2.46,19500,2.46
2015-06-18,2.42,2.42,2.41,2.41,10100,2.41
2015-06-17,2.43,2.52,2.39,2.40,37100,2.40
2015-06-16,2.43,2.51,2.42,2.42,11800,2.42
2015-06-15,2.51,2.56,2.45,2.55,35600,2.55
2015-06-12,2.75,2.75,2.48,2.55,52200,2.55
2015-06-11,2.80,2.80,2.51,2.54,50700,2.54
2015-06-10,2.00,2.80,2.00,2.65,207900,2.65
2015-06-09,2.40,2.42,2.35,2.40,13700,2.40
2015-06-08,2.50,2.52,2.31,2.35,22400,2.35
2015-06-05,2.40,2.52,2.40,2.45,22400,2.45
2015-06-04,2.45,2.54,2.40,2.49,44900,2.49
2015-06-03,2.87,2.87,2.40,2.53,46800,2.53
2015-06-02,2.71,2.71,2.61,2.66,27900,2.66
2015-06-01,2.77,2.87,2.59,2.84,128000,2.84
2015-05-29,2.51,2.80,2.50,2.71,112600,2.71
2015-05-28,2.45,2.78,2.45,2.60,131900,2.60
2015-05-27,2.33,2.52,2.33,2.50,42100,2.50
2015-05-26,2.36,2.36,2.31,2.36,21500,2.36
2015-05-25,2.41,2.49,2.35,2.40,16800,2.40
2015-05-22,2.45,2.60,2.41,2.43,49300,2.43
2015-05-21,2.41,2.45,2.37,2.40,33500,2.40
2015-05-20,2.40,2.46,2.37,2.39,31600,2.39
2015-05-19,2.45,2.47,2.41,2.41,19600,2.41
2015-05-18,2.47,2.50,2.39,2.44,21100,2.44
2015-05-15,2.31,2.41,2.31,2.39,10200,2.39
2015-05-14,2.35,2.35,2.32,2.35,10300,2.35
2015-05-13,2.40,2.50,2.34,2.34,12600,2.34
2015-05-12,2.35,2.39,2.34,2.34,13900,2.34
2015-05-11,2.44,2.51,2.41,2.45,8100,2.45
2015-05-08,2.48,2.50,2.40,2.40,35300,2.40
2015-05-07,2.45,2.45,2.38,2.42,20000,2.42
2015-05-06,2.51,2.51,2.41,2.48,29700,2.48
2015-05-05,2.58,2.59,2.53,2.55,21500,2.55
2015-05-04,2.68,2.68,2.60,2.61,18500,2.61
2015-05-01,2.64,2.64,2.64,2.64,000,2.64
2015-04-30,2.75,2.75,2.61,2.64,14900,2.64
2015-04-29,2.90,2.90,2.71,2.78,53400,2.78
2015-04-28,2.44,2.85,2.41,2.78,83900,2.78
2015-04-27,2.42,2.51,2.35,2.44,55500,2.44
2015-04-24,2.60,2.60,2.40,2.41,36300,2.41
2015-04-23,2.58,2.62,2.56,2.57,18300,2.57
2015-04-22,2.65,2.65,2.53,2.54,17500,2.54
2015-04-21,2.62,2.62,2.53,2.55,5400,2.55
2015-04-20,2.67,2.71,2.60,2.65,29400,2.65
2015-04-17,2.63,2.71,2.62,2.67,21400,2.67
2015-04-16,2.70,2.75,2.64,2.71,51400,2.71
2015-04-15,2.65,2.77,2.55,2.62,61600,2.62
2015-04-14,2.65,2.65,2.65,2.65,000,2.65
2015-04-13,2.55,2.72,2.55,2.65,9000,2.65
2015-04-10,2.62,2.70,2.60,2.62,30200,2.62
2015-04-09,2.77,2.77,2.60,2.65,28100,2.65
2015-04-08,2.64,2.77,2.60,2.74,82800,2.74
2015-04-07,2.51,2.69,2.42,2.54,29600,2.54
2015-04-06,2.42,2.72,2.42,2.60,44700,2.60
2015-04-03,2.45,2.45,2.45,2.45,000,2.45
2015-04-02,2.45,2.45,2.45,2.45,000,2.45
2015-04-01,2.17,2.49,2.17,2.45,52200,2.45
2015-03-31,2.45,2.45,2.20,2.25,46600,2.25
2015-03-30,2.30,2.30,2.21,2.25,45000,2.25
2015-03-27,2.40,2.42,2.25,2.27,48200,2.27
2015-03-26,2.35,2.47,2.35,2.41,46100,2.41
2015-03-25,2.40,2.40,2.21,2.37,67000,2.37
2015-03-24,2.50,2.50,2.36,2.46,66400,2.46
