Date,Open,High,Low,Close,Volume,Adj Close
2015-03-31,810.00,824.00,804.00,814.10,67000,814.10
2015-03-30,806.00,814.65,792.00,806.95,75200,806.95
2015-03-27,823.00,829.00,799.50,807.05,89100,807.05
2015-03-26,829.00,833.10,814.25,819.00,149900,819.00
2015-03-25,825.10,839.10,820.50,832.90,152200,832.90
2015-03-24,806.00,827.40,806.00,819.55,81800,819.55
2015-03-23,811.50,820.80,796.95,804.60,87500,804.60
2015-03-20,826.00,842.70,802.80,806.55,115100,806.55
2015-03-19,820.55,844.00,814.00,821.60,111100,821.60
2015-03-18,819.00,823.80,811.00,817.10,54200,817.10
2015-03-17,809.00,827.00,806.85,816.00,85900,816.00
2015-03-16,796.35,810.50,792.80,807.85,57600,807.85
2015-03-13,815.25,818.90,790.00,793.35,60500,793.35
2015-03-12,798.70,815.90,791.85,813.35,75500,813.35
2015-03-11,809.55,810.60,791.50,795.00,44300,795.00
2015-03-10,819.00,827.65,799.20,804.45,94700,804.45
2015-03-09,803.00,825.00,786.55,815.90,212200,815.90
2015-03-06,805.65,805.65,805.65,805.65,000,805.65
2015-03-05,790.00,813.00,782.85,805.65,173500,805.65
2015-03-04,728.00,803.10,725.00,782.15,413800,782.15
2015-03-03,725.05,739.95,725.05,731.15,108800,731.15
2015-03-02,715.00,728.90,708.90,722.75,87700,722.75
2015-02-27,673.00,687.95,673.00,685.75,33500,685.75
2015-02-26,692.70,692.70,667.60,672.65,87000,672.65
2015-02-25,700.15,706.20,685.00,687.85,31700,687.85
2015-02-24,699.30,705.50,698.10,700.65,102200,700.65
2015-02-23,706.65,713.40,698.00,700.15,41700,700.15
2015-02-20,710.00,714.00,703.00,705.30,59000,705.30
2015-02-19,711.00,714.50,703.85,708.90,25100,708.90
2015-02-18,710.00,716.40,701.00,706.25,137000,706.25
2015-02-17,707.10,707.10,707.10,707.10,000,707.10
2015-02-16,715.00,716.40,699.00,707.10,66500,707.10
2015-02-13,715.20,737.00,715.20,724.65,168000,724.65
2015-02-12,718.15,721.00,708.20,710.35,80500,710.35
2015-02-11,706.00,724.00,706.00,715.45,54400,715.45
2015-02-10,717.70,720.35,698.15,705.95,28100,705.95
2015-02-09,712.10,729.10,708.35,720.00,102900,720.00
2015-02-06,735.00,738.50,713.00,719.70,94500,719.70
2015-02-05,737.00,742.70,731.30,736.40,115200,736.40
2015-02-04,730.00,746.00,730.00,737.65,178800,737.65
2015-02-03,721.00,732.30,709.20,726.40,123400,726.40
2015-02-02,706.25,728.00,706.25,720.35,133800,720.35
2015-01-30,708.00,714.00,695.75,703.65,87500,703.65
2015-01-29,685.00,712.60,684.00,708.00,131800,708.00
2015-01-28,710.00,724.95,684.00,699.75,471300,699.75
2015-01-27,708.00,711.70,694.00,706.90,68200,706.90
2015-01-26,706.25,706.25,706.25,706.25,000,706.25
2015-01-23,699.00,714.20,699.00,706.25,102400,706.25
