Date,Open,High,Low,Close,Volume,Adj Close
2014-03-26,69.10,69.10,69.10,69.10,000,69.10
2014-03-25,69.10,69.10,69.10,69.10,000,69.10
2014-03-24,69.10,69.10,69.10,69.10,000,69.10
2014-03-21,69.10,69.10,69.10,69.10,000,69.10
2014-03-20,69.10,69.25,69.05,69.10,65600,69.10
2014-03-19,69.20,69.25,69.00,69.10,9000,69.10
2014-03-18,69.05,69.20,69.05,69.05,47200,69.05
2014-03-17,69.00,69.00,69.00,69.00,000,69.00
2014-03-14,68.95,69.25,68.95,69.00,25300,69.00
2014-03-13,68.95,69.00,68.95,68.95,9200,68.95
2014-03-12,68.65,69.00,68.65,68.95,16700,68.95
2014-03-11,67.00,69.25,67.00,68.85,39200,68.85
2014-03-10,67.75,68.55,67.75,68.40,22100,68.40
2014-03-07,67.75,68.60,67.75,67.75,5400,67.75
2014-03-06,67.60,68.85,67.60,67.80,17200,67.80
2014-03-05,67.50,67.95,67.50,67.55,6000,67.55
2014-03-04,67.55,67.75,67.50,67.55,10200,67.55
2014-03-03,67.50,68.00,67.50,67.55,7000,67.55
2014-02-28,67.50,67.70,67.50,67.50,8400,67.50
2014-02-27,67.50,67.50,67.50,67.50,000,67.50
2014-02-26,67.55,67.90,67.50,67.50,8700,67.50
2014-02-25,67.15,67.55,67.15,67.55,30600,67.55
2014-02-24,67.30,67.75,67.05,67.20,15500,67.20
2014-02-21,68.20,68.20,67.35,67.50,32100,67.50
2014-02-20,67.00,68.50,67.00,67.45,99200,67.45
2014-02-19,64.05,67.25,64.00,67.10,40400,67.10
2014-02-18,57.45,65.75,57.45,65.40,112800,65.40
2014-02-17,60.00,61.10,55.95,59.80,67800,59.80
2014-02-14,61.00,62.00,59.50,60.35,53400,60.35
2014-02-13,59.80,61.00,58.20,59.90,58600,59.90
2014-02-12,58.60,60.00,56.50,59.30,18400,59.30
2014-02-11,52.75,58.70,52.75,57.65,22300,57.65
2014-02-10,56.60,57.95,56.40,56.65,19200,56.65
2014-02-07,57.80,59.20,55.25,58.80,22800,58.80
2014-02-06,62.00,62.00,56.80,58.05,27100,58.05
2014-02-05,61.40,61.95,61.00,61.25,14200,61.25
2014-02-04,62.25,62.25,61.45,61.95,7700,61.95
2014-02-03,63.85,64.00,62.25,62.55,13400,62.55
2014-01-31,65.00,65.90,63.55,64.75,16600,64.75
2014-01-30,60.10,65.50,60.10,65.20,14200,65.20
2014-01-29,63.00,65.35,62.50,63.65,34500,63.65
2014-01-28,62.35,63.00,62.30,62.80,3700,62.80
2014-01-27,62.00,63.50,62.00,62.55,10200,62.55
2014-01-24,64.90,64.90,63.80,64.25,9700,64.25
2014-01-23,61.50,65.10,61.50,64.80,51800,64.80
2014-01-22,63.10,66.25,57.00,64.50,182400,64.50
2014-01-21,62.70,63.30,62.25,63.00,5800,63.00
2014-01-20,63.00,63.95,61.00,62.20,15700,62.20
2014-01-17,62.00,66.45,58.15,61.00,80200,61.00
2014-01-16,56.10,62.85,56.05,62.85,20900,62.85
2014-01-15,59.95,59.95,56.00,57.15,15100,57.15
2014-01-14,61.10,61.70,59.30,59.75,24300,59.75
2014-01-13,62.20,62.20,61.10,61.10,9800,61.10
2014-01-10,61.10,62.35,61.10,61.95,6600,61.95
2014-01-09,62.00,62.50,61.25,61.60,3600,61.60
2014-01-08,62.70,62.80,61.50,61.65,1900,61.65
2014-01-07,63.05,64.60,62.40,62.90,4200,62.90
2014-01-06,63.10,64.00,62.10,62.50,4300,62.50
2014-01-03,63.15,63.60,63.10,63.15,4800,63.15
2014-01-02,63.20,64.90,63.10,63.45,6500,63.45
2014-01-01,63.40,64.10,63.20,63.45,6700,63.45
2013-12-31,61.10,64.50,61.10,63.25,3100,63.25
2013-12-30,63.25,63.95,63.10,63.10,3000,63.10
2013-12-27,63.60,64.00,63.10,63.45,3700,63.45
2013-12-26,62.40,65.00,62.15,63.45,5800,63.45
2013-12-25,63.00,63.00,63.00,63.00,000,63.00
2013-12-24,64.10,64.70,62.15,63.00,6000,63.00
2013-12-23,63.05,64.25,63.00,63.30,15700,63.30
2013-12-20,62.25,65.35,62.25,63.60,41400,63.60
2013-12-19,64.95,64.95,62.75,63.85,500,63.85
2013-12-18,62.55,63.50,62.55,63.00,9700,63.00
2013-12-17,62.15,64.35,62.15,63.30,17500,63.30
2013-12-16,63.00,65.00,63.00,63.35,5900,63.35
2013-12-13,65.05,68.50,63.75,64.30,24600,64.30
2013-12-12,64.15,68.00,64.15,65.70,8800,65.70
2013-12-11,64.50,65.00,64.05,64.80,6000,64.80
2013-12-10,65.85,66.50,64.25,64.80,13200,64.80
2013-12-09,67.00,67.00,64.90,65.85,7300,65.85
2013-12-06,66.55,68.80,66.05,67.10,14800,67.10
2013-12-05,68.75,69.00,67.00,67.25,12700,67.25
2013-12-04,68.05,69.35,67.50,68.95,10000,68.95
2013-12-03,67.00,69.50,67.00,68.90,10700,68.90
2013-12-02,68.25,70.00,67.00,67.80,10600,67.80
2013-11-29,68.95,70.40,68.00,68.25,73400,68.25
2013-11-28,66.75,68.00,64.70,67.45,5500,67.45
2013-11-27,65.50,66.75,64.75,66.00,4100,66.00
2013-11-26,68.05,68.90,65.25,65.35,34500,65.35
2013-11-25,62.55,67.85,62.55,67.85,11500,67.85
2013-11-22,67.00,67.65,63.50,64.65,15000,64.65
2013-11-21,63.90,66.00,62.00,65.95,34900,65.95
2013-11-20,60.00,62.90,59.70,62.90,25800,62.90
2013-11-19,58.50,60.00,58.50,59.95,6400,59.95
2013-11-18,58.30,60.00,58.25,59.00,6100,59.00
2013-11-15,58.95,58.95,58.95,58.95,000,58.95
2013-11-14,58.50,59.90,58.50,58.95,5600,58.95
2013-11-13,58.50,59.35,58.15,59.25,7400,59.25
2013-11-12,60.00,60.60,58.25,58.40,7000,58.40
2013-11-11,58.10,59.00,58.00,59.00,15500,59.00
2013-11-08,57.75,59.40,57.65,59.40,3200,59.40
2013-11-07,59.35,60.00,58.00,58.25,15100,58.25
2013-11-06,58.10,60.45,58.10,60.30,2600,60.30
2013-11-05,59.55,59.90,57.00,58.80,6600,58.80
2013-11-04,59.60,59.60,59.60,59.60,000,59.60
2013-11-01,60.60,61.80,59.10,59.60,8500,59.60
2013-10-31,63.05,63.05,60.00,61.40,18100,61.40
2013-10-30,58.00,60.75,58.00,60.05,44600,60.05
2013-10-29,57.00,58.05,56.00,57.90,12700,57.90
2013-10-28,55.00,57.00,55.00,56.85,19100,56.85
2013-10-25,54.00,55.30,53.30,54.75,9600,54.75
2013-10-24,53.95,54.05,53.60,53.90,5600,53.90
2013-10-23,55.50,55.80,54.00,54.35,12900,54.35
2013-10-22,54.00,56.95,54.00,55.30,40800,55.30
2013-10-21,52.55,54.45,52.55,54.25,13500,54.25
2013-10-18,52.05,53.00,52.05,53.00,12800,53.00
2013-10-17,52.50,53.10,52.10,52.90,13200,52.90
2013-10-16,52.40,52.40,52.40,52.40,000,52.40
2013-10-15,52.25,52.45,52.20,52.40,2700,52.40
2013-10-14,52.40,52.80,52.15,52.40,6000,52.40
2013-10-11,52.45,52.90,52.25,52.50,6900,52.50
2013-10-10,53.95,53.95,52.50,52.60,6100,52.60
2013-10-09,51.75,53.80,51.75,53.20,10200,53.20
2013-10-08,52.95,53.00,52.00,52.35,22300,52.35
2013-10-07,52.50,52.50,51.75,52.15,3200,52.15
2013-10-04,51.65,52.55,51.60,52.20,11300,52.20
2013-10-03,52.30,52.90,52.00,52.05,4100,52.05
2013-10-02,52.75,52.75,52.75,52.75,000,52.75
2013-10-01,52.50,53.25,52.50,52.75,5000,52.75
2013-09-30,52.35,54.50,52.05,53.55,42900,53.55
2013-09-27,52.00,52.75,51.50,52.50,9200,52.50
2013-09-26,52.00,52.55,51.50,51.85,7000,51.85
2013-09-25,52.50,52.90,51.35,51.85,19500,51.85
2013-09-24,52.00,53.05,50.55,52.05,50300,52.05
2013-09-23,49.10,50.55,49.10,50.55,21400,50.55
2013-09-20,47.55,48.70,47.30,48.15,35200,48.15
2013-09-19,52.35,52.35,48.10,49.05,33100,49.05
2013-09-18,49.90,49.90,49.90,49.90,20700,49.90
2013-09-17,47.55,47.55,47.55,47.55,9300,47.55
2013-09-16,46.75,47.45,45.00,45.30,2800,45.30
2013-09-13,46.95,47.35,45.15,45.35,5900,45.35
2013-09-12,47.65,48.50,46.65,46.80,10000,46.80
2013-09-11,49.00,49.00,46.50,48.50,9700,48.50
2013-09-10,45.15,49.60,45.15,48.90,13800,48.90
2013-09-09,47.25,47.25,47.25,47.25,000,47.25
2013-09-06,47.75,47.75,46.00,47.25,7800,47.25
2013-09-05,45.30,45.50,45.25,45.50,2100,45.50
2013-09-04,43.50,44.70,43.30,43.35,3000,43.35
2013-09-03,45.90,45.90,43.45,44.00,3300,44.00
2013-09-02,47.75,47.75,45.65,45.65,9800,45.65
2013-08-30,50.50,50.95,48.00,48.00,26600,48.00
2013-08-29,50.00,50.85,46.60,50.50,23100,50.50
2013-08-28,46.50,51.20,46.40,48.95,48800,48.95
2013-08-27,47.00,49.35,47.00,48.80,69200,48.80
2013-08-26,45.35,47.00,44.05,47.00,18900,47.00
2013-08-23,43.55,45.00,43.55,44.80,21900,44.80
2013-08-22,40.15,42.90,40.00,42.90,14500,42.90
2013-08-21,41.90,43.20,40.25,40.90,35900,40.90
2013-08-20,38.60,41.15,37.55,41.15,17100,41.15
2013-08-19,41.85,42.00,39.20,39.20,22100,39.20
2013-08-16,39.50,41.65,39.00,41.25,61000,41.25
2013-08-15,39.70,39.70,39.70,39.70,000,39.70
2013-08-14,37.85,39.70,37.85,39.70,6100,39.70
2013-08-13,36.45,37.85,36.45,37.85,9500,37.85
2013-08-12,36.00,36.05,34.55,36.05,6400,36.05
2013-08-09,34.35,34.35,34.35,34.35,000,34.35
2013-08-08,32.50,34.35,32.50,34.35,2100,34.35
2013-08-07,30.90,32.75,30.10,32.75,9400,32.75
2013-08-06,32.15,32.20,31.20,31.20,3300,31.20
2013-08-05,33.00,33.90,32.80,32.80,6300,32.80
2013-08-02,35.55,35.55,34.50,34.50,1500,34.50
2013-08-01,36.65,37.50,36.30,36.30,9400,36.30
2013-07-31,39.35,39.35,38.20,38.20,2500,38.20
2013-07-30,40.20,43.70,40.20,40.20,1500,40.20
