Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,373.95,384.90,370.25,383.45,613400,383.45
2015-07-16,369.80,373.85,368.00,371.50,327800,371.50
2015-07-15,371.90,373.75,365.10,367.05,351500,367.05
2015-07-14,374.00,375.75,368.00,369.90,344300,369.90
2015-07-13,369.70,375.50,366.55,372.60,459400,372.60
2015-07-10,368.95,372.90,363.50,367.55,381900,367.55
2015-07-09,364.20,372.20,362.40,366.10,463000,366.10
2015-07-08,363.00,366.00,353.95,361.20,624100,361.20
2015-07-07,361.90,373.50,360.30,366.80,584500,366.80
2015-07-06,355.25,361.45,351.85,360.00,353300,360.00
2015-07-03,365.00,368.20,359.10,360.85,264600,360.85
2015-07-02,365.50,372.45,362.55,364.15,404400,364.15
2015-07-01,362.00,368.00,361.75,364.30,285200,364.30
2015-06-30,357.00,363.00,356.00,362.15,371000,362.15
2015-06-29,361.00,361.50,352.10,355.75,579600,355.75
2015-06-26,363.95,378.50,354.60,370.80,963600,370.80
2015-06-25,358.90,366.00,357.30,365.15,268400,365.15
2015-06-24,369.00,369.00,358.50,361.35,259900,361.35
2015-06-23,366.90,370.80,362.25,366.55,375300,366.55
2015-06-22,355.90,368.85,354.25,365.60,442600,365.60
2015-06-19,356.00,356.95,348.00,353.00,352300,353.00
2015-06-18,349.10,353.30,349.00,353.30,455500,353.30
2015-06-17,351.70,355.75,346.10,348.50,879900,348.50
2015-06-16,352.50,352.50,341.55,349.50,419200,349.50
2015-06-15,347.65,354.90,344.80,352.30,419300,352.30
2015-06-12,344.00,349.90,341.60,347.70,379400,347.70
2015-06-11,363.90,367.00,342.15,344.35,542500,344.35
2015-06-10,357.45,364.90,356.20,362.80,261700,362.80
2015-06-09,351.05,360.90,351.00,357.50,372700,357.50
2015-06-08,364.00,365.75,350.05,351.05,941000,351.05
2015-06-05,361.10,369.75,357.00,363.45,379100,363.45
2015-06-04,367.00,367.55,352.20,360.55,562900,360.55
2015-06-03,384.00,385.70,335.50,363.55,936500,363.55
2015-06-02,400.00,400.60,381.50,384.10,433500,384.10
2015-06-01,405.00,407.00,396.80,397.80,601300,397.80
2015-05-29,388.00,399.75,387.40,395.15,454600,395.15
2015-05-28,392.80,393.85,385.85,387.50,257700,387.50
2015-05-27,386.00,393.50,384.65,392.65,271700,392.65
2015-05-26,392.10,394.50,386.60,388.65,245400,388.65
2015-05-25,396.80,399.80,390.40,392.60,253600,392.60
2015-05-22,404.50,407.35,396.55,398.15,365300,398.15
2015-05-21,408.50,410.00,401.50,404.00,231000,404.00
2015-05-20,410.00,415.20,405.80,408.05,283900,408.05
2015-05-19,403.70,412.30,400.70,409.85,393300,409.85
2015-05-18,397.00,403.90,395.60,403.25,284800,403.25
2015-05-15,404.00,406.55,391.80,394.10,781600,394.10
2015-05-14,390.80,403.00,386.35,401.25,499900,401.25
2015-05-13,386.10,394.50,382.05,391.45,515900,391.45
2015-05-12,400.00,400.00,381.10,383.30,402300,383.30
2015-05-11,395.50,402.90,393.30,399.05,368500,399.05
2015-05-08,387.00,396.50,385.70,392.00,397300,392.00
2015-05-07,394.70,394.70,379.60,383.40,412500,383.40
2015-05-06,419.00,419.95,389.60,391.65,703400,391.65
2015-05-05,417.00,424.70,414.35,418.80,464100,418.80
2015-05-04,407.00,416.00,405.90,414.00,320800,414.00
2015-05-01,403.90,403.90,403.90,403.90,000,403.90
2015-04-30,403.00,408.45,399.30,403.90,369700,403.90
2015-04-29,407.00,409.50,402.00,404.90,334700,404.90
2015-04-28,405.00,412.90,401.40,406.10,444200,406.10
2015-04-27,421.00,422.00,402.25,404.55,448800,404.55
2015-04-24,424.25,427.60,417.45,419.25,457000,419.25
2015-04-23,429.10,431.60,419.50,422.85,318900,422.85
2015-04-22,428.00,428.75,415.40,425.15,443900,425.15
2015-04-21,429.90,434.25,422.00,424.10,357600,424.10
2015-04-20,448.50,448.50,426.50,428.80,445200,428.80
