Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,394.00,403.10,388.50,394.70,103400,394.70
2015-07-16,391.90,395.00,389.40,391.65,76400,391.65
2015-07-15,392.00,398.00,385.95,389.45,71100,389.45
2015-07-14,390.70,400.65,388.45,390.20,92900,390.20
2015-07-13,389.70,394.50,385.05,389.05,87100,389.05
2015-07-10,391.00,392.70,386.00,387.30,120100,387.30
2015-07-09,387.00,394.00,382.30,387.10,166800,387.10
2015-07-08,390.50,393.60,380.05,383.25,215400,383.25
2015-07-07,383.90,411.00,383.90,394.70,290900,394.70
2015-07-06,370.00,385.00,365.00,382.10,86500,382.10
2015-07-03,380.00,384.20,375.10,376.90,81100,376.90
2015-07-02,380.00,387.45,378.90,380.20,113800,380.20
2015-07-01,373.50,383.65,373.50,377.70,114600,377.70
2015-06-30,367.70,375.90,366.75,371.70,101800,371.70
2015-06-29,371.00,376.00,364.15,367.85,72700,367.85
2015-06-26,370.05,390.95,367.15,382.80,203900,382.80
2015-06-25,368.10,375.90,366.10,371.20,70300,371.20
2015-06-24,381.50,384.25,366.15,369.90,56200,369.90
2015-06-23,376.80,392.90,372.25,379.95,155400,379.95
2015-06-22,372.90,385.00,367.20,374.50,130100,374.50
2015-06-19,375.50,380.00,368.55,371.95,136100,371.95
2015-06-18,367.75,373.05,363.65,373.05,280700,373.05
2015-06-17,331.00,384.00,328.30,365.90,430500,365.90
2015-06-16,332.10,332.10,324.00,327.30,23400,327.30
2015-06-15,330.00,335.30,330.00,331.75,31700,331.75
2015-06-12,327.00,340.60,327.00,330.35,55100,330.35
2015-06-11,343.10,344.95,328.05,329.85,42100,329.85
2015-06-10,339.90,347.75,339.90,341.70,46500,341.70
2015-06-09,340.20,342.90,336.00,338.30,58200,338.30
2015-06-08,349.70,351.00,339.30,342.00,26600,342.00
2015-06-05,345.00,356.80,343.50,348.45,51500,348.45
2015-06-04,353.00,353.60,341.95,345.85,40500,345.85
2015-06-03,367.65,368.10,337.65,350.05,74800,350.05
2015-06-02,376.00,378.80,367.10,368.05,48800,368.05
2015-06-01,375.70,379.50,373.00,374.10,35400,374.10
2015-05-29,373.25,377.50,372.05,374.20,36900,374.20
2015-05-28,375.75,375.95,371.65,372.00,43200,372.00
2015-05-27,372.70,376.45,370.00,373.50,56500,373.50
2015-05-26,377.75,379.00,372.70,374.20,18500,374.20
2015-05-25,383.90,384.50,376.45,378.80,44000,375.30
2015-05-22,388.40,391.00,381.35,382.70,40800,379.16
2015-05-21,392.80,394.80,385.10,386.15,40100,382.58
2015-05-20,390.80,394.40,387.35,391.30,63400,387.68
2015-05-19,384.00,393.00,383.05,387.35,73600,383.77
2015-05-18,383.00,387.00,382.10,384.15,64400,380.60
2015-05-15,382.10,391.50,379.85,383.45,67600,379.91
2015-05-14,374.20,384.35,374.20,380.55,65000,377.03
2015-05-13,374.90,381.45,373.00,378.90,73300,375.40
2015-05-12,384.95,384.95,372.00,373.85,58100,370.40
2015-05-11,385.35,388.30,383.00,385.15,54900,381.59
2015-05-08,377.00,383.55,377.00,380.10,41500,376.59
2015-05-07,381.00,381.10,369.20,373.50,70900,370.05
2015-05-06,396.00,398.35,380.10,381.45,126300,377.93
2015-05-05,393.45,404.00,384.20,396.90,132700,393.23
2015-05-04,383.00,396.00,383.00,394.05,77900,390.41
2015-05-01,380.90,380.90,380.90,380.90,000,377.38
2015-04-30,380.70,384.25,377.10,380.90,52100,377.38
2015-04-29,385.00,390.95,381.10,382.60,42200,379.06
2015-04-28,381.45,388.45,379.00,385.05,39100,381.49
2015-04-27,393.10,394.90,380.10,381.55,24400,378.02
2015-04-24,403.70,404.65,390.10,392.25,43800,388.63
2015-04-23,410.00,413.15,401.60,402.85,37100,399.13
2015-04-22,403.10,413.15,400.30,406.25,48200,402.50
2015-04-21,413.90,413.90,403.10,404.90,39100,401.16
2015-04-20,424.45,426.00,406.50,411.20,48700,407.40
2015-04-17,426.95,431.70,420.00,422.30,65500,418.40
2015-04-16,434.95,440.50,423.05,425.40,67500,421.47
2015-04-15,436.00,451.95,432.40,437.15,182400,433.11
2015-04-14,433.90,433.90,433.90,433.90,000,429.89
2015-04-13,434.80,440.50,431.05,433.90,74200,429.89
2015-04-10,424.50,442.30,423.95,433.30,195100,429.30
2015-04-09,423.70,433.10,418.25,423.00,105300,419.09
2015-04-08,419.00,429.30,416.55,420.30,106500,416.42
2015-04-07,408.00,425.80,402.40,418.60,173600,414.73
2015-04-06,402.00,411.80,399.00,406.60,83900,402.84
2015-04-03,401.85,401.85,401.85,401.85,000,398.14
2015-04-02,401.85,401.85,401.85,401.85,000,398.14
2015-04-01,397.90,407.00,394.40,401.85,78200,398.14
2015-03-31,393.45,417.90,387.20,398.10,167000,394.42
2015-03-30,382.00,393.00,382.00,389.90,43200,386.30
2015-03-27,389.10,391.90,372.65,378.45,57100,374.95
2015-03-26,393.90,394.00,385.05,386.05,37500,382.48
2015-03-25,402.70,404.90,392.15,394.00,33400,390.36
2015-03-24,405.00,408.50,395.90,400.25,43600,396.55
2015-03-23,414.70,414.85,401.65,403.50,44400,399.77
