Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.86,0.95,0.84,0.93,40300,0.93
2015-07-16,0.91,0.97,0.85,0.89,92000,0.89
2015-07-15,0.99,0.99,0.92,0.93,15500,0.93
2015-07-14,0.91,1.04,0.89,0.97,11700,0.97
2015-07-13,0.97,1.00,0.95,0.96,54900,0.96
2015-07-10,1.10,1.10,0.98,1.05,66700,1.05
2015-07-09,1.00,1.07,0.96,1.05,46900,1.05
2015-07-08,1.00,1.08,0.97,1.00,44100,1.00
2015-07-07,1.00,1.07,1.00,1.00,7900,1.00
2015-07-06,1.00,1.04,0.91,1.04,63600,1.04
2015-07-03,1.02,1.02,0.99,1.01,93800,1.01
2015-07-02,0.93,0.93,0.90,0.93,26400,0.93
2015-07-01,0.89,0.89,0.85,0.89,40400,0.89
2015-06-30,0.87,0.89,0.82,0.85,65900,0.85
2015-06-29,0.77,0.85,0.77,0.85,9000,0.85
2015-06-26,0.80,0.81,0.77,0.81,17700,0.81
2015-06-25,0.78,0.82,0.76,0.78,46200,0.78
2015-06-24,0.85,0.85,0.78,0.79,37400,0.79
2015-06-23,0.88,0.88,0.82,0.82,89900,0.82
2015-06-22,0.91,0.91,0.85,0.86,34400,0.86
2015-06-19,0.87,0.91,0.85,0.87,27000,0.87
2015-06-18,0.88,0.89,0.85,0.87,67000,0.87
2015-06-17,0.84,0.86,0.82,0.85,110200,0.85
2015-06-16,0.89,0.89,0.83,0.83,70700,0.83
2015-06-15,0.87,0.90,0.87,0.87,97200,0.87
2015-06-12,0.91,0.94,0.91,0.91,91200,0.91
2015-06-11,0.98,0.98,0.90,0.95,59400,0.95
2015-06-10,0.89,0.94,0.87,0.94,102900,0.94
2015-06-09,0.93,0.93,0.87,0.90,61600,0.90
2015-06-08,0.93,0.94,0.89,0.90,99000,0.90
2015-06-05,1.00,1.00,0.93,0.93,80100,0.93
2015-06-04,0.91,1.03,0.91,0.97,48800,0.97
2015-06-03,0.97,1.00,0.94,0.95,195400,0.95
2015-06-02,1.03,1.07,0.96,1.04,63000,1.04
2015-06-01,1.13,1.17,1.03,1.04,78200,1.04
2015-05-29,1.15,1.17,1.13,1.13,24600,1.13
2015-05-28,1.19,1.25,1.13,1.18,37000,1.18
2015-05-27,1.16,1.18,1.10,1.15,122100,1.15
2015-05-26,1.12,1.17,1.10,1.13,31300,1.13
2015-05-25,1.13,1.20,1.12,1.12,107200,1.12
2015-05-22,1.30,1.30,1.15,1.16,73000,1.16
2015-05-21,1.20,1.27,1.17,1.25,47600,1.25
2015-05-20,1.14,1.27,1.11,1.22,111300,1.22
2015-05-19,1.24,1.24,1.14,1.16,43600,1.16
2015-05-18,1.30,1.30,1.18,1.19,20900,1.19
2015-05-15,1.33,1.33,1.17,1.20,14400,1.20
2015-05-14,1.10,1.22,1.10,1.22,107800,1.22
2015-05-13,1.16,1.18,1.10,1.13,69000,1.13
2015-05-12,1.20,1.22,1.16,1.20,16500,1.20
