Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,166.50,167.80,162.39999,163.20,47800,163.20
2015-07-16,161.30,167.89999,158.39999,164.10001,84000,164.10001
2015-07-15,158.60001,162.70,155.39999,159.60001,89700,159.60001
2015-07-14,163.00,163.30,155.30,157.80,88700,157.80
2015-07-13,163.80,167.89999,160.50,161.50,109000,161.50
2015-07-10,153.60001,174.70,153.60001,160.80,481900,160.80
2015-07-09,197.20,205.89999,187.20,191.89999,82400,191.89999
2015-07-08,205.00,209.80,194.30,199.00,98200,199.00
2015-07-07,208.30,217.50,206.20,210.00,128400,210.00
2015-07-06,198.89999,210.89999,192.50,206.39999,158000,206.39999
2015-07-03,188.80,211.00,188.00,201.60001,448400,201.60001
2015-07-02,180.00,192.00,180.00,185.10001,102500,185.10001
2015-07-01,175.00,182.00,175.00,178.80,31800,177.55001
2015-06-30,168.00,178.80,167.50,176.20,55900,174.96818
2015-06-29,175.00,175.00,163.89999,170.10001,27700,168.91083
2015-06-26,179.70,182.00,175.89999,177.70,34000,176.45769
2015-06-25,181.30,185.10001,172.60001,177.60001,49800,176.3584
2015-06-24,178.50,192.39999,178.39999,181.10001,159300,179.83393
2015-06-23,160.00,175.60001,160.00,175.60001,213800,174.37238
2015-06-22,159.30,162.89999,153.10001,159.70,27700,158.58353
2015-06-19,162.00,163.00,158.50,159.20,18600,158.08703
2015-06-18,157.00,163.00,0.01,160.20,40900,159.08003
2015-06-17,156.00,160.50,154.20,155.70,30300,154.61149
2015-06-16,153.00,155.00,151.50,153.39999,12600,152.32757
2015-06-15,155.80,159.80,154.00,154.60001,18700,153.51919
2015-06-12,153.80,159.10001,153.80,155.50,13500,154.4129
2015-06-11,164.20,164.89999,155.00,155.60001,24200,154.5122
2015-06-10,156.30,166.50,153.00,161.89999,33300,160.76815
2015-06-09,160.00,160.39999,155.00,155.60001,14700,154.5122
2015-06-08,164.50,169.00,159.80,160.80,13200,159.67585
2015-06-05,162.00,171.70,159.50,164.39999,28400,163.25067
2015-06-04,164.00,164.20,160.50,161.89999,9200,160.76815
2015-06-03,165.60001,166.70,158.70,163.30,31100,162.15837
2015-06-02,170.70,171.00,166.00,167.00,10700,165.8325
2015-06-01,175.00,175.00,170.10001,170.60001,16900,169.40734
2015-05-29,168.00,174.80,167.39999,174.10001,48100,172.88287
2015-05-28,169.60001,169.60001,165.30,166.20,14100,165.03809
2015-05-27,168.89999,169.89999,167.00,168.10001,11600,166.92481
2015-05-26,169.00,170.50,167.00,168.70,11800,167.52061
2015-05-25,169.39999,170.70,167.00,168.50,9900,167.32201
2015-05-22,172.00,173.60001,166.39999,167.70,18900,166.5276
2015-05-21,174.10001,175.30,171.30,171.80,8800,170.59894
2015-05-20,176.00,177.50,171.00,172.89999,29500,171.69125
2015-05-19,180.00,180.10001,173.10001,174.00,42500,172.78356
2015-05-18,168.30,176.70,168.00,176.70,70000,175.46468
2015-05-15,170.00,171.89999,166.20,168.30,17000,167.12341
2015-05-14,163.00,171.80,162.00,170.00,37500,168.81153
2015-05-13,166.50,172.00,165.00,166.70,34600,165.53459
2015-05-12,172.00,172.00,166.10001,166.80,21600,165.6339
2015-05-11,170.00,176.20,169.00,173.10001,54700,171.88986
2015-05-08,170.00,172.00,166.00,167.89999,25600,166.7262
2015-05-07,169.50,171.80,164.10001,166.00,41600,164.83949
2015-05-06,178.00,179.00,169.20,170.30,53000,169.10943
2015-05-05,182.00,182.50,177.00,177.50,51100,176.25909
2015-05-04,172.00,177.00,171.10001,177.00,131500,175.76259
2015-05-01,168.60001,168.60001,168.60001,168.60001,000,167.42132
2015-04-30,171.20,171.60001,167.00,168.60001,34000,167.42132
2015-04-29,171.39999,176.50,168.00,170.30,78100,169.10943
2015-04-28,168.50,177.50,161.30,170.80,78500,169.60594
2015-04-27,180.00,180.30,169.10001,169.10001,42300,167.91782
2015-04-24,187.80,188.00,177.80,178.00,43600,176.7556
2015-04-23,186.00,191.70,185.60001,187.10001,70700,185.79198
2015-04-22,192.80,193.10001,181.50,183.70,76800,182.41574
2015-04-21,182.80,189.39999,177.00,187.80,143600,186.48709
2015-04-20,197.00,197.30,180.10001,180.39999,176500,179.13881
2015-04-17,222.00,228.89999,197.10001,200.10001,190600,198.7011
2015-04-16,226.80,228.39999,212.89999,218.89999,88700,217.36966
2015-04-15,238.00,240.70,223.60001,225.80,88200,224.22143
2015-04-14,236.30,236.30,236.30,236.30,000,234.64802
2015-04-13,235.00,241.50,235.00,236.30,84800,234.64802
2015-04-10,231.39999,242.80,229.60001,234.10001,123800,232.46341
2015-04-09,232.89999,238.70,229.20,231.10001,115800,229.48438
2015-04-08,222.00,236.89999,218.80,230.89999,228700,229.28577
2015-04-07,230.60001,231.50,217.39999,221.80,201400,220.24939
2015-04-06,207.00,238.00,200.00,229.00,646700,227.39905
2015-04-03,200.80,200.80,200.80,200.80,000,199.3962
2015-04-02,200.80,200.80,200.80,200.80,000,199.3962
2015-04-01,172.89999,205.00,171.39999,200.80,390900,199.3962
2015-03-31,171.80,175.00,169.70,170.89999,78400,169.70523
2015-03-30,168.10001,173.80,167.70,170.10001,82100,168.91083
2015-03-27,161.20,170.89999,156.89999,163.70,140700,162.55557
2015-03-26,174.60001,174.60001,154.89999,159.20,262200,158.08703
2015-03-25,186.10001,188.00,172.00,174.60001,106800,173.37937
2015-03-24,191.25,194.30,185.00,186.00,52900,184.69967
2015-03-23,202.00,203.10001,186.80,190.10001,69500,188.77101
2015-03-20,207.70,210.00,199.10001,200.60001,69200,199.19761
2015-03-19,203.30,207.80,203.20,204.20,36800,202.77243
2015-03-18,201.75,205.80,198.50,202.00,53500,200.58781
2015-03-17,204.10001,207.50,201.89999,202.50,47300,201.08432
