Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,305.00,306.40,295.00,299.00,18000,299.00
2015-07-16,302.00,319.90,295.00,300.50,19500,300.50
2015-07-15,299.40,304.90,295.30,296.20,14500,296.20
2015-07-14,298.00,304.00,296.30,296.90,14600,296.90
2015-07-13,293.00,306.00,293.00,294.40,15000,294.40
2015-07-10,292.00,295.50,285.00,290.00,14100,290.00
2015-07-09,292.00,296.00,284.80,285.00,16700,285.00
2015-07-08,292.80,294.90,282.50,284.80,15300,284.80
2015-07-07,289.00,294.90,282.10,289.40,17800,289.40
2015-07-06,289.90,290.00,280.00,286.10,15000,286.10
2015-07-03,280.00,300.00,280.00,284.00,22700,284.00
2015-07-02,258.00,285.40,258.00,280.00,22900,280.00
2015-07-01,251.90,261.00,250.70,261.00,18000,261.00
2015-06-30,253.00,254.40,246.00,249.80,15400,249.80
2015-06-29,254.90,255.00,246.80,250.80,15100,250.80
2015-06-26,256.00,257.00,252.10,253.50,13800,253.50
2015-06-25,253.00,257.70,252.10,254.10,14600,254.10
2015-06-24,251.10,254.70,251.00,254.70,15900,254.70
2015-06-23,250.70,253.40,247.00,249.10,17600,249.10
2015-06-22,251.50,254.70,247.00,253.50,14400,253.50
2015-06-19,253.00,256.00,248.00,252.00,14800,252.00
2015-06-18,252.00,254.70,249.80,252.00,16100,252.00
2015-06-17,252.00,255.90,248.00,249.30,14400,249.30
2015-06-16,252.00,254.40,247.00,249.00,14200,249.00
2015-06-15,248.00,251.20,245.00,248.10,15500,248.10
2015-06-12,253.00,255.00,248.40,249.10,16100,249.10
2015-06-11,253.00,255.00,249.00,250.60,16000,250.60
2015-06-10,252.00,254.90,250.00,252.00,15100,252.00
2015-06-09,251.50,254.80,238.60,251.80,18100,251.80
2015-06-08,253.00,255.00,242.90,255.00,16200,255.00
2015-06-05,242.90,252.10,238.00,250.00,15700,250.00
2015-06-04,240.00,252.00,232.50,240.80,16600,240.80
2015-06-03,253.00,255.00,238.00,242.00,17000,242.00
2015-06-02,253.00,255.00,247.80,248.90,17500,248.90
2015-06-01,249.00,252.50,244.90,252.30,14500,252.30
2015-05-29,252.10,255.00,245.00,251.00,15400,251.00
2015-05-28,252.50,254.20,251.10,251.50,17100,251.50
2015-05-27,252.50,257.50,251.10,252.00,14700,252.00
2015-05-26,255.00,255.00,251.50,252.00,15100,252.00
2015-05-25,253.00,255.90,250.50,252.20,15000,252.20
2015-05-22,252.00,253.90,249.00,250.80,16700,250.80
2015-05-21,253.00,256.00,250.00,251.50,16300,251.50
2015-05-20,249.50,256.40,249.00,251.90,14700,251.90
2015-05-19,249.90,253.00,248.50,251.30,16600,251.30
2015-05-18,248.00,256.00,248.00,248.80,15800,248.80
2015-05-15,254.00,256.00,248.10,251.20,28600,251.20
2015-05-14,255.00,256.90,250.00,253.00,16800,253.00
2015-05-13,255.20,258.80,248.00,249.50,23300,249.50
2015-05-12,251.00,260.00,251.00,257.50,27500,257.50
2015-05-11,259.00,261.40,250.00,252.30,17800,252.30
2015-05-08,260.00,261.20,250.50,256.50,33500,256.50
2015-05-07,257.00,259.90,248.50,249.10,17100,249.10
2015-05-06,266.00,284.00,253.00,257.40,40100,257.40
2015-05-05,248.50,262.10,246.90,254.40,26500,254.40
2015-05-04,247.20,251.90,246.90,248.10,22700,248.10
2015-05-01,247.00,247.00,247.00,247.00,000,247.00
2015-04-30,247.00,247.90,244.80,247.00,29100,247.00
2015-04-29,247.20,247.90,240.00,247.50,40000,247.50
2015-04-28,245.00,248.00,244.10,247.20,40600,247.20
2015-04-27,244.20,248.80,239.00,243.60,14900,243.60
2015-04-24,246.00,248.90,236.00,239.90,16100,239.90
2015-04-23,245.10,248.40,244.40,244.80,13300,244.80
2015-04-22,248.90,249.00,242.00,247.30,14500,247.30
2015-04-21,245.90,250.00,242.10,247.70,16500,247.70
2015-04-20,247.00,249.90,243.50,248.00,14200,248.00
2015-04-17,249.00,249.50,243.00,244.80,15000,244.80
2015-04-16,247.10,251.40,243.20,244.70,16500,244.70
2015-04-15,249.00,254.80,242.90,251.70,17700,251.70
2015-04-14,247.50,247.50,247.50,247.50,000,247.50
2015-04-13,250.00,254.90,246.80,247.50,15700,247.50
2015-04-10,245.00,249.20,243.00,247.20,14700,247.20
2015-04-09,247.00,250.10,239.50,246.70,15100,246.70
