Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,317.10,322.00,312.00,315.60,14800,315.60
2015-07-16,319.50,320.95,314.50,319.25,17000,319.25
2015-07-15,306.00,317.95,306.00,315.10,35300,315.10
2015-07-14,300.00,311.60,298.10,304.10,25800,304.10
2015-07-13,294.35,299.90,292.85,297.95,15500,297.95
2015-07-10,299.45,301.15,293.00,294.15,8600,294.15
2015-07-09,302.00,302.00,294.50,298.85,11200,298.85
2015-07-08,294.40,300.00,292.00,294.05,11400,294.05
2015-07-07,298.90,304.00,296.00,296.90,18600,296.90
2015-07-06,284.65,299.00,284.65,296.80,16400,296.80
2015-07-03,299.70,302.65,290.00,291.65,112000,291.65
2015-07-02,302.00,308.70,294.90,296.80,34900,296.80
2015-07-01,291.50,313.00,290.75,300.35,64400,300.35
2015-06-30,293.00,294.10,286.15,291.15,17200,291.15
2015-06-29,280.00,294.80,280.00,292.00,24500,292.00
2015-06-26,295.85,298.00,291.00,291.70,18500,291.70
2015-06-25,296.00,302.00,293.45,298.10,27800,298.10
2015-06-24,294.10,299.50,293.00,296.85,37100,296.85
2015-06-23,290.50,299.80,287.05,296.55,35700,296.55
2015-06-22,278.15,288.05,277.00,287.25,18400,287.25
2015-06-19,284.30,284.30,272.00,274.95,17700,274.95
2015-06-18,286.00,286.60,278.00,280.15,12300,280.15
2015-06-17,281.75,286.55,281.35,285.00,21600,285.00
2015-06-16,283.00,283.00,276.00,279.25,10600,279.25
2015-06-15,283.50,290.30,277.50,280.45,39000,280.45
2015-06-12,297.00,298.90,279.00,283.70,47000,283.70
2015-06-11,295.30,300.00,292.00,294.80,28100,294.80
2015-06-10,295.10,300.35,290.10,293.90,31100,293.90
2015-06-09,295.25,304.80,291.00,292.15,226800,292.15
2015-06-08,300.00,301.00,292.90,298.15,9600,298.15
2015-06-05,288.00,298.90,282.65,297.30,22700,297.30
2015-06-04,290.90,297.40,276.30,288.05,33500,288.05
2015-06-03,288.40,289.40,282.55,288.65,16800,288.65
2015-06-02,289.15,293.00,286.00,286.85,20600,286.85
2015-06-01,289.25,296.25,284.00,286.55,43700,286.55
2015-05-29,285.80,289.00,284.50,288.00,656900,288.00
2015-05-28,287.40,291.00,286.45,287.20,6100,287.20
2015-05-27,283.90,289.60,281.45,286.95,22100,286.95
2015-05-26,283.50,291.00,283.50,286.55,18900,286.55
2015-05-25,284.25,284.90,275.65,281.10,11500,281.10
2015-05-22,285.50,289.05,283.00,284.45,21100,284.45
2015-05-21,293.00,295.60,283.20,285.35,37100,285.35
2015-05-20,293.00,298.50,289.00,292.25,201700,292.25
2015-05-19,298.05,302.60,289.00,291.00,15700,291.00
2015-05-18,300.00,304.00,296.00,300.00,19800,300.00
2015-05-15,295.30,306.50,294.75,298.45,51100,298.45
2015-05-14,295.95,302.50,290.50,292.95,90200,292.95
2015-05-13,294.80,297.15,290.20,294.15,371300,294.15
2015-05-12,290.00,301.00,282.10,292.00,57400,292.00
2015-05-11,283.85,292.10,282.00,291.05,22400,291.05
2015-05-08,282.00,287.00,276.10,282.05,20000,282.05
2015-05-07,288.10,290.00,265.05,276.65,50900,276.65
2015-05-06,283.50,295.90,276.25,291.00,48500,291.00
2015-05-05,303.75,303.75,277.00,285.50,43300,285.50
2015-05-04,293.05,307.00,290.05,303.25,25000,303.25
2015-05-01,298.00,298.00,298.00,298.00,000,298.00
2015-04-30,304.30,314.00,294.45,298.00,29200,298.00
2015-04-29,304.45,312.40,302.25,310.75,27000,310.75
2015-04-28,284.50,303.80,273.00,296.10,27800,296.10
2015-04-27,306.00,307.20,281.70,283.95,52200,283.95
2015-04-24,331.00,335.40,299.80,307.75,74400,307.75
2015-04-23,353.00,353.00,327.10,331.85,31500,331.85
2015-04-22,349.75,356.60,345.00,348.80,13700,348.80
2015-04-21,340.00,352.00,340.00,348.75,14900,348.75
2015-04-20,352.15,352.70,339.60,344.40,15100,344.40
2015-04-17,347.10,357.20,347.10,349.60,13500,349.60
2015-04-16,363.65,371.60,345.00,346.95,48500,346.95
2015-04-15,359.90,372.25,349.00,360.95,78100,360.95
2015-04-14,354.50,354.50,354.50,354.50,000,354.50
2015-04-13,358.20,363.70,353.35,354.50,21400,354.50
2015-04-10,357.75,363.90,354.00,358.10,12000,358.10
2015-04-09,353.55,359.00,349.25,356.15,24600,356.15
2015-04-08,356.00,360.00,352.10,354.65,20700,354.65
2015-04-07,368.00,368.00,353.00,354.45,22200,354.45
2015-04-06,348.00,360.00,344.60,351.40,19300,351.40
2015-04-03,347.25,347.25,347.25,347.25,000,347.25
2015-04-02,347.25,347.25,347.25,347.25,000,347.25
2015-04-01,330.00,352.00,329.00,347.25,25000,347.25
2015-03-31,350.80,360.00,330.00,338.60,29100,338.60
2015-03-30,344.30,357.00,340.10,352.55,19800,352.55
2015-03-27,335.70,347.50,329.50,341.25,19200,341.25
2015-03-26,341.95,341.95,324.50,330.35,14800,330.35
2015-03-25,347.40,354.20,339.00,341.35,11500,341.35
2015-03-24,344.35,353.35,335.00,343.60,15500,343.60
2015-03-23,351.00,353.35,332.60,343.15,28100,343.15
2015-03-20,363.10,364.35,348.00,354.00,10600,354.00
2015-03-19,369.70,373.70,361.00,364.25,10000,364.25
2015-03-18,368.00,371.40,361.90,365.05,15200,365.05
2015-03-17,365.50,380.50,365.50,371.65,24700,371.65
2015-03-16,369.95,370.00,362.55,365.10,14500,365.10
2015-03-13,371.15,385.00,363.60,369.60,88800,369.60
2015-03-12,350.55,381.65,350.55,365.65,135300,365.65
2015-03-11,351.00,356.00,336.45,346.60,34800,346.60
2015-03-10,359.70,366.70,346.85,349.65,20400,349.65
2015-03-09,355.00,374.20,347.70,358.10,45400,358.10
2015-03-06,357.00,357.00,357.00,357.00,000,357.00
2015-03-05,335.30,361.45,333.30,357.00,61300,357.00
2015-03-04,335.00,347.30,331.50,336.50,42900,336.50
2015-03-03,342.00,342.00,330.00,332.45,37300,332.45
2015-03-02,324.90,352.70,324.90,340.30,133700,340.30
2015-02-27,308.00,319.50,305.00,316.20,72300,316.20
2015-02-26,317.10,317.10,303.70,306.60,12000,306.60
2015-02-25,308.80,314.00,303.25,311.90,28900,311.90
2015-02-24,309.00,315.95,300.80,306.35,42000,306.35
2015-02-23,314.80,321.00,304.05,308.85,21500,308.85
2015-02-20,314.15,318.90,309.20,310.55,13700,310.55
2015-02-19,309.40,318.05,308.10,312.10,18300,312.10
2015-02-18,316.90,317.40,304.50,308.55,29500,308.55
2015-02-17,316.35,316.35,316.35,316.35,000,316.35
2015-02-16,317.20,325.00,310.10,316.35,39700,316.35
2015-02-13,323.95,341.00,307.15,319.35,163200,319.35
2015-02-12,301.75,330.00,301.70,318.65,172600,318.65
2015-02-11,311.70,313.15,296.85,298.55,18900,298.55
2015-02-10,305.50,319.90,305.50,313.05,68600,313.05
2015-02-09,285.50,326.00,282.75,305.35,150800,305.35
2015-02-06,279.15,306.00,274.30,296.00,33100,296.00
2015-02-05,282.65,283.70,276.00,277.60,4000,277.60
2015-02-04,291.00,292.15,281.00,282.65,11600,282.65
2015-02-03,284.40,293.00,282.00,291.20,31400,291.20
2015-02-02,284.75,289.00,281.00,283.10,20500,283.10
2015-01-30,275.75,286.50,274.70,284.40,232700,284.40
2015-01-29,271.40,292.00,270.35,278.65,82500,278.65
2015-01-28,264.90,273.85,264.00,270.85,25700,270.85
2015-01-27,260.35,263.60,253.50,260.05,115700,260.05
2015-01-26,260.20,260.20,260.20,260.20,000,260.20
2015-01-23,266.00,268.00,258.80,260.20,10700,260.20
2015-01-22,257.35,268.00,256.70,266.85,27700,266.85
2015-01-21,260.00,260.00,255.00,255.20,6700,255.20
2015-01-20,260.10,260.95,253.00,258.35,13300,258.35
2015-01-19,259.80,260.95,254.65,257.95,25900,257.95
2015-01-16,254.00,260.70,250.80,258.85,225000,258.85
2015-01-15,244.90,257.00,244.30,255.85,28400,255.85
2015-01-14,251.60,260.40,240.65,242.35,40000,242.35
2015-01-13,252.00,252.45,247.00,250.40,6600,250.40
2015-01-12,260.00,260.00,249.15,250.35,18500,250.35
2015-01-09,254.00,254.75,249.50,252.00,4500,252.00
2015-01-08,252.10,255.25,252.00,253.35,12200,253.35
2015-01-07,256.00,259.40,248.80,251.55,33000,251.55
2015-01-06,257.35,261.35,253.00,258.00,13500,258.00
2015-01-05,261.85,262.50,258.10,259.65,11900,259.65
