Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,57.90,58.90,57.55,58.20,420900,58.20
2015-07-16,58.20,58.25,57.45,57.75,317700,57.75
2015-07-15,58.50,58.80,57.35,57.65,309200,57.65
2015-07-14,58.85,59.30,57.90,58.05,303700,58.05
2015-07-13,59.50,59.80,57.15,58.45,454300,58.45
2015-07-10,60.50,60.50,59.00,59.20,400900,59.20
2015-07-09,60.20,60.60,59.40,59.75,299800,59.75
2015-07-08,63.50,63.50,59.00,59.40,954200,59.40
2015-07-07,64.30,64.40,62.65,63.25,165200,63.25
2015-07-06,62.55,64.25,61.35,63.85,235700,63.85
2015-07-03,63.30,64.95,62.70,63.15,177500,63.15
2015-07-02,65.00,65.20,63.90,64.60,158600,64.60
2015-07-01,62.40,65.30,61.45,64.35,441800,64.35
2015-06-30,60.30,62.50,59.95,61.30,328400,61.30
2015-06-29,62.00,62.00,59.60,60.20,308700,60.20
2015-06-26,62.00,62.50,61.25,62.25,138500,62.25
2015-06-25,61.90,63.00,60.75,62.55,192100,62.55
2015-06-24,62.80,63.30,61.50,61.80,114500,61.80
2015-06-23,62.50,63.55,62.30,62.85,128400,62.85
2015-06-22,61.90,62.95,60.75,62.55,301100,62.55
2015-06-19,61.50,62.10,60.35,60.55,179000,60.55
2015-06-18,61.70,61.70,60.70,61.00,176400,61.00
2015-06-17,60.50,62.85,59.85,61.15,378900,61.15
2015-06-16,59.20,60.25,59.15,60.05,138200,60.05
2015-06-15,61.90,61.90,59.20,59.35,238000,59.35
2015-06-12,60.70,60.90,59.35,60.30,200500,60.30
2015-06-11,62.85,63.20,60.60,60.90,242200,60.90
2015-06-10,63.00,63.25,62.50,62.85,176800,62.85
2015-06-09,62.15,63.25,62.15,62.50,202400,62.50
2015-06-08,64.45,65.00,62.10,62.65,236700,62.65
2015-06-05,61.85,64.55,60.60,63.55,289100,63.55
2015-06-04,65.85,65.85,61.40,62.25,389000,62.25
2015-06-03,65.80,66.40,64.20,64.85,321900,64.85
2015-06-02,66.80,67.20,65.25,65.70,230900,65.70
2015-06-01,66.00,66.65,65.25,66.15,174100,66.15
2015-05-29,66.20,66.35,65.20,65.90,226900,65.90
2015-05-28,66.15,67.10,65.65,65.90,188600,65.90
2015-05-27,66.00,66.45,65.15,66.15,176200,66.15
2015-05-26,65.85,66.20,65.25,66.10,113500,66.10
2015-05-25,66.80,66.80,65.50,65.75,152600,65.75
2015-05-22,66.35,66.70,66.00,66.15,160200,66.15
2015-05-21,66.90,67.00,65.70,66.30,158600,66.30
2015-05-20,67.40,67.55,66.80,67.00,212800,67.00
2015-05-19,67.40,67.90,66.95,67.20,152400,67.20
2015-05-18,67.85,67.85,67.00,67.25,156100,67.25
2015-05-15,67.05,67.50,66.80,67.05,161400,67.05
2015-05-14,67.10,67.80,66.75,66.95,229700,66.95
2015-05-13,67.50,68.20,66.40,66.95,263300,66.95
2015-05-12,69.10,70.00,66.90,67.05,311200,67.05
2015-05-11,69.90,70.25,68.60,68.90,330300,68.90
2015-05-08,68.00,68.80,67.20,67.50,276000,67.50
2015-05-07,71.85,71.85,66.65,67.15,434300,67.15
2015-05-06,73.75,73.75,70.00,70.30,306000,70.30
2015-05-05,72.05,73.70,71.60,73.45,299100,73.45
2015-05-04,70.00,72.30,69.60,71.50,305700,71.50
2015-05-01,69.55,69.55,69.55,69.55,000,69.55
2015-04-30,73.55,73.55,69.10,69.55,640300,69.55
2015-04-29,73.05,74.85,73.05,73.75,195400,73.75
2015-04-28,74.00,74.85,73.30,73.80,151700,73.80
2015-04-27,74.00,76.10,73.10,74.00,365500,74.00
2015-04-24,74.50,74.70,73.00,73.95,264200,73.95
2015-04-23,72.75,75.55,72.60,74.10,398700,74.10
2015-04-22,73.80,74.95,71.55,72.65,273200,72.65
2015-04-21,74.00,75.15,73.35,74.00,188900,74.00
2015-04-20,77.65,77.90,72.70,73.70,350900,73.70
2015-04-17,75.80,78.95,74.75,77.20,532700,77.20
2015-04-16,75.00,76.20,73.90,75.60,229800,75.60
2015-04-15,75.90,76.80,74.10,75.05,203300,75.05
2015-04-14,75.90,75.90,75.90,75.90,000,75.90
2015-04-13,75.10,76.45,74.95,75.90,244300,75.90
2015-04-10,74.00,75.55,72.70,75.10,383200,75.10
2015-04-09,72.50,74.15,71.10,73.55,551300,73.55
2015-04-08,73.00,73.15,71.55,72.35,407600,72.35
2015-04-07,70.00,73.35,69.00,72.75,658300,72.75
2015-04-06,70.95,70.95,69.35,69.55,386600,69.55
2015-04-03,70.60,70.60,70.60,70.60,000,70.60
2015-04-02,70.60,70.60,70.60,70.60,000,70.60
2015-04-01,66.80,71.35,66.70,70.60,529700,70.60
2015-03-31,69.00,69.05,67.50,68.35,630300,68.35
2015-03-30,68.90,69.15,67.85,69.00,201400,69.00
2015-03-27,70.65,70.65,67.75,69.05,347600,69.05
2015-03-26,69.90,71.00,69.35,70.65,325100,70.65
2015-03-25,70.00,70.45,69.00,70.05,688400,70.05
2015-03-24,69.45,70.20,68.60,69.70,436200,69.70
2015-03-23,69.45,70.25,67.90,69.85,346500,69.85
2015-03-20,67.80,69.50,67.75,68.95,1022600,68.95
2015-03-19,69.25,69.25,67.70,68.10,682500,68.10
2015-03-18,68.95,68.95,67.60,68.15,298300,68.15
2015-03-17,67.75,68.90,67.25,68.80,512200,68.80
2015-03-16,67.90,68.05,66.40,67.55,226400,67.55
2015-03-13,69.00,69.25,67.30,68.05,471700,68.05
2015-03-12,67.50,69.05,66.95,68.60,525000,68.60
2015-03-11,67.05,67.20,65.50,66.10,293400,66.10
2015-03-10,65.70,67.60,65.55,67.00,361500,67.00
2015-03-09,66.40,67.15,65.50,65.75,292600,65.75
2015-03-06,66.75,66.75,66.75,66.75,000,66.75
2015-03-05,68.50,68.50,66.50,66.75,370700,66.75
2015-03-04,70.20,70.40,67.50,67.90,507500,67.90
2015-03-03,69.85,70.75,69.25,69.65,263800,69.65
2015-03-02,70.70,71.80,69.35,69.80,425100,69.80
2015-02-27,68.25,70.70,68.15,70.30,344400,70.30
2015-02-26,70.55,70.55,67.50,67.75,576800,67.75
2015-02-25,71.00,71.60,69.90,70.00,294400,70.00
2015-02-24,74.00,74.00,70.50,70.75,359500,70.75
2015-02-23,75.00,75.00,73.30,73.65,166400,73.65
2015-02-20,75.40,75.50,74.10,74.40,297500,74.40
2015-02-19,73.00,75.30,72.90,74.75,524200,74.75
2015-02-18,74.35,74.35,72.50,72.75,326900,72.75
2015-02-17,74.90,74.90,74.90,74.90,000,73.15
2015-02-16,74.90,76.15,74.30,74.90,400700,73.15
2015-02-13,73.50,77.15,73.20,75.25,1032700,73.49
2015-02-12,74.00,74.00,72.40,73.45,247300,71.73
2015-02-11,70.00,73.80,70.00,73.20,459000,71.49
2015-02-10,72.30,72.30,69.05,69.70,318500,68.07
2015-02-09,74.00,74.00,70.50,70.85,327200,69.19
2015-02-06,74.00,74.25,72.65,73.50,188700,71.78
2015-02-05,74.10,75.45,73.30,73.85,220100,72.12
2015-02-04,73.70,74.70,73.65,74.05,366400,72.32
2015-02-03,76.00,76.00,73.30,73.60,503400,71.88
2015-02-02,77.50,77.50,75.05,75.50,405600,73.74
2015-01-30,79.35,79.35,76.85,77.35,277500,75.54
2015-01-29,78.00,79.50,77.40,78.60,249600,76.76
2015-01-28,78.50,79.50,77.80,77.90,288700,76.08
2015-01-27,78.50,79.45,77.50,78.90,268500,77.06
2015-01-26,78.15,78.15,78.15,78.15,000,76.32
2015-01-23,78.95,78.95,77.00,78.15,226400,76.32
2015-01-22,77.05,78.05,77.05,77.85,250900,76.03
2015-01-21,78.50,78.50,76.55,76.90,357500,75.10
2015-01-20,77.00,78.50,77.00,77.85,279200,76.03
2015-01-19,78.50,78.50,76.20,76.90,229900,75.10
2015-01-16,77.20,77.80,76.35,77.00,226400,75.20
2015-01-15,77.45,78.45,76.90,77.45,406800,75.64
2015-01-14,79.00,79.00,76.00,77.25,372300,75.45
2015-01-13,80.20,80.20,77.55,78.00,355100,76.18
2015-01-12,78.65,80.65,77.10,80.15,402400,78.28
2015-01-09,80.00,80.65,78.00,78.70,275000,76.86
2015-01-08,78.30,79.60,78.30,79.15,256200,77.30
2015-01-07,78.60,79.15,76.70,78.00,342600,76.18
2015-01-06,82.10,82.35,78.00,78.55,514100,76.71
2015-01-05,82.80,84.15,82.30,82.60,280900,80.67
2015-01-02,82.95,83.70,82.40,82.80,251100,80.87
2015-01-01,82.65,83.40,82.00,82.65,218800,80.72
2014-12-31,82.10,83.25,82.10,82.65,161200,80.72
2014-12-30,82.25,83.40,81.90,82.25,261300,80.33
2014-12-29,80.50,84.25,80.50,82.90,579400,80.96
2014-12-26,82.00,82.00,79.90,80.75,304600,78.86
2014-12-25,81.90,81.90,81.90,81.90,000,79.99
2014-12-24,81.90,82.40,81.10,81.90,244900,79.99
2014-12-23,81.50,83.00,81.05,82.15,350200,80.23
2014-12-22,82.15,82.70,81.05,82.35,322400,80.43
2014-12-19,80.30,83.25,79.45,81.95,789100,80.04
2014-12-18,77.00,80.30,77.00,79.20,388400,77.35
2014-12-17,77.50,79.00,75.15,75.85,385600,74.08
2014-12-16,77.50,77.90,75.45,77.25,715400,75.45
2014-12-15,78.60,79.15,77.45,78.05,419200,76.23
2014-12-12,78.60,80.40,78.15,78.70,769900,76.86
2014-12-11,79.60,80.25,78.50,79.35,501300,77.50
2014-12-10,79.30,80.45,78.90,79.75,906800,77.89
2014-12-09,82.30,82.30,79.25,79.45,971000,77.59
2014-12-08,82.10,82.95,82.00,82.30,4408500,80.38
2014-12-05,83.85,84.70,82.20,82.80,2746800,80.87
2014-12-04,84.00,86.80,82.90,85.35,1849600,83.36
2014-12-03,89.40,89.45,85.05,85.65,837500,83.65
2014-12-02,87.00,90.50,85.50,89.85,1229700,87.75
2014-12-01,89.30,90.45,86.90,87.85,441800,85.80
