Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,61.95,61.95,58.25,58.75,4500,58.75
2015-07-16,62.00,64.40,60.00,60.00,11800,60.00
2015-07-15,58.80,64.90,58.05,58.60,23300,58.60
2015-07-14,57.50,59.45,57.50,57.65,200,57.65
2015-07-13,57.00,57.40,53.40,56.95,24200,56.95
2015-07-10,55.25,56.90,55.00,55.05,14100,55.05
2015-07-09,56.95,56.95,55.00,55.40,2200,55.40
2015-07-08,55.00,56.75,55.00,56.50,400,56.50
2015-07-07,57.95,59.30,56.05,57.50,2700,57.50
2015-07-06,58.00,59.25,56.20,57.95,16900,57.95
2015-07-03,60.00,63.40,58.00,59.45,28300,59.45
2015-07-02,57.00,59.50,52.00,58.05,30800,58.05
2015-07-01,50.00,59.85,50.00,56.00,32300,56.00
2015-06-30,50.00,50.00,49.90,49.90,100,49.90
2015-06-29,50.00,50.00,48.50,48.50,300,48.50
2015-06-26,51.90,52.30,50.45,50.75,3500,50.75
2015-06-25,49.80,57.70,49.80,53.10,11000,53.10
2015-06-24,44.95,50.00,44.95,48.10,6800,48.10
2015-06-23,43.05,44.15,42.65,42.95,900,42.95
2015-06-22,45.00,45.25,43.80,44.00,300,44.00
2015-06-19,44.80,46.45,44.80,45.10,800,45.10
2015-06-18,45.75,46.00,44.70,45.05,2100,45.05
2015-06-17,45.15,52.00,45.00,47.55,300,47.55
2015-06-16,50.10,50.10,45.10,45.20,700,45.20
2015-06-15,46.10,52.35,45.65,51.90,3100,51.90
2015-06-12,54.90,54.90,47.00,49.95,000,49.95
2015-06-11,49.70,50.90,45.20,50.90,400,50.90
2015-06-10,55.00,58.00,49.50,49.60,2300,49.60
2015-06-09,54.00,54.00,53.80,53.80,000,53.80
2015-06-08,53.40,53.40,53.40,53.40,000,53.40
2015-06-05,57.00,57.00,50.05,53.40,20800,53.40
2015-06-04,50.00,54.20,50.00,52.90,100,52.90
2015-06-03,58.95,58.95,48.50,51.35,500,51.35
2015-06-02,55.00,55.00,52.55,52.55,300,52.55
2015-06-01,54.25,56.00,52.25,52.25,4200,52.25
2015-05-29,54.95,54.95,54.95,54.95,000,54.95
2015-05-28,48.10,55.00,48.10,54.95,200,54.95
2015-05-27,50.10,52.00,50.05,51.20,1400,51.20
2015-05-26,54.80,54.80,54.50,54.75,000,54.75
2015-05-25,54.50,54.50,52.00,52.00,200,52.00
2015-05-22,54.25,54.25,53.70,54.05,900,54.05
2015-05-21,54.00,54.00,54.00,54.00,300,54.00
2015-05-20,54.60,55.30,54.60,55.30,100,55.30
2015-05-19,57.00,58.00,56.00,56.90,1300,56.90
2015-05-18,56.50,57.95,56.05,56.05,200,56.05
2015-05-15,57.50,60.00,54.00,58.30,31800,58.30
2015-05-14,55.00,56.00,54.80,55.00,1000,55.00
2015-05-13,57.95,58.80,55.00,55.90,27600,55.90
