Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.73,0.73,0.70,0.70,500,0.70
2015-07-16,0.75,0.75,0.70,0.70,400,0.70
2015-07-15,0.72,0.72,0.72,0.72,3000,0.72
2015-07-14,0.69,0.69,0.69,0.69,1400,0.69
2015-07-13,0.63,0.66,0.63,0.66,1700,0.66
2015-07-10,0.63,0.63,0.63,0.63,000,0.63
2015-07-09,0.60,0.60,0.60,0.60,10000,0.60
2015-07-08,0.58,0.58,0.58,0.58,1600,0.58
2015-07-07,0.53,0.53,0.53,0.53,7200,0.53
2015-07-06,0.49,0.51,0.49,0.49,800,0.49
2015-07-03,0.46,0.47,0.46,0.47,800,0.47
2015-07-02,0.47,0.48,0.47,0.47,20500,0.47
2015-07-01,0.50,0.50,0.49,0.49,39700,0.49
2015-06-30,0.51,0.51,0.51,0.51,000,0.51
2015-06-29,0.53,0.53,0.53,0.53,3000,0.53
2015-06-26,0.55,0.57,0.55,0.55,1500,0.55
2015-06-25,0.55,0.55,0.55,0.55,1500,0.55
2015-06-24,0.52,0.54,0.52,0.54,17900,0.54
2015-06-23,0.51,0.52,0.51,0.52,7300,0.52
2015-06-22,0.50,0.52,0.50,0.50,100,0.50
2015-06-19,0.50,0.50,0.50,0.50,200,0.50
2015-06-18,0.50,0.52,0.48,0.48,15900,0.48
2015-06-17,0.49,0.51,0.49,0.50,7400,0.50
2015-06-16,0.52,0.52,0.50,0.51,6100,0.51
2015-06-15,0.54,0.54,0.50,0.52,500,0.52
2015-06-12,0.52,0.52,0.48,0.52,3600,0.52
2015-06-11,0.46,0.50,0.46,0.50,1600,0.50
2015-06-10,0.48,0.49,0.45,0.48,800,0.48
2015-06-09,0.48,0.48,0.47,0.47,1500,0.47
2015-06-08,0.51,0.51,0.49,0.49,000,0.49
2015-06-05,0.48,0.49,0.48,0.49,000,0.49
2015-06-04,0.46,0.47,0.46,0.47,6000,0.47
2015-06-03,0.48,0.48,0.47,0.47,14000,0.47
2015-06-02,0.46,0.46,0.46,0.46,200,0.46
2015-06-01,0.44,0.44,0.44,0.44,400,0.44
2015-05-29,0.42,0.42,0.42,0.42,900,0.42
2015-05-28,0.40,0.40,0.40,0.40,1500,0.40
2015-05-27,0.39,0.39,0.39,0.39,000,0.39
2015-05-26,0.39,0.39,0.39,0.39,000,0.39
2015-05-25,0.38,0.38,0.37,0.38,17100,0.38
2015-05-22,0.37,0.38,0.36,0.38,46200,0.38
2015-05-21,0.36,0.37,0.36,0.37,10300,0.37
2015-05-20,0.37,0.37,0.37,0.37,2500,0.37
2015-05-19,0.36,0.38,0.36,0.38,000,0.38
2015-05-18,0.37,0.39,0.37,0.37,147400,0.37
2015-05-15,0.38,0.38,0.38,0.38,10200,0.38
2015-05-14,0.40,0.40,0.40,0.40,000,0.40
2015-05-13,0.42,0.42,0.42,0.42,15700,0.42
2015-05-12,0.44,0.44,0.44,0.44,2900,0.44
2015-05-11,0.42,0.42,0.42,0.42,1000,0.42
2015-05-08,0.38,0.40,0.38,0.40,133900,0.40
2015-05-07,0.40,0.40,0.40,0.40,104000,0.40
2015-05-06,0.41,0.43,0.41,0.42,319300,0.42
2015-05-05,0.43,0.43,0.43,0.43,120900,0.43
2015-05-04,0.45,0.45,0.45,0.45,173300,0.45
2015-05-01,0.47,0.47,0.47,0.47,000,0.47
2015-04-30,0.47,0.47,0.47,0.47,27000,0.47
2015-04-29,0.49,0.49,0.49,0.49,16400,0.49
2015-04-28,0.51,0.51,0.51,0.51,53000,0.51
2015-04-27,0.55,0.55,0.53,0.53,7500,0.53
2015-04-24,0.55,0.58,0.55,0.55,69000,0.55
2015-04-23,0.61,0.61,0.57,0.57,213400,0.57
2015-04-22,0.60,0.60,0.57,0.59,38400,0.59
2015-04-21,0.60,0.60,0.58,0.60,97400,0.60
2015-04-20,0.61,0.64,0.61,0.61,90000,0.61
2015-04-17,0.64,0.64,0.64,0.64,11400,0.64
2015-04-16,0.64,0.69,0.64,0.67,66900,0.67
2015-04-15,0.70,0.70,0.67,0.67,66100,0.67
