Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,3505.00,3557.00,3480.05,3542.10,200,3542.10
2015-07-16,3505.00,3521.00,3475.00,3487.35,200,3487.35
2015-07-15,3496.50,3549.00,3496.50,3507.45,200,3507.45
2015-07-14,3503.95,3503.95,3400.00,3478.65,200,3478.65
2015-07-13,3505.05,3520.25,3461.15,3489.30,300,3489.30
2015-07-10,3525.00,3525.00,3460.00,3469.95,600,3469.95
2015-07-09,3557.25,3571.95,3470.05,3511.25,300,3511.25
2015-07-08,3645.00,3645.00,3500.00,3587.25,500,3587.25
2015-07-07,3560.80,3670.95,3550.00,3635.00,900,3635.00
2015-07-06,3560.05,3599.00,3549.50,3588.80,300,3588.80
2015-07-03,3531.00,3581.00,3530.90,3560.00,300,3560.00
2015-07-02,3550.00,3600.00,3410.05,3549.05,800,3549.05
2015-07-01,3502.75,3532.60,3494.00,3515.90,1200,3515.90
2015-06-30,3474.55,3550.00,3463.30,3516.45,500,3516.45
2015-06-29,3392.00,3485.00,3390.90,3462.25,100,3462.25
2015-06-26,3450.45,3460.05,3410.20,3418.40,100,3418.40
2015-06-25,3430.00,3494.00,3386.00,3470.80,200,3470.80
2015-06-24,3476.25,3490.00,3437.05,3459.45,200,3459.45
2015-06-23,3407.65,3480.00,3380.00,3446.95,300,3446.95
2015-06-22,3402.05,3441.10,3390.00,3403.10,300,3403.10
2015-06-19,3437.00,3467.60,3427.25,3432.65,100,3432.65
2015-06-18,3390.00,3431.10,3330.30,3422.05,200,3422.05
2015-06-17,3450.20,3450.20,3321.00,3384.40,200,3384.40
2015-06-16,3383.35,3450.00,3383.35,3437.30,000,3437.30
2015-06-15,3354.00,3464.20,3354.00,3454.85,300,3454.85
2015-06-12,3436.50,3436.55,3380.80,3392.05,200,3392.05
2015-06-11,3434.40,3449.70,3370.05,3433.40,100,3433.40
2015-06-10,3353.55,3460.70,3350.00,3430.60,300,3430.60
2015-06-09,3286.25,3362.40,3285.00,3360.05,300,3360.05
2015-06-08,3350.00,3369.10,3278.70,3320.00,500,3320.00
2015-06-05,3295.00,3373.00,3281.00,3373.00,600,3373.00
2015-06-04,3300.00,3329.05,3259.35,3274.80,100,3274.80
2015-06-03,3371.55,3410.90,3290.00,3352.90,600,3352.90
2015-06-02,3390.00,3414.95,3366.05,3382.30,200,3382.30
2015-06-01,3475.35,3514.00,3407.00,3439.30,400,3439.30
2015-05-29,3425.95,3497.00,3425.00,3480.40,600,3480.40
2015-05-28,3361.30,3450.00,3351.60,3428.95,800,3428.95
2015-05-27,3319.70,3398.00,3319.70,3366.95,24900,3366.95
2015-05-26,3264.75,3310.00,3260.15,3302.65,100,3302.65
2015-05-25,3256.45,3297.50,3224.90,3279.70,100,3279.70
2015-05-22,3299.00,3315.05,3260.50,3275.35,100,3275.35
2015-05-21,3211.00,3330.00,3211.00,3278.40,700,3278.40
2015-05-20,3163.00,3220.00,3160.00,3197.30,300,3197.30
2015-05-19,3216.95,3400.00,3160.00,3166.60,800,3166.60
2015-05-18,3182.90,3189.10,3170.00,3174.15,100,3174.15
2015-05-15,3173.00,3180.00,3137.20,3174.95,100,3174.95
2015-05-14,3151.15,3183.40,3137.00,3158.00,100,3158.00
2015-05-13,3120.00,3189.35,3118.80,3175.00,14100,3175.00
2015-05-12,3156.15,3174.95,3091.00,3099.35,41300,3099.35
2015-05-11,3208.30,3208.30,3155.00,3173.60,500,3173.60
2015-05-08,3275.25,3276.05,3201.00,3216.10,100,3216.10
2015-05-07,3271.00,3331.20,3231.00,3303.90,900,3303.90
2015-05-06,3304.30,3390.00,3260.05,3365.95,400,3365.95
2015-05-05,3361.15,3368.00,3298.60,3335.35,200,3335.35
2015-05-04,3325.00,3372.00,3305.05,3351.55,400,3351.55
2015-05-01,3320.85,3320.85,3320.85,3320.85,000,3320.85
