Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,230.40,230.40,226.80,228.40,2100,228.40
2015-07-16,231.10,233.00,227.70,228.20,5100,228.20
2015-07-15,231.90,233.00,229.30,230.60,4300,230.60
2015-07-14,224.00,236.30,224.00,229.80,6900,229.80
2015-07-13,222.10,225.60,222.10,223.20,3900,223.20
2015-07-10,224.50,225.00,223.00,223.90,3400,223.90
2015-07-09,227.00,228.00,222.80,224.20,4000,224.20
2015-07-08,227.00,228.00,223.40,225.30,4000,225.30
2015-07-07,230.00,233.00,227.00,227.20,8000,227.20
2015-07-06,233.90,233.90,225.90,229.90,9100,229.90
2015-07-03,239.60,241.00,237.00,239.10,9300,239.10
2015-07-02,239.00,241.80,238.50,239.10,9900,239.10
2015-07-01,238.40,242.20,236.00,238.90,26600,238.90
2015-06-30,233.10,235.50,231.60,234.70,7800,234.70
2015-06-29,236.00,236.00,230.00,231.70,8100,231.70
2015-06-26,232.90,238.00,232.10,235.70,25500,235.70
2015-06-25,231.00,233.00,230.00,231.50,8600,231.50
2015-06-24,233.40,235.00,230.00,230.30,8500,230.30
2015-06-23,229.00,234.00,227.50,232.00,16300,232.00
2015-06-22,224.90,228.00,222.10,226.30,10600,226.30
2015-06-19,222.20,223.60,221.10,221.50,2800,221.50
2015-06-18,221.00,225.30,221.00,221.50,8400,221.50
2015-06-17,219.90,222.40,219.90,221.60,2200,221.60
2015-06-16,217.50,220.40,216.20,219.00,2100,219.00
2015-06-15,215.50,218.50,215.50,217.30,1800,217.30
2015-06-12,219.60,220.40,215.20,215.50,9500,215.50
2015-06-11,223.80,223.80,218.00,218.60,6300,218.60
2015-06-10,223.80,224.90,222.00,222.70,4100,222.70
2015-06-09,222.00,223.50,220.00,220.70,11400,220.70
2015-06-08,223.70,225.90,222.60,222.80,6300,222.80
2015-06-05,221.40,224.90,221.20,223.20,5800,223.20
2015-06-04,222.10,225.80,221.00,223.30,7800,223.30
2015-06-03,227.00,227.00,222.00,222.80,10200,222.80
2015-06-02,227.50,227.60,225.10,225.60,8600,225.60
2015-06-01,227.10,230.40,226.00,226.80,11200,226.80
2015-05-29,226.30,230.90,226.30,227.50,5900,227.50
2015-05-28,230.90,233.00,227.70,229.40,9400,229.40
2015-05-27,223.60,240.10,223.00,229.00,74700,229.00
2015-05-26,224.10,228.70,224.00,224.60,10400,224.60
2015-05-25,226.50,228.40,223.80,224.90,8100,224.90
2015-05-22,227.30,231.80,226.50,227.50,8100,227.50
2015-05-21,232.50,232.50,227.20,228.80,6500,228.80
2015-05-20,230.10,233.20,229.10,230.90,14900,230.90
2015-05-19,228.00,240.90,225.90,229.10,22600,229.10
2015-05-18,223.70,233.20,223.00,226.40,20800,226.40
2015-05-15,222.90,226.30,222.90,224.40,3000,224.40
2015-05-14,224.90,226.10,223.50,224.00,5300,224.00
2015-05-13,226.60,226.80,222.00,222.90,8800,222.90
2015-05-12,225.50,227.40,222.00,224.40,6900,224.40
