Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,117.90,123.90,117.20,120.30,42200,119.30
2015-07-16,117.00,121.80,116.50,116.90,38000,115.93
2015-07-15,115.10,116.90,115.10,115.90,11000,114.94
2015-07-14,117.00,118.20,114.70,114.90,8900,113.94
2015-07-13,117.10,119.00,116.10,116.90,13800,115.93
2015-07-10,115.00,120.20,113.70,115.60,49300,114.64
2015-07-09,110.40,114.40,110.40,113.70,5400,112.75
2015-07-08,111.50,112.20,110.00,111.00,10400,110.08
2015-07-07,110.90,111.20,109.50,111.20,5300,110.28
2015-07-06,110.10,110.80,109.50,110.40,3700,109.48
2015-07-03,109.30,110.50,108.70,109.70,6100,108.79
2015-07-02,111.60,111.60,109.50,109.70,2500,108.79
2015-07-01,113.90,114.00,109.60,110.00,6000,109.09
2015-06-30,111.00,113.00,110.00,112.20,2300,111.27
2015-06-29,109.10,110.70,107.80,110.40,6700,109.48
2015-06-26,109.10,111.00,109.10,110.00,4000,109.09
2015-06-25,111.20,112.00,109.80,110.30,1000,109.38
2015-06-24,110.00,112.20,109.40,110.40,9700,109.48
2015-06-23,112.10,112.10,110.00,110.30,4200,109.38
2015-06-22,109.70,112.50,109.40,110.50,5700,109.58
2015-06-19,110.00,115.00,109.50,112.00,31500,111.07
2015-06-18,110.20,110.90,110.00,110.30,1000,109.38
2015-06-17,109.90,110.70,109.80,110.10,1500,109.18
2015-06-16,111.60,111.80,110.50,110.80,1800,109.88
2015-06-15,110.00,110.60,109.50,109.80,12900,108.89
2015-06-12,111.00,111.40,110.20,110.70,6500,109.78
2015-06-11,110.90,111.20,110.00,110.40,2600,109.48
2015-06-10,108.40,111.40,108.20,110.90,7100,109.98
2015-06-09,110.70,110.80,108.30,108.50,5800,107.60
2015-06-08,110.20,110.20,109.20,109.80,3400,108.89
2015-06-05,111.00,114.00,111.00,111.30,10900,110.37
2015-06-04,109.60,111.60,108.00,110.20,5800,109.28
2015-06-03,111.80,113.90,108.30,110.60,25300,109.68
2015-06-02,111.70,111.90,110.10,110.40,4500,109.48
2015-06-01,114.90,114.90,110.90,111.80,9000,110.87
2015-05-29,117.00,117.95,112.00,112.00,29700,111.07
2015-05-28,126.00,126.00,116.05,116.10,111100,115.13
2015-05-27,109.80,114.20,108.00,110.30,11900,109.38
2015-05-26,112.95,113.05,109.00,109.75,12200,108.84
2015-05-25,107.50,113.20,107.50,108.50,34100,107.60
2015-05-22,102.70,105.00,100.75,101.50,3400,100.66
2015-05-21,99.70,103.60,98.50,103.05,15100,102.19
2015-05-20,95.00,99.50,95.00,98.55,7600,97.73
2015-05-19,94.65,97.00,94.65,95.60,1100,94.81
2015-05-18,96.15,96.15,94.20,94.55,1100,93.76
2015-05-15,99.00,99.00,95.40,95.80,5300,95.00
2015-05-14,97.35,97.35,95.80,97.20,1500,96.39
2015-05-13,96.80,104.70,96.30,99.15,17100,98.33
2015-05-12,90.00,97.00,90.00,94.70,15000,93.91
2015-05-11,89.20,92.00,88.30,91.60,2900,90.84
2015-05-08,88.50,92.50,87.05,87.50,1500,86.77
2015-05-07,87.70,88.25,87.00,87.55,2100,86.82
2015-05-06,92.75,92.75,88.40,89.60,2500,88.86
2015-05-05,94.90,96.00,93.10,94.40,7600,93.62
2015-05-04,88.20,94.85,88.20,93.95,8300,93.17
2015-05-01,88.10,88.10,88.10,88.10,000,87.37
2015-04-30,86.00,91.00,84.20,88.10,6800,87.37
2015-04-29,87.40,87.40,84.15,85.60,7400,84.89
2015-04-28,84.85,85.95,84.45,84.65,14700,83.95
2015-04-27,88.20,88.20,85.00,85.05,4500,84.34
2015-04-24,89.00,91.05,87.35,88.05,3200,87.32
2015-04-23,91.00,93.00,89.15,89.85,500,89.10
2015-04-22,90.00,92.50,88.50,89.05,2800,88.31
2015-04-21,94.60,94.60,87.50,89.85,4800,89.10
2015-04-20,93.05,93.05,90.05,90.45,2900,89.70
2015-04-17,92.00,94.00,91.05,92.50,3300,91.73
2015-04-16,94.80,95.60,90.50,91.90,10200,91.14
2015-04-15,98.25,99.80,94.10,95.00,7600,94.21
2015-04-14,97.65,97.65,97.65,97.65,000,96.84
2015-04-13,96.20,101.00,96.00,97.65,14000,96.84
2015-04-10,90.00,97.20,89.65,95.65,15100,94.85
2015-04-09,88.25,89.70,88.00,89.25,4000,88.51
2015-04-08,89.90,89.90,88.25,88.40,4700,87.67
2015-04-07,90.00,91.10,88.00,88.05,13600,87.32
2015-04-06,90.00,91.00,88.00,90.05,12400,89.30
2015-04-03,89.40,89.40,89.40,89.40,000,88.66
2015-04-02,89.40,89.40,89.40,89.40,000,88.66
2015-04-01,88.25,90.60,88.00,89.40,19500,88.66
2015-03-31,87.10,87.95,86.00,86.50,5200,85.78
2015-03-30,85.05,88.95,84.75,86.05,9500,85.33
2015-03-27,85.10,88.20,85.00,86.25,8400,85.53
2015-03-26,87.30,87.50,86.50,87.30,10700,86.57
2015-03-25,88.75,89.20,86.30,87.10,7500,86.38
2015-03-24,87.50,92.60,87.50,90.20,26400,89.45
2015-03-23,90.00,90.00,86.65,87.05,9100,86.33
2015-03-20,88.50,89.00,86.15,86.65,14500,85.93
2015-03-19,87.00,91.00,86.60,89.35,17000,88.61
2015-03-18,91.70,92.65,86.15,87.50,5000,86.77
2015-03-17,92.55,94.05,89.15,90.05,9800,89.30
2015-03-16,95.45,95.50,91.10,91.85,3600,91.09
2015-03-13,97.50,98.25,94.75,95.20,5900,94.41
2015-03-12,99.95,99.95,96.55,97.70,3500,96.89
2015-03-11,98.10,101.00,95.50,98.45,25300,97.63
2015-03-10,100.20,100.20,97.30,98.15,4400,97.33
2015-03-09,99.35,99.80,98.00,98.40,2600,97.58
2015-03-06,99.80,99.80,99.80,99.80,000,98.97
2015-03-05,96.00,100.20,96.00,99.80,57200,98.97
2015-03-04,99.25,101.50,97.10,97.70,3200,96.89
2015-03-03,100.95,101.25,98.75,99.50,3800,98.67
2015-03-02,99.00,102.00,98.00,100.05,5200,99.22
2015-02-27,100.00,101.00,99.50,100.00,4500,99.17
2015-02-26,97.00,101.00,96.40,99.10,9000,98.28
2015-02-25,99.70,100.70,98.00,98.60,5200,97.78
2015-02-24,100.70,101.80,98.00,98.90,8000,98.08
2015-02-23,98.70,102.50,98.10,100.70,11900,99.86
2015-02-20,97.80,101.90,97.80,99.80,11900,98.97
2015-02-19,97.50,98.90,96.50,96.80,11900,96.00
2015-02-18,99.00,100.80,97.10,99.10,8600,98.28
2015-02-17,96.80,96.80,96.80,96.80,000,96.00
2015-02-16,104.80,106.50,96.40,96.80,20900,96.00
2015-02-13,105.20,106.00,104.05,105.00,2900,104.13
2015-02-12,105.55,106.70,102.85,103.65,16500,102.79
2015-02-11,106.30,109.00,101.15,102.80,95300,101.95
2015-02-10,109.25,113.60,104.00,105.90,8300,105.02
