Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,47.00,53.65,46.50,50.75,59000,50.75
2015-07-16,49.00,49.00,47.25,47.40,7400,47.40
2015-07-15,47.00,48.45,46.60,47.00,21600,47.00
2015-07-14,47.95,47.95,46.25,47.00,3100,47.00
2015-07-13,47.70,48.00,46.10,46.10,1200,46.10
2015-07-10,44.50,48.90,44.50,47.30,12600,47.30
2015-07-09,44.80,44.80,44.80,44.80,200,44.80
2015-07-08,44.95,46.00,43.50,45.10,8400,45.10
2015-07-07,45.90,46.80,44.60,45.50,2300,45.50
2015-07-06,45.65,46.00,45.50,45.65,4400,45.65
2015-07-03,43.10,45.50,43.00,45.45,6200,45.45
2015-07-02,41.70,45.45,41.00,44.05,9800,44.05
2015-07-01,41.80,42.00,41.00,41.00,2400,41.00
2015-06-30,40.10,40.10,40.10,40.10,300,40.10
2015-06-29,41.15,41.15,41.15,41.15,000,41.15
2015-06-26,40.50,41.15,40.30,41.15,300,41.15
2015-06-25,41.75,41.90,40.65,40.65,400,40.65
2015-06-24,39.50,41.65,39.50,41.00,4200,41.00
2015-06-23,38.70,39.00,38.10,38.40,600,38.40
2015-06-22,39.00,39.00,39.00,39.00,100,39.00
2015-06-19,38.50,39.45,38.45,39.30,4900,39.30
2015-06-18,37.85,37.85,37.85,37.85,000,37.85
2015-06-17,36.90,37.45,36.90,37.45,000,37.45
2015-06-16,35.45,36.50,35.45,36.00,200,36.00
2015-06-15,36.90,36.90,35.50,35.50,100,35.50
2015-06-12,37.00,37.00,37.00,37.00,1000,37.00
2015-06-11,37.15,37.90,36.10,36.80,2100,36.80
2015-06-10,36.60,36.60,36.25,36.50,2100,36.50
2015-06-09,37.10,38.00,36.45,37.55,1900,37.55
2015-06-08,36.45,36.90,36.45,36.90,700,36.90
2015-06-05,38.00,38.00,36.80,37.00,9000,37.00
2015-06-04,39.95,39.95,37.55,37.90,3200,37.90
2015-06-03,39.30,40.25,39.20,40.25,100,40.25
2015-06-02,40.55,41.00,40.20,40.30,400,40.30
2015-06-01,42.05,42.90,40.75,41.05,2000,41.05
2015-05-29,42.30,42.30,42.25,42.30,1100,42.30
2015-05-28,42.60,43.15,42.60,42.65,200,42.65
2015-05-27,42.80,43.70,42.80,43.45,1200,43.45
2015-05-26,42.10,42.25,41.00,41.80,2200,41.80
2015-05-25,44.45,44.45,43.00,44.00,800,44.00
2015-05-22,43.90,44.45,43.90,44.00,11300,44.00
2015-05-21,41.70,44.50,41.70,43.00,5800,43.00
2015-05-20,43.60,43.60,40.00,41.75,900,41.75
2015-05-19,40.90,41.90,40.50,40.70,1000,40.70
2015-05-18,40.90,40.90,40.10,40.10,900,40.10
2015-05-15,41.50,41.90,40.10,40.10,6800,40.10
2015-05-14,41.05,41.05,41.05,41.05,000,41.05
2015-05-13,40.95,41.05,40.45,41.05,2300,41.05
2015-05-12,41.50,41.50,39.35,39.75,4400,39.75
2015-05-11,40.80,41.10,40.80,41.05,1800,41.05
2015-05-08,41.25,41.90,40.65,40.70,200,40.70
2015-05-07,41.75,41.75,41.00,41.00,3400,41.00
2015-05-06,44.50,44.90,41.00,41.75,9700,41.75
2015-05-05,43.50,44.75,43.50,44.00,5300,44.00
2015-05-04,44.90,44.90,42.60,43.55,900,43.55
2015-05-01,42.75,42.75,42.75,42.75,000,42.75
2015-04-30,43.20,43.70,42.75,42.75,100,42.75
2015-04-29,41.00,45.50,41.00,44.25,14300,44.25
2015-04-28,41.90,41.90,41.00,41.50,400,41.50
2015-04-27,43.90,44.00,40.30,40.55,4500,40.55
2015-04-24,45.40,45.40,43.05,43.20,5500,43.20
2015-04-23,45.95,45.95,44.75,44.75,3300,44.75
2015-04-22,45.00,46.80,45.00,45.25,5000,45.25
2015-04-21,44.60,46.85,44.05,45.05,5000,45.05
2015-04-20,44.95,45.00,44.35,44.60,3400,44.60
