Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,381.75,389.10,378.25,387.90,1600,387.90
2015-07-16,378.40,385.00,367.85,378.50,1800,378.50
2015-07-15,388.05,388.05,376.20,379.10,1600,379.10
2015-07-14,398.00,411.45,385.00,387.00,2800,387.00
2015-07-13,394.60,398.90,391.00,396.85,400,396.85
2015-07-10,392.25,397.00,390.00,395.50,700,395.50
2015-07-09,390.00,404.50,388.10,393.40,1200,393.40
2015-07-08,391.55,395.35,386.45,392.35,600,392.35
2015-07-07,391.40,398.00,385.25,393.10,1000,393.10
2015-07-06,385.00,394.95,383.00,391.85,800,391.85
2015-07-03,388.05,399.35,385.00,387.85,4200,387.85
2015-07-02,389.95,391.45,384.00,385.30,800,385.30
2015-07-01,395.00,403.30,383.40,387.05,2600,387.05
2015-06-30,402.00,402.00,389.25,396.60,800,396.60
2015-06-29,390.00,398.00,376.30,389.85,1000,389.85
2015-06-26,393.00,396.50,390.00,394.85,700,394.85
2015-06-25,391.90,406.00,391.50,393.60,3600,393.60
2015-06-24,390.00,397.20,390.00,394.10,600,394.10
2015-06-23,394.00,396.30,385.00,390.45,1500,390.45
2015-06-22,383.00,391.80,382.35,389.60,900,389.60
2015-06-19,378.00,389.75,378.00,384.50,1500,384.50
2015-06-18,373.00,380.00,372.00,378.60,600,378.60
2015-06-17,375.45,376.75,371.40,374.65,1200,374.65
2015-06-16,381.20,382.90,370.70,375.70,3700,375.70
2015-06-15,385.00,388.00,377.00,384.55,1100,384.55
2015-06-12,384.00,391.20,374.00,381.95,1100,381.95
2015-06-11,397.30,398.00,377.35,382.05,1300,382.05
2015-06-10,394.25,401.95,392.25,397.45,1100,397.45
2015-06-09,389.20,399.90,386.55,392.85,2600,392.85
2015-06-08,397.00,399.00,387.20,399.00,200,399.00
2015-06-05,395.00,401.80,393.80,401.80,500,401.80
2015-06-04,393.55,401.20,385.00,391.25,1200,391.25
2015-06-03,396.00,399.10,382.00,394.20,1300,394.20
2015-06-02,408.00,408.00,395.60,397.10,600,397.10
2015-06-01,402.20,409.75,398.70,407.15,1000,407.15
2015-05-29,400.00,404.05,393.00,402.00,3500,402.00
2015-05-28,398.00,404.00,394.05,397.80,400,397.80
2015-05-27,398.00,403.90,394.00,398.90,1300,398.90
2015-05-26,389.00,410.80,389.00,401.30,1600,401.30
2015-05-25,406.00,406.00,393.30,395.95,500,395.95
2015-05-22,406.40,410.00,396.20,403.05,2000,403.05
2015-05-21,402.50,411.90,391.50,403.00,3400,403.00
2015-05-20,388.40,399.00,385.00,394.10,1600,394.10
2015-05-19,384.90,393.00,379.00,388.25,1500,388.25
2015-05-18,394.00,394.00,379.50,382.80,2200,382.80
2015-05-15,360.00,383.75,360.00,379.85,1800,379.85
