Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,11601.40,11786.00,11581.70,11640.20,400,11640.20
2015-07-16,11305.50,11665.00,11295.20,11542.00,600,11542.00
2015-07-15,11100.00,11267.80,11100.00,11205.80,300,11205.80
2015-07-14,11190.00,11210.00,11003.00,11038.30,200,11038.30
2015-07-13,11000.00,11201.00,11000.00,11187.70,100,11187.70
2015-07-10,11157.00,11157.00,10850.00,10953.30,100,10953.30
2015-07-09,11038.00,11180.70,11003.80,11093.00,100,11093.00
2015-07-08,11050.00,11199.00,10985.10,11064.30,100,11064.30
2015-07-07,11180.30,11180.30,10952.00,10952.00,200,10952.00
2015-07-06,10800.00,11075.00,10800.00,11006.00,100,11006.00
2015-07-03,11250.00,11250.00,10856.00,10935.50,600,10935.50
2015-07-02,11430.00,11525.00,11124.20,11187.10,400,11187.10
2015-07-01,11359.00,11525.00,11280.50,11364.70,200,11364.70
2015-06-30,11122.00,11480.00,11122.00,11324.50,300,11324.50
2015-06-29,10993.00,11239.50,10701.00,11123.00,300,11123.00
2015-06-26,11000.00,11163.00,10954.70,10992.60,900,10992.60
2015-06-25,11800.00,11800.00,10927.50,11018.00,1300,11018.00
2015-06-24,11000.00,11148.00,10800.00,10895.30,400,10895.30
2015-06-23,10999.00,11307.70,10885.00,10912.50,700,10912.50
2015-06-22,10863.30,11400.00,10836.70,11066.50,300,11066.50
2015-06-19,10733.00,10973.40,10701.00,10845.00,300,10845.00
2015-06-18,10826.10,10910.00,0.01,10712.20,200,10712.20
2015-06-17,10275.00,10813.80,10275.00,10650.50,600,10650.50
2015-06-16,10400.00,10589.00,10211.00,10263.30,300,10263.30
2015-06-15,10649.80,10651.50,10211.10,10530.80,500,10530.80
2015-06-12,10769.40,10769.40,10453.00,10600.80,200,10600.80
2015-06-11,10767.30,10909.60,10500.00,10763.50,300,10763.50
2015-06-10,10900.40,10917.80,10683.00,10767.30,300,10767.30
2015-06-09,11240.00,11240.00,10820.00,10902.60,100,10902.60
2015-06-08,11045.30,11188.60,10899.80,10950.00,100,10950.00
2015-06-05,11111.90,11305.00,10999.50,11300.00,400,11300.00
2015-06-04,10900.00,11300.00,10772.20,11128.50,800,11128.50
2015-06-03,11179.00,11179.00,10806.00,10883.80,300,10883.80
2015-06-02,11439.10,11549.70,11244.80,11318.70,200,11318.70
2015-06-01,11100.00,11576.10,11000.00,11416.50,1700,11416.50
2015-05-29,11045.00,11560.00,10310.00,10993.00,5100,10993.00
2015-05-28,11318.50,11455.10,10850.00,10949.80,700,10949.80
2015-05-27,11647.00,11719.50,11151.00,11433.20,600,11433.20
2015-05-26,11721.50,11858.60,11720.00,11766.20,300,11766.20
2015-05-25,11601.00,11898.00,11590.20,11726.30,100,11726.30
2015-05-22,11500.00,11680.00,11500.00,11631.20,200,11631.20
2015-05-21,11719.80,11747.80,11665.50,11679.60,100,11679.60
2015-05-20,11755.70,11760.00,11625.30,11670.20,100,11670.20
2015-05-19,11919.30,12024.70,11562.80,11596.00,700,11596.00
2015-05-18,11786.60,12200.00,11610.20,11814.20,500,11814.20
2015-05-15,11373.50,12388.80,11305.20,11874.10,1400,11874.10
2015-05-14,11000.00,11517.80,11000.00,11334.40,1900,11334.40
2015-05-13,10569.40,11500.00,10569.40,11121.80,5600,11121.80
2015-05-12,10239.50,10373.00,10000.00,10104.00,1500,10104.00
2015-05-11,10290.00,10343.00,10167.60,10323.00,1600,10323.00
2015-05-08,10073.50,10207.80,10057.50,10156.20,100,10156.20
2015-05-07,10230.00,10257.10,10040.70,10097.70,000,10097.70
2015-05-06,10315.20,10419.80,10300.00,10354.50,500,10354.50
2015-05-05,10318.50,10440.00,10272.00,10393.80,100,10393.80
2015-05-04,10193.80,10372.00,10180.00,10287.20,100,10287.20
2015-05-01,10210.20,10210.20,10210.20,10210.20,000,10210.20
2015-04-30,10198.20,10446.00,10002.00,10210.20,400,10210.20
2015-04-29,10300.00,10392.80,9888.60,10331.20,12600,10331.20
2015-04-28,10100.00,10480.50,9915.00,10224.80,200,10224.80
2015-04-27,9979.05,10031.00,9841.15,9947.25,5300,9947.25
2015-04-24,10209.00,10373.50,9951.70,10001.80,300,10001.80
2015-04-23,10032.00,10400.00,10032.00,10312.20,100,10312.20
2015-04-22,10068.50,10150.00,10039.00,10133.00,100,10133.00
2015-04-21,10053.60,10143.90,9979.70,9998.65,35000,9998.65
2015-04-20,10085.50,10355.00,9798.40,10066.20,500,10066.20
2015-04-17,10437.40,10491.80,9901.25,10017.00,1000,10017.00
2015-04-16,10599.50,10599.50,10342.00,10467.80,800,10467.80
2015-04-15,10429.20,11000.00,10316.50,10513.70,1000,10513.70
2015-04-14,10468.30,10468.30,10468.30,10468.30,000,10468.30
2015-04-13,10800.00,10803.40,10390.00,10468.30,800,10468.30
2015-04-10,11000.00,11100.00,10769.40,10830.20,500,10830.20
2015-04-09,10783.20,11216.00,10783.20,11143.80,20600,11143.80
2015-04-08,10919.20,11022.00,10762.00,10845.50,200,10845.50
2015-04-07,10986.10,11029.00,10822.00,10912.50,200,10912.50
2015-04-06,10914.80,11059.40,10802.00,10934.70,100,10934.70
2015-04-03,10905.90,10905.90,10905.90,10905.90,000,10905.90
2015-04-02,10905.90,10905.90,10905.90,10905.90,000,10905.90
2015-04-01,10800.00,11078.90,10677.00,10905.90,400,10905.90
2015-03-31,10893.30,10899.00,10650.00,10767.50,100,10767.50
2015-03-30,10930.80,11014.80,10652.00,10751.80,400,10751.80
2015-03-27,10691.80,11225.00,10691.80,10906.80,1600,10906.80
2015-03-26,10869.50,11254.70,10730.00,11112.50,300,11112.50
