Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,39.00,41.25,37.00,37.90,2700,36.70
2015-07-16,45.00,45.00,37.55,37.60,100,36.41
2015-07-15,45.10,45.10,37.50,38.05,600,36.85
2015-07-14,38.00,39.30,36.50,37.60,900,36.41
2015-07-13,44.30,44.30,36.75,36.80,2000,35.63
2015-07-10,39.95,39.95,36.20,37.00,2500,35.83
2015-07-09,41.00,41.00,37.00,37.05,22000,35.88
2015-07-08,36.00,41.00,36.00,40.75,26800,39.46
2015-07-07,40.00,41.00,39.95,40.75,27800,39.46
2015-07-06,47.70,47.70,39.00,39.25,24700,38.01
2015-07-03,37.00,40.90,37.00,39.75,31700,38.49
2015-07-02,36.75,39.75,36.75,39.45,11300,38.20
2015-07-01,39.90,41.00,38.25,39.50,33300,38.25
2015-06-30,36.30,38.95,36.30,38.85,22100,37.62
2015-06-29,38.45,40.90,38.00,38.00,31300,36.80
2015-06-26,34.80,38.25,34.80,38.15,4000,36.94
2015-06-25,35.95,38.30,35.00,37.55,13600,36.36
2015-06-24,35.25,36.45,35.25,36.45,2100,35.30
2015-06-23,36.00,36.95,36.00,36.40,15900,35.25
2015-06-22,36.75,36.85,34.60,36.40,22100,35.25
2015-06-19,33.70,35.90,33.70,35.70,3500,34.57
2015-06-18,36.25,36.45,34.60,36.40,25800,35.25
2015-06-17,36.40,36.70,35.90,36.45,30400,35.30
2015-06-16,36.25,36.45,33.55,35.90,31000,34.76
2015-06-15,35.90,37.00,33.05,35.75,19900,34.62
2015-06-12,33.20,34.30,32.15,34.30,2800,33.21
2015-06-11,36.25,36.25,34.10,35.75,33100,34.62
2015-06-10,35.75,35.85,33.60,35.25,41000,34.13
2015-06-09,36.25,36.25,33.20,35.85,75800,34.71
2015-06-08,35.50,35.95,35.50,35.95,200,34.81
2015-06-05,34.00,34.00,34.00,34.00,500,32.92
2015-06-04,36.90,36.90,35.00,35.00,000,33.89
2015-06-03,33.25,36.40,33.25,35.65,800,34.52
2015-06-02,36.65,36.65,36.65,36.65,000,35.49
2015-06-01,36.00,36.70,36.00,36.65,6900,35.49
2015-05-29,36.00,37.80,34.70,36.55,2200,35.39
2015-05-28,35.05,37.00,33.75,35.05,5300,33.94
2015-05-27,37.75,38.00,37.75,38.00,3800,36.80
2015-05-26,37.35,37.35,37.35,37.35,000,36.17
