Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,30.20,32.00,30.20,30.90,100,30.90
2015-07-16,31.70,33.50,31.50,31.55,2700,31.55
2015-07-15,31.95,32.30,30.60,31.35,6800,31.35
2015-07-14,34.80,34.80,31.40,31.45,2500,31.45
2015-07-13,31.00,31.90,31.00,31.90,1400,31.90
2015-07-10,30.45,32.00,30.45,30.75,1200,30.75
2015-07-09,31.70,31.70,30.60,30.70,900,30.70
2015-07-08,31.50,31.50,30.05,30.30,200,30.30
2015-07-07,29.55,32.45,29.55,31.75,3000,31.75
2015-07-06,30.55,30.90,29.35,30.85,700,30.85
2015-07-03,30.90,31.40,30.30,30.55,4400,30.55
2015-07-02,30.95,30.95,30.00,30.10,1000,30.10
2015-07-01,31.90,31.90,30.20,30.45,100,30.45
2015-06-30,29.75,32.50,29.75,30.05,10200,30.05
2015-06-29,30.00,30.50,29.60,29.85,700,29.85
2015-06-26,30.35,33.70,29.90,31.45,18100,31.45
2015-06-25,30.85,31.05,29.60,30.40,2700,30.40
2015-06-24,31.50,31.90,29.70,30.15,3100,30.15
2015-06-23,29.80,31.15,29.35,31.00,700,31.00
2015-06-22,30.25,30.35,29.05,29.90,4800,29.90
2015-06-19,31.90,33.25,29.75,30.50,7500,30.50
2015-06-18,33.15,33.50,32.00,32.85,12400,32.85
2015-06-17,35.75,37.55,33.10,34.00,124200,34.00
2015-06-16,29.20,33.50,29.20,33.50,126300,33.50
2015-06-15,28.35,28.40,25.55,27.95,2300,27.95
2015-06-12,26.55,27.85,25.40,26.20,12400,26.20
2015-06-11,29.00,29.00,26.80,28.60,400,28.60
2015-06-10,26.95,28.05,26.95,28.05,600,28.05
2015-06-09,26.50,27.95,26.20,26.35,1300,26.35
2015-06-08,27.00,27.60,26.50,27.30,300,27.30
2015-06-05,27.25,29.00,26.50,28.00,800,28.00
2015-06-04,28.30,31.40,26.35,28.60,10200,28.60
2015-06-03,27.80,28.45,25.70,26.60,2400,26.60
2015-06-02,29.45,29.45,28.00,28.15,400,28.15
2015-06-01,29.00,29.90,28.30,29.50,1000,29.50
2015-05-29,28.55,29.90,28.30,29.65,11800,29.65
2015-05-28,33.50,33.50,27.05,28.70,10700,28.70
2015-05-27,28.00,29.40,28.00,28.90,1700,28.90
2015-05-26,29.65,30.75,29.50,29.80,10700,29.80
2015-05-25,29.40,31.40,29.40,31.40,100,31.40
2015-05-22,30.65,31.90,30.65,31.50,200,31.50
2015-05-21,35.20,35.50,31.00,31.75,24500,31.75
2015-05-20,31.00,34.40,30.90,34.35,32600,34.35
2015-05-19,29.00,29.00,28.50,28.70,1100,28.70
2015-05-18,29.25,30.15,28.60,30.10,100,30.10
2015-05-15,27.50,30.50,27.50,30.50,1700,30.50
2015-05-14,28.50,28.50,28.50,28.50,000,28.50
2015-05-13,28.05,29.80,27.10,28.50,500,28.50
2015-05-12,29.00,29.00,27.15,28.90,000,28.90
2015-05-11,30.00,30.45,28.25,29.65,200,29.65
2015-05-08,29.95,29.95,29.95,29.95,100,29.95
2015-05-07,29.45,29.45,28.05,28.20,400,28.20
2015-05-06,29.25,30.50,29.25,30.50,1600,30.50
2015-05-05,29.20,31.40,29.00,29.70,800,29.70
2015-05-04,32.25,32.25,29.60,30.05,1600,30.05
2015-05-01,28.55,28.55,28.55,28.55,000,28.55
2015-04-30,30.00,30.00,28.55,28.55,200,28.55
2015-04-29,28.80,30.50,28.70,30.50,600,30.50
2015-04-28,30.35,30.90,29.70,30.05,500,30.05
2015-04-27,30.20,31.50,29.10,30.50,3000,30.50
2015-04-24,30.50,30.65,30.50,30.65,000,30.65
2015-04-23,31.25,32.70,31.00,31.30,3000,31.30
2015-04-22,32.15,34.45,31.20,32.15,1800,32.15
2015-04-21,32.50,34.50,32.10,32.80,200,32.80
2015-04-20,34.00,34.00,32.50,32.85,1000,32.85
2015-04-17,34.25,34.75,34.00,34.05,800,34.05
2015-04-16,36.45,36.50,33.40,33.80,1400,33.80
2015-04-15,32.50,36.00,32.50,34.35,3700,34.35
2015-04-14,33.85,33.85,33.85,33.85,000,33.85
2015-04-13,34.15,35.15,33.75,33.85,1000,33.85
2015-04-10,34.00,36.00,34.00,34.60,3000,34.60
2015-04-09,33.90,34.30,33.25,34.15,2200,34.15
2015-04-08,34.80,35.00,34.00,34.55,5100,34.55
2015-04-07,38.20,39.00,36.00,36.00,10300,36.00
2015-04-06,30.00,35.20,30.00,35.20,7300,35.20
2015-04-03,29.35,29.35,29.35,29.35,000,29.35
2015-04-02,29.35,29.35,29.35,29.35,000,29.35
2015-04-01,27.15,29.95,27.15,29.35,1500,29.35
2015-03-31,29.95,29.95,26.25,27.40,300,27.40
2015-03-30,25.30,25.30,25.30,25.30,000,25.30
2015-03-27,25.50,26.50,25.25,25.30,5300,25.30
2015-03-26,25.40,27.50,25.40,27.50,2400,27.50
2015-03-25,25.70,28.00,25.00,26.40,1100,26.40
2015-03-24,26.75,29.00,26.70,26.95,700,26.95
2015-03-23,27.00,27.50,27.00,27.00,600,27.00
2015-03-20,28.10,30.00,27.75,28.05,2000,28.05
2015-03-19,29.45,29.75,28.70,29.70,500,29.70
2015-03-18,28.70,29.80,28.70,29.15,1100,29.15
2015-03-17,28.75,29.95,28.35,29.90,2400,29.90
2015-03-16,29.50,29.50,29.50,29.50,200,29.50
2015-03-13,29.60,30.15,29.60,30.00,000,30.00
2015-03-12,30.00,30.00,29.05,29.15,300,29.15
2015-03-11,29.70,31.50,29.70,31.00,1000,31.00
2015-03-10,29.05,33.00,29.00,29.30,2500,29.30
2015-03-09,29.50,30.80,29.05,30.00,3500,30.00
2015-03-06,29.10,29.10,29.10,29.10,000,29.10
2015-03-05,29.00,30.00,28.90,29.10,700,29.10
2015-03-04,30.55,30.65,29.35,29.50,4400,29.50
2015-03-03,29.40,30.25,29.40,30.25,200,30.25
2015-03-02,30.55,32.95,28.05,29.35,1500,29.35
2015-02-27,29.30,29.50,29.25,29.25,500,29.25
2015-02-26,30.70,30.70,28.80,28.90,400,28.90
2015-02-25,31.05,31.05,29.55,29.55,1500,29.55
2015-02-24,30.55,31.10,30.05,30.45,2600,30.45
2015-02-23,30.10,30.95,30.10,30.85,500,30.85
2015-02-20,31.25,31.25,29.55,31.10,900,31.10
2015-02-19,30.75,31.15,29.70,31.15,3700,31.15
2015-02-18,29.65,31.00,29.65,30.50,1100,30.50
2015-02-17,29.90,29.90,29.90,29.90,000,29.90
2015-02-16,30.00,30.85,29.85,29.90,400,29.90
2015-02-13,30.70,31.50,29.45,31.00,8400,31.00
2015-02-12,30.75,30.90,29.25,29.55,300,29.55
2015-02-11,29.20,30.75,29.20,29.70,1400,29.70
2015-02-10,30.95,30.95,29.20,30.40,2700,30.40
2015-02-09,29.90,31.00,29.25,30.25,2400,30.25
2015-02-06,30.25,30.25,30.15,30.20,600,30.20
2015-02-05,30.25,31.50,30.00,30.65,3000,30.65
2015-02-04,31.50,31.50,30.30,30.65,700,30.65
2015-02-03,30.95,30.95,30.95,30.95,000,30.95
2015-02-02,33.90,33.90,30.60,30.95,4600,30.95
2015-01-30,31.05,31.40,30.15,31.40,500,31.40
2015-01-29,30.50,31.00,30.15,30.25,800,30.25
2015-01-28,33.95,33.95,30.05,30.15,7000,30.15
2015-01-27,32.00,32.00,30.00,30.45,4500,30.45
2015-01-26,31.80,31.80,31.80,31.80,000,31.80
2015-01-23,32.00,32.00,31.05,31.80,1400,31.80
2015-01-22,37.85,37.85,31.60,31.75,1700,31.75
2015-01-21,32.55,33.35,31.80,32.25,1200,32.25
2015-01-20,38.25,38.25,32.50,33.20,3000,33.20
2015-01-19,32.40,34.90,31.30,32.35,7600,32.35
