Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,16.75,17.74,16.60,16.89,31700,16.89
2015-07-16,18.49,18.49,17.41,17.41,63600,17.41
2015-07-15,19.70,19.75,18.32,18.32,74500,18.32
2015-07-14,18.70,19.85,18.61,19.28,120800,19.28
2015-07-13,17.90,18.11,17.44,18.11,117100,18.11
2015-07-10,15.05,16.47,15.05,16.47,64800,16.47
2015-07-09,15.20,15.50,14.95,14.98,8000,14.98
2015-07-08,14.99,15.15,14.50,14.97,21000,14.97
2015-07-07,14.80,15.39,14.70,14.96,17200,14.96
2015-07-06,14.00,14.70,14.00,14.61,6800,14.61
2015-07-03,14.50,14.70,14.15,14.46,12800,14.46
2015-07-02,14.70,14.85,14.35,14.53,14100,14.53
2015-07-01,14.01,14.95,14.00,14.70,12900,14.70
2015-06-30,14.90,14.90,13.80,14.35,8600,14.35
2015-06-29,14.55,14.70,14.20,14.25,19500,14.25
2015-06-26,15.15,15.20,14.60,14.90,10100,14.90
2015-06-25,15.00,15.75,14.65,15.30,16800,15.30
2015-06-24,14.60,15.05,14.35,15.05,33800,15.05
2015-06-23,14.45,14.45,14.00,14.35,7200,14.35
2015-06-22,14.50,14.50,13.85,14.05,11500,14.05
2015-06-19,13.70,14.15,13.25,14.05,11100,14.05
2015-06-18,13.45,13.70,13.15,13.60,13900,13.60
2015-06-17,13.25,13.50,13.00,13.40,13700,13.40
2015-06-16,13.35,13.75,13.05,13.10,5400,13.10
2015-06-15,14.05,14.05,13.40,13.40,8200,13.40
2015-06-12,14.05,14.05,13.35,13.60,9300,13.60
2015-06-11,13.80,14.35,13.55,13.55,19100,13.55
2015-06-10,13.30,13.85,13.30,13.80,12100,13.80
2015-06-09,13.70,13.70,13.05,13.20,28000,13.20
2015-06-08,13.85,13.90,13.70,13.70,8400,13.70
2015-06-05,14.10,14.30,13.85,13.90,24900,13.90
2015-06-04,14.50,14.95,14.10,14.50,6600,14.50
2015-06-03,14.05,14.90,13.90,14.65,34400,14.65
2015-06-02,15.00,15.35,14.25,14.30,25800,14.30
2015-06-01,15.35,16.10,15.00,15.15,33500,15.15
2015-05-29,16.50,16.63,16.00,16.19,15800,16.19
2015-05-28,16.55,17.20,16.02,16.55,45300,16.55
2015-05-27,17.05,17.17,15.85,16.23,54500,16.23
2015-05-26,17.05,17.84,16.30,17.25,118000,17.25
2015-05-25,19.75,20.37,17.79,17.79,121000,17.79
2015-05-22,17.99,21.00,17.51,19.76,464200,19.76
2015-05-21,15.00,17.74,14.75,17.74,192900,17.74
2015-05-20,14.55,15.70,14.06,14.79,191300,14.79
2015-05-19,13.50,13.76,13.40,13.67,12300,13.67
2015-05-18,13.50,13.60,13.30,13.50,6200,13.50
2015-05-15,13.40,13.77,13.11,13.45,1000,13.45
2015-05-14,13.74,13.90,13.16,13.21,1400,13.21
2015-05-13,13.99,13.99,13.07,13.57,7900,13.57
2015-05-12,12.95,13.70,12.95,13.65,9000,13.65
2015-05-11,13.85,13.88,13.10,13.83,8900,13.83
2015-05-08,14.75,14.75,12.73,13.90,5100,13.90
2015-05-07,12.75,13.80,12.64,13.27,19200,13.27
2015-05-06,13.70,13.70,13.16,13.63,10200,13.63
2015-05-05,13.49,13.89,13.10,13.60,10200,13.60
2015-05-04,13.09,13.50,12.81,13.17,3800,13.17
2015-05-01,13.09,13.09,13.09,13.09,000,13.09
2015-04-30,12.00,13.20,12.00,13.09,1500,13.09
2015-04-29,12.90,13.15,12.60,12.81,1700,12.81
2015-04-28,13.18,13.18,12.30,12.96,5600,12.96
2015-04-27,15.00,15.00,12.50,12.85,21800,12.85
2015-04-24,13.25,14.00,13.05,13.72,7400,13.72
2015-04-23,13.90,13.90,13.10,13.17,3200,13.17
2015-04-22,13.99,13.99,13.25,13.54,5000,13.54
2015-04-21,13.55,14.00,13.35,13.72,7900,13.72
2015-04-20,14.40,14.60,14.00,14.05,12300,14.05
2015-04-17,13.70,14.50,13.42,14.02,9000,14.02
2015-04-16,13.55,13.85,13.40,13.60,9800,13.60
2015-04-15,13.50,14.00,13.21,13.62,2100,13.62
2015-04-14,13.62,13.62,13.62,13.62,000,13.62
2015-04-13,13.50,13.90,13.42,13.62,3200,13.62
2015-04-10,13.65,13.70,13.26,13.34,6400,13.34
2015-04-09,13.69,14.00,13.16,13.63,8000,13.63
2015-04-08,13.98,13.98,12.41,13.51,6100,13.51
2015-04-07,12.25,13.50,12.25,13.30,11600,13.30
2015-04-06,12.00,13.00,12.00,12.85,11700,12.85
2015-04-03,12.23,12.23,12.23,12.23,000,12.23
2015-04-02,12.23,12.23,12.23,12.23,000,12.23
2015-04-01,12.10,12.30,11.95,12.23,19600,12.23
2015-03-31,12.15,12.99,12.15,12.50,500,12.50
2015-03-30,12.00,13.00,12.00,12.85,10300,12.85
2015-03-27,12.00,12.54,12.00,12.35,1400,12.35
2015-03-26,11.61,12.10,11.60,11.94,11500,11.94
2015-03-25,11.12,12.95,11.12,12.30,2500,12.30
2015-03-24,12.05,12.55,12.00,12.31,7600,12.31
2015-03-23,12.11,12.29,11.90,11.90,1900,11.90
2015-03-20,12.40,12.75,12.23,12.34,2000,12.34
2015-03-19,12.60,12.90,12.55,12.69,6600,12.69
