Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,24.65,25.40,24.60,25.00,36600,24.25
2015-07-16,26.20,26.20,24.70,25.30,22700,24.54
2015-07-15,25.70,26.15,25.50,25.95,26300,25.17
2015-07-14,26.50,26.50,25.50,26.00,56500,25.22
2015-07-13,26.60,27.80,25.60,26.10,68500,25.32
2015-07-10,25.50,26.90,25.50,26.60,84000,25.80
2015-07-09,25.00,25.90,24.45,25.75,94900,24.98
2015-07-08,25.00,25.10,24.10,24.70,25500,23.96
2015-07-07,25.75,26.35,24.55,25.00,36200,24.25
2015-07-06,24.65,26.00,24.65,25.50,7000,24.74
2015-07-03,25.00,26.00,24.85,25.45,31000,24.69
2015-07-02,25.50,26.50,25.50,25.80,76300,25.03
2015-07-01,24.50,25.55,24.50,25.35,79400,24.59
2015-06-30,23.75,24.40,23.50,24.35,21300,23.62
2015-06-29,23.25,24.00,22.85,23.50,12700,22.80
2015-06-26,23.50,24.00,23.10,23.55,31300,22.84
2015-06-25,22.65,23.85,22.65,23.40,34100,22.70
2015-06-24,22.35,23.70,22.35,23.30,20200,22.60
2015-06-23,24.00,24.40,22.50,23.15,27000,22.46
2015-06-22,22.75,23.60,22.10,23.60,81300,22.89
2015-06-19,22.50,22.50,22.00,22.50,113200,21.83
2015-06-18,20.50,21.45,20.50,21.45,37100,20.81
2015-06-17,19.80,20.50,19.80,20.45,20800,19.84
2015-06-16,20.00,20.30,19.80,20.15,20700,19.55
2015-06-15,19.10,20.45,19.05,20.15,35800,19.55
2015-06-12,19.75,19.75,19.30,19.50,2500,18.92
2015-06-11,19.70,19.90,19.20,19.45,7700,18.87
2015-06-10,19.50,20.30,19.10,19.85,30400,19.25
2015-06-09,19.50,19.75,19.15,19.35,18000,18.77
2015-06-08,19.25,19.90,19.25,19.35,14300,18.77
2015-06-05,18.85,19.55,18.85,19.55,23000,18.96
2015-06-04,18.50,19.40,17.70,19.05,31000,18.48
2015-06-03,18.90,19.00,18.30,18.50,15400,17.95
2015-06-02,19.40,19.70,19.05,19.25,11200,18.67
2015-06-01,20.00,20.00,19.55,19.55,11300,18.96
2015-05-29,19.70,20.00,19.70,19.90,31000,19.30
2015-05-28,19.70,20.50,19.30,20.00,47600,19.40
2015-05-27,19.60,19.75,19.50,19.55,13700,18.96
2015-05-26,20.45,20.45,19.50,19.65,46500,19.06
2015-05-25,20.25,20.25,19.85,19.90,44800,19.30
2015-05-22,20.25,20.25,19.85,19.95,267900,19.35
2015-05-21,19.65,20.00,19.45,20.00,34700,19.40
2015-05-20,20.35,20.70,19.60,20.00,27600,19.40
2015-05-19,20.05,20.30,19.75,19.75,2500,19.16
2015-05-18,19.65,20.40,19.65,20.10,3700,19.50
2015-05-15,20.00,20.00,19.65,19.80,11000,19.21
2015-05-14,19.60,20.00,19.50,19.90,3000,19.30
2015-05-13,21.00,21.00,20.05,20.05,27100,19.45
2015-05-12,21.70,21.75,21.05,21.10,11400,20.47
2015-05-11,21.95,22.45,21.95,22.15,6600,21.49
2015-05-08,20.45,21.40,20.45,21.40,12900,20.76
2015-05-07,21.00,21.85,20.40,20.40,3600,19.79
2015-05-06,22.05,22.40,21.35,21.35,17700,20.71
2015-05-05,22.60,23.00,21.80,22.45,31700,21.78
2015-05-04,22.50,22.60,22.10,22.10,11000,21.44
2015-05-01,22.70,22.70,22.70,22.70,000,22.02
2015-04-30,21.70,23.60,21.70,22.70,39400,22.02
2015-04-29,22.50,22.50,21.45,22.50,6600,21.83
2015-04-28,21.65,22.50,21.40,21.90,10700,21.24
2015-04-27,22.55,23.35,22.30,22.30,33300,21.63
2015-04-24,24.00,24.25,23.20,23.45,51200,22.75
2015-04-23,23.10,23.95,23.10,23.70,12000,22.99
2015-04-22,23.65,24.10,23.00,23.25,2600,22.55
2015-04-21,22.60,23.50,22.55,23.50,10300,22.80
2015-04-20,23.65,23.95,22.75,22.90,14100,22.21
2015-04-17,22.70,24.00,22.70,23.90,10400,23.18
2015-04-16,23.25,24.00,22.85,23.50,6200,22.80
2015-04-15,25.50,25.50,23.40,23.95,16200,23.23
2015-04-14,24.60,24.60,24.60,24.60,000,23.86
2015-04-13,23.60,24.65,23.60,24.60,55500,23.86
2015-04-10,23.40,23.55,22.35,23.50,43000,22.80
2015-04-09,22.55,22.65,22.40,22.45,3400,21.78
2015-04-08,21.85,23.45,21.65,23.35,11900,22.65
2015-04-07,22.65,22.65,22.35,22.35,15200,21.68
2015-04-06,23.15,24.05,23.10,23.50,40500,22.80
2015-04-03,22.95,22.95,22.95,22.95,000,22.26
2015-04-02,22.95,22.95,22.95,22.95,000,22.26
2015-04-01,22.90,22.95,22.90,22.95,36600,22.26
2015-03-31,21.90,21.90,21.90,21.90,4000,21.24
2015-03-30,20.85,20.90,20.85,20.90,1900,20.27
2015-03-27,19.20,20.30,19.15,19.95,22700,19.35
2015-03-26,20.10,21.00,19.95,19.95,20500,19.35
2015-03-25,21.75,21.75,20.60,21.00,14500,20.37
2015-03-24,20.60,21.30,20.60,21.00,25000,20.37
2015-03-23,20.50,21.20,20.50,20.75,18700,20.13
2015-03-20,20.50,20.60,20.50,20.60,20200,19.98
2015-03-19,18.50,19.65,18.50,19.65,42200,19.06
2015-03-18,18.65,19.40,18.35,18.75,7400,18.19
2015-03-17,17.85,19.60,17.85,19.00,7400,18.43
2015-03-16,20.00,20.00,18.60,18.75,14500,18.19
2015-03-13,20.20,20.20,19.05,19.20,17800,18.62
2015-03-12,19.60,20.00,19.60,20.00,2900,19.40
2015-03-11,20.40,21.40,19.55,20.10,23300,19.50
2015-03-10,20.40,20.40,20.00,20.40,52700,19.79
2015-03-09,18.85,19.45,18.85,19.45,30300,18.87
2015-03-06,18.55,18.55,18.55,18.55,000,17.99
2015-03-05,18.30,18.70,18.25,18.55,9700,17.99
2015-03-04,19.15,19.30,19.15,19.15,4900,18.58
2015-03-03,19.35,19.70,18.45,19.70,14900,19.11
2015-03-02,19.40,19.40,18.75,18.80,10900,18.24
2015-02-27,19.00,19.20,19.00,19.20,1200,18.62
2015-02-26,19.60,19.60,18.70,19.10,2900,18.53
2015-02-25,19.55,19.90,19.10,19.10,8600,18.53
2015-02-24,19.50,20.30,19.50,20.00,7900,19.40
2015-02-23,20.25,20.30,19.75,20.15,14500,19.55
2015-02-20,18.45,19.35,18.15,19.35,11300,18.77
2015-02-19,18.60,18.75,18.45,18.45,5600,17.90
2015-02-18,18.25,19.40,18.25,18.95,3000,18.38
2015-02-17,18.60,18.60,18.60,18.60,000,18.04
2015-02-16,18.50,19.00,18.50,18.60,8100,18.04
2015-02-13,18.40,19.10,18.40,18.80,5200,18.24
2015-02-12,18.80,18.80,18.80,18.80,200,18.24
2015-02-11,18.45,19.00,18.25,18.95,8800,18.38
2015-02-10,18.50,19.20,18.30,18.95,10600,18.38
2015-02-09,18.25,18.35,18.25,18.35,1500,17.80
2015-02-06,19.00,19.55,18.55,18.60,3100,18.04
2015-02-05,20.00,20.30,19.20,19.40,13900,18.82
2015-02-04,20.40,20.75,19.50,19.80,23000,19.21
2015-02-03,20.20,20.85,19.75,20.00,11400,19.40
2015-02-02,20.55,21.15,20.45,20.75,8800,20.13
2015-01-30,22.00,22.00,21.10,21.30,4400,20.66
2015-01-29,21.65,21.70,20.90,21.70,31200,21.05
2015-01-28,20.75,21.30,20.40,21.30,22200,20.66
2015-01-27,23.65,23.65,21.45,21.45,102300,20.81
