Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,70.20,71.00,70.10,70.25,700,70.25
2015-07-16,72.50,72.50,72.50,72.50,000,72.50
2015-07-15,73.55,73.55,71.00,72.50,500,72.50
2015-07-14,70.30,71.00,70.30,71.00,100,71.00
2015-07-13,68.00,74.00,68.00,74.00,700,74.00
2015-07-10,71.30,71.30,71.30,71.30,000,71.30
2015-07-09,72.80,72.80,68.00,68.00,000,68.00
2015-07-08,71.90,71.90,70.00,71.00,2200,69.75
2015-07-07,68.00,68.80,67.50,68.80,300,67.59
2015-07-06,65.60,65.60,65.55,65.55,100,64.40
2015-07-03,69.00,69.00,69.00,69.00,000,67.79
2015-07-02,71.00,71.00,67.00,68.00,2500,66.80
2015-07-01,64.00,64.75,64.00,64.75,100,63.61
2015-06-30,66.95,67.90,66.95,67.85,300,66.66
2015-06-29,69.70,69.70,65.00,65.00,100,63.86
2015-06-26,69.80,69.85,65.00,65.10,1100,63.95
2015-06-25,67.35,69.40,65.05,67.20,100,66.02
2015-06-24,71.35,71.35,69.40,69.40,000,68.18
2015-06-23,71.70,71.70,64.55,67.50,700,66.31
2015-06-22,71.40,71.40,66.95,69.35,000,68.13
2015-06-19,68.90,68.90,68.00,68.00,000,66.80
2015-06-18,73.85,73.85,64.10,67.55,300,66.36
2015-06-17,70.30,70.30,66.10,66.70,000,65.53
2015-06-16,62.60,70.45,62.60,69.65,200,68.42
2015-06-15,69.65,69.65,69.65,69.65,000,68.42
2015-06-12,73.50,73.50,66.00,69.65,600,68.42
2015-06-11,69.85,69.85,69.85,69.85,000,68.62
2015-06-10,61.05,70.00,61.05,69.85,000,68.62
2015-06-09,66.00,70.50,61.15,67.95,100,66.75
2015-06-08,71.90,71.90,71.90,71.90,000,70.63
2015-06-05,71.90,71.90,71.90,71.90,000,70.63
2015-06-04,70.00,72.00,66.50,71.90,900,70.63
2015-06-03,79.50,79.50,70.00,71.25,1200,70.00
2015-06-02,67.40,67.40,67.40,67.40,000,66.21
2015-06-01,67.40,67.40,67.40,67.40,000,66.21
2015-05-29,67.40,67.40,67.40,67.40,000,66.21
2015-05-28,67.40,67.40,67.40,67.40,000,66.21
2015-05-27,74.90,75.00,74.90,74.95,000,73.63
2015-05-26,72.60,72.60,71.95,72.00,3100,70.73
2015-05-25,74.95,78.00,74.95,77.00,900,75.64
2015-05-22,73.00,73.00,73.00,73.00,000,71.71
2015-05-21,70.00,73.00,70.00,73.00,700,71.71
2015-05-20,66.70,69.70,66.70,69.70,100,68.47
2015-05-19,71.75,71.75,71.75,71.75,000,70.49
2015-05-18,68.70,68.70,68.70,71.75,200,70.49
2015-05-15,70.50,70.50,70.50,70.50,000,69.26
2015-05-14,76.25,76.25,70.50,70.50,700,69.26
2015-05-13,68.10,68.10,68.10,68.10,000,66.90
2015-05-12,68.10,68.10,68.10,68.10,000,66.90
2015-05-11,70.00,70.00,70.00,70.00,000,68.77
2015-05-08,70.00,70.00,70.00,70.00,000,68.77
2015-05-07,70.00,70.00,70.00,70.00,000,68.77
2015-05-06,70.00,70.00,70.00,70.00,400,68.77
2015-05-05,74.90,76.90,74.90,75.30,1100,73.97
2015-05-04,72.00,72.00,72.00,72.00,000,70.73
2015-05-01,72.00,72.00,72.00,72.00,000,70.73
2015-04-30,72.00,72.00,72.00,72.00,000,70.73
2015-04-29,86.00,86.00,69.00,77.40,300,76.04
2015-04-28,72.90,72.90,72.90,72.90,100,71.62
2015-04-27,72.30,72.30,72.30,72.30,000,71.03
2015-04-24,76.50,76.50,72.30,72.30,800,71.03
2015-04-23,75.00,81.60,75.00,80.30,4100,78.89
2015-04-22,90.00,90.00,72.00,77.00,900,75.64
2015-04-21,78.30,78.30,78.30,78.30,000,76.92
2015-04-20,79.40,79.40,78.30,78.30,2100,76.92
2015-04-17,73.55,73.55,73.55,73.55,000,72.26
2015-04-16,74.70,74.80,69.45,73.55,2000,72.26
2015-04-15,70.30,70.30,70.30,70.30,000,69.06
2015-04-14,70.30,70.30,70.30,70.30,000,69.06
2015-04-13,68.00,70.30,68.00,70.30,000,69.06
2015-04-10,79.60,79.70,72.00,73.60,1100,72.30
2015-04-09,78.40,78.40,76.00,77.60,000,76.23
2015-04-08,83.00,83.00,73.75,75.05,5700,73.73
2015-04-07,70.10,81.35,67.80,78.70,5200,77.31
2015-04-06,67.80,67.80,67.80,67.80,000,66.61
2015-04-03,67.80,67.80,67.80,67.80,000,66.61
2015-04-02,67.80,67.80,67.80,67.80,000,66.61
2015-04-01,61.00,69.00,61.00,67.80,500,66.61
2015-03-31,65.25,65.25,65.25,65.25,000,64.10
2015-03-30,65.25,65.25,65.25,65.25,000,64.10
2015-03-27,65.45,65.45,65.25,65.25,100,64.10
2015-03-26,67.95,77.50,62.50,65.65,2900,64.49
2015-03-25,65.10,65.10,65.10,65.10,000,63.95
2015-03-24,65.10,65.10,65.10,65.10,000,63.95
2015-03-23,65.00,65.10,65.00,65.10,000,63.95
2015-03-20,65.05,74.80,65.05,68.30,1400,67.10
2015-03-19,78.00,78.00,70.75,72.60,3600,71.32
2015-03-18,72.45,72.45,67.10,69.00,2300,67.79
2015-03-17,72.00,72.00,63.15,63.25,400,62.14
2015-03-16,60.00,70.00,60.00,67.00,100,65.82
2015-03-13,68.00,69.50,67.00,67.45,100,66.26
2015-03-12,79.00,79.00,68.00,68.85,3600,67.64
2015-03-11,74.00,74.00,74.00,74.00,000,72.70
2015-03-10,74.80,74.80,74.00,74.00,000,72.70
2015-03-09,73.70,73.70,68.00,70.40,000,69.16
2015-03-06,72.90,72.90,72.90,72.90,000,71.62
2015-03-05,71.10,72.90,71.10,72.90,200,71.62
2015-03-04,69.20,76.95,69.20,72.00,7200,70.73
2015-03-03,71.55,75.00,71.50,72.25,900,70.98
2015-03-02,73.80,78.00,73.80,74.25,200,72.94
2015-02-27,69.35,69.35,69.35,69.35,000,68.13
2015-02-26,68.00,73.80,68.00,69.35,000,68.13
2015-02-25,75.90,76.00,72.30,72.30,3500,71.03
2015-02-24,74.00,74.00,74.00,74.00,000,72.70
2015-02-23,74.85,74.85,74.85,74.85,000,73.53
2015-02-20,74.85,74.85,74.85,74.85,500,73.53
2015-02-19,72.05,73.80,63.00,73.80,700,72.50
2015-02-18,72.00,77.90,71.10,72.05,8700,70.78
2015-02-17,72.00,72.00,72.00,72.00,000,70.73
2015-02-16,70.00,72.00,70.00,72.00,1500,70.73
2015-02-13,70.00,73.90,70.00,73.90,7100,72.60
2015-02-12,74.00,74.00,74.00,74.00,100,72.70
2015-02-11,76.00,76.00,76.00,76.00,000,74.66
2015-02-10,78.50,78.50,76.00,76.00,2700,74.66
2015-02-09,73.00,73.00,73.00,73.00,000,71.71
2015-02-06,72.70,72.70,72.70,72.70,200,71.42
2015-02-05,74.85,74.85,74.85,74.85,000,73.53
2015-02-04,74.85,74.85,74.85,74.85,000,73.53
2015-02-03,70.10,74.85,70.00,74.85,13300,73.53
2015-02-02,74.95,76.90,74.95,75.60,000,74.27
2015-01-30,74.00,77.00,72.05,72.50,500,71.22
2015-01-29,79.00,79.00,71.05,72.00,800,70.73
2015-01-28,77.60,78.00,77.60,78.00,000,76.63
2015-01-27,77.60,77.60,77.60,77.60,2700,76.23
2015-01-26,75.25,75.25,75.25,75.25,000,73.93
2015-01-23,75.25,75.25,75.25,75.25,000,73.93
2015-01-22,75.00,79.65,75.00,79.65,500,78.25
2015-01-21,77.80,77.80,77.80,77.80,000,76.43
2015-01-20,78.80,78.80,77.00,77.80,700,76.43
2015-01-19,77.00,77.00,73.00,74.50,3000,73.19
2015-01-16,74.25,74.25,74.25,74.25,000,72.94
2015-01-15,75.20,78.35,75.20,78.35,000,76.97
2015-01-14,78.45,78.45,78.45,78.45,000,77.07
2015-01-13,78.80,78.80,78.45,78.45,2900,77.07
2015-01-12,79.50,79.50,79.50,79.50,200,78.10
2015-01-09,73.00,73.00,73.00,73.00,000,71.71
2015-01-08,73.00,73.00,73.00,73.00,000,71.71
2015-01-07,75.00,75.00,70.15,73.00,500,71.71
2015-01-06,75.00,78.90,75.00,75.00,800,73.68
2015-01-05,76.00,79.70,76.00,76.00,7100,74.66
2015-01-02,80.00,80.00,76.00,76.00,8100,74.66
2015-01-01,77.05,77.05,75.25,75.25,4000,73.93
2014-12-31,77.00,79.00,76.00,78.90,1100,77.51
2014-12-30,79.00,80.00,79.00,79.00,500,77.61
2014-12-29,79.25,81.00,77.00,81.00,1900,79.57
2014-12-26,77.65,80.05,77.65,79.00,2200,77.61
2014-12-25,80.00,80.00,80.00,80.00,000,78.59
2014-12-24,80.00,80.00,78.00,80.00,1500,78.59
2014-12-23,79.50,79.50,79.50,79.50,000,78.10
2014-12-22,78.00,78.00,75.25,75.25,100,73.93
2014-12-19,77.00,81.00,77.00,79.05,3200,77.66
2014-12-18,80.80,80.80,80.80,80.80,000,79.38
2014-12-17,79.95,81.00,79.95,80.80,2400,79.38
2014-12-16,81.00,81.00,80.90,81.00,2000,79.57
2014-12-15,79.00,79.00,79.00,79.00,000,77.61
2014-12-12,79.00,79.00,79.00,79.00,000,77.61
2014-12-11,79.00,79.00,79.00,79.00,000,77.61
2014-12-10,78.75,80.00,78.75,79.00,6800,77.61
2014-12-09,79.00,79.00,79.00,79.00,000,77.61
2014-12-08,79.25,79.25,75.55,76.65,1000,75.30
2014-12-05,78.75,78.75,78.75,78.75,000,77.36
2014-12-04,81.50,87.00,78.75,78.75,200,77.36
2014-12-03,76.70,76.70,76.55,76.55,500,75.20
2014-12-02,80.00,81.00,80.00,81.00,200,79.57
2014-12-01,81.50,81.50,81.50,81.50,000,80.07
2014-11-28,81.50,81.50,81.50,81.50,100,80.07
2014-11-27,80.00,83.60,80.00,81.25,1500,79.82
2014-11-26,72.35,72.35,72.35,72.35,200,71.08
2014-11-25,75.20,77.00,75.15,77.00,000,75.64
2014-11-24,79.00,80.00,76.30,76.30,2000,74.96
