Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,29.00,29.00,28.20,28.50,2500,28.50
2015-07-16,28.55,28.55,28.50,28.55,300,28.55
2015-07-15,31.00,31.00,29.50,29.50,500,29.50
2015-07-14,37.40,37.40,30.25,30.50,1400,30.50
2015-07-13,30.90,32.85,30.50,31.40,9700,31.40
2015-07-10,27.50,27.60,27.40,27.60,1100,27.60
2015-07-09,27.70,27.90,27.70,27.90,000,27.90
2015-07-08,29.25,29.25,27.70,27.95,2400,27.95
2015-07-07,32.00,32.50,29.60,29.60,4100,29.60
2015-07-06,30.10,33.95,28.10,31.10,1800,31.10
2015-07-03,29.00,29.00,28.60,28.95,600,28.95
2015-07-02,31.35,31.40,29.00,29.00,3300,29.00
2015-07-01,30.20,30.20,30.10,30.10,400,30.10
2015-06-30,30.10,31.30,28.70,30.85,1200,30.85
2015-06-29,28.00,29.90,28.00,29.90,400,29.90
2015-06-26,28.10,30.50,28.10,29.90,1600,29.90
2015-06-25,27.60,30.80,27.60,27.70,300,27.70
2015-06-24,28.60,28.60,28.60,28.60,000,28.60
2015-06-23,28.60,28.60,28.60,28.60,000,28.60
2015-06-22,31.00,32.00,29.20,30.95,1200,30.95
2015-06-19,30.50,30.50,30.50,30.50,000,30.50
2015-06-18,31.70,31.70,29.50,30.50,400,30.50
2015-06-17,32.00,32.00,28.50,30.60,1400,30.60
2015-06-16,29.40,29.80,28.85,28.85,200,28.85
2015-06-15,27.50,29.85,27.50,29.40,800,29.40
2015-06-12,28.20,28.50,28.00,28.40,600,28.40
2015-06-11,26.50,30.00,26.50,29.00,5100,29.00
2015-06-10,28.85,28.85,27.70,27.70,600,27.70
2015-06-09,26.50,28.60,26.50,27.20,1200,27.20
2015-06-08,25.80,29.50,24.00,26.55,53700,26.55
2015-06-05,26.45,26.75,26.00,26.65,1100,26.65
2015-06-04,23.25,25.00,23.25,24.85,500,24.85
2015-06-03,27.00,29.80,24.40,24.85,6200,24.85
2015-06-02,29.35,29.35,27.00,27.50,1400,27.50
2015-06-01,27.20,27.50,27.20,27.25,800,27.25
2015-05-29,29.75,29.85,27.55,28.00,5600,28.00
2015-05-28,33.00,33.00,32.00,32.00,800,32.00
2015-05-27,33.00,33.00,33.00,33.00,000,33.00
2015-05-26,33.00,33.00,33.00,33.00,000,33.00
2015-05-25,33.50,34.10,33.00,33.00,1200,33.00
2015-05-22,31.50,31.50,31.50,31.50,100,31.50
2015-05-21,31.60,31.60,31.10,31.20,000,31.20
2015-05-20,33.30,34.80,31.10,31.55,2800,31.55
2015-05-19,31.00,31.00,31.00,31.00,1000,31.00
2015-05-18,32.00,33.35,31.00,32.70,2500,32.70
2015-05-15,34.70,34.70,30.30,32.55,400,32.55
2015-05-14,30.60,33.60,30.60,33.60,100,33.60
2015-05-13,30.00,33.45,30.00,33.45,400,33.45
2015-05-12,31.40,31.40,31.40,31.40,200,31.40
2015-05-11,32.50,32.50,32.50,32.50,000,32.50
2015-05-08,33.00,33.00,32.50,32.50,900,32.50
2015-05-07,32.25,32.25,32.25,32.25,100,32.25
2015-05-06,33.90,33.90,33.90,33.90,000,33.90
2015-05-05,33.90,33.90,33.90,33.90,000,33.90
2015-05-04,33.90,33.90,33.90,33.90,000,33.90
2015-05-01,33.90,33.90,33.90,33.90,000,33.90
2015-04-30,33.90,33.90,33.90,33.90,000,33.90
2015-04-29,33.90,33.90,33.90,33.90,100,33.90
2015-04-28,32.90,32.95,32.90,32.95,000,32.95
2015-04-27,31.45,32.95,30.60,30.80,1100,30.80
2015-04-24,35.05,35.05,34.00,34.00,400,34.00
2015-04-23,38.00,38.00,35.00,35.85,300,35.85
2015-04-22,38.00,38.00,35.50,37.30,000,37.30
2015-04-21,36.45,36.45,36.45,36.45,000,36.45
2015-04-20,38.00,38.60,35.05,36.45,200,36.45
2015-04-17,37.00,38.00,36.00,36.00,100,36.00
2015-04-16,38.05,38.05,36.05,36.05,1900,36.05
2015-04-15,38.50,38.60,37.50,37.50,200,37.50
2015-04-14,37.35,37.35,37.35,37.35,000,37.35
2015-04-13,40.10,40.10,37.25,37.35,2700,37.35
2015-04-10,38.00,40.00,38.00,39.45,1200,39.45
2015-04-09,36.70,36.70,36.70,36.70,000,36.70
2015-04-08,36.70,36.70,36.70,36.70,000,36.70
2015-04-07,41.00,41.00,37.00,39.40,1200,39.40
2015-04-06,36.00,38.70,36.00,38.65,400,38.65
2015-04-03,34.85,34.85,34.85,34.85,000,34.85
2015-04-02,34.85,34.85,34.85,34.85,000,34.85
2015-04-01,34.10,34.85,34.10,34.85,200,34.85
2015-03-31,34.80,35.90,34.25,35.90,9400,35.90
2015-03-30,34.05,35.00,33.75,34.15,3900,34.15
2015-03-27,33.20,34.00,33.20,34.00,900,34.00
2015-03-26,38.45,38.45,33.65,33.65,400,33.65
2015-03-25,34.05,39.35,33.60,34.90,2700,34.90
2015-03-24,37.40,39.80,35.00,35.05,2300,35.05
2015-03-23,38.00,39.05,37.05,37.05,200,37.05
2015-03-20,42.60,42.60,38.40,38.40,300,38.40
2015-03-19,37.80,40.00,37.80,37.95,800,37.95
2015-03-18,40.50,42.80,38.30,38.40,3000,38.40
2015-03-17,41.50,41.95,39.50,39.75,1300,39.75
2015-03-16,40.00,40.00,40.00,40.00,300,40.00
2015-03-13,39.00,41.50,39.00,40.25,300,40.25
2015-03-12,41.50,41.95,39.65,40.25,3700,40.25
2015-03-11,42.80,42.80,40.10,40.20,1600,40.20
2015-03-10,42.10,42.10,42.10,42.10,000,42.10
2015-03-09,43.05,44.00,42.00,42.10,4900,42.10
2015-03-06,43.10,43.10,43.10,43.10,000,43.10
2015-03-05,43.20,43.55,43.05,43.10,400,43.10
2015-03-04,43.35,44.50,43.05,43.05,800,43.05
2015-03-03,40.10,45.10,40.10,43.20,2600,43.20
2015-03-02,41.40,44.45,40.40,44.45,9600,44.45
2015-02-27,40.40,42.80,40.40,42.80,1400,42.80
2015-02-26,40.50,42.50,40.50,40.50,1400,40.50
2015-02-25,43.75,43.75,40.00,42.55,20100,42.55
2015-02-24,39.15,43.95,39.15,42.40,6200,42.40
2015-02-23,43.80,46.45,41.00,41.95,11600,41.95
2015-02-20,38.85,45.00,37.00,43.25,47700,43.25
2015-02-19,36.00,38.05,36.00,37.55,000,37.55
2015-02-18,36.65,38.00,36.65,37.95,1800,37.95
2015-02-17,38.00,38.00,38.00,38.00,000,38.00
2015-02-16,37.85,38.00,37.85,38.00,200,38.00
2015-02-13,37.65,37.95,36.55,37.25,200,37.25
2015-02-12,40.00,40.00,35.05,36.40,6200,36.40
2015-02-11,37.50,37.50,37.50,37.50,000,37.50
2015-02-10,38.05,38.10,37.20,37.50,200,37.50
2015-02-09,37.40,38.00,37.40,38.00,000,38.00
2015-02-06,40.05,40.05,39.75,39.75,600,39.75
2015-02-05,40.80,42.00,40.70,40.75,000,40.75
2015-02-04,40.80,43.50,40.80,43.50,100,43.50
2015-02-03,41.10,41.55,41.10,41.35,400,41.35
2015-02-02,42.35,44.45,42.35,42.55,700,42.55
2015-01-30,45.00,45.00,45.00,45.00,000,45.00
2015-01-29,43.00,45.00,43.00,45.00,000,45.00
2015-01-28,45.05,45.05,45.05,45.05,000,45.05
2015-01-27,44.35,47.60,44.35,45.05,2400,45.05
2015-01-26,44.20,44.20,44.20,44.20,000,44.20
2015-01-23,43.85,44.20,43.85,44.20,1200,44.20
2015-01-22,45.30,46.40,44.25,44.40,500,44.40
2015-01-21,43.70,45.00,43.70,44.55,1000,44.55
2015-01-20,44.55,46.90,44.55,45.25,400,45.25
2015-01-19,48.00,49.00,46.30,46.35,1500,46.35
2015-01-16,49.00,49.00,44.15,44.15,900,44.15
2015-01-15,47.90,51.15,37.15,46.25,14800,46.25
2015-01-14,42.10,43.00,42.00,42.65,300,42.65
2015-01-13,43.15,43.15,43.15,43.15,000,43.15
2015-01-12,42.55,45.00,42.55,45.00,200,45.00
2015-01-09,43.00,46.85,43.00,46.45,4100,46.45
2015-01-08,42.15,45.90,42.15,42.60,700,42.60
2015-01-07,47.90,47.90,42.20,42.30,300,42.30
2015-01-06,43.50,44.00,43.50,43.60,300,43.60
2015-01-05,42.60,44.00,42.60,44.00,500,44.00
2015-01-02,42.00,42.00,42.00,42.00,000,42.00
2015-01-01,40.00,42.85,40.00,42.00,300,42.00
2014-12-31,40.05,40.05,40.05,40.05,000,40.05
2014-12-30,40.05,41.80,40.00,40.05,1600,40.05
2014-12-29,42.00,42.00,42.00,42.00,000,42.00
2014-12-26,40.00,42.90,40.00,42.00,000,42.00
