Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,103.90,104.75,102.05,103.25,697900,103.25
2015-07-16,106.20,106.50,103.00,103.50,1005700,103.50
2015-07-15,101.90,106.25,101.90,105.40,1563200,105.40
2015-07-14,102.00,102.90,99.60,100.50,1777100,100.50
2015-07-13,103.95,104.00,100.50,101.75,1946800,101.75
2015-07-10,107.30,109.05,106.50,107.90,1257000,107.90
2015-07-09,107.40,109.95,105.70,106.45,904700,106.45
2015-07-08,109.50,112.85,105.90,106.65,1893600,106.65
2015-07-07,104.70,113.25,104.50,110.60,2390400,110.60
2015-07-06,99.75,104.50,99.15,103.95,570700,103.95
2015-07-03,101.40,103.45,101.25,101.55,509300,101.55
2015-07-02,102.55,103.55,100.65,101.15,412300,101.15
2015-07-01,100.50,103.45,100.30,102.00,485000,102.00
2015-06-30,99.75,101.90,99.60,100.30,483800,100.30
2015-06-29,100.90,101.10,98.00,100.05,626000,100.05
2015-06-26,105.80,105.80,103.10,103.50,478800,103.50
2015-06-25,103.55,106.55,102.55,105.85,527800,105.85
2015-06-24,106.00,106.35,102.70,103.55,522300,103.55
2015-06-23,104.90,106.40,104.15,105.65,673700,105.65
2015-06-22,104.70,106.80,104.15,104.75,681900,104.75
2015-06-19,102.50,104.75,101.50,103.55,645600,103.55
2015-06-18,101.95,101.55,101.00,101.55,693000,101.55
2015-06-17,102.95,103.00,101.40,101.70,491200,101.70
2015-06-16,102.85,103.40,99.60,101.85,890700,101.85
2015-06-15,97.60,103.85,97.25,102.10,1108200,102.10
2015-06-12,96.00,98.20,95.40,97.55,600200,97.55
2015-06-11,98.40,99.40,95.30,96.65,920000,96.65
2015-06-10,96.45,98.40,96.10,97.50,525100,97.50
2015-06-09,97.85,98.50,95.20,95.75,635600,95.75
2015-06-08,101.00,102.90,97.90,98.35,635100,98.35
2015-06-05,101.55,103.00,100.50,101.00,573500,101.00
2015-06-04,102.60,103.40,100.10,101.90,757500,101.90
2015-06-03,106.45,106.50,100.15,102.00,745000,102.00
2015-06-02,109.40,109.40,106.35,106.65,520700,106.65
2015-06-01,111.00,111.50,108.50,108.80,401400,108.80
2015-05-29,109.90,111.70,109.00,110.60,498800,110.60
2015-05-28,109.40,110.45,108.80,109.25,346100,109.25
2015-05-27,109.95,110.30,108.75,109.15,673500,109.15
2015-05-26,111.90,112.50,110.25,111.05,506500,111.05
2015-05-25,111.60,112.90,109.60,111.50,527200,111.50
2015-05-22,112.70,113.30,110.65,111.30,598000,111.30
2015-05-21,113.00,113.80,111.75,113.25,574100,113.25
