Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,516.50,531.65,516.50,525.45,236300,525.45
2015-07-16,515.05,517.90,509.80,515.00,93200,515.00
2015-07-15,511.40,523.15,508.10,514.30,170700,514.30
2015-07-14,508.80,515.40,505.35,507.40,131100,507.40
2015-07-13,501.40,510.00,498.10,507.25,109500,507.25
2015-07-10,492.80,501.25,491.00,498.30,88400,498.30
2015-07-09,499.00,503.70,486.90,489.40,128300,489.40
2015-07-08,508.70,517.55,492.55,498.65,221700,498.65
2015-07-07,514.60,517.95,504.05,511.20,172500,511.20
2015-07-06,484.90,512.55,477.60,510.20,246700,510.20
2015-07-03,495.80,498.60,485.20,491.25,150500,491.25
2015-07-02,480.10,500.00,480.10,493.60,239400,493.60
2015-07-01,462.10,482.00,462.10,477.35,178400,477.35
2015-06-30,467.00,474.90,463.30,467.10,165200,467.10
2015-06-29,450.00,468.70,439.00,465.45,160100,465.45
2015-06-26,449.90,459.60,446.10,456.50,123100,456.50
2015-06-25,445.15,454.40,445.00,448.75,60400,448.75
2015-06-24,458.00,459.00,442.95,446.30,109000,446.30
2015-06-23,467.10,467.10,455.65,458.65,100300,458.65
2015-06-22,443.00,464.70,443.00,461.80,163100,461.80
2015-06-19,451.00,454.20,444.00,445.95,97900,445.95
2015-06-18,446.90,447.35,443.75,447.35,154200,447.35
2015-06-17,442.00,447.80,438.50,444.00,96100,444.00
2015-06-16,432.35,441.25,424.40,437.50,111100,437.50
2015-06-15,428.10,436.60,427.05,432.50,102200,432.50
2015-06-12,424.85,429.50,421.00,425.90,96200,425.90
2015-06-11,433.80,438.25,422.60,423.85,142500,423.85
2015-06-10,417.10,432.85,417.10,429.15,135800,429.15
2015-06-09,427.00,433.50,415.05,417.80,176100,417.80
2015-06-08,443.00,445.90,426.00,430.80,65900,430.80
2015-06-05,438.00,448.00,432.65,441.80,204900,441.80
2015-06-04,451.90,457.60,441.00,442.70,361200,442.70
2015-06-03,455.00,457.00,434.65,449.30,190400,449.30
2015-06-02,470.90,471.85,451.00,455.35,195300,455.35
2015-06-01,462.90,471.70,462.10,468.00,324200,468.00
2015-05-29,451.00,464.50,448.75,461.90,143100,461.90
2015-05-28,452.20,453.50,440.60,446.10,91600,446.10
2015-05-27,451.00,454.40,447.00,451.00,82000,451.00
2015-05-26,458.00,462.35,452.20,454.70,94900,454.70
2015-05-25,456.00,466.25,455.20,461.70,93600,461.70
2015-05-22,461.00,464.35,454.60,456.15,111100,456.15
2015-05-21,461.00,466.00,451.65,459.90,124100,459.90
2015-05-20,465.00,472.80,460.15,461.60,115900,461.60
2015-05-19,461.80,472.90,456.20,466.45,187900,466.45
2015-05-18,460.00,467.80,452.25,462.75,143500,462.75
2015-05-15,453.10,468.00,453.10,458.80,224700,458.80
2015-05-14,453.00,458.85,448.40,455.40,107300,455.40
2015-05-13,445.90,461.75,444.05,457.85,292500,457.85
2015-05-12,461.55,463.00,440.50,444.85,305500,444.85
2015-05-11,448.00,470.00,446.70,465.50,211600,465.50
2015-05-08,445.25,453.90,435.85,447.30,214900,447.30
2015-05-07,439.35,443.00,421.20,433.90,399500,433.90
2015-05-06,479.90,480.80,439.20,442.00,455200,442.00
2015-05-05,477.00,496.75,474.00,481.60,803600,481.60
2015-05-04,473.70,476.60,448.15,463.60,514900,463.60
2015-05-01,469.50,469.50,469.50,469.50,000,469.50
2015-04-30,464.05,472.20,447.00,469.50,166400,469.50
2015-04-29,457.30,472.95,456.00,464.10,247300,464.10
2015-04-28,431.90,460.05,430.00,455.30,296400,455.30
2015-04-27,438.55,444.80,420.20,430.65,236100,430.65
2015-04-24,452.85,455.90,435.20,438.60,189500,438.60
2015-04-23,461.70,467.00,448.45,452.80,185100,452.80
2015-04-22,472.00,473.65,435.20,460.05,297300,460.05
2015-04-21,475.20,480.85,463.05,469.85,143700,469.85
2015-04-20,491.00,491.00,468.45,474.70,128100,474.70
2015-04-17,493.00,502.00,485.15,490.05,211600,490.05
2015-04-16,500.90,503.90,487.20,493.50,169200,493.50
2015-04-15,508.90,513.00,497.00,501.15,148600,501.15
