Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,2.87,2.87,2.52,2.56,33300,2.56
2015-07-16,2.50,2.69,2.50,2.56,25800,2.56
2015-07-15,2.60,2.71,2.56,2.61,47000,2.61
2015-07-14,2.60,2.67,2.56,2.60,61100,2.60
2015-07-13,2.85,2.85,2.55,2.59,16000,2.59
2015-07-10,2.76,2.80,2.61,2.76,38700,2.76
2015-07-09,2.60,2.79,2.60,2.65,44900,2.65
2015-07-08,2.80,2.86,2.55,2.61,27100,2.61
2015-07-07,2.40,2.87,2.40,2.82,56700,2.82
2015-07-06,2.45,2.55,2.40,2.51,20100,2.51
2015-07-03,2.43,2.45,2.33,2.42,45200,2.42
2015-07-02,2.50,2.56,2.30,2.42,54100,2.42
2015-07-01,2.68,2.82,2.45,2.50,32600,2.50
2015-06-30,2.41,2.59,2.41,2.45,51300,2.45
2015-06-29,2.40,2.45,2.38,2.41,11200,2.41
2015-06-26,2.36,2.59,2.33,2.59,40300,2.59
2015-06-25,2.51,2.51,2.40,2.41,28300,2.41
2015-06-24,2.60,2.61,2.41,2.54,44000,2.54
2015-06-23,2.66,2.70,2.48,2.52,26500,2.52
2015-06-22,2.76,2.76,2.40,2.66,32600,2.66
2015-06-19,2.37,2.50,2.35,2.48,37700,2.48
2015-06-18,2.59,2.59,2.35,2.44,11300,2.44
2015-06-17,2.59,2.59,2.36,2.41,13900,2.41
2015-06-16,2.35,2.48,2.20,2.44,15700,2.44
2015-06-15,2.42,2.42,2.32,2.34,7500,2.34
2015-06-12,2.42,2.49,2.40,2.41,12000,2.41
2015-06-11,2.40,2.50,2.36,2.48,7400,2.48
2015-06-10,2.40,2.59,2.36,2.48,16100,2.48
2015-06-09,2.49,2.59,2.36,2.42,54900,2.42
2015-06-08,2.60,2.60,2.50,2.50,15500,2.50
2015-06-05,2.53,2.65,2.40,2.60,12600,2.60
2015-06-04,2.60,2.70,2.55,2.60,12700,2.60
2015-06-03,2.79,2.79,2.45,2.55,20300,2.55
2015-06-02,2.74,2.83,2.46,2.67,32200,2.67
2015-06-01,2.68,2.84,2.55,2.79,27000,2.79
2015-05-29,2.42,2.75,2.41,2.75,14500,2.75
2015-05-28,2.53,2.63,2.31,2.55,43100,2.55
2015-05-27,2.55,2.62,2.50,2.61,59400,2.61
2015-05-26,2.73,2.73,2.30,2.61,51200,2.61
2015-05-25,2.74,2.74,2.52,2.58,10100,2.58
2015-05-22,2.72,2.79,2.51,2.59,45100,2.59
2015-05-21,2.65,2.80,2.60,2.61,39100,2.61
2015-05-20,2.80,2.80,2.70,2.71,36900,2.71
2015-05-19,2.65,2.83,2.63,2.71,45900,2.71
2015-05-18,2.80,2.85,2.63,2.79,12500,2.79
2015-05-15,2.65,2.85,2.63,2.73,35200,2.73
2015-05-14,2.85,2.85,2.65,2.75,34500,2.75
2015-05-13,2.54,2.87,2.53,2.79,16200,2.79
2015-05-12,2.75,2.95,2.74,2.79,7600,2.79
2015-05-11,2.99,2.99,2.72,2.81,25500,2.81
2015-05-08,2.93,2.93,2.75,2.82,31000,2.82
2015-05-07,2.85,2.98,2.72,2.80,39900,2.80
2015-05-06,2.95,3.00,2.85,2.90,130400,2.90
2015-05-05,3.14,3.19,2.96,3.05,13500,3.05
2015-05-04,3.00,3.24,2.95,3.07,108800,3.07
2015-05-01,2.99,2.99,2.99,2.99,000,2.99
2015-04-30,3.11,3.12,2.96,2.99,11000,2.99
2015-04-29,2.91,3.12,2.82,3.05,66400,3.05
2015-04-28,2.96,3.00,2.90,2.99,58700,2.99
2015-04-27,3.10,3.10,2.95,2.96,13900,2.96
2015-04-24,3.00,3.10,2.91,3.00,43600,3.00
2015-04-23,3.20,3.20,3.03,3.05,27800,3.05
2015-04-22,3.19,3.20,3.00,3.12,40600,3.12
2015-04-21,3.10,3.20,2.95,3.14,52300,3.14
2015-04-20,3.15,3.28,3.07,3.21,25300,3.21
2015-04-17,3.33,3.34,3.12,3.19,79900,3.19
2015-04-16,3.40,3.48,3.21,3.33,63800,3.33
2015-04-15,3.28,3.44,3.25,3.35,104700,3.35
2015-04-14,3.35,3.35,3.35,3.35,000,3.35
2015-04-13,3.30,3.40,3.18,3.35,97700,3.35
2015-04-10,3.30,3.35,3.20,3.26,57700,3.26
2015-04-09,3.47,3.47,3.27,3.30,6400,3.30
2015-04-08,3.31,3.45,3.31,3.35,22600,3.35
2015-04-07,3.55,3.55,3.22,3.31,41100,3.31
2015-04-06,3.38,3.70,3.20,3.53,88400,3.53
2015-04-03,3.36,3.36,3.36,3.36,000,3.36
2015-04-02,3.36,3.36,3.36,3.36,000,3.36
2015-04-01,3.29,3.50,3.20,3.36,92400,3.36
2015-03-31,3.29,3.41,3.14,3.17,67400,3.17
2015-03-30,3.40,3.40,3.09,3.14,77500,3.14
2015-03-27,2.86,3.12,2.80,2.89,78400,2.89
2015-03-26,2.97,3.08,2.95,3.01,15300,3.01
2015-03-25,3.01,3.10,3.00,3.04,50000,3.04
2015-03-24,3.02,3.15,2.95,3.03,16200,3.03
2015-03-23,3.24,3.35,3.10,3.12,19500,3.12
2015-03-20,3.12,3.25,3.10,3.20,124400,3.20
2015-03-19,3.33,3.33,3.06,3.19,54400,3.19
2015-03-18,3.16,3.34,3.10,3.14,344000,3.14
2015-03-17,3.40,3.45,3.20,3.28,75700,3.28
2015-03-16,3.48,3.60,3.42,3.44,32300,3.44
2015-03-13,3.45,3.79,3.41,3.58,60900,3.58
2015-03-12,3.71,3.78,3.10,3.49,145800,3.49
2015-03-11,4.58,4.58,3.40,3.57,129400,3.57
2015-03-10,4.24,4.60,4.05,4.10,208000,4.10
2015-03-09,3.66,4.25,3.66,4.16,296200,4.16
2015-03-06,3.66,3.66,3.66,3.66,000,3.66
2015-03-05,3.20,3.85,3.20,3.66,130500,3.66
2015-03-04,3.00,3.30,2.97,3.25,82800,3.25
2015-03-03,2.90,3.00,2.90,2.90,49000,2.90
2015-03-02,3.09,3.12,2.93,2.99,13200,2.99
2015-02-27,3.05,3.15,3.02,3.10,48300,3.10
2015-02-26,3.08,3.08,2.95,2.99,156800,2.99
2015-02-25,3.08,3.15,2.93,3.01,58600,3.01
2015-02-24,2.92,3.05,2.88,3.00,38600,3.00
2015-02-23,3.05,3.16,2.95,2.98,52300,2.98
2015-02-20,3.12,3.20,2.85,3.01,119500,3.01
2015-02-19,2.99,3.12,2.76,3.03,75400,3.03
2015-02-18,2.98,3.03,2.80,2.89,46300,2.89
2015-02-17,2.98,2.98,2.98,2.98,000,2.98
2015-02-16,2.86,3.10,2.76,2.98,69900,2.98
2015-02-13,3.10,3.12,2.87,2.89,70600,2.89
2015-02-12,3.00,3.03,2.86,3.02,25800,3.02
2015-02-11,2.90,3.05,2.86,3.02,36200,3.02
2015-02-10,2.90,3.05,2.85,3.00,44700,3.00
2015-02-09,2.87,3.08,2.63,3.00,47500,3.00
2015-02-06,3.29,3.29,2.90,2.92,27100,2.92
2015-02-05,3.10,3.20,3.07,3.11,14500,3.11
2015-02-04,3.20,3.20,3.01,3.15,16000,3.15
2015-02-03,3.21,3.35,3.08,3.18,53000,3.18
2015-02-02,3.19,3.35,3.10,3.21,38700,3.21
2015-01-30,2.90,3.20,2.85,3.14,129800,3.14
2015-01-29,3.20,3.24,2.85,2.96,148100,2.96
2015-01-28,3.15,3.36,3.07,3.19,53800,3.19
2015-01-27,3.20,3.32,3.15,3.17,57500,3.17
2015-01-26,3.25,3.25,3.25,3.25,000,3.25
2015-01-23,3.35,3.45,3.24,3.25,93300,3.25
2015-01-22,3.30,3.45,3.30,3.39,99400,3.39
