Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,620.00,628.00,610.00,610.75,1200,610.75
2015-07-16,628.25,629.25,617.25,619.25,700,619.25
2015-07-15,636.00,644.00,615.00,623.75,2600,623.75
2015-07-14,642.00,651.50,631.25,634.00,2900,634.00
2015-07-13,599.00,649.75,595.00,637.25,5000,637.25
2015-07-10,610.00,610.00,590.00,592.00,1800,592.00
2015-07-09,617.25,617.50,604.00,607.50,1300,607.50
2015-07-08,600.75,618.00,598.50,610.25,1800,610.25
2015-07-07,613.00,623.50,605.00,618.25,2000,618.25
2015-07-06,595.00,615.00,565.00,611.00,1900,611.00
2015-07-03,600.25,608.50,593.00,594.25,2200,594.25
2015-07-02,619.00,619.00,600.00,602.00,3800,602.00
2015-07-01,598.00,622.00,594.25,604.00,2600,604.00
2015-06-30,598.00,599.50,586.75,590.75,900,590.75
2015-06-29,590.00,592.00,570.00,589.75,2000,589.75
2015-06-26,602.25,604.00,587.00,595.25,2100,595.25
2015-06-25,620.50,620.50,589.50,602.25,2300,602.25
2015-06-24,649.00,654.75,615.00,620.25,3800,620.25
2015-06-23,640.00,667.50,635.00,641.00,10200,641.00
2015-06-22,600.00,646.00,600.00,636.75,15200,636.75
2015-06-19,580.00,599.75,580.00,593.50,5800,593.50
2015-06-18,561.00,578.00,561.00,575.50,700,575.50
2015-06-17,560.00,560.00,554.00,558.50,400,558.50
2015-06-16,553.00,558.00,553.00,555.25,600,555.25
2015-06-15,560.00,561.00,554.00,554.50,600,554.50
2015-06-12,558.00,570.25,552.75,555.00,1000,555.00
2015-06-11,556.00,594.75,556.00,563.25,3100,563.25
2015-06-10,570.00,570.00,550.25,551.75,300,551.75
2015-06-09,550.75,555.00,550.00,550.75,500,550.75
2015-06-08,585.00,585.00,550.50,556.25,1500,556.25
2015-06-05,551.00,561.00,551.00,557.00,100,557.00
2015-06-04,551.00,562.50,551.00,557.25,1100,557.25
2015-06-03,569.00,572.00,543.00,550.25,4200,550.25
2015-06-02,563.50,564.25,555.00,559.75,2700,559.75
2015-06-01,580.00,586.25,560.00,561.50,3400,561.50
2015-05-29,577.00,589.75,575.00,575.00,2500,575.00
2015-05-28,568.00,579.50,563.00,578.25,500,578.25
2015-05-27,571.00,571.50,560.00,562.75,500,562.75
2015-05-26,580.00,585.75,577.00,578.00,1100,578.00
2015-05-25,590.00,590.00,576.00,579.00,400,579.00
2015-05-22,584.25,600.00,583.00,597.25,2500,597.25
2015-05-21,591.00,596.25,580.75,584.25,1300,584.25
2015-05-20,604.00,609.75,579.00,583.25,3500,583.25
2015-05-19,600.00,618.75,596.75,600.50,5000,600.50
2015-05-18,577.50,601.50,577.50,598.50,4800,598.50
2015-05-15,562.00,575.00,555.00,569.50,1600,569.50
2015-05-14,553.00,559.00,544.00,550.50,1500,550.50
2015-05-13,560.00,560.00,539.00,550.50,1700,550.50
2015-05-12,557.00,558.25,539.00,550.75,800,550.75
2015-05-11,549.00,566.25,549.00,561.50,1900,561.50
