Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,62.65,66.40,62.40,63.60,282900,63.60
2015-07-16,63.00,63.90,62.00,62.30,77800,62.30
2015-07-15,63.30,66.60,62.50,63.60,242500,63.60
2015-07-14,64.00,64.00,62.10,63.10,47400,63.10
2015-07-13,64.00,64.80,63.00,63.80,124700,63.80
2015-07-10,63.70,66.15,62.45,63.15,350200,63.15
2015-07-09,58.20,63.00,57.00,62.00,388900,62.00
2015-07-08,59.00,59.90,57.20,57.85,98700,57.85
2015-07-07,57.50,61.65,57.50,60.00,136800,60.00
2015-07-06,57.60,59.45,57.10,58.20,76900,58.20
2015-07-03,58.60,60.55,57.80,58.85,144100,58.85
2015-07-02,57.55,61.90,57.20,58.10,522800,58.10
2015-07-01,53.00,57.75,52.55,57.15,103000,57.15
2015-06-30,54.45,55.00,53.25,54.65,36400,54.65
2015-06-29,53.65,54.50,53.10,54.30,75900,54.30
2015-06-26,53.25,56.60,53.25,55.65,110500,55.65
2015-06-25,54.00,54.35,53.10,53.20,16000,53.20
2015-06-24,55.30,56.00,54.00,54.30,41800,54.30
2015-06-23,56.00,56.15,54.65,55.15,33200,55.15
2015-06-22,55.55,56.50,54.00,55.45,80000,55.45
2015-06-19,57.60,57.60,53.55,55.45,59300,55.45
2015-06-18,51.65,55.50,51.65,54.70,134900,54.70
2015-06-17,51.50,51.90,51.00,51.35,49700,51.35
2015-06-16,50.65,51.30,50.50,51.00,15400,51.00
2015-06-15,50.90,51.65,50.30,51.10,28000,51.10
2015-06-12,50.80,50.80,50.10,50.20,30000,50.20
2015-06-11,52.00,52.25,50.10,50.35,88900,50.35
2015-06-10,50.00,52.40,50.00,51.90,34500,51.90
2015-06-09,49.50,50.35,49.50,50.00,59900,50.00
2015-06-08,51.00,51.60,49.40,49.80,31100,49.80
2015-06-05,50.00,51.80,50.00,51.05,27400,51.05
2015-06-04,50.45,50.80,49.45,49.85,19100,49.85
2015-06-03,52.45,52.85,49.10,50.30,49100,50.30
2015-06-02,51.95,53.60,51.95,52.60,31300,52.60
2015-06-01,52.10,53.20,51.85,52.35,37100,52.35
2015-05-29,53.10,53.40,51.75,51.90,14000,51.90
2015-05-28,53.00,53.60,52.65,52.95,24900,52.95
2015-05-27,52.50,53.80,51.75,53.15,22600,53.15
2015-05-26,52.60,52.80,51.80,52.65,15100,52.65
2015-05-25,53.80,53.80,52.00,52.15,15800,52.15
2015-05-22,54.40,54.95,53.00,53.25,22300,53.25
2015-05-21,55.55,55.75,53.70,53.90,23600,53.90
2015-05-20,55.40,56.80,55.00,55.15,25600,55.15
2015-05-19,56.50,57.60,55.10,55.55,48500,55.55
2015-05-18,57.60,59.90,56.25,57.60,304000,57.60
2015-05-15,52.75,58.00,52.50,55.75,421700,55.75
2015-05-14,52.65,52.65,51.60,52.15,11000,52.15
2015-05-13,52.80,52.80,50.65,51.90,35800,51.90
2015-05-12,52.30,52.45,51.25,51.55,25400,51.55
2015-05-11,53.00,53.00,51.95,52.55,11000,52.55
2015-05-08,51.95,52.95,48.05,52.40,43900,52.40
2015-05-07,52.05,52.50,50.95,51.25,29100,51.25
2015-05-06,53.00,53.25,51.30,51.50,25300,51.50
2015-05-05,53.25,54.70,53.00,53.25,16300,53.25
2015-05-04,53.55,55.35,53.00,53.10,43300,53.10
2015-05-01,53.00,53.00,53.00,53.00,000,53.00
2015-04-30,51.95,53.50,51.60,53.00,26200,53.00
2015-04-29,53.05,53.90,51.50,51.90,17000,51.90
2015-04-28,52.75,54.15,52.15,53.15,49600,53.15
2015-04-27,52.60,52.70,50.25,52.30,79900,52.30
2015-04-24,55.10,55.40,51.60,52.00,78400,52.00
2015-04-23,55.00,56.70,55.00,55.50,57300,55.50
2015-04-22,55.20,55.20,53.90,54.00,62900,54.00
2015-04-21,55.35,55.90,55.05,55.20,18900,55.20
2015-04-20,57.50,57.90,54.95,55.20,66100,55.20
2015-04-17,57.00,57.90,56.70,57.10,100900,57.10
2015-04-16,58.65,58.65,56.85,57.35,44500,57.35
2015-04-15,58.20,59.00,57.05,58.10,195200,58.10
2015-04-14,57.65,57.65,57.65,57.65,000,57.65
2015-04-13,58.50,59.50,57.50,57.65,60800,57.65
2015-04-10,55.65,59.30,55.40,58.30,169700,58.30
2015-04-09,56.05,56.30,54.65,55.65,38500,55.65
2015-04-08,57.65,57.65,55.10,55.90,42300,55.90
2015-04-07,55.20,59.10,53.30,57.80,251700,57.80
2015-04-06,52.00,54.70,51.65,54.50,63500,54.50
2015-04-03,51.90,51.90,51.90,51.90,000,51.90
2015-04-02,51.90,51.90,51.90,51.90,000,51.90
2015-04-01,50.90,53.10,50.10,51.90,81300,51.90
2015-03-31,49.90,51.50,49.50,50.40,47600,50.40
2015-03-30,49.50,50.20,49.10,49.25,32700,49.25
2015-03-27,49.00,49.90,47.00,49.05,66200,49.05
2015-03-26,49.55,50.00,49.10,49.25,339800,49.25
2015-03-25,49.10,49.75,49.00,49.25,38200,49.25
2015-03-24,50.05,50.10,48.10,49.10,50700,49.10
2015-03-23,52.00,52.00,49.10,49.35,44700,49.35
2015-03-20,52.00,52.25,50.60,51.90,119300,51.90
2015-03-19,51.90,52.30,51.25,52.00,54600,52.00
2015-03-18,51.05,53.05,51.05,51.80,92700,51.80
2015-03-17,51.30,51.75,50.15,51.20,34500,51.20
