Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,651.00,652.00,613.00,615.50,600,615.50
2015-07-16,614.00,647.00,613.00,628.25,2100,628.25
2015-07-15,595.00,630.00,595.00,603.50,1200,603.50
2015-07-14,581.00,591.00,581.00,589.00,700,589.00
2015-07-13,590.00,594.00,567.25,580.00,100,580.00
2015-07-10,582.00,587.75,553.25,579.25,1500,579.25
2015-07-09,588.75,603.75,574.00,585.25,1400,585.25
2015-07-08,560.00,585.00,555.00,581.25,700,581.25
2015-07-07,555.00,585.00,555.00,570.00,1200,570.00
2015-07-06,545.00,554.75,545.00,551.25,600,551.25
2015-07-03,545.00,564.00,545.00,552.75,900,552.75
2015-07-02,545.00,560.00,545.00,552.50,300,552.50
2015-07-01,530.00,561.00,520.50,553.25,700,553.25
2015-06-30,537.25,546.50,531.00,532.00,200,532.00
2015-06-29,525.50,535.00,515.00,533.25,900,533.25
2015-06-26,539.75,540.00,530.00,535.00,500,535.00
2015-06-25,531.50,531.50,518.25,524.50,000,524.50
2015-06-24,530.00,546.25,528.00,534.00,700,534.00
2015-06-23,530.00,534.00,515.00,525.00,400,525.00
2015-06-22,529.00,545.00,525.00,534.50,2000,534.50
2015-06-19,518.00,535.00,518.00,529.00,1000,529.00
2015-06-18,507.00,526.00,507.00,524.00,400,524.00
2015-06-17,529.50,529.50,502.50,507.00,500,507.00
2015-06-16,491.00,534.75,491.00,503.50,300,503.50
2015-06-15,482.00,515.00,479.00,499.25,700,499.25
2015-06-12,494.75,495.00,490.00,495.00,000,495.00
2015-06-11,498.25,505.00,484.00,501.75,200,501.75
2015-06-10,485.50,494.50,470.00,485.00,200,485.00
2015-06-09,520.00,520.00,486.25,495.00,400,495.00
2015-06-08,492.00,505.00,485.00,496.00,200,496.00
2015-06-05,500.50,504.75,492.50,498.75,100,498.75
2015-06-04,501.00,515.50,500.50,509.50,000,509.50
2015-06-03,510.00,516.75,499.00,505.25,300,505.25
2015-06-02,507.00,525.00,506.00,521.75,500,521.75
2015-06-01,523.50,523.50,502.50,510.00,1400,510.00
2015-05-29,533.50,533.50,518.50,523.50,300,523.50
2015-05-28,527.00,540.00,517.25,517.25,900,517.25
2015-05-27,524.00,525.00,524.00,524.75,100,524.75
2015-05-26,520.00,532.00,513.00,530.25,300,530.25
2015-05-25,535.00,544.25,530.00,530.00,000,530.00
2015-05-22,533.75,534.00,523.00,532.00,700,532.00
2015-05-21,528.50,530.00,523.00,527.50,400,527.50
2015-05-20,521.00,527.00,519.00,527.00,100,527.00
2015-05-19,511.00,525.75,511.00,520.00,200,520.00
2015-05-18,530.00,530.00,510.25,511.00,000,511.00
2015-05-15,505.50,520.50,505.00,510.25,100,510.25
2015-05-14,505.25,507.75,502.00,502.00,200,502.00
2015-05-13,512.25,520.00,501.00,503.75,100,503.75
2015-05-12,519.75,519.75,505.50,509.50,100,509.50
