Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.10,0.11,0.09,0.10,2937100,0.10
2015-07-16,0.10,0.10,0.09,0.10,3188100,0.10
2015-07-15,0.10,0.11,0.09,0.09,2633500,0.09
2015-07-14,0.10,0.11,0.10,0.10,3030900,0.10
2015-07-13,0.11,0.11,0.09,0.11,2559200,0.11
2015-07-10,0.10,0.11,0.09,0.10,2071200,0.10
2015-07-09,0.11,0.11,0.10,0.10,4662600,0.10
2015-07-08,0.11,0.11,0.09,0.11,2785900,0.11
2015-07-07,0.10,0.11,0.10,0.10,2987200,0.10
2015-07-06,0.10,0.11,0.09,0.11,2395700,0.11
2015-07-03,0.08,0.10,0.08,0.10,34234400,0.10
2015-07-02,0.09,0.10,0.08,0.09,8806600,0.09
2015-07-01,0.08,0.09,0.07,0.09,12475000,0.09
2015-06-30,0.08,0.09,0.07,0.08,8140800,0.08
2015-06-29,0.08,0.09,0.07,0.08,7552600,0.08
2015-06-26,0.08,0.09,0.07,0.08,2781200,0.08
2015-06-25,0.08,0.08,0.07,0.08,5068700,0.08
2015-06-24,0.09,0.09,0.07,0.07,21288400,0.07
2015-06-23,0.09,0.10,0.08,0.08,11730800,0.08
2015-06-22,0.08,0.09,0.07,0.09,3481800,0.09
2015-06-19,0.09,0.10,0.08,0.08,5221700,0.08
2015-06-18,0.10,0.10,0.09,0.09,13191500,0.09
2015-06-17,0.11,0.11,0.10,0.10,4401200,0.10
2015-06-16,0.11,0.11,0.10,0.11,370000,0.11
2015-06-15,0.11,0.11,0.10,0.11,1293200,0.11
2015-06-12,0.11,0.11,0.10,0.11,432200,0.11
2015-06-11,0.11,0.11,0.10,0.10,632900,0.10
2015-06-10,0.11,0.11,0.10,0.11,397600,0.11
2015-06-09,0.11,0.11,0.10,0.10,2529300,0.10
2015-06-08,0.11,0.11,0.10,0.10,528200,0.10
2015-06-05,0.11,0.11,0.10,0.10,1264300,0.10
2015-06-04,0.11,0.11,0.10,0.10,262100,0.10
2015-06-03,0.11,0.11,0.10,0.10,2030500,0.10
2015-06-02,0.11,0.11,0.10,0.11,1459400,0.11
2015-06-01,0.11,0.11,0.10,0.11,416500,0.11
2015-05-29,0.11,0.11,0.10,0.11,1110000,0.11
2015-05-28,0.11,0.11,0.10,0.11,1810100,0.11
2015-05-27,0.11,0.11,0.10,0.11,1230600,0.11
2015-05-26,0.11,0.11,0.10,0.11,624300,0.11
2015-05-25,0.11,0.11,0.10,0.11,1143300,0.11
2015-05-22,0.11,0.11,0.10,0.10,3416900,0.10
2015-05-21,0.11,0.11,0.10,0.11,823300,0.11
2015-05-20,0.12,0.12,0.10,0.11,1383500,0.11
2015-05-19,0.12,0.12,0.11,0.11,2249700,0.11
2015-05-18,0.11,0.12,0.11,0.12,609900,0.12
2015-05-15,0.11,0.12,0.11,0.11,739800,0.11
2015-05-14,0.11,0.12,0.10,0.12,1344400,0.12
2015-05-13,0.11,0.12,0.11,0.11,1712300,0.11
2015-05-12,0.12,0.12,0.11,0.12,1503000,0.12
2015-05-11,0.11,0.12,0.11,0.12,161400,0.12
2015-05-08,0.12,0.12,0.11,0.11,1073200,0.11
2015-05-07,0.12,0.13,0.11,0.12,934800,0.12
2015-05-06,0.12,0.13,0.11,0.12,1281700,0.12
2015-05-05,0.12,0.13,0.12,0.12,1688400,0.12
2015-05-04,0.13,0.13,0.12,0.12,2701700,0.12
2015-05-01,0.13,0.13,0.13,0.13,000,0.13
2015-04-30,0.13,0.13,0.12,0.13,498300,0.13
2015-04-29,0.13,0.13,0.12,0.13,810300,0.13
2015-04-28,0.13,0.13,0.12,0.12,2226700,0.12
2015-04-27,0.13,0.13,0.12,0.12,288700,0.12
2015-04-24,0.13,0.13,0.12,0.13,207700,0.13
2015-04-23,0.12,0.13,0.12,0.13,1457500,0.13
2015-04-22,0.12,0.13,0.12,0.12,1727800,0.12
