Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,78.50,80.10,77.70,78.50,13100,78.50
2015-07-16,77.50,81.30,77.50,79.80,14700,79.80
2015-07-15,83.85,86.35,78.40,79.55,32000,79.55
2015-07-14,74.55,84.80,74.55,82.50,92600,82.50
2015-07-13,75.00,79.50,75.00,77.10,15700,77.10
2015-07-10,77.20,79.85,71.15,75.85,17300,75.85
2015-07-09,83.00,83.00,75.60,76.90,35400,76.90
2015-07-08,72.60,80.80,71.10,79.25,80700,79.25
2015-07-07,78.90,78.90,69.60,69.60,22600,69.60
2015-07-06,65.80,79.00,65.80,75.60,109000,75.60
2015-07-03,64.50,68.90,59.60,66.20,30100,66.20
2015-07-02,58.00,63.00,55.00,60.50,8400,60.50
2015-07-01,62.00,64.50,57.50,60.60,7600,60.60
2015-06-30,60.00,63.20,56.00,59.40,35300,59.40
2015-06-29,53.00,57.65,52.00,54.85,13300,54.85
2015-06-26,58.50,58.50,50.60,55.40,23600,55.40
2015-06-25,50.10,53.60,50.10,51.35,5300,51.35
2015-06-24,51.00,51.00,49.10,50.20,3300,50.20
2015-06-23,49.25,50.15,49.00,49.05,600,49.05
2015-06-22,48.10,49.95,48.00,49.10,2700,49.10
2015-06-19,48.80,49.00,46.20,46.20,500,46.20
2015-06-18,46.50,49.00,46.50,47.80,3300,47.80
2015-06-17,47.00,49.10,45.50,46.35,6400,46.35
2015-06-16,51.00,51.00,46.00,47.00,4600,47.00
2015-06-15,49.75,50.75,46.45,48.50,6900,48.50
2015-06-12,49.15,49.35,49.00,49.25,700,49.25
2015-06-11,51.95,51.95,49.55,49.90,3600,49.90
2015-06-10,50.05,52.70,50.05,50.40,1400,50.40
2015-06-09,49.15,51.00,49.15,51.00,100,51.00
2015-06-08,49.70,51.70,49.50,51.70,1300,51.70
2015-06-05,50.00,52.80,50.00,52.80,600,52.80
2015-06-04,52.95,52.95,51.00,51.00,1100,51.00
2015-06-03,52.55,53.40,49.40,51.90,13600,51.90
2015-06-02,59.75,59.75,52.10,53.00,26300,53.00
2015-06-01,52.45,55.20,52.45,55.20,19300,55.20
2015-05-29,46.55,46.90,46.00,46.00,900,46.00
2015-05-28,46.50,46.50,46.50,46.50,000,46.50
2015-05-27,48.80,48.80,47.20,47.25,1300,47.25
2015-05-26,46.15,48.00,46.15,46.55,10700,46.55
2015-05-25,45.00,47.85,45.00,46.40,1200,46.40
2015-05-22,48.05,49.00,46.50,48.00,4100,48.00
2015-05-21,45.60,47.50,45.60,47.25,400,47.25
2015-05-20,47.90,47.90,46.00,47.00,1600,47.00
2015-05-19,50.90,50.90,46.30,46.50,500,46.50
2015-05-18,48.10,48.95,46.60,47.05,4700,47.05
2015-05-15,47.00,49.20,47.00,48.30,1000,48.30
2015-05-14,47.10,47.10,47.10,47.10,000,47.10
2015-05-13,49.40,49.40,47.50,47.60,1800,47.60
2015-05-12,47.10,47.80,47.05,47.80,1500,47.80
2015-05-11,47.55,51.95,47.55,48.00,1200,48.00
2015-05-08,54.50,54.50,46.60,49.05,2900,49.05
2015-05-07,49.00,49.00,48.00,49.00,2600,49.00
2015-05-06,46.75,48.35,46.75,48.25,1200,48.25
2015-05-05,48.10,49.00,47.60,49.00,500,49.00
2015-05-04,47.70,49.75,47.70,48.30,1000,48.30
2015-05-01,47.60,47.60,47.60,47.60,000,47.60
2015-04-30,46.65,47.60,46.60,47.60,500,47.60
2015-04-29,46.75,49.90,46.75,47.10,5700,47.10
2015-04-28,47.40,49.90,47.05,49.20,1200,49.20
2015-04-27,50.65,50.65,46.00,46.30,1900,46.30
2015-04-24,51.00,51.00,49.30,49.35,2700,49.35
2015-04-23,49.00,52.80,47.35,51.80,1800,51.80
2015-04-22,54.50,54.50,47.85,49.00,4600,49.00
2015-04-21,46.75,48.40,46.75,48.35,4100,48.35
2015-04-20,49.10,49.55,46.55,47.15,11300,47.15
2015-04-17,48.50,51.45,48.00,49.00,900,49.00
2015-04-16,52.00,53.80,49.20,50.25,4500,50.25
2015-04-15,51.00,53.50,49.15,51.55,7500,51.55
2015-04-14,49.05,49.05,49.05,49.05,000,49.05
2015-04-13,49.50,50.00,46.75,49.05,4100,49.05
2015-04-10,48.25,50.00,47.10,49.40,1200,49.40
2015-04-09,48.10,48.10,47.05,47.40,700,47.40
2015-04-08,46.05,53.05,46.05,48.60,11800,48.60
2015-04-07,48.50,50.00,46.35,47.60,400,47.60
2015-04-06,49.90,50.00,48.00,48.40,4400,48.40
2015-04-03,48.00,48.00,48.00,48.00,000,48.00
2015-04-02,48.00,48.00,48.00,48.00,000,48.00
2015-04-01,45.00,48.50,45.00,48.00,5800,48.00
2015-03-31,48.65,48.65,45.00,45.00,2900,45.00
2015-03-30,46.40,46.40,42.20,45.25,900,45.25
2015-03-27,43.40,45.95,43.00,43.85,3800,43.85
2015-03-26,48.00,48.00,42.85,42.95,3600,42.95
2015-03-25,45.15,46.00,44.05,44.20,1600,44.20
2015-03-24,46.40,46.70,45.60,45.75,500,45.75
2015-03-23,47.00,47.00,45.15,46.40,2900,46.40
2015-03-20,48.05,48.05,46.75,46.80,9800,46.80
2015-03-19,48.50,50.25,48.05,49.30,5500,49.30
2015-03-18,48.50,49.30,47.50,48.00,6500,48.00
2015-03-17,49.00,49.60,48.00,48.40,8300,48.40
2015-03-16,50.00,50.80,48.15,48.15,10600,48.15
2015-03-13,49.10,50.90,49.10,49.95,600,49.95
2015-03-12,49.10,52.95,49.10,51.35,2300,51.35
2015-03-11,53.70,53.70,48.55,50.60,14500,50.60
2015-03-10,52.85,52.85,49.50,50.00,3100,50.00
2015-03-09,50.05,52.50,50.00,50.10,4400,50.10
2015-03-06,52.55,52.55,52.55,52.55,000,52.55
2015-03-05,55.45,55.50,51.65,52.55,2600,52.55
