Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,96.80,96.80,94.75,95.00,1100,95.00
2015-07-16,94.65,96.70,94.65,95.35,1300,95.35
2015-07-15,95.00,96.45,94.00,96.00,11600,96.00
2015-07-14,96.80,96.80,93.20,94.00,5600,94.00
2015-07-13,99.60,99.60,94.50,95.45,5200,95.45
2015-07-10,93.05,96.50,91.00,96.40,7300,96.40
2015-07-09,94.90,95.95,93.00,94.75,4600,94.75
2015-07-08,97.10,99.90,94.30,94.75,5900,94.75
2015-07-07,99.40,99.70,96.55,98.00,1900,98.00
2015-07-06,96.80,98.50,96.80,97.40,900,97.40
2015-07-03,99.50,99.50,98.25,98.45,2100,98.45
2015-07-02,98.70,99.50,98.30,98.75,2000,98.75
2015-07-01,100.00,100.00,98.15,99.05,1300,99.05
2015-06-30,98.10,99.45,98.10,98.70,1500,98.70
2015-06-29,97.00,99.50,96.30,99.50,3300,99.50
2015-06-26,100.40,100.50,99.30,99.90,3800,99.90
2015-06-25,103.90,103.90,100.00,100.35,13900,100.35
2015-06-24,102.90,103.55,102.00,102.90,1400,102.90
2015-06-23,101.85,104.00,100.10,103.00,10200,103.00
2015-06-22,100.00,101.00,98.85,100.70,2200,100.70
2015-06-19,98.70,100.00,98.70,100.00,1600,100.00
2015-06-18,98.25,101.00,97.10,100.80,4300,100.80
2015-06-17,98.40,99.60,98.40,99.60,1600,99.60
2015-06-16,101.00,101.00,101.00,101.00,000,101.00
2015-06-15,100.05,101.00,100.00,100.00,400,100.00
2015-06-12,99.50,101.85,98.00,101.45,3500,101.45
2015-06-11,102.00,102.00,98.55,98.70,2300,98.70
2015-06-10,95.55,101.45,95.55,101.05,3600,101.05
2015-06-09,95.55,97.90,94.10,97.05,4400,97.05
2015-06-08,96.60,97.00,95.50,95.50,700,95.50
2015-06-05,97.00,99.20,96.65,97.05,800,97.05
2015-06-04,98.00,99.00,96.80,98.60,6900,98.60
2015-06-03,95.00,97.05,95.00,97.05,2700,97.05
2015-06-02,98.00,98.40,94.90,95.15,1600,95.15
2015-06-01,98.65,99.25,98.00,99.00,14200,99.00
2015-05-29,99.40,99.40,98.60,98.60,500,98.60
2015-05-28,101.70,101.70,99.00,100.00,1700,100.00
2015-05-27,100.00,100.00,99.40,99.40,200,99.40
2015-05-26,98.50,100.05,98.50,100.05,200,100.05
2015-05-25,98.60,102.55,98.60,100.00,500,100.00
2015-05-22,100.00,101.90,100.00,100.50,1200,100.50
2015-05-21,99.30,101.00,98.30,100.65,3700,100.65
2015-05-20,99.00,99.95,98.30,99.30,2800,99.30
2015-05-19,100.35,102.70,99.00,99.30,400,99.30
2015-05-18,101.00,101.90,100.35,100.45,1200,100.45
2015-05-15,98.30,101.00,98.30,100.45,6000,100.45
2015-05-14,102.00,102.00,100.00,101.70,1042700,101.70
2015-05-13,99.15,102.90,98.00,102.20,4600,102.20
2015-05-12,98.50,99.60,98.40,99.15,1900,99.15
2015-05-11,99.00,100.95,98.30,99.30,600,99.30
2015-05-08,96.55,99.90,96.50,99.60,3100,99.60
2015-05-07,98.50,99.00,96.70,98.70,2300,98.70
2015-05-06,97.00,99.95,97.00,98.50,900,98.50
2015-05-05,99.30,100.85,98.35,98.50,400,98.50
2015-05-04,101.20,101.20,101.20,101.20,000,101.20
2015-05-01,101.20,101.20,101.20,101.20,000,101.20
2015-04-30,102.35,102.35,98.25,101.20,1500,101.20
