Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,32.30,34.15,32.20,32.45,9800,32.45
2015-07-16,33.10,33.45,32.40,32.70,7500,32.70
2015-07-15,34.00,34.10,33.05,33.65,15900,33.65
2015-07-14,37.40,37.40,33.00,33.70,1900,33.70
2015-07-13,33.40,33.50,32.05,32.50,4000,32.50
2015-07-10,32.75,33.40,32.15,33.10,4600,33.10
2015-07-09,32.70,34.25,32.70,33.10,3700,33.10
2015-07-08,32.80,33.90,32.30,32.60,3200,32.60
2015-07-07,34.20,35.00,33.40,33.65,7600,33.65
2015-07-06,33.50,34.85,31.60,33.90,5000,33.90
2015-07-03,34.20,35.50,33.10,34.05,8300,34.05
2015-07-02,34.35,35.25,33.70,34.20,6400,34.20
2015-07-01,36.00,38.00,34.10,34.50,18800,34.50
2015-06-30,36.50,37.25,35.70,36.25,22200,36.25
2015-06-29,32.30,37.40,31.75,35.10,44100,35.10
2015-06-26,32.85,35.00,31.15,34.40,70000,34.40
2015-06-25,33.50,33.50,31.20,32.05,15700,32.05
2015-06-24,29.70,34.05,28.60,33.40,185600,33.40
2015-06-23,25.15,29.75,25.15,28.40,45600,28.40
2015-06-22,25.00,25.90,24.80,25.20,7300,25.20
2015-06-19,24.70,25.85,24.50,24.95,7500,24.95
2015-06-18,25.10,25.90,24.60,24.75,14200,24.75
2015-06-17,25.90,25.90,25.50,25.75,000,25.75
2015-06-16,25.10,25.10,24.10,24.60,6500,24.60
2015-06-15,26.40,26.40,25.20,26.05,400,26.05
2015-06-12,25.20,25.95,24.00,25.80,3300,25.80
2015-06-11,26.10,26.70,25.15,25.40,2800,25.40
2015-06-10,26.00,26.85,26.00,26.00,200,26.00
2015-06-09,27.00,27.00,26.00,26.05,4200,26.05
2015-06-08,27.00,27.00,26.00,26.00,2700,26.00
2015-06-05,26.40,27.00,26.40,27.00,2000,27.00
2015-06-04,26.25,26.45,25.55,26.20,1600,26.20
2015-06-03,26.65,27.00,25.35,25.90,4900,25.90
2015-06-02,27.00,27.00,26.45,27.00,2200,27.00
2015-06-01,28.00,28.00,26.85,26.85,3000,26.85
2015-05-29,27.20,27.75,27.20,27.50,3200,27.50
2015-05-28,27.00,27.15,26.85,27.10,100,27.10
2015-05-27,27.50,27.85,27.05,27.85,3200,27.85
2015-05-26,27.95,27.95,27.95,27.95,000,27.95
2015-05-25,28.00,28.55,28.00,28.15,800,28.15
2015-05-22,27.30,28.00,27.30,27.95,900,27.95
2015-05-21,27.45,28.10,27.45,28.10,700,28.10
2015-05-20,28.40,28.60,27.00,27.90,11900,27.90
2015-05-19,27.30,27.95,27.30,27.90,800,27.90
2015-05-18,27.15,28.00,27.15,27.85,1200,27.85
2015-05-15,28.00,28.90,27.10,27.55,4900,27.55
2015-05-14,28.20,28.85,27.05,27.50,1900,27.50
2015-05-13,28.55,28.60,27.40,27.80,2400,27.80
2015-05-12,28.00,28.00,27.30,27.30,1300,27.30
2015-05-11,27.95,28.15,27.50,27.60,4100,27.60
2015-05-08,27.35,28.40,26.40,27.60,6500,27.60
2015-05-07,28.50,28.55,27.10,27.45,8300,27.45
2015-05-06,29.90,29.95,28.10,28.15,2300,28.15
2015-05-05,30.05,30.05,28.75,29.05,10600,29.05
2015-05-04,29.90,30.05,28.00,29.10,16400,29.10
2015-05-01,27.95,27.95,27.95,27.95,000,27.95
2015-04-30,27.95,27.95,27.95,27.95,100,27.95
2015-04-29,27.75,28.30,27.75,28.15,1100,28.15
2015-04-28,29.45,29.45,27.50,27.75,2500,27.75
2015-04-27,28.50,29.30,27.55,28.00,16700,28.00
2015-04-24,28.50,28.55,28.50,28.50,2200,28.50
2015-04-23,29.40,30.10,28.75,29.05,2700,29.05
2015-04-22,29.00,29.60,29.00,29.15,5500,29.15
2015-04-21,28.90,29.00,28.00,28.55,18600,28.55
2015-04-20,31.25,31.40,28.45,28.45,4600,28.45
2015-04-17,30.30,31.70,28.65,28.90,24900,28.90
2015-04-16,31.85,33.80,29.90,30.10,7800,30.10
2015-04-15,32.00,32.00,30.15,30.65,18800,30.65
2015-04-14,30.30,30.30,30.30,30.30,000,30.30
2015-04-13,33.95,34.50,30.00,30.30,19600,30.30
2015-04-10,32.75,32.80,29.25,30.90,47600,30.90
2015-04-09,31.90,32.95,31.00,32.70,2900,32.70
2015-04-08,32.00,34.90,32.00,32.70,17300,32.70
2015-04-07,31.20,32.00,31.05,31.65,12100,31.65
2015-04-06,30.00,31.75,30.00,31.15,5600,31.15
2015-04-03,29.70,29.70,29.70,29.70,000,29.70
2015-04-02,29.70,29.70,29.70,29.70,000,29.70
2015-04-01,28.30,29.95,28.00,29.70,1000,29.70
