Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,11.67,11.95,11.67,11.67,7400,11.67
2015-07-16,13.53,13.56,12.28,12.28,93800,12.28
2015-07-15,12.92,12.92,12.92,12.92,27400,12.92
2015-07-14,12.31,12.31,12.00,12.31,40700,12.31
2015-07-13,11.73,11.73,11.00,11.73,31300,11.73
2015-07-10,11.18,11.18,11.18,11.18,3200,11.18
2015-07-09,10.65,10.65,10.65,10.65,600,10.65
2015-07-08,10.00,10.15,9.95,10.15,46800,10.15
2015-07-07,9.65,9.67,9.65,9.67,22200,9.67
2015-07-06,9.20,9.21,8.94,9.21,42100,9.21
2015-07-03,8.78,8.78,8.78,8.78,12900,8.78
2015-07-02,8.32,8.37,8.19,8.37,29900,8.37
2015-07-01,7.98,7.98,7.62,7.98,54000,7.98
2015-06-30,6.90,7.60,6.90,7.60,139800,7.60
2015-06-29,7.25,7.25,7.25,7.25,13200,7.25
2015-06-26,7.65,7.85,7.60,7.60,62400,7.60
2015-06-25,8.10,8.45,8.00,8.00,38600,8.00
2015-06-24,8.50,8.70,8.40,8.40,116300,8.40
2015-06-23,8.80,9.05,8.80,8.80,76700,8.80
2015-06-22,9.50,9.65,9.25,9.25,49900,9.25
2015-06-19,10.15,10.25,9.40,9.70,25400,9.70
2015-06-18,9.10,9.90,9.10,9.85,48200,9.85
2015-06-17,8.60,9.50,8.60,9.45,83100,9.45
2015-06-16,9.05,9.40,9.05,9.05,9700,9.05
2015-06-15,9.60,9.85,9.50,9.50,13100,9.50
2015-06-12,10.15,10.70,9.80,9.95,19300,9.95
2015-06-11,11.80,11.85,10.80,10.85,55000,10.85
2015-06-10,12.05,12.75,11.85,12.00,17700,12.00
2015-06-09,12.75,12.95,12.40,12.50,6800,12.50
2015-06-08,12.05,13.40,12.05,12.85,27300,12.85
2015-06-05,12.45,13.00,12.00,12.75,14200,12.75
2015-06-04,13.00,13.35,12.05,12.70,16200,12.70
2015-06-03,13.25,14.05,12.25,13.20,38200,13.20
2015-06-02,15.80,15.80,12.85,13.20,261000,13.20
2015-06-01,16.05,18.00,16.05,16.05,822500,16.05
2015-05-29,18.50,20.40,18.20,20.05,35300,20.05
2015-05-28,17.50,20.15,16.60,18.70,79100,18.70
2015-05-27,16.90,17.20,16.30,16.95,29300,16.95
2015-05-26,18.00,18.75,16.50,16.90,87400,16.90
2015-05-25,17.85,18.30,17.70,18.00,31100,18.00
2015-05-22,18.10,18.40,17.60,17.85,47400,17.85
2015-05-21,19.05,19.35,17.75,18.10,73600,18.10
2015-05-20,20.00,20.00,18.85,18.90,78600,18.90
2015-05-19,20.10,20.60,19.90,20.05,39800,20.05
2015-05-18,20.50,20.50,19.60,20.15,38200,20.15
