Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,13.70,13.97,13.45,13.74,347500,13.74
2015-07-16,13.48,13.75,13.40,13.55,269100,13.55
2015-07-15,13.14,13.50,13.03,13.32,288200,13.32
2015-07-14,12.50,13.07,12.26,12.96,400900,12.96
2015-07-13,12.90,13.51,12.48,12.56,1489000,12.56
2015-07-10,13.50,14.51,13.13,13.13,2706600,13.13
2015-07-09,15.30,15.30,13.78,13.82,1461400,13.82
2015-07-08,17.20,17.50,15.30,15.31,2022600,15.31
2015-07-07,17.85,18.49,16.45,17.05,1369300,17.05
2015-07-06,16.00,18.10,15.60,17.61,925700,17.61
2015-07-03,14.38,16.70,14.25,16.34,2230200,16.34
2015-07-02,13.70,14.30,13.58,14.01,187000,14.01
2015-07-01,13.30,13.88,13.20,13.62,353200,13.62
2015-06-30,12.63,13.38,12.30,13.23,271400,13.23
2015-06-29,11.90,12.70,11.29,12.42,140900,12.42
2015-06-26,11.90,11.95,11.66,11.75,27000,11.75
2015-06-25,12.00,12.20,11.90,11.98,34500,11.98
2015-06-24,11.70,12.84,11.70,12.13,47200,12.13
2015-06-23,11.40,11.70,11.25,11.65,33300,11.65
2015-06-22,11.25,11.50,11.25,11.35,2300,11.35
2015-06-19,11.85,11.85,11.35,11.44,8600,11.44
2015-06-18,11.59,11.60,11.30,11.47,11900,11.47
2015-06-17,11.09,11.53,10.95,11.34,22100,11.34
2015-06-16,10.75,11.00,10.70,10.92,12800,10.92
2015-06-15,11.60,11.62,10.70,10.95,37400,10.95
2015-06-12,11.40,11.65,10.90,11.23,18600,11.23
2015-06-11,12.00,12.00,11.45,11.52,15800,11.52
2015-06-10,11.80,12.00,11.65,11.76,14700,11.76
2015-06-09,11.81,11.90,11.75,11.81,4500,11.81
2015-06-08,12.15,12.15,11.81,12.09,14100,12.09
2015-06-05,11.65,12.20,11.65,11.91,98500,11.91
2015-06-04,12.40,12.40,11.71,11.75,8500,11.75
2015-06-03,12.20,12.20,11.65,11.85,41100,11.85
2015-06-02,12.99,12.99,12.16,12.30,32100,12.30
2015-06-01,13.40,13.40,12.80,12.83,37100,12.83
2015-05-29,13.15,13.80,13.08,13.50,14800,13.50
2015-05-28,13.30,13.64,13.10,13.34,16400,13.34
2015-05-27,13.25,13.34,13.12,13.19,6000,13.19
2015-05-26,13.46,13.50,13.20,13.25,59300,13.25
2015-05-25,13.85,13.85,13.56,13.58,5000,13.58
2015-05-22,13.76,13.95,13.51,13.58,15700,13.58
2015-05-21,14.50,14.64,13.80,13.99,12700,13.99
2015-05-20,14.00,15.45,13.50,14.48,123800,14.48
2015-05-19,12.90,14.60,12.60,13.71,112500,13.71
2015-05-18,12.65,12.90,12.65,12.80,15500,12.80
2015-05-15,12.60,12.85,12.60,12.71,18400,12.71
2015-05-14,12.55,12.74,12.35,12.68,12900,12.68
2015-05-13,12.80,12.80,12.50,12.58,6200,12.58
2015-05-12,12.70,12.90,12.45,12.55,9600,12.55
2015-05-11,13.00,13.45,12.75,13.01,22800,13.01
2015-05-08,12.60,12.75,12.45,12.56,16300,12.56
2015-05-07,12.55,13.00,12.30,12.39,19900,12.39
2015-05-06,13.01,13.35,12.50,12.70,35700,12.70
2015-05-05,13.50,13.70,13.45,13.50,25200,13.50
2015-05-04,13.65,13.65,13.35,13.59,22300,13.59
2015-05-01,13.35,13.35,13.35,13.35,000,13.35
2015-04-30,13.20,13.59,13.00,13.35,50400,13.35
2015-04-29,13.06,13.69,13.06,13.36,24600,13.36
2015-04-28,13.35,13.65,13.14,13.39,22100,13.39
2015-04-27,14.10,14.29,13.35,13.60,78200,13.60
2015-04-24,14.98,15.20,14.25,14.35,82700,14.35
2015-04-23,15.35,15.35,14.65,14.84,90900,14.84
2015-04-22,14.00,14.75,14.00,14.33,22200,14.33
2015-04-21,14.05,14.78,14.01,14.34,69200,14.34
2015-04-20,14.99,15.20,14.35,14.50,64500,14.50
2015-04-17,14.20,14.95,14.20,14.70,116700,14.70
2015-04-16,14.00,14.60,13.90,14.11,126500,14.11
2015-04-15,13.50,14.15,13.31,13.89,72800,13.89
2015-04-14,13.46,13.46,13.46,13.46,000,13.46
2015-04-13,13.80,13.90,13.35,13.46,40000,13.46
2015-04-10,12.96,13.40,12.65,13.31,71500,13.31
2015-04-09,13.30,13.40,12.91,12.98,29800,12.98
2015-04-08,13.00,13.45,12.86,13.35,40700,13.35
2015-04-07,12.90,13.25,12.65,12.97,43600,12.97
2015-04-06,12.00,12.75,12.00,12.57,24900,12.57
2015-04-03,11.94,11.94,11.94,11.94,000,11.94
2015-04-02,11.94,11.94,11.94,11.94,000,11.94
2015-04-01,11.56,12.05,11.50,11.94,48500,11.94
2015-03-31,11.50,11.85,11.35,11.45,54300,11.45
2015-03-30,11.55,11.55,11.25,11.35,36900,11.35
2015-03-27,11.65,11.65,11.00,11.20,130800,11.20
2015-03-26,11.60,11.75,11.50,11.65,49800,11.65
2015-03-25,12.20,12.20,11.30,11.60,260500,11.60
2015-03-24,13.50,13.50,12.25,12.25,416800,12.25
2015-03-23,12.40,13.65,12.20,13.60,678300,13.60
2015-03-20,12.90,12.95,12.40,12.45,54100,12.45
2015-03-19,13.00,13.20,12.90,12.95,53000,12.95
2015-03-18,13.20,13.25,12.75,12.85,80200,12.85
2015-03-17,13.45,13.75,12.80,13.05,168500,13.05
2015-03-16,13.60,13.90,13.25,13.35,75600,13.35
2015-03-13,13.85,14.00,13.50,13.55,59500,13.55
2015-03-12,14.00,14.25,13.60,13.70,128700,13.70
2015-03-11,14.00,14.10,13.70,13.80,304000,13.80
2015-03-10,14.50,15.25,13.60,14.05,759000,14.05
2015-03-09,14.35,14.65,14.00,14.10,322700,14.10
2015-03-06,14.45,14.45,14.45,14.45,000,14.45
2015-03-05,13.55,14.95,13.40,14.45,633900,14.45
2015-03-04,15.05,15.25,13.45,13.60,1460900,13.60
2015-03-03,16.10,16.30,14.05,14.90,764700,14.90
2015-03-02,16.25,16.40,15.60,15.95,274000,15.95
2015-02-27,20.65,21.00,16.35,16.55,2017800,16.55
2015-02-26,20.20,21.05,19.15,20.40,487700,20.40
2015-02-25,21.45,23.50,19.55,20.10,2017700,20.10
2015-02-24,18.85,22.10,18.50,20.95,1537300,20.95
2015-02-23,16.25,19.65,15.60,18.45,987700,18.45
2015-02-20,17.00,17.00,16.30,16.40,70900,16.40
2015-02-19,17.00,17.10,16.20,16.90,80800,16.90
2015-02-18,17.00,17.50,16.55,16.85,264600,16.85
2015-02-17,16.70,16.70,16.70,16.70,000,16.70
2015-02-16,16.50,17.10,16.40,16.70,40900,16.70
2015-02-13,17.00,17.25,16.40,16.63,32600,16.63
2015-02-12,16.94,17.50,16.10,17.16,60800,17.16
2015-02-11,16.25,17.30,16.20,16.67,105100,16.67
