Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,172.80,172.80,166.00,166.35,6200,166.35
2015-07-16,163.30,171.60,162.25,170.05,30800,170.05
2015-07-15,156.40,164.40,156.30,160.30,20900,160.30
2015-07-14,156.40,156.60,155.00,155.15,7200,155.15
2015-07-13,157.35,158.00,154.20,156.60,6000,156.60
2015-07-10,156.50,158.05,155.05,155.50,5000,155.50
2015-07-09,155.25,156.95,154.95,155.15,14100,155.15
2015-07-08,156.15,157.55,154.50,155.85,15800,155.85
2015-07-07,157.40,158.25,154.90,155.00,16700,155.00
2015-07-06,151.50,155.50,149.75,154.75,23600,154.75
2015-07-03,156.25,157.00,151.05,151.65,5600,151.65
2015-07-02,156.05,157.85,153.50,154.15,17800,154.15
2015-07-01,153.65,159.55,152.10,156.80,13400,156.80
2015-06-30,152.45,152.45,149.20,150.40,13100,150.40
2015-06-29,153.00,154.25,148.25,152.65,10600,152.65
2015-06-26,157.55,159.00,155.00,155.40,4800,155.40
2015-06-25,158.15,159.65,156.00,157.20,5300,157.20
2015-06-24,163.75,163.80,156.80,157.35,5600,157.35
2015-06-23,163.55,165.00,161.65,162.35,5100,162.35
2015-06-22,163.10,165.00,161.00,164.30,10100,164.30
2015-06-19,164.00,164.35,160.00,160.95,7000,160.95
2015-06-18,170.00,170.00,0.01,162.05,8700,162.05
2015-06-17,157.05,168.25,155.15,164.55,8600,164.55
2015-06-16,156.40,157.20,155.10,155.95,4500,155.95
2015-06-15,156.85,161.40,155.95,156.20,13900,156.20
2015-06-12,157.75,159.00,155.00,155.50,3900,155.50
2015-06-11,162.40,162.40,155.45,157.45,16900,157.45
2015-06-10,159.60,162.30,159.00,161.75,14800,161.75
2015-06-09,162.55,164.00,158.70,161.60,11200,161.60
2015-06-08,160.00,165.00,160.00,162.90,20500,162.00
2015-06-05,158.95,159.00,155.45,155.70,5700,154.84
2015-06-04,173.00,173.00,157.00,158.05,12200,157.18
2015-06-03,165.40,166.50,150.10,163.30,18200,162.40
2015-06-02,170.00,170.25,163.50,164.25,10100,163.34
2015-06-01,172.60,172.60,164.75,169.80,20100,168.86
2015-05-29,182.50,184.00,169.10,174.70,14200,173.73
2015-05-28,180.55,183.10,180.00,183.10,2500,182.09
2015-05-27,182.20,182.20,179.90,180.40,900,179.40
2015-05-26,181.05,182.05,179.30,180.15,5400,179.15
2015-05-25,180.00,182.85,180.00,181.85,4700,180.85
2015-05-22,179.75,182.90,178.20,180.70,5600,179.70
2015-05-21,180.00,183.25,177.45,179.90,10800,178.91
2015-05-20,175.05,177.70,174.70,176.70,2500,175.72
2015-05-19,175.10,175.95,172.80,174.40,4500,173.44
2015-05-18,173.20,176.00,173.10,174.50,5500,173.54
2015-05-15,173.25,174.35,171.00,172.90,800,171.94
2015-05-14,171.00,174.35,171.00,172.05,2900,171.10
2015-05-13,175.45,176.00,170.10,170.75,3900,169.81
2015-05-12,173.55,175.05,171.00,174.10,5600,173.14
2015-05-11,172.40,174.80,172.40,173.50,4900,172.54
2015-05-08,169.25,173.85,169.25,171.70,4400,170.75
2015-05-07,176.50,179.25,166.70,169.00,6700,168.07
2015-05-06,176.75,178.00,174.10,175.70,6800,174.73
2015-05-05,179.10,181.00,175.70,177.20,4900,176.22
2015-05-04,179.55,180.35,175.85,177.25,6900,176.27
2015-05-01,177.75,177.75,177.75,177.75,000,176.77
2015-04-30,179.15,181.60,177.00,177.75,4400,176.77
2015-04-29,177.65,181.20,175.95,180.60,5900,179.60
2015-04-28,177.20,180.00,172.80,179.20,15000,178.21
2015-04-27,187.95,187.95,174.00,175.50,7100,174.53
2015-04-24,193.95,196.45,184.60,186.50,33000,185.47
2015-04-23,184.15,191.00,183.15,189.70,18500,188.65
2015-04-22,179.75,186.00,177.10,181.95,12100,180.94
2015-04-21,177.55,183.00,176.05,177.70,8500,176.72
2015-04-20,186.65,186.65,178.00,179.95,17900,178.96
2015-04-17,193.15,193.20,183.35,185.40,13600,184.38
2015-04-16,196.60,196.60,192.00,193.05,12400,191.98
2015-04-15,204.30,204.30,193.65,196.60,19600,195.51
2015-04-14,200.15,200.15,200.15,200.15,000,199.04
2015-04-13,201.85,202.35,199.85,200.15,20400,199.04
2015-04-10,201.00,202.15,198.30,199.50,11900,198.40
2015-04-09,205.50,209.90,199.40,200.45,26300,199.34
2015-04-08,195.85,202.15,195.00,200.20,30100,199.09
2015-04-07,193.00,197.40,189.65,193.15,29900,192.08
2015-04-06,187.00,194.80,187.00,192.95,23700,191.88
2015-04-03,187.05,187.05,187.05,187.05,000,186.02
2015-04-02,187.05,187.05,187.05,187.05,000,186.02
2015-04-01,174.00,191.00,174.00,187.05,29600,186.02
2015-03-31,171.50,177.85,171.00,173.50,30200,172.54
2015-03-30,172.00,176.00,167.05,171.70,16200,170.75
2015-03-27,170.00,170.35,168.00,169.80,6500,168.86
2015-03-26,169.95,170.70,168.00,169.80,10100,168.86
2015-03-25,169.35,170.00,167.00,167.80,7900,166.87
2015-03-24,167.10,170.00,163.55,167.70,15800,166.77
2015-03-23,168.05,169.10,165.75,166.95,13300,166.03
2015-03-20,174.00,176.00,168.05,168.50,12200,167.57
2015-03-19,181.00,182.75,172.70,174.70,26000,173.73
2015-03-18,180.85,181.30,177.55,180.40,5800,179.40
2015-03-17,182.85,184.00,177.95,179.60,6500,178.61
2015-03-16,181.30,181.30,177.50,178.25,7000,177.27
2015-03-13,195.00,195.00,181.25,182.50,4300,181.49
2015-03-12,185.00,189.80,185.00,187.60,5800,186.56
2015-03-11,185.80,186.60,183.45,185.65,7700,184.62
2015-03-10,181.55,187.00,180.80,184.60,8500,183.58
2015-03-09,189.90,189.90,180.25,181.50,5500,180.50
2015-03-06,182.75,182.75,182.75,182.75,000,181.74
2015-03-05,186.25,187.10,181.50,182.75,10200,181.74
2015-03-04,189.90,194.85,185.25,186.75,21500,185.72
2015-03-03,183.90,188.40,183.90,187.50,11700,186.46
