Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,946.00,957.00,942.65,946.35,242000,946.35
2015-07-16,932.90,941.00,930.10,939.25,227600,939.25
2015-07-15,922.00,933.00,915.05,930.00,138600,930.00
2015-07-14,915.00,920.95,906.05,918.80,157000,918.80
2015-07-13,910.00,925.00,908.00,915.60,235900,915.60
2015-07-10,876.35,907.85,876.35,901.40,194800,901.40
2015-07-09,872.05,885.00,864.30,872.30,150200,872.30
2015-07-08,884.00,888.30,866.80,870.75,172500,870.75
2015-07-07,879.00,891.60,874.35,885.25,168500,885.25
2015-07-06,865.00,880.30,860.00,878.95,140200,878.95
2015-07-03,875.00,881.95,868.80,871.00,110000,871.00
2015-07-02,882.55,884.30,867.00,870.50,171300,870.50
2015-07-01,881.00,886.35,870.00,873.00,174300,873.00
2015-06-30,852.35,876.60,851.00,874.20,219700,874.20
2015-06-29,855.00,855.00,825.00,849.65,120800,849.65
2015-06-26,873.90,873.90,861.00,867.25,127600,867.25
2015-06-25,870.90,879.00,861.00,866.45,199000,866.45
2015-06-24,860.50,880.45,860.40,870.80,239600,870.80
2015-06-23,861.50,866.70,856.30,857.60,156000,857.60
2015-06-22,849.05,861.80,849.05,857.00,133500,857.00
2015-06-19,859.00,863.00,843.55,846.55,132700,846.55
2015-06-18,847.50,854.55,845.10,854.55,598600,854.55
2015-06-17,847.00,849.80,836.50,842.75,521700,842.75
2015-06-16,843.95,843.95,832.65,839.55,162800,839.55
2015-06-15,816.00,847.00,810.85,837.75,275500,837.75
2015-06-12,823.00,824.00,808.00,813.75,235500,813.75
2015-06-11,829.00,840.00,816.25,820.55,461100,820.55
2015-06-10,812.75,830.25,812.00,823.45,337400,823.45
2015-06-09,825.00,829.00,809.00,812.75,531300,812.75
2015-06-08,851.70,854.50,825.60,829.80,295400,829.80
2015-06-05,830.00,861.00,827.50,848.55,492500,848.55
2015-06-04,835.00,841.25,820.00,832.15,700900,832.15
2015-06-03,862.10,864.00,840.10,842.45,748400,842.45
2015-06-02,885.50,889.00,857.10,860.30,1269600,860.30
2015-06-01,916.00,918.00,869.50,878.95,1833300,878.95
2015-05-29,965.00,979.00,960.00,965.75,406800,965.75
2015-05-28,975.90,979.25,948.15,956.65,376100,956.65
2015-05-27,994.00,1003.65,971.00,974.65,262600,974.65
2015-05-26,999.50,1000.00,983.00,994.25,323800,994.25
2015-05-25,1010.00,1010.10,994.00,1002.00,221400,1002.00
2015-05-22,979.50,1008.90,976.60,1003.30,453200,1003.30
2015-05-21,967.00,986.40,962.50,980.80,248200,980.80
2015-05-20,961.05,969.00,956.05,966.15,558800,966.15
2015-05-19,945.35,962.95,945.35,956.30,318800,956.30
2015-05-18,946.25,961.80,943.35,957.45,229300,957.45
2015-05-15,929.65,951.85,925.00,946.45,276000,946.45
2015-05-14,952.50,953.05,941.00,944.70,425700,944.70
2015-05-13,955.00,963.00,942.90,955.40,179000,955.40
2015-05-12,964.50,965.00,944.00,949.60,334400,949.60
2015-05-11,949.00,968.05,948.00,962.90,365400,962.90
2015-05-08,933.20,946.40,920.50,940.20,409100,940.20
2015-05-07,934.90,936.10,920.00,927.35,378400,927.35
2015-05-06,959.00,959.00,927.00,936.40,376500,936.40
2015-05-05,956.00,960.40,950.45,958.30,441600,958.30
2015-05-04,949.70,956.55,940.50,946.35,387100,946.35
2015-05-01,939.40,939.40,939.40,939.40,000,939.40
2015-04-30,930.00,943.90,921.90,939.40,579600,939.40
2015-04-29,933.70,946.70,928.90,939.25,324300,939.25
2015-04-28,923.90,933.70,913.00,924.35,494000,924.35
2015-04-27,951.80,957.55,921.60,926.75,1344900,926.75
2015-04-24,946.95,955.95,939.05,947.80,856000,947.80
2015-04-23,979.95,980.00,936.80,942.45,1104100,942.45
2015-04-22,962.00,978.65,948.35,967.15,1081200,967.15
2015-04-21,971.10,976.15,933.10,951.60,10927200,951.60
2015-04-20,1045.10,1066.40,1038.95,1044.10,186700,1044.10
2015-04-17,1086.05,1104.85,1028.00,1037.30,437600,1037.30
2015-04-16,1128.50,1128.50,1083.55,1089.55,173300,1089.55
2015-04-15,1159.00,1160.10,1114.35,1118.60,376700,1118.60
2015-04-14,1148.55,1148.55,1148.55,1148.55,000,1148.55
2015-04-13,1122.00,1154.00,1113.65,1148.55,149800,1148.55
2015-04-10,1115.00,1127.95,1098.75,1118.45,161000,1118.45
2015-04-09,1153.00,1160.00,1106.00,1113.30,206200,1113.30
2015-04-08,1156.05,1172.60,1137.30,1150.20,183900,1150.20
2015-04-07,1180.00,1200.70,1137.65,1151.95,397600,1151.95
2015-04-06,1100.15,1180.00,1096.50,1168.50,347600,1168.50
2015-04-03,1078.55,1078.55,1078.55,1078.55,000,1078.55
2015-04-02,1078.55,1078.55,1078.55,1078.55,000,1078.55
2015-04-01,1022.35,1090.00,1020.45,1078.55,279800,1078.55
2015-03-31,1012.00,1032.95,1010.00,1022.25,151600,1022.25
2015-03-30,1023.90,1025.60,1008.10,1010.70,133400,1010.70
2015-03-27,1041.50,1044.00,1003.50,1010.65,184000,1010.65
2015-03-26,1054.00,1055.05,1020.75,1028.15,411200,1028.15
2015-03-25,1054.00,1067.00,1042.70,1053.30,297900,1053.30
2015-03-24,1037.70,1049.75,1030.30,1039.85,113100,1039.85
2015-03-23,1035.35,1046.40,1014.50,1024.00,763200,1024.00
2015-03-20,1049.00,1073.50,1021.25,1027.10,363500,1027.10
2015-03-19,1051.05,1074.05,1035.00,1045.85,183300,1045.85
2015-03-18,1049.80,1049.80,1030.85,1044.70,83900,1044.70
2015-03-17,1032.00,1051.25,1027.10,1039.70,105400,1039.70
2015-03-16,1012.00,1033.00,1011.30,1028.20,202300,1028.20
2015-03-13,1040.40,1045.00,1006.00,1012.15,102000,1012.15
2015-03-12,1011.20,1038.80,1008.00,1035.60,203800,1035.60
2015-03-11,1030.00,1035.00,1008.30,1010.70,112300,1010.70
2015-03-10,1047.00,1055.85,1017.80,1025.20,175800,1025.20
2015-03-09,1024.00,1049.30,1009.00,1041.65,310700,1041.65
2015-03-06,1037.35,1037.35,1037.35,1037.35,000,1037.35
2015-03-05,1016.00,1045.90,1007.70,1037.35,335700,1037.35
2015-03-04,950.00,1035.00,937.80,1004.80,721900,1004.80
2015-03-03,936.20,950.00,936.00,942.40,793300,942.40
2015-03-02,912.00,929.00,910.00,923.85,212600,923.85
2015-02-27,870.30,884.00,870.00,879.20,152900,879.20
2015-02-26,890.00,894.35,861.10,865.95,157500,865.95
2015-02-25,912.75,914.00,889.15,891.35,101100,891.35
2015-02-24,906.00,913.50,904.50,909.55,93300,909.55
2015-02-23,916.00,924.00,906.00,908.70,73100,908.70
2015-02-20,916.00,922.00,910.80,914.75,70500,914.75
2015-02-19,924.95,927.00,911.00,917.50,58600,917.50
2015-02-18,918.00,927.70,911.15,917.20,234700,917.20
2015-02-17,914.50,914.50,914.50,914.50,000,914.50
2015-02-16,920.00,931.00,908.10,914.50,216600,914.50
2015-02-13,930.00,951.50,929.40,939.35,517400,939.35
2015-02-12,926.85,931.95,918.80,923.05,96000,923.05
2015-02-11,921.10,936.30,920.15,926.25,202500,926.25
2015-02-10,942.00,942.30,911.50,919.40,116800,919.40
2015-02-09,930.00,948.00,916.90,941.35,140600,941.35
2015-02-06,960.95,962.45,921.50,928.60,132700,928.60
