Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,8.90,9.25,8.72,8.86,25800,8.86
2015-07-16,8.80,9.34,8.80,8.81,6600,8.81
2015-07-15,9.15,9.15,8.72,8.78,8400,8.78
2015-07-14,8.75,9.17,8.75,8.90,13600,8.90
2015-07-13,9.44,9.44,8.60,8.69,12400,8.69
2015-07-10,9.20,9.20,8.90,8.90,2100,8.90
2015-07-09,9.50,9.68,9.06,9.14,20700,9.14
2015-07-08,9.75,9.79,8.80,9.21,9200,9.21
2015-07-07,10.00,10.10,9.47,9.75,21200,9.75
2015-07-06,9.15,10.20,8.80,9.86,31900,9.86
2015-07-03,8.62,9.50,8.28,9.29,35500,9.29
2015-07-02,8.84,8.85,8.20,8.28,6700,8.28
2015-07-01,8.60,8.75,8.01,8.46,18900,8.46
2015-06-30,7.61,8.25,7.60,8.11,8600,8.11
2015-06-29,8.01,8.18,7.13,7.90,6400,7.90
2015-06-26,8.60,8.60,8.21,8.24,5000,8.24
2015-06-25,8.12,9.70,8.12,8.44,19400,8.44
2015-06-24,7.99,9.08,7.35,8.49,43900,8.49
2015-06-23,7.64,7.68,7.10,7.57,11800,7.57
2015-06-22,6.82,7.45,6.81,7.39,17100,7.39
2015-06-19,6.72,7.00,6.65,6.93,5500,6.93
2015-06-18,6.81,7.23,6.71,6.74,22600,6.74
2015-06-17,6.86,6.99,6.71,6.83,8600,6.83
2015-06-16,6.85,6.97,6.83,6.94,4200,6.94
2015-06-15,6.80,7.00,6.80,7.00,4900,7.00
2015-06-12,6.85,7.00,6.85,7.00,6000,7.00
2015-06-11,7.10,7.20,6.90,7.16,11300,7.16
2015-06-10,7.05,7.24,6.96,7.00,14600,7.00
2015-06-09,7.10,7.45,7.00,7.05,12300,7.05
2015-06-08,7.36,7.62,7.19,7.38,4700,7.38
2015-06-05,8.50,8.50,7.31,7.35,7300,7.35
2015-06-04,7.55,7.64,7.23,7.35,7500,7.35
2015-06-03,7.62,7.90,7.03,7.55,29700,7.55
2015-06-02,7.95,8.00,7.55,7.72,8500,7.72
2015-06-01,8.74,8.78,7.75,8.05,52400,8.05
2015-05-29,7.56,9.22,7.40,8.41,105500,8.41
2015-05-28,7.31,8.57,7.30,7.57,76100,7.57
2015-05-27,9.01,9.03,8.62,8.62,3100,8.62
2015-05-26,9.74,9.74,9.00,9.00,6100,9.00
2015-05-25,9.50,9.75,9.21,9.36,19600,9.36
2015-05-22,9.94,9.94,9.21,9.50,14800,9.50
2015-05-21,9.15,10.00,9.15,9.98,3100,9.98
2015-05-20,10.00,10.10,9.60,9.61,15900,9.61
2015-05-19,9.40,10.35,9.40,9.92,26500,9.92
2015-05-18,9.50,9.95,9.40,9.41,3800,9.41
2015-05-15,9.30,9.65,9.01,9.43,14600,9.43
2015-05-14,9.95,9.95,9.30,9.42,3600,9.42
2015-05-13,9.53,9.79,9.53,9.79,2700,9.79
2015-05-12,10.00,10.00,9.42,9.45,7900,9.45
2015-05-11,10.10,10.30,9.82,10.19,6200,10.19
2015-05-08,10.30,10.30,9.80,10.16,7100,10.16
2015-05-07,10.00,10.00,9.50,9.89,6600,9.89
2015-05-06,10.25,10.59,9.40,10.29,62300,10.29
2015-05-05,10.50,10.67,9.91,10.33,21900,10.33
2015-05-04,10.15,10.75,10.00,10.24,57200,10.24
2015-05-01,10.01,10.01,10.01,10.01,000,10.01
2015-04-30,9.30,10.18,9.25,10.01,82800,10.01
2015-04-29,9.11,9.50,8.73,9.26,2900,9.26
2015-04-28,9.12,9.58,8.80,9.06,3400,9.06
2015-04-27,9.89,9.89,9.00,9.03,23900,9.03
2015-04-24,11.00,11.00,9.72,9.73,40400,9.73
2015-04-23,10.00,10.96,10.00,10.80,93800,10.80
2015-04-22,9.05,10.04,8.66,9.97,116800,9.97
2015-04-21,9.56,9.56,8.43,9.13,18700,9.13
2015-04-20,10.50,10.90,9.01,9.13,125200,9.13
2015-04-17,9.29,10.01,9.20,10.01,63800,10.01
2015-04-16,8.93,9.29,8.16,9.10,172300,9.10
2015-04-15,6.50,7.83,6.50,7.83,81200,7.83
2015-04-14,6.53,6.53,6.53,6.53,000,6.53
2015-04-13,5.65,6.74,5.65,6.53,10100,6.53
2015-04-10,6.25,6.25,6.00,6.16,11000,6.16
2015-04-09,6.85,6.85,6.10,6.30,4500,6.30
2015-04-08,6.05,6.40,6.00,6.32,8600,6.32
2015-04-07,6.39,6.39,5.80,5.81,9400,5.81
2015-04-06,5.99,6.30,5.56,6.29,800,6.29
2015-04-03,5.99,5.99,5.99,5.99,000,5.99
2015-04-02,5.99,5.99,5.99,5.99,000,5.99
2015-04-01,5.78,6.18,5.60,5.99,20600,5.99
2015-03-31,6.08,6.08,5.70,5.78,9100,5.78
2015-03-30,5.51,6.15,5.45,5.90,20300,5.90
2015-03-27,5.25,5.97,5.25,5.97,5200,5.97
2015-03-26,5.11,5.70,5.11,5.50,15100,5.50
2015-03-25,5.31,5.87,5.20,5.33,4700,5.33
2015-03-24,6.18,6.18,5.36,5.90,5500,5.90
2015-03-23,5.35,6.30,5.31,6.21,1200,6.21
2015-03-20,5.61,6.11,5.50,5.66,2400,5.66
2015-03-19,6.00,6.15,5.60,5.94,29100,5.94
2015-03-18,5.40,6.30,5.40,6.20,7800,6.20
2015-03-17,5.67,5.67,5.67,5.67,10000,5.67
2015-03-16,5.61,5.70,5.60,5.61,7100,5.61
2015-03-13,6.00,6.00,5.90,5.90,900,5.90
2015-03-12,6.05,6.05,6.01,6.01,2200,6.01
2015-03-11,6.10,6.15,5.90,5.98,3900,5.98
2015-03-10,6.02,6.24,6.00,6.02,18400,6.02
2015-03-09,6.31,6.31,6.23,6.23,93500,6.23
2015-03-06,6.58,6.58,6.58,6.58,000,6.58
2015-03-05,6.50,6.60,6.15,6.58,3500,6.58
2015-03-04,6.88,7.00,6.35,6.35,10200,6.35
2015-03-03,6.68,6.69,6.10,6.30,15900,6.30
2015-03-02,6.05,6.05,5.90,6.05,8100,6.05
2015-02-27,6.25,6.58,6.11,6.42,3600,6.42
2015-02-26,6.05,6.23,6.02,6.18,5900,6.18
2015-02-25,6.94,6.95,6.05,6.14,49400,6.14
2015-02-24,6.31,6.37,6.31,6.35,3000,6.35
2015-02-23,6.86,6.86,6.35,6.55,9600,6.55
2015-02-20,6.45,6.78,6.45,6.50,54100,6.50
2015-02-19,6.23,6.43,6.00,6.40,21100,6.40
2015-02-18,6.32,6.81,6.32,6.81,1500,6.81
2015-02-17,6.51,6.51,6.51,6.51,000,6.51
2015-02-16,6.80,6.80,6.42,6.51,11200,6.51
2015-02-13,6.76,7.13,6.76,6.76,2900,6.76
2015-02-12,6.57,6.80,6.57,6.80,4400,6.80
2015-02-11,6.61,6.92,6.00,6.92,7000,6.92
2015-02-10,7.00,7.00,6.57,6.57,8700,6.57
2015-02-09,6.68,6.90,6.60,6.61,4600,6.61
2015-02-06,7.55,7.55,6.90,6.91,3200,6.91
2015-02-05,7.00,7.40,6.98,7.16,22600,7.16
2015-02-04,7.00,7.50,7.00,7.25,2100,7.25
2015-02-03,7.00,7.49,6.90,7.28,15500,7.28
2015-02-02,7.40,7.40,7.00,7.05,4600,7.05
2015-01-30,7.49,7.50,6.81,7.00,19400,7.00
2015-01-29,7.44,7.44,6.99,7.02,19100,7.02
2015-01-28,7.45,7.45,6.90,7.00,25600,7.00
2015-01-27,7.85,7.85,7.15,7.17,10600,7.17
2015-01-26,7.33,7.33,7.33,7.33,000,7.33
2015-01-23,8.09,8.09,7.33,7.33,8500,7.33
2015-01-22,7.50,7.88,7.40,7.49,12100,7.49
2015-01-21,8.20,8.20,7.38,7.54,6800,7.54
2015-01-20,8.19,8.19,7.60,7.68,11300,7.68
2015-01-19,7.99,8.00,7.50,7.76,14500,7.76
2015-01-16,7.70,7.85,7.31,7.85,3300,7.85
2015-01-15,7.33,7.67,7.33,7.45,4500,7.45
2015-01-14,7.47,7.90,7.25,7.35,12400,7.35
2015-01-13,7.50,7.59,7.43,7.54,4500,7.54
2015-01-12,7.75,8.04,7.55,7.60,2700,7.60
2015-01-09,7.63,7.63,7.60,7.60,7500,7.60
2015-01-08,7.80,8.00,7.53,7.63,18600,7.63
2015-01-07,7.26,7.85,7.08,7.79,16600,7.79
2015-01-06,7.40,7.75,7.30,7.60,7900,7.60
2015-01-05,8.00,8.00,7.60,7.83,13900,7.83
2015-01-02,7.75,8.00,7.61,7.79,14000,7.79
2015-01-01,8.73,8.73,7.61,7.75,4000,7.75
2014-12-31,7.26,8.00,7.26,7.97,15100,7.97
2014-12-30,8.30,8.30,7.37,7.39,3400,7.39
2014-12-29,8.10,8.25,7.56,7.62,11900,7.62
2014-12-26,7.55,8.49,7.33,7.77,13200,7.77
2014-12-25,7.80,7.80,7.80,7.80,000,7.80
2014-12-24,7.70,7.80,7.41,7.80,6400,7.80
2014-12-23,8.01,8.01,7.71,7.80,7600,7.80
2014-12-22,7.85,8.60,7.85,8.03,12800,8.03
2014-12-19,8.50,8.89,8.02,8.29,5000,8.29
2014-12-18,8.25,8.71,8.25,8.50,6300,8.50
2014-12-17,7.50,8.29,7.50,8.16,13300,8.16
2014-12-16,9.72,9.72,8.17,8.17,38000,8.17
