Date,Open,High,Low,Close,Volume,Adj Close
2015-07-15,647.50,653.50,594.00,604.95,40600,604.95
2015-07-14,660.00,660.00,643.10,643.65,5900,643.65
2015-07-13,655.00,666.85,643.25,646.55,10500,646.55
2015-07-10,677.00,677.00,653.50,656.50,6900,656.50
2015-07-09,675.00,685.00,669.30,672.90,5900,672.90
2015-07-08,669.05,676.10,668.00,670.80,3800,670.80
2015-07-07,686.15,691.45,668.20,676.85,6100,676.85
2015-07-06,691.00,695.05,682.50,686.80,2300,686.80
2015-07-03,704.05,706.00,678.00,699.85,3000,699.85
2015-07-02,674.60,707.50,674.60,700.15,6800,700.15
2015-07-01,671.60,680.00,669.25,674.10,2100,674.10
2015-06-30,668.00,700.00,667.00,674.25,5500,674.25
2015-06-29,668.30,670.10,661.00,662.50,1700,662.50
2015-06-26,692.10,696.50,674.80,681.10,2800,681.10
2015-06-25,700.55,702.65,686.00,691.00,2800,691.00
2015-06-24,677.30,703.00,672.00,698.80,12900,698.80
2015-06-23,672.00,681.00,671.10,679.85,1900,679.85
2015-06-22,670.00,675.00,662.00,665.85,3600,665.85
2015-06-19,665.00,677.30,661.00,672.15,1600,672.15
2015-06-18,672.20,674.45,661.00,661.75,6000,661.75
2015-06-17,675.00,680.00,668.50,677.10,1500,677.10
2015-06-16,674.25,675.00,664.40,670.20,1400,670.20
2015-06-15,670.30,675.00,668.05,672.05,1200,672.05
2015-06-12,671.80,671.80,665.00,667.05,4800,667.05
2015-06-11,683.00,690.00,669.50,671.15,1500,671.15
2015-06-10,685.00,691.75,674.65,684.20,1800,684.20
2015-06-09,674.95,684.00,668.45,683.85,3400,683.85
2015-06-08,684.00,685.00,655.00,678.55,4900,678.55
2015-06-05,659.00,684.00,650.60,679.80,4300,679.80
2015-06-04,667.70,672.45,652.00,656.60,14900,656.60
2015-06-03,669.00,669.00,656.80,665.10,2100,665.10
2015-06-02,680.85,680.85,667.40,668.70,4400,668.70
2015-06-01,666.60,687.00,663.00,683.45,2900,683.45
2015-05-29,702.45,707.40,662.50,662.50,12600,662.50
2015-05-28,710.00,711.55,692.05,701.00,2200,701.00
2015-05-27,695.35,708.95,686.60,706.35,3600,706.35
2015-05-26,682.05,698.00,682.00,697.05,7500,697.05
2015-05-25,680.90,686.50,675.50,676.40,700,676.40
2015-05-22,690.00,695.10,670.20,678.65,1800,678.65
2015-05-21,667.00,689.00,662.50,686.20,8000,686.20
2015-05-20,665.65,668.00,662.00,663.80,1300,663.80
2015-05-19,668.00,668.00,658.30,663.10,4500,663.10
2015-05-18,665.00,665.75,662.50,663.30,2700,663.30
2015-05-15,663.10,663.35,655.55,658.80,3500,658.80
2015-05-14,663.95,668.00,663.00,663.10,2000,663.10
2015-05-13,671.30,671.30,663.40,665.95,1200,665.95
2015-05-12,671.55,680.00,660.50,664.45,2200,664.45
2015-05-11,672.00,674.00,656.00,669.70,7500,669.70
2015-05-08,672.85,690.00,662.00,671.15,306500,671.15
2015-05-07,675.60,679.95,661.40,669.05,3900,669.05
2015-05-06,685.00,685.00,666.90,675.10,3200,675.10
