Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,113.00,113.70,109.00,109.60,3900,108.40
2015-07-16,113.30,115.50,112.00,112.15,5300,110.92
2015-07-15,118.55,118.90,112.05,112.35,12600,111.12
2015-07-14,114.90,118.00,112.50,115.50,5900,114.24
2015-07-13,115.95,118.00,113.05,114.45,16000,113.20
2015-07-10,106.25,119.00,106.20,113.65,33900,112.41
2015-07-09,104.60,108.00,104.60,106.95,7300,105.78
2015-07-08,108.45,108.45,101.60,104.50,9900,103.36
2015-07-07,106.00,109.00,103.00,103.90,15500,102.76
2015-07-06,94.80,109.40,92.60,106.10,43900,104.94
2015-07-03,94.85,98.00,92.00,92.85,6000,91.83
2015-07-02,90.20,95.00,90.20,92.05,4900,91.04
2015-07-01,90.90,92.35,90.00,91.00,10300,90.00
2015-06-30,86.00,89.90,85.10,87.75,2800,86.79
2015-06-29,84.60,87.50,84.50,86.50,7000,85.55
2015-06-26,87.00,87.40,84.55,86.30,11300,85.36
2015-06-25,87.30,88.95,85.25,86.25,4300,85.31
2015-06-24,86.40,88.75,84.00,85.50,5400,84.56
2015-06-23,83.60,83.60,83.55,83.55,100,82.64
2015-06-22,82.10,85.35,82.00,84.85,2500,83.92
2015-06-19,85.00,85.00,83.00,83.10,1700,82.19
2015-06-18,87.00,87.00,84.00,84.60,2600,83.67
2015-06-17,84.90,87.00,84.60,85.00,1000,84.07
2015-06-16,87.00,87.00,84.00,85.00,1400,84.07
2015-06-15,85.00,87.40,85.00,87.40,1400,86.44
2015-06-12,86.00,88.60,84.30,85.55,5600,84.61
2015-06-11,90.00,90.00,84.95,87.30,10900,86.34
2015-06-10,88.20,92.70,87.25,89.60,3200,88.62
2015-06-09,91.00,91.00,86.60,87.15,300,86.20
2015-06-08,89.00,89.00,87.60,87.60,1200,86.64
2015-06-05,89.00,90.80,89.00,90.50,2400,89.51
2015-06-04,87.15,90.00,86.50,87.35,3400,86.39
2015-06-03,86.00,94.00,85.20,88.95,12800,87.98
2015-06-02,91.40,91.40,85.40,88.50,5700,87.53
2015-06-01,88.00,92.00,85.00,90.20,16000,89.21
2015-05-29,87.00,92.00,87.00,88.30,11700,87.33
2015-05-28,85.90,88.85,84.50,87.50,15400,86.54
2015-05-27,85.60,85.65,84.00,84.60,2100,83.67
2015-05-26,81.30,83.75,81.25,82.60,900,81.70
2015-05-25,84.60,87.00,84.00,84.50,1200,83.57
2015-05-22,86.40,90.00,86.00,86.00,2500,85.06
2015-05-21,83.00,89.00,81.00,86.00,5200,85.06
2015-05-20,83.00,83.00,80.20,82.00,6200,81.10
2015-05-19,82.50,83.65,81.05,81.05,1800,80.16
2015-05-18,83.70,84.00,81.00,81.70,2100,80.81
2015-05-15,81.25,83.00,80.65,81.50,1600,80.61
2015-05-14,78.25,83.00,78.25,83.00,300,82.09
2015-05-13,78.60,82.00,78.10,81.85,1400,80.95
2015-05-12,80.40,81.60,79.00,79.15,800,78.28
2015-05-11,79.80,84.40,79.80,81.80,6900,80.90
2015-05-08,80.00,83.00,80.00,81.55,3600,80.66
2015-05-07,80.45,81.20,75.85,75.85,1500,75.02
2015-05-06,80.25,80.25,76.50,79.00,5000,78.14
2015-05-05,82.00,82.50,80.55,80.55,2800,79.67
2015-05-04,82.00,82.00,81.00,81.65,500,80.76
2015-05-01,80.10,80.10,80.10,80.10,000,79.22
2015-04-30,80.00,80.95,80.00,80.10,400,79.22
2015-04-29,81.00,82.05,79.20,79.20,1300,78.33
2015-04-28,84.10,84.10,79.80,80.05,1400,79.17
2015-04-27,83.15,84.60,80.30,81.50,3300,80.61
2015-04-24,85.10,85.10,82.50,82.55,100,81.65
2015-04-23,87.50,88.95,85.60,87.00,2200,86.05
2015-04-22,89.65,89.65,86.80,86.95,1000,86.00
2015-04-21,86.05,89.00,86.05,88.40,3500,87.43
2015-04-20,88.30,90.00,87.00,87.95,2300,86.99
2015-04-17,92.00,92.20,89.50,90.50,6300,89.51
2015-04-16,91.00,91.00,90.50,90.50,200,89.51
2015-04-15,90.15,92.50,89.55,90.55,14600,89.56
2015-04-14,90.65,90.65,90.65,90.65,000,89.66
2015-04-13,90.00,92.10,88.30,90.65,2600,89.66
2015-04-10,91.70,92.95,88.00,88.50,15400,87.53
2015-04-09,87.85,93.75,87.80,93.30,12600,92.28
2015-04-08,88.50,90.95,88.10,88.80,15100,87.83
2015-04-07,91.00,91.25,87.50,88.40,2700,87.43
2015-04-06,93.10,94.60,90.50,91.55,21200,90.55
2015-04-03,91.40,91.40,91.40,91.40,000,90.40
2015-04-02,91.40,91.40,91.40,91.40,000,90.40
2015-04-01,78.95,92.15,78.95,91.40,35000,90.40
2015-03-31,78.50,78.50,76.00,76.80,63100,75.96
2015-03-30,81.00,81.00,77.00,77.30,43700,76.45
2015-03-27,79.05,82.90,76.50,76.95,20200,76.11
2015-03-26,78.30,81.00,78.25,79.15,12000,78.28
2015-03-25,83.10,83.10,80.25,80.50,13300,79.62
2015-03-24,84.10,89.10,83.00,84.30,12000,83.38
2015-03-23,86.00,87.00,85.20,85.75,2100,84.81
2015-03-20,92.45,93.00,86.60,86.90,17500,85.95
2015-03-19,88.90,91.00,87.25,90.10,11900,89.11
2015-03-18,88.35,89.00,86.25,86.55,8700,85.60
2015-03-17,92.00,93.00,88.00,88.50,26500,87.53
2015-03-16,96.15,96.50,90.15,91.55,17200,90.55
2015-03-13,98.00,98.00,91.05,91.35,16700,90.35
2015-03-12,98.10,98.10,94.20,96.95,5800,95.89
2015-03-11,100.35,100.60,97.00,97.55,16500,96.48
2015-03-10,95.35,101.95,93.85,99.70,25100,98.61
2015-03-09,92.10,94.00,91.00,93.00,11100,91.98
2015-03-06,92.25,92.25,92.25,92.25,000,91.24
2015-03-05,92.50,93.25,91.50,92.25,3900,91.24
2015-03-04,94.20,95.80,92.15,93.00,4600,91.98
2015-03-03,93.00,94.70,91.30,94.15,3400,93.12
2015-03-02,92.40,93.00,91.00,93.00,1800,91.98
2015-02-27,92.50,92.65,92.00,92.35,3900,91.34
2015-02-26,91.85,93.00,91.40,93.00,2900,91.98
2015-02-25,98.25,98.25,92.55,93.55,1200,92.53
2015-02-24,93.00,96.00,92.60,94.20,4700,93.17
2015-02-23,95.05,95.45,92.50,92.50,3200,91.49
2015-02-20,92.10,96.30,92.10,95.05,1400,94.01
2015-02-19,95.10,95.10,93.20,94.00,6500,92.97
2015-02-18,96.20,96.20,94.35,94.35,1600,93.32
2015-02-17,97.40,97.40,97.40,97.40,000,96.33
2015-02-16,97.00,98.80,95.00,97.40,7800,96.33
2015-02-13,93.50,94.95,93.35,93.35,5000,92.33
2015-02-12,93.15,95.85,92.75,94.10,4700,93.07
2015-02-11,97.50,97.50,92.25,94.50,3100,93.47
2015-02-10,91.50,94.45,91.05,94.15,2800,93.12
2015-02-09,90.00,92.25,89.65,89.65,5100,88.67
2015-02-06,93.50,93.50,90.00,91.75,4800,90.75
2015-02-05,95.00,96.75,91.80,92.20,9200,91.19
2015-02-04,94.35,95.00,93.60,93.90,3300,92.87
2015-02-03,92.60,94.00,91.00,93.45,31300,92.43
2015-02-02,94.00,96.00,90.20,91.95,10800,90.94
2015-01-30,93.65,94.50,91.00,92.70,13200,91.69
2015-01-29,97.10,97.10,94.15,95.10,13300,94.06
2015-01-28,100.00,100.90,97.00,97.60,53800,96.53
2015-01-27,102.00,103.25,99.90,100.10,34400,99.00
2015-01-26,101.70,101.70,101.70,101.70,000,100.59
2015-01-23,102.15,107.70,101.00,101.70,16800,100.59
2015-01-22,105.00,106.00,101.95,103.00,22400,101.87
2015-01-21,108.50,109.00,103.50,104.90,9300,103.75
2015-01-20,107.00,111.80,104.00,107.65,23300,106.47
2015-01-19,102.00,108.00,98.25,105.15,26800,104.00
2015-01-16,100.25,102.00,99.40,100.60,6700,99.50
2015-01-15,99.05,102.80,99.00,102.10,67000,100.98
2015-01-14,98.45,100.00,98.40,100.00,1000,98.91
2015-01-13,102.00,102.00,99.00,99.60,1500,98.51
2015-01-12,99.45,104.00,99.30,100.30,2400,99.20
2015-01-09,105.00,105.00,99.05,100.00,2100,98.91
2015-01-08,96.50,107.00,96.50,104.30,26600,103.16
2015-01-07,96.10,99.55,94.50,96.60,25200,95.54
2015-01-06,101.15,101.20,95.30,97.00,41600,95.94
2015-01-05,102.00,104.90,101.50,102.35,23700,101.23
2015-01-02,102.00,103.50,101.00,103.50,3700,102.37
2015-01-01,101.10,103.00,100.05,102.00,3400,100.88
2014-12-31,102.00,105.00,99.75,103.25,18200,102.12
2014-12-30,101.65,102.45,98.50,100.55,6300,99.45
2014-12-29,102.00,102.95,100.20,100.60,1300,99.50
2014-12-26,97.80,102.85,95.25,100.40,5400,99.30
2014-12-25,94.85,94.85,94.85,94.85,000,93.81
2014-12-24,96.85,96.95,94.00,94.85,3800,93.81
2014-12-23,101.10,101.90,95.05,97.35,8600,96.28
2014-12-22,102.65,105.00,98.20,98.75,18200,97.67
2014-12-19,102.50,104.20,100.30,100.75,3600,99.65
2014-12-18,101.05,104.75,101.00,102.00,900,100.88
2014-12-17,96.05,107.10,94.00,100.20,8500,99.10
2014-12-16,108.00,108.00,98.00,100.10,15700,99.00
2014-12-15,104.00,106.75,102.00,105.00,600,103.85
2014-12-12,103.50,104.10,100.20,101.60,15300,100.49
2014-12-11,104.70,104.70,101.20,101.85,1900,100.73
2014-12-10,105.00,105.55,101.00,103.60,9700,102.47
2014-12-09,108.45,111.40,105.10,106.70,18800,105.53
2014-12-08,107.25,110.50,106.20,107.00,12800,105.83
2014-12-05,106.75,107.25,105.50,106.10,1400,104.94
2014-12-04,109.00,109.40,104.00,105.45,4100,104.30
2014-12-03,109.90,111.10,107.45,107.65,10600,106.47
2014-12-02,106.00,106.90,104.00,104.45,2600,103.31
2014-12-01,103.20,111.05,103.00,107.50,22200,106.32
2014-11-28,107.85,108.50,103.10,104.55,2300,103.41
2014-11-27,106.50,109.00,105.50,107.10,6700,105.93
2014-11-26,102.00,107.60,102.00,107.00,10200,105.83
2014-11-25,105.50,106.90,102.10,103.85,21600,102.71
2014-11-24,107.00,107.95,104.50,105.00,4700,103.85
2014-11-21,107.90,109.25,106.30,106.95,6600,105.78
2014-11-20,112.90,112.90,107.50,107.90,900,106.72
2014-11-19,109.95,113.00,107.10,107.95,6500,106.77
2014-11-18,113.00,114.25,108.75,109.10,8400,107.91
2014-11-17,115.50,115.80,110.60,112.30,35100,111.07
2014-11-14,114.20,115.40,111.00,111.95,4300,110.72
2014-11-13,107.20,115.90,107.20,112.05,12300,110.82
2014-11-12,110.00,110.00,107.10,107.60,8300,106.42
2014-11-11,107.70,109.40,106.50,108.90,11200,107.71
2014-11-10,110.05,115.00,107.50,107.90,15900,106.72
2014-11-07,112.75,115.50,108.50,112.30,28600,111.07
2014-11-06,115.05,115.05,115.05,115.05,000,113.79
2014-11-05,115.00,116.85,113.00,115.05,14700,113.79
2014-11-04,115.85,115.85,115.85,115.85,000,114.58
2014-11-03,119.70,119.70,113.50,115.85,5600,114.58
2014-10-31,120.00,122.00,115.00,116.20,12200,114.93
2014-10-30,126.90,127.25,120.00,121.15,18800,119.82
2014-10-29,113.40,124.75,113.40,124.40,65500,123.04
2014-10-28,114.80,114.80,110.10,113.45,3500,112.21
2014-10-27,112.35,114.75,109.00,112.65,5400,111.42
2014-10-24,112.35,112.35,112.35,112.35,000,111.12
2014-10-23,112.35,112.35,112.35,112.35,000,111.12
2014-10-22,112.05,117.95,108.55,112.35,5600,111.12
2014-10-21,110.00,114.75,110.00,111.10,12100,109.88
2014-10-20,116.00,117.85,112.50,114.30,5300,113.05
2014-10-17,108.00,115.95,104.00,112.40,15400,111.17
2014-10-16,113.00,113.00,108.40,110.10,3800,108.89
2014-10-15,115.20,115.20,115.20,115.20,000,113.94
2014-10-14,118.50,118.50,113.10,115.20,7200,113.94
2014-10-13,115.00,115.50,113.00,115.25,3000,113.99
2014-10-10,116.95,119.00,115.00,115.30,3800,114.04
2014-10-09,119.80,120.35,116.00,117.30,4000,116.02
2014-10-08,122.00,122.00,114.50,117.20,20300,115.92
2014-10-07,120.95,122.35,117.00,120.75,17100,119.43
2014-10-06,122.50,122.50,122.50,122.50,000,121.16
2014-10-03,122.50,122.50,122.50,122.50,000,121.16
2014-10-02,122.50,122.50,122.50,122.50,000,121.16
2014-10-01,122.00,125.40,120.70,122.50,8800,121.16
2014-09-30,124.95,127.00,123.90,124.50,5500,123.14
2014-09-29,119.05,126.45,119.05,125.15,21200,123.78
2014-09-26,124.00,124.00,119.00,120.45,16300,119.13
2014-09-25,130.00,130.00,124.05,125.25,40000,123.88
2014-09-24,134.00,134.00,128.00,130.55,15100,129.12
2014-09-23,136.40,136.90,131.00,133.35,28700,131.89
2014-09-22,135.60,138.35,135.00,135.90,9800,134.41
2014-09-19,137.15,140.75,136.15,138.15,49300,136.64
2014-09-18,138.65,140.90,136.50,138.15,24800,136.64
2014-09-17,131.05,141.15,130.00,140.05,51100,138.52
2014-09-16,140.00,141.70,133.65,134.45,41100,132.98
2014-09-15,140.80,142.50,136.80,140.65,13000,139.11
2014-09-12,143.20,145.25,142.55,143.45,14400,141.88
2014-09-11,149.00,155.00,143.25,145.75,33200,144.15
2014-09-10,140.60,149.65,138.55,148.05,157000,146.43
2014-09-09,145.00,145.00,139.65,142.55,39500,140.99
2014-09-08,146.00,146.80,139.50,143.40,52200,141.83
2014-09-05,139.50,145.90,139.50,145.15,61100,143.56
2014-09-04,143.00,143.00,137.00,140.90,38400,139.36
2014-09-03,144.95,144.95,139.10,142.40,80400,140.84
2014-09-02,137.80,141.75,134.15,141.55,97300,140.00
2014-09-01,137.90,138.90,132.10,135.00,38600,133.52
2014-08-29,135.85,135.85,135.85,135.85,000,134.36
2014-08-28,138.80,138.80,133.10,135.85,66000,134.36
2014-08-27,129.90,134.75,128.90,134.75,134700,133.27
2014-08-26,125.05,129.95,124.00,128.35,41500,126.94
2014-08-25,131.95,131.95,127.00,128.85,17300,127.44
2014-08-22,133.00,135.00,128.50,130.30,40100,128.87
2014-08-21,128.50,134.00,128.05,131.10,60900,129.66
2014-08-20,128.05,130.70,125.50,129.05,61000,127.64
2014-08-19,132.85,133.10,127.00,130.95,189200,129.52
2014-08-18,121.00,126.80,121.00,126.80,97600,125.41
2014-08-15,120.80,120.80,120.80,120.80,000,119.48
2014-08-14,119.00,120.80,112.00,120.80,132300,119.48
2014-08-13,110.55,115.05,110.25,115.05,192900,113.79
2014-08-12,106.85,109.60,103.85,109.60,52800,108.40
2014-08-11,95.60,104.90,95.00,104.40,57800,103.26
2014-08-08,100.35,101.60,99.95,99.95,6100,98.86
2014-08-07,108.95,108.95,103.50,105.20,72400,104.05
2014-08-06,108.50,108.95,104.50,108.90,171500,107.71
2014-08-05,103.80,103.80,103.80,103.80,800,102.66
2014-08-04,93.00,98.90,93.00,98.90,6300,97.82
2014-08-01,98.75,98.75,93.00,94.20,9800,93.17
2014-07-31,100.00,100.00,96.00,96.45,3400,95.39
2014-07-30,95.00,98.80,93.60,97.30,8000,96.23
2014-07-29,97.00,97.00,97.00,97.00,000,95.94
2014-07-28,104.00,104.00,96.50,97.00,7200,95.94
2014-07-25,98.90,100.00,94.55,99.50,14600,98.41
2014-07-24,102.50,102.50,96.55,99.50,4000,98.41
2014-07-23,106.70,106.70,97.15,102.00,44400,99.70
2014-07-22,111.40,111.40,102.25,102.25,35800,99.94
2014-07-21,106.00,107.70,103.05,107.60,107800,105.17
2014-07-18,101.00,102.60,95.00,102.60,127600,100.28
2014-07-17,97.75,97.75,96.00,97.75,322800,95.54
2014-07-16,93.10,93.10,93.10,93.10,21700,91.00
2014-07-15,88.70,88.70,88.70,88.70,19600,86.70
2014-07-14,83.90,84.50,81.00,84.50,83200,82.59
2014-07-11,79.95,80.55,75.05,80.50,113200,78.68
2014-07-10,75.00,77.50,74.00,76.75,20500,75.02
2014-07-09,76.80,77.75,72.25,74.00,4000,72.33
2014-07-08,76.10,77.60,73.70,74.20,10400,72.52
2014-07-07,75.25,77.50,75.25,75.60,11200,73.89
2014-07-04,72.35,77.00,72.35,75.05,3400,73.36
2014-07-03,77.80,77.80,73.55,73.95,2000,72.28
2014-07-02,70.55,75.00,70.50,74.35,12200,72.67
2014-07-01,69.90,73.70,69.50,71.45,3300,69.84
