Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,0.18,0.18,0.18,0.18,000,0.18
2015-07-16,0.18,0.18,0.18,0.18,000,0.18
2015-07-15,0.18,0.18,0.18,0.18,000,0.18
2015-07-14,0.18,0.18,0.18,0.18,000,0.18
2015-07-13,0.18,0.18,0.16,0.18,245100,0.18
2015-07-10,0.17,0.17,0.17,0.17,000,0.17
2015-07-09,0.17,0.17,0.17,0.17,000,0.17
2015-07-08,0.17,0.17,0.17,0.17,000,0.17
2015-07-07,0.17,0.17,0.17,0.17,000,0.17
2015-07-06,0.16,0.17,0.15,0.17,176000,0.17
2015-07-03,0.16,0.16,0.16,0.16,000,0.16
2015-07-02,0.16,0.16,0.16,0.16,000,0.16
2015-07-01,0.16,0.16,0.16,0.16,000,0.16
2015-06-30,0.16,0.16,0.16,0.16,000,0.16
2015-06-29,0.17,0.17,0.15,0.16,38600,0.16
2015-06-26,0.16,0.16,0.16,0.16,000,0.16
2015-06-25,0.16,0.16,0.16,0.16,000,0.16
2015-06-24,0.16,0.16,0.16,0.16,000,0.16
2015-06-23,0.16,0.16,0.16,0.16,000,0.16
2015-06-22,0.18,0.18,0.16,0.16,119200,0.16
2015-06-19,0.17,0.17,0.17,0.17,000,0.17
2015-06-18,0.17,0.17,0.17,0.17,000,0.17
2015-06-17,0.17,0.17,0.17,0.17,000,0.17
2015-06-16,0.17,0.17,0.17,0.17,000,0.17
2015-06-15,0.18,0.19,0.17,0.17,260500,0.17
2015-06-12,0.18,0.18,0.18,0.18,000,0.18
2015-06-11,0.18,0.18,0.18,0.18,000,0.18
2015-06-10,0.18,0.18,0.18,0.18,000,0.18
2015-06-09,0.18,0.18,0.18,0.18,000,0.18
2015-06-08,0.19,0.19,0.17,0.18,55100,0.18
2015-06-05,0.18,0.18,0.18,0.18,000,0.18
2015-06-04,0.18,0.18,0.18,0.18,000,0.18
2015-06-03,0.18,0.18,0.18,0.18,000,0.18
2015-06-02,0.18,0.18,0.18,0.18,000,0.18
2015-06-01,0.17,0.18,0.16,0.18,186600,0.18
2015-05-29,0.17,0.17,0.17,0.17,000,0.17
2015-05-28,0.17,0.17,0.17,0.17,000,0.17
2015-05-27,0.17,0.17,0.17,0.17,000,0.17
2015-05-26,0.17,0.17,0.17,0.17,000,0.17
2015-05-25,0.17,0.17,0.15,0.17,317900,0.17
2015-05-22,0.16,0.16,0.16,0.16,000,0.16
2015-05-21,0.16,0.16,0.16,0.16,000,0.16
2015-05-20,0.16,0.16,0.16,0.16,000,0.16
2015-05-19,0.16,0.16,0.16,0.16,000,0.16
2015-05-18,0.17,0.18,0.16,0.16,169300,0.16
2015-05-15,0.17,0.17,0.17,0.17,000,0.17
2015-05-14,0.17,0.17,0.17,0.17,000,0.17
2015-05-13,0.17,0.17,0.17,0.17,000,0.17
2015-05-12,0.17,0.17,0.17,0.17,000,0.17
2015-05-11,0.16,0.17,0.16,0.17,118900,0.17
2015-05-08,0.17,0.17,0.17,0.17,000,0.17
2015-05-07,0.17,0.17,0.17,0.17,000,0.17
2015-05-06,0.17,0.17,0.17,0.17,000,0.17
2015-05-05,0.17,0.17,0.17,0.17,000,0.17
2015-05-04,0.17,0.19,0.17,0.17,42500,0.17
2015-05-01,0.18,0.18,0.18,0.18,000,0.18
2015-04-30,0.18,0.18,0.18,0.18,000,0.18
2015-04-29,0.18,0.18,0.18,0.18,000,0.18
2015-04-28,0.18,0.18,0.18,0.18,000,0.18
2015-04-27,0.19,0.20,0.18,0.18,149700,0.18
2015-04-24,0.19,0.19,0.19,0.19,000,0.19
