Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,133.00,136.90,130.10,132.50,136600,131.50
2015-07-16,135.50,138.40,131.80,132.50,85100,131.50
2015-07-15,132.90,137.70,132.10,134.80,119000,133.78
2015-07-14,135.90,136.30,131.00,131.90,88500,130.90
2015-07-13,138.20,139.10,132.50,135.20,93500,134.18
2015-07-10,144.90,144.90,135.60,137.10,116400,136.07
2015-07-09,139.00,146.80,138.50,140.20,423800,139.14
2015-07-08,130.90,142.70,128.30,138.80,337600,137.75
2015-07-07,135.00,136.70,129.10,131.00,101100,130.01
2015-07-06,130.60,136.00,126.30,134.00,190600,132.99
2015-07-03,128.80,134.40,128.20,131.50,317100,130.51
2015-07-02,119.90,130.00,119.70,128.80,363200,127.83
2015-07-01,117.50,122.60,116.90,118.80,100600,117.90
2015-06-30,111.00,121.00,110.80,116.80,203500,115.92
2015-06-29,111.00,111.00,108.00,110.30,42700,109.47
2015-06-26,115.10,117.70,112.80,114.60,79900,113.74
2015-06-25,108.80,118.00,108.80,114.80,199700,113.93
2015-06-24,113.00,113.00,108.00,108.70,47600,107.88
2015-06-23,110.00,114.10,110.00,112.30,62700,111.45
2015-06-22,109.00,110.30,109.00,110.00,37800,109.17
2015-06-19,109.00,111.00,108.00,108.60,43300,107.78
2015-06-18,106.90,108.20,106.20,108.20,57300,107.38
2015-06-17,107.30,108.00,105.20,105.80,39800,105.00
2015-06-16,106.20,107.10,103.60,105.70,41900,104.90
2015-06-15,105.50,108.70,105.50,106.70,30700,105.89
2015-06-12,105.90,107.70,105.90,106.60,37800,105.80
2015-06-11,112.60,113.00,105.00,105.60,45800,104.80
2015-06-10,106.90,113.00,106.90,111.30,53800,110.46
2015-06-09,106.10,108.00,104.70,106.20,40600,105.40
2015-06-08,113.00,114.00,105.60,106.50,35700,105.70
2015-06-05,110.90,115.10,110.20,111.50,35500,110.66
2015-06-04,112.00,114.40,108.50,110.50,48000,109.67
2015-06-03,117.00,117.00,107.10,111.90,58600,111.06
2015-06-02,119.50,120.80,116.10,117.30,34800,116.41
2015-06-01,122.75,124.80,118.50,119.10,59100,118.20
2015-05-29,120.90,125.80,120.90,122.80,124900,121.87
2015-05-28,120.40,122.80,120.40,121.00,67100,120.09
2015-05-27,114.20,121.20,114.10,120.60,112300,119.69
2015-05-26,117.00,118.00,113.40,116.40,62400,115.52
2015-05-25,117.00,119.90,114.70,115.10,45300,114.23
2015-05-22,122.00,124.00,117.40,118.10,79700,117.21
2015-05-21,114.20,123.50,113.00,122.00,191900,121.08
2015-05-20,114.40,115.30,113.80,114.50,38400,113.64
2015-05-19,114.00,115.30,112.20,113.20,57400,112.35
2015-05-18,110.00,114.00,110.00,113.30,73200,112.44
2015-05-15,107.60,108.90,106.80,108.20,37100,107.38
2015-05-14,104.80,108.00,104.80,106.70,35900,105.89
2015-05-13,106.00,107.10,103.60,105.60,51100,104.80
2015-05-12,107.70,107.70,103.30,104.10,39600,103.31
2015-05-11,107.00,110.00,107.00,108.20,28200,107.38
2015-05-08,107.00,108.00,105.40,106.20,15700,105.40
2015-05-07,106.10,108.90,104.80,105.00,24100,104.21
2015-05-06,111.80,113.10,106.10,107.50,36100,106.69
2015-05-05,113.00,115.80,112.00,112.90,60300,112.05
2015-05-04,111.70,113.70,111.70,112.40,47100,111.55
2015-05-01,110.40,110.40,110.40,110.40,000,109.57
2015-04-30,109.10,112.80,108.40,110.40,53500,109.57
2015-04-29,107.00,111.50,107.00,109.40,66600,108.57
2015-04-28,104.30,108.60,104.30,106.80,42900,105.99
2015-04-27,110.20,110.20,103.20,104.20,44200,103.41
2015-04-24,114.30,114.40,108.50,109.70,49000,108.87
2015-04-23,116.60,118.00,113.40,114.00,21900,113.14
2015-04-22,114.70,117.60,113.40,115.20,68400,114.33
2015-04-21,116.80,117.70,112.70,113.60,56700,112.74
2015-04-20,120.40,120.40,113.60,115.70,64000,114.83
2015-04-17,123.30,126.00,119.80,120.60,62300,119.69
2015-04-16,125.30,127.80,121.90,125.00,83100,124.06
2015-04-15,124.50,128.00,121.90,124.50,89100,123.56
2015-04-14,123.00,123.00,123.00,123.00,000,122.07
2015-04-13,120.10,126.40,120.10,123.00,81100,122.07
2015-04-10,119.00,122.30,118.40,119.50,50400,118.60
2015-04-09,120.10,120.90,117.50,118.40,53600,117.51
2015-04-08,120.75,122.00,119.20,119.70,53900,118.80
2015-04-07,118.60,120.80,116.50,119.80,193400,118.90
2015-04-06,115.80,119.00,114.90,117.70,75700,116.81
2015-04-03,114.60,114.60,114.60,114.60,000,113.74
2015-04-02,114.60,114.60,114.60,114.60,000,113.74
2015-04-01,112.00,115.50,111.30,114.60,66900,113.74
2015-03-31,109.00,115.80,109.00,111.80,70200,110.96
2015-03-30,105.70,110.80,105.70,108.90,70000,108.08
2015-03-27,108.00,108.90,102.40,104.80,53400,104.01
