Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,63.00,63.00,62.10,62.50,213200,62.50
2015-07-16,62.80,63.00,62.20,62.50,316900,62.50
2015-07-15,62.80,63.45,61.95,62.60,319400,62.60
2015-07-14,63.00,63.00,61.70,62.15,291000,62.15
2015-07-13,63.00,64.00,61.80,62.00,516000,62.00
2015-07-10,63.85,63.85,61.80,62.00,493900,62.00
2015-07-09,63.75,64.40,61.85,62.70,443600,62.70
2015-07-08,63.40,64.60,62.00,62.55,532500,62.55
2015-07-07,64.80,64.80,62.30,63.00,423900,63.00
2015-07-06,65.00,65.70,63.20,63.90,303300,63.90
2015-07-03,65.00,65.05,63.30,64.20,402700,64.20
2015-07-02,64.40,65.00,63.60,64.15,284300,64.15
2015-07-01,64.30,65.60,63.10,63.55,399700,63.55
2015-06-30,66.00,66.85,62.60,63.55,451700,63.55
2015-06-29,63.50,69.20,62.25,66.30,355100,66.30
2015-06-26,60.70,69.20,60.10,63.75,313000,63.75
2015-06-25,61.00,61.00,60.05,60.60,227200,60.60
2015-06-24,61.00,61.45,60.00,60.10,308200,60.10
2015-06-23,61.00,61.50,60.15,60.25,137500,60.25
2015-06-22,60.80,61.15,60.00,60.10,348800,60.10
2015-06-19,59.90,60.50,59.90,60.00,199200,60.00
2015-06-18,60.50,60.65,59.45,59.65,368400,59.65
2015-06-17,61.40,61.50,59.95,60.40,483100,60.40
2015-06-16,61.25,61.25,59.50,60.35,396500,60.35
2015-06-15,60.50,62.40,60.10,60.70,292300,60.70
2015-06-12,61.80,61.80,59.90,60.30,292700,60.30
2015-06-11,61.00,62.00,59.90,60.00,432500,60.00
2015-06-10,61.00,61.00,60.20,60.65,415400,60.65
2015-06-09,65.00,65.00,59.40,60.95,349300,60.95
2015-06-08,62.80,62.80,61.00,61.35,215400,61.35
2015-06-05,60.70,63.00,60.05,62.00,358300,62.00
2015-06-04,63.10,63.15,58.90,60.45,488600,60.45
2015-06-03,63.80,64.35,62.05,63.10,416700,63.10
2015-06-02,62.70,64.35,62.05,62.45,316200,62.45
2015-06-01,63.70,63.70,62.00,62.05,405500,62.05
2015-05-29,64.00,64.00,62.20,63.70,454100,63.70
2015-05-28,64.50,64.50,62.50,62.70,458800,62.70
2015-05-27,64.50,64.50,62.90,63.35,463800,63.35
2015-05-26,72.95,72.95,63.00,63.40,559200,63.40
2015-05-25,64.90,64.90,62.95,63.35,560100,63.35
2015-05-22,64.00,64.45,62.90,64.00,605500,64.00
2015-05-21,64.50,64.50,62.80,63.35,349900,63.35
2015-05-20,65.20,65.20,62.70,63.25,420100,63.25
2015-05-19,64.65,64.65,62.55,63.05,403100,63.05
2015-05-18,65.50,65.50,63.80,64.05,261700,64.05
2015-05-15,64.00,65.00,63.15,64.50,263000,64.50
2015-05-14,63.70,64.65,62.95,63.35,399400,63.35
2015-05-13,65.50,66.90,62.70,63.75,503900,63.75
2015-05-12,67.00,67.00,64.25,64.80,318100,64.80
2015-05-11,65.00,67.25,65.00,66.75,411200,66.75
2015-05-08,60.65,65.10,58.70,64.20,824800,64.20
2015-05-07,60.50,64.80,58.10,58.25,341500,58.25
2015-05-06,61.00,61.05,59.25,59.30,408600,59.30
2015-05-05,62.15,62.15,60.30,60.55,287600,60.55
2015-05-04,61.10,61.10,59.85,60.60,461500,60.60
2015-05-01,60.20,60.20,60.20,60.20,000,60.20
2015-04-30,60.25,60.35,59.40,60.20,468300,60.20
2015-04-29,60.30,60.70,58.80,59.50,539400,59.50
2015-04-28,60.10,60.10,59.00,59.20,651500,59.20
2015-04-27,59.65,59.95,59.05,59.35,415700,59.35
