Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1889.65,1940.00,1879.85,1890.00,3900,1890.00
2015-07-16,1910.00,1915.00,1850.00,1872.15,4600,1872.15
2015-07-15,1942.85,1954.25,1885.05,1903.15,4400,1903.15
2015-07-14,1906.75,1955.00,1906.75,1921.60,6700,1921.60
2015-07-13,1830.00,1916.50,1830.00,1906.75,10300,1906.75
2015-07-10,1757.05,1833.80,1685.00,1818.25,11100,1818.25
2015-07-09,1866.05,1878.40,1720.00,1741.65,15300,1741.65
2015-07-08,1881.00,1905.90,1839.60,1843.30,10100,1843.30
2015-07-07,2025.50,2026.75,1856.65,1890.00,12100,1890.00
2015-07-06,2051.00,2073.00,1985.00,2002.45,7400,2002.45
2015-07-03,2102.50,2123.70,2081.00,2088.40,2600,2088.40
2015-07-02,2125.00,2148.95,2085.85,2091.45,9200,2091.45
2015-07-01,2195.00,2195.00,2125.25,2134.00,3200,2134.00
2015-06-30,2125.00,2165.00,2090.00,2116.85,2400,2116.85
2015-06-29,2201.00,2201.00,2080.00,2099.80,5200,2099.80
2015-06-26,2293.25,2293.25,2205.00,2223.95,1600,2223.95
2015-06-25,2272.00,2294.10,2248.00,2261.95,600,2261.95
2015-06-24,2310.45,2348.95,2250.50,2275.55,3100,2275.55
2015-06-23,2354.00,2366.40,2306.00,2321.05,1500,2321.05
2015-06-22,2299.90,2375.00,2246.25,2345.45,5800,2345.45
2015-06-19,2290.00,2302.95,2250.00,2270.90,2200,2270.90
2015-06-18,2260.00,2314.45,2170.00,2269.40,5000,2269.40
2015-06-17,2140.00,2293.40,2100.05,2231.15,17100,2231.15
2015-06-16,2049.65,2110.95,2030.50,2086.10,4800,2086.10
2015-06-15,2110.00,2112.00,2035.05,2055.30,4200,2055.30
2015-06-12,2252.05,2256.75,2084.10,2102.15,5100,2102.15
2015-06-11,2408.90,2415.00,2209.85,2228.00,3400,2228.00
2015-06-10,2335.40,2424.95,2335.40,2379.30,2700,2379.30
2015-06-09,2280.00,2418.85,2256.65,2353.50,6800,2353.50
2015-06-08,2380.00,2389.75,2270.40,2310.00,3800,2310.00
2015-06-05,2361.00,2430.00,2351.00,2378.10,1400,2378.10
2015-06-04,2425.00,2483.50,2363.60,2412.00,3000,2412.00
2015-06-03,2364.50,2441.80,2310.00,2402.35,12800,2402.35
2015-06-02,2517.45,2517.45,2333.00,2364.50,4100,2364.50
2015-06-01,2524.85,2548.30,2454.00,2500.05,3300,2500.05
2015-05-29,2498.00,2560.00,2440.00,2524.85,7200,2524.85
2015-05-28,2575.00,2575.00,2345.40,2495.35,18400,2495.35
2015-05-27,2314.00,2554.20,2314.00,2506.25,21300,2506.25
2015-05-26,2251.00,2349.80,2232.15,2322.00,9100,2322.00
2015-05-25,2254.90,2275.00,2221.05,2231.50,3900,2231.50
2015-05-22,2225.00,2277.20,2218.70,2240.25,5500,2240.25
2015-05-21,2230.00,2258.20,2174.20,2210.45,5600,2210.45
2015-05-20,2212.10,2284.95,2208.50,2228.70,12100,2228.70
2015-05-19,2199.75,2225.00,2170.00,2193.60,2200,2193.60
2015-05-18,2207.00,2246.05,2207.00,2218.55,2700,2218.55
2015-05-15,2242.35,2247.05,2160.00,2204.15,2400,2204.15
2015-05-14,2235.00,2250.00,2181.95,2217.10,5800,2217.10
2015-05-13,2218.60,2258.00,2185.00,2223.00,14000,2223.00
2015-05-12,2220.00,2221.60,2131.25,2158.85,8500,2158.85
2015-05-11,2170.00,2290.00,2140.00,2237.25,22200,2237.25
2015-05-08,2058.00,2177.00,1846.00,2132.25,48300,2132.25
2015-05-07,2157.60,2157.60,1980.00,1992.75,24800,1992.75
2015-05-06,2250.00,2308.00,2139.50,2157.60,8300,2157.60
2015-05-05,2388.00,2430.00,2202.85,2249.95,13900,2249.95
2015-05-04,2310.30,2418.00,2270.00,2390.50,11100,2390.50
2015-05-01,2214.95,2214.95,2214.95,2214.95,000,2214.95
2015-04-30,2388.00,2509.95,2103.15,2214.95,37800,2214.95
2015-04-29,2116.50,2316.45,2116.50,2316.45,22300,2316.45
2015-04-28,1977.50,2143.85,1970.00,2105.90,16000,2105.90
2015-04-27,2234.00,2234.00,1956.45,2002.35,41900,2002.35
2015-04-24,2804.90,2819.85,2238.20,2238.20,24500,2238.20
2015-04-23,2798.95,2900.00,2765.00,2797.75,6600,2797.75
2015-04-22,3091.45,3114.00,2735.00,2798.75,24900,2798.75
2015-04-21,3021.00,3270.00,3021.00,3151.30,28600,3151.30
2015-04-20,2920.00,3062.05,2906.00,3002.90,6200,3002.90
2015-04-17,2983.95,2984.00,2882.20,2906.35,1600,2906.35
2015-04-16,2973.95,3065.00,2959.05,2970.55,3400,2970.55
2015-04-15,2950.00,3031.40,2940.00,2980.35,3000,2980.35
2015-04-14,2925.40,2925.40,2925.40,2925.40,000,2925.40
2015-04-13,3006.50,3006.50,2864.10,2925.40,2700,2925.40
