Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,7.80,7.80,6.90,7.47,148200,7.47
2015-07-16,7.05,7.35,6.85,7.30,42100,7.30
2015-07-15,6.65,7.10,6.65,7.05,33300,7.05
2015-07-14,6.70,7.14,6.70,6.85,31800,6.85
2015-07-13,7.09,7.09,6.53,6.90,109100,6.90
2015-07-10,7.58,7.60,6.88,6.98,49500,6.98
2015-07-09,7.92,7.95,7.50,7.58,120400,7.58
2015-07-08,6.88,7.89,6.65,7.61,129900,7.61
2015-07-07,6.60,7.10,6.10,6.93,159500,6.93
2015-07-06,5.75,6.60,5.75,6.53,73700,6.53
2015-07-03,6.50,6.69,6.25,6.63,93100,6.63
2015-07-02,5.75,6.35,5.21,6.25,145300,6.25
2015-07-01,5.22,5.60,5.22,5.36,9400,5.36
2015-06-30,5.70,5.70,5.05,5.37,12000,5.37
2015-06-29,5.39,5.40,5.06,5.30,21800,5.30
2015-06-26,5.67,5.67,5.35,5.37,7800,5.37
2015-06-25,5.74,5.74,5.40,5.50,6900,5.50
2015-06-24,5.83,5.83,5.08,5.41,11200,5.41
2015-06-23,5.40,5.72,5.33,5.57,12100,5.57
2015-06-22,4.74,5.80,4.74,5.43,155100,5.43
2015-06-19,5.01,5.40,5.01,5.36,4800,5.36
2015-06-18,5.50,5.58,5.20,5.27,20200,5.27
2015-06-17,5.28,5.70,5.01,5.33,26500,5.33
2015-06-16,5.18,5.18,4.85,5.00,8900,5.00
2015-06-15,4.85,5.27,4.85,5.05,12800,5.05
2015-06-12,6.29,6.29,4.49,4.75,104500,4.75
2015-06-11,5.73,5.73,5.25,5.27,9700,5.27
2015-06-10,5.49,5.49,5.24,5.33,21800,5.33
2015-06-09,5.39,5.39,5.17,5.24,2700,5.24
2015-06-08,4.60,5.50,4.60,5.34,16200,5.34
2015-06-05,5.45,5.75,5.20,5.37,59900,5.37
2015-06-04,5.70,5.70,5.30,5.42,4400,5.42
2015-06-03,5.95,5.95,4.89,5.20,23500,5.20
2015-06-02,5.75,5.96,5.60,5.84,53100,5.84
2015-06-01,6.00,6.24,5.65,5.83,27700,5.83
2015-05-29,5.40,6.00,5.40,5.90,5000,5.90
2015-05-28,5.82,6.07,5.81,5.90,5200,5.90
2015-05-27,5.85,5.95,5.80,5.86,12000,5.86
2015-05-26,6.00,6.19,6.00,6.01,7800,6.01
2015-05-25,6.29,6.29,6.02,6.14,1100,6.14
2015-05-22,6.25,6.25,6.01,6.06,2200,6.06
2015-05-21,6.15,6.15,6.01,6.11,6800,6.11
2015-05-20,6.00,6.19,5.93,6.05,3000,6.05
2015-05-19,6.14,6.14,5.85,6.00,53600,6.00
2015-05-18,6.13,6.13,5.82,5.85,8900,5.85
2015-05-15,5.80,6.15,5.80,6.00,25300,6.00
2015-05-14,5.55,6.14,5.55,6.06,24700,6.06
