Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,127.45,128.00,122.80,123.40,79100,123.40
2015-07-16,127.90,131.50,125.00,126.80,116900,126.80
2015-07-15,131.25,132.30,125.65,126.75,159800,126.75
2015-07-14,128.60,138.70,127.40,130.60,429100,130.60
2015-07-13,129.50,130.95,124.00,127.75,202800,127.75
2015-07-10,119.90,130.40,116.75,128.55,721600,128.55
2015-07-09,127.80,129.60,116.05,116.95,592200,116.95
2015-07-08,100.80,122.20,100.80,122.20,1157800,122.20
2015-07-07,104.30,106.00,101.00,101.50,116600,101.50
2015-07-06,104.00,104.00,99.30,103.15,102000,103.15
2015-07-03,106.25,108.90,102.10,102.70,142200,102.70
2015-07-02,97.50,106.50,96.00,105.50,396100,105.50
2015-07-01,93.65,97.90,93.65,96.45,57900,96.45
2015-06-30,97.95,98.35,94.10,94.95,69000,94.95
2015-06-29,98.70,98.70,92.30,95.60,77100,95.60
2015-06-26,102.70,102.70,98.50,99.10,55900,99.10
2015-06-25,103.90,106.20,101.20,102.20,73700,102.20
2015-06-24,99.30,109.20,99.05,103.35,462400,103.35
2015-06-23,99.00,100.95,97.65,99.05,47200,99.05
2015-06-22,97.95,100.90,97.25,98.30,60000,98.30
2015-06-19,98.90,100.30,96.00,97.70,89800,97.70
2015-06-18,97.00,99.80,96.00,97.10,99800,97.10
2015-06-17,95.40,99.70,94.20,96.40,98700,96.40
2015-06-16,95.40,96.00,92.90,94.10,27000,94.10
2015-06-15,94.00,98.10,93.60,95.00,95200,95.00
2015-06-12,92.00,95.90,92.00,93.60,71400,93.60
2015-06-11,100.90,101.30,91.00,92.20,90000,92.20
2015-06-10,96.50,100.80,96.50,99.50,38300,99.50
2015-06-09,98.20,100.90,95.00,95.70,47200,95.70
2015-06-08,100.00,101.90,98.30,99.10,65200,99.10
2015-06-05,101.60,105.20,99.30,99.90,106200,99.90
2015-06-04,99.90,103.30,97.20,101.50,140500,101.50
2015-06-03,106.70,107.60,96.20,99.30,93400,99.30
2015-06-02,114.10,116.00,105.10,105.90,128800,105.90
2015-06-01,111.80,118.20,110.40,113.50,177500,113.50
2015-05-29,110.90,114.20,110.70,111.50,61100,111.50
2015-05-28,110.00,114.40,109.00,110.20,163600,110.20
2015-05-27,108.00,111.30,104.80,108.50,98400,108.50
2015-05-26,108.00,109.60,104.40,108.10,116800,108.10
2015-05-25,112.20,112.20,106.00,106.60,62500,106.60
2015-05-22,118.50,119.10,112.00,112.80,107300,112.80
2015-05-21,121.80,123.40,117.30,118.20,98200,118.20
2015-05-20,122.50,123.70,118.50,120.60,89500,120.60
2015-05-19,121.50,126.90,120.10,121.40,243500,121.40
2015-05-18,118.90,125.10,112.50,120.00,625300,120.00
2015-05-15,107.85,122.50,107.85,118.60,1006100,118.60
2015-05-14,98.00,107.40,97.00,107.00,222400,107.00
2015-05-13,97.40,101.80,97.00,98.60,81400,98.60
2015-05-12,103.50,103.50,97.00,98.00,58100,98.00
2015-05-11,103.40,106.00,101.80,103.30,112000,103.30
