Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,26.10,30.05,24.65,29.05,18500,29.05
2015-07-16,27.40,28.00,26.55,27.35,9400,27.35
2015-07-15,25.00,25.90,25.00,25.90,8900,25.90
2015-07-14,22.20,25.00,22.20,25.00,2200,25.00
2015-07-13,22.60,25.85,22.60,23.70,1100,23.70
2015-07-10,23.50,24.75,23.50,24.50,5900,24.50
2015-07-09,24.45,24.45,23.20,24.45,3000,24.45
2015-07-08,22.00,23.45,22.00,23.45,1500,23.45
2015-07-07,22.00,22.10,22.00,22.00,5600,22.00
2015-07-06,22.55,22.55,22.55,22.55,700,22.55
2015-07-03,22.50,24.90,22.40,22.80,1000,22.80
2015-07-02,22.30,23.75,22.30,23.75,300,23.75
2015-07-01,22.15,23.00,22.00,23.00,2100,23.00
2015-06-30,22.10,22.10,22.05,22.05,600,22.05
2015-06-29,23.00,23.10,23.00,23.10,500,23.10
2015-06-26,22.15,22.90,22.10,22.10,2200,22.10
2015-06-25,22.05,23.00,22.05,22.05,1100,22.05
2015-06-24,22.25,23.00,22.10,22.10,500,22.10
2015-06-23,22.20,23.00,22.00,22.80,3200,22.80
2015-06-22,22.00,22.00,22.00,22.00,1200,22.00
2015-06-19,23.00,23.15,22.00,22.00,2500,22.00
2015-06-18,22.05,22.50,22.05,22.05,1400,22.05
2015-06-17,23.10,23.10,22.00,22.95,700,22.95
2015-06-16,22.25,22.25,22.00,22.00,1500,22.00
2015-06-15,21.30,22.00,21.30,22.00,100,22.00
2015-06-12,22.90,23.00,21.10,21.25,300,21.25
2015-06-11,22.00,22.00,22.00,22.00,1600,22.00
2015-06-10,22.00,22.50,22.00,22.00,200,22.00
2015-06-09,22.00,22.00,22.00,22.00,700,22.00
2015-06-08,22.00,22.00,22.00,22.00,2500,22.00
2015-06-05,22.00,22.00,22.00,22.00,300,22.00
2015-06-04,22.00,22.05,22.00,22.05,1500,22.05
2015-06-03,22.50,22.50,22.50,22.50,4700,22.50
2015-06-02,23.60,23.60,22.50,22.50,300,22.50
2015-06-01,22.00,23.00,22.00,23.00,2400,23.00
2015-05-29,22.50,22.50,22.50,22.50,1500,22.50
2015-05-28,22.50,22.50,22.50,22.50,500,22.50
2015-05-27,22.00,22.45,22.00,22.45,1000,22.45
2015-05-26,22.80,22.80,22.50,22.50,14500,22.50
2015-05-25,23.00,23.00,22.80,22.80,1900,22.80
2015-05-22,23.00,23.00,23.00,23.00,700,23.00
2015-05-21,23.00,23.50,22.80,23.00,19000,23.00
2015-05-20,23.20,23.75,23.00,23.00,1500,23.00
2015-05-19,23.10,23.30,23.00,23.00,4400,23.00
2015-05-18,24.15,24.15,23.00,24.15,3600,24.15
2015-05-15,23.00,23.00,23.00,23.00,1300,23.00
2015-05-14,23.00,23.00,23.00,23.00,500,23.00
2015-05-13,23.00,23.00,23.00,23.00,1100,23.00
2015-05-12,23.00,23.00,23.00,23.00,1200,23.00
2015-05-11,23.00,24.00,22.50,23.10,10500,23.10
2015-05-08,23.75,23.75,23.00,23.25,3000,23.25
2015-05-07,22.90,22.90,22.85,22.90,700,22.90
2015-05-06,23.25,24.15,23.20,23.20,10100,23.20
2015-05-05,23.55,24.45,23.10,24.25,6800,24.25
2015-05-04,23.95,24.85,23.50,23.60,7100,23.60
2015-05-01,23.95,23.95,23.95,23.95,000,23.95
2015-04-30,23.95,23.95,23.00,23.95,21400,23.95
2015-04-29,23.70,23.78,22.75,22.81,93400,22.81
2015-04-28,21.80,23.00,21.70,22.65,6100,22.65
2015-04-27,23.90,23.90,21.64,22.83,18700,22.83
2015-04-24,22.77,22.77,22.77,22.77,4200,22.77
2015-04-23,21.69,21.69,21.69,21.69,5100,21.69
2015-04-22,20.66,20.66,20.66,20.66,6500,20.66
2015-04-21,19.68,19.68,19.68,19.68,1300,19.68
2015-04-20,18.75,18.75,18.75,18.75,3000,18.75
2015-04-17,17.86,17.86,17.80,17.86,2500,17.86
2015-04-16,15.50,17.01,15.50,17.01,700,17.01
2015-04-15,16.20,16.20,16.20,16.20,400,16.20
2015-04-14,15.43,15.43,15.43,15.43,000,15.43
2015-04-13,15.43,15.43,15.43,15.43,300,15.43
2015-04-10,14.00,14.70,14.00,14.70,1100,14.70
2015-04-09,14.15,14.15,14.00,14.00,1000,14.00
2015-04-08,14.20,14.32,14.15,14.15,100,14.15
2015-04-07,14.00,14.00,14.00,14.00,500,14.00
2015-04-06,14.70,14.70,14.00,14.00,500,14.00
2015-04-03,14.00,14.00,14.00,14.00,000,14.00
2015-04-02,14.00,14.00,14.00,14.00,000,14.00
2015-04-01,14.25,14.25,14.00,14.00,800,14.00
2015-03-31,13.50,14.70,13.50,14.70,400,14.70
2015-03-30,14.45,14.45,14.00,14.00,1000,14.00
2015-03-27,14.50,14.50,13.50,13.80,14700,13.80
2015-03-26,14.15,14.15,14.15,14.15,000,14.15
2015-03-25,13.50,14.15,13.50,14.15,700,14.15
2015-03-24,13.50,13.50,13.50,13.50,300,13.50
2015-03-23,13.00,14.15,13.00,13.50,600,13.50
2015-03-20,13.05,13.50,13.05,13.50,300,13.50
2015-03-19,13.70,14.00,13.45,13.45,3700,13.45
2015-03-18,14.20,14.30,14.15,14.15,500,14.15
2015-03-17,14.85,14.85,14.85,14.85,000,14.85
2015-03-16,15.50,15.50,14.95,15.50,700,15.50
2015-03-13,16.00,16.00,15.70,15.70,28500,15.70
2015-03-12,17.30,17.90,16.45,16.50,1600,16.50
2015-03-11,18.95,18.95,17.30,17.30,3000,17.30
2015-03-10,17.45,18.20,17.35,18.20,600,18.20
2015-03-09,17.30,18.30,17.05,18.25,1200,18.25
2015-03-06,17.55,17.55,17.55,17.55,000,17.55
2015-03-05,16.80,17.95,16.75,17.55,5400,17.55
2015-03-04,18.50,19.00,17.15,17.60,4700,17.60
2015-03-03,19.00,19.95,18.60,18.95,3500,18.95
2015-03-02,20.25,21.00,18.20,19.50,11800,19.50
2015-02-27,21.00,21.00,19.80,19.80,55300,19.80
2015-02-26,21.10,22.00,21.00,22.00,800,22.00
2015-02-25,21.55,23.00,21.50,21.50,1400,21.50
2015-02-24,21.05,22.95,21.00,22.00,3100,22.00
2015-02-23,20.25,21.75,20.15,21.25,6500,21.25
2015-02-20,20.05,21.25,20.05,20.25,2200,20.25
2015-02-19,19.35,20.05,19.35,20.05,23900,20.05
2015-02-18,20.00,20.40,18.25,20.00,52800,20.00
2015-02-17,19.25,19.25,19.25,19.25,000,19.25
2015-02-16,19.50,20.30,19.25,19.25,5200,19.25
2015-02-13,19.50,20.00,19.35,19.35,1200,19.35
2015-02-12,19.25,20.00,19.25,20.00,3900,20.00
2015-02-11,18.75,21.40,18.75,20.25,3100,20.25
2015-02-10,18.50,20.00,18.50,20.00,5600,20.00
2015-02-09,19.45,20.50,18.85,19.00,2700,19.00
2015-02-06,21.35,22.40,20.65,20.90,3700,20.90
2015-02-05,22.25,23.95,22.15,22.50,12300,22.50
2015-02-04,21.05,24.60,21.00,22.25,99600,22.25
2015-02-03,16.80,20.50,16.80,20.50,11900,20.50
2015-02-02,16.70,17.60,16.70,17.10,2300,17.10
2015-01-30,17.95,17.95,16.66,16.81,1100,16.81
2015-01-29,15.50,17.50,15.22,17.48,7900,17.48
2015-01-28,17.00,17.50,16.11,17.25,11300,17.25
2015-01-27,15.06,17.50,15.06,16.68,13500,16.68
2015-01-26,15.64,15.64,15.64,15.64,000,15.64
2015-01-23,14.50,15.65,14.00,15.64,3800,15.64
2015-01-22,15.25,15.25,13.65,14.97,25700,14.97
2015-01-21,13.20,15.41,12.10,14.68,7600,14.68
2015-01-20,12.50,13.89,12.50,13.87,3600,13.87
2015-01-19,13.49,14.89,12.30,13.88,1800,13.88
2015-01-16,13.29,13.44,13.29,13.37,200,13.37
2015-01-15,12.05,13.69,12.05,13.46,1900,13.46
