Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,265.40,265.60,260.00,262.30,10200,261.40
2015-07-16,263.00,265.90,259.80,262.90,9700,262.00
2015-07-15,270.60,273.00,262.20,264.20,5800,263.29
2015-07-14,266.00,274.00,265.00,270.40,4800,269.47
2015-07-13,263.10,269.00,261.50,266.50,10200,265.59
2015-07-10,258.80,263.60,257.50,262.40,6200,261.50
2015-07-09,265.00,265.00,254.00,256.30,2700,255.42
2015-07-08,263.00,271.20,256.10,261.50,27400,260.60
2015-07-07,253.30,265.00,253.00,262.40,28500,261.50
2015-07-06,250.00,254.00,242.80,249.90,14200,249.04
2015-07-03,253.00,256.80,249.40,254.40,5100,253.53
2015-07-02,249.80,255.00,248.00,252.90,14800,252.03
2015-07-01,242.00,255.00,239.40,252.70,24800,251.83
2015-06-30,237.00,245.60,236.00,242.40,6200,241.57
2015-06-29,232.60,235.70,230.40,235.40,2200,234.59
2015-06-26,238.00,244.00,236.40,241.00,10200,240.17
2015-06-25,237.50,240.70,234.70,235.90,4000,235.09
2015-06-24,240.00,242.40,235.70,236.90,12200,236.09
2015-06-23,240.10,246.00,235.10,239.20,16600,238.38
2015-06-22,230.00,237.20,229.00,236.00,8100,235.19
2015-06-19,231.80,232.30,226.40,230.40,5400,229.61
2015-06-18,222.20,233.00,222.20,229.50,15400,228.71
2015-06-17,219.10,222.30,215.10,219.60,6700,218.85
2015-06-16,212.50,220.00,211.60,218.60,6200,217.85
2015-06-15,213.70,213.70,208.00,210.20,14800,209.48
2015-06-12,210.70,215.40,208.30,214.90,3300,214.16
2015-06-11,212.20,212.30,206.60,207.60,2800,206.89
2015-06-10,210.00,214.40,209.50,212.80,6400,212.07
2015-06-09,200.00,211.00,198.50,209.60,24900,208.88
2015-06-08,210.70,214.40,200.00,200.90,26000,200.21
2015-06-05,214.50,220.00,208.30,210.00,87000,209.28
2015-06-04,218.60,218.60,209.00,211.10,19300,210.38
2015-06-03,222.50,224.50,208.60,221.70,14400,220.94
2015-06-02,229.60,230.70,223.20,224.30,6200,223.53
2015-06-01,228.60,234.00,228.60,230.20,10500,229.41
2015-05-29,229.00,229.00,222.60,227.30,15100,226.52
2015-05-28,230.30,232.00,229.00,229.90,3300,229.11
2015-05-27,238.20,240.70,230.00,231.00,14400,230.21
2015-05-26,239.00,241.90,238.90,240.10,9500,239.28
2015-05-25,242.00,244.20,239.40,242.10,3300,241.27
2015-05-22,248.00,248.00,239.10,240.40,3800,239.58
2015-05-21,246.50,247.00,241.20,242.50,5200,241.67
2015-05-20,242.70,253.40,239.70,244.20,21100,243.36
2015-05-19,238.60,242.70,237.20,240.90,10900,240.07
2015-05-18,240.50,241.70,237.00,239.50,8400,238.68
2015-05-15,240.00,241.80,238.60,240.50,4200,239.67
2015-05-14,237.40,245.00,236.80,239.00,31600,238.18
2015-05-13,243.90,244.40,235.10,241.60,6500,240.77
2015-05-12,245.00,245.50,238.00,239.50,3600,238.68
2015-05-11,249.80,250.90,247.70,250.00,10900,249.14
2015-05-08,250.30,250.30,243.30,244.60,4400,243.76
2015-05-07,245.00,249.70,242.00,244.50,6300,243.66
2015-05-06,259.70,263.00,246.00,247.70,20200,246.85
2015-05-05,256.90,263.50,252.90,260.90,40100,260.00
2015-05-04,254.00,270.90,252.40,255.00,67800,254.13
2015-05-01,253.20,253.20,253.20,253.20,000,252.33
2015-04-30,251.10,256.50,246.00,253.20,15500,252.33
2015-04-29,252.40,255.90,250.20,251.10,12000,250.24
2015-04-28,252.00,257.50,243.00,252.40,25500,251.53
2015-04-27,266.00,266.00,248.20,250.90,10500,250.04
2015-04-24,268.20,268.20,259.00,261.50,21500,260.60
2015-04-23,270.40,274.50,263.40,268.90,8100,267.98
2015-04-22,265.80,272.00,264.00,266.80,21700,265.88
2015-04-21,267.60,268.60,260.00,261.90,7700,261.00
2015-04-20,260.00,265.00,255.90,262.40,13000,261.50
2015-04-17,264.20,268.00,252.60,255.80,34700,254.92
2015-04-16,284.00,286.50,267.00,269.60,16500,268.67
2015-04-15,286.00,292.70,281.10,282.50,10800,281.53
2015-04-14,285.40,285.40,285.40,285.40,000,284.42
2015-04-13,284.00,296.50,282.10,285.40,24000,284.42
2015-04-10,268.10,302.90,268.10,287.40,84000,286.41
2015-04-09,281.10,281.10,267.00,273.20,15800,272.26
2015-04-08,270.80,284.80,270.30,280.20,45600,279.24
2015-04-07,261.10,273.70,257.10,269.80,27000,268.87
2015-04-06,260.40,265.80,256.00,257.40,13600,256.52
2015-04-03,264.30,264.30,264.30,264.30,000,263.39
2015-04-02,264.30,264.30,264.30,264.30,000,263.39
2015-04-01,259.10,264.90,254.00,264.30,57900,263.39
2015-03-31,251.50,264.30,251.50,260.10,18400,259.21
2015-03-30,245.10,253.00,245.00,249.90,6200,249.04
2015-03-27,245.00,250.00,235.00,241.30,14200,240.47
2015-03-26,247.00,247.00,240.60,242.00,6300,241.17
2015-03-25,252.40,253.80,246.10,248.70,3400,247.85
2015-03-24,247.50,256.40,246.00,251.00,6200,250.14
2015-03-23,253.00,257.00,244.40,246.40,4600,245.55
2015-03-20,259.60,264.90,251.10,252.70,6200,251.83
2015-03-19,274.00,277.70,259.30,260.80,17200,259.91
2015-03-18,258.00,290.00,258.00,272.60,88000,271.66
2015-03-17,254.00,261.10,251.00,257.30,14900,256.42
2015-03-16,255.60,255.60,249.50,251.30,6800,250.44
2015-03-13,260.00,260.00,252.60,253.70,3200,252.83
2015-03-12,253.40,265.00,252.40,260.00,17200,259.11
2015-03-11,252.50,255.00,248.80,252.80,10400,251.93
2015-03-10,259.60,262.80,250.30,252.30,15200,251.43
2015-03-09,260.10,267.00,256.00,258.20,11100,257.31
2015-03-06,267.80,267.80,267.80,267.80,000,266.88
2015-03-05,253.50,270.00,252.80,267.80,21400,266.88
2015-03-04,256.00,268.40,252.10,255.10,13500,254.22
2015-03-03,250.00,265.00,249.20,261.70,31700,260.80
2015-03-02,246.60,252.00,242.00,249.70,33100,248.84
2015-02-27,244.60,248.00,242.20,245.60,22000,244.76
2015-02-26,247.00,250.90,240.00,245.70,17200,244.86
