Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,35.20,35.75,35.20,35.70,5100,35.70
2015-07-16,35.50,36.50,35.50,36.50,1900,36.50
2015-07-15,34.90,36.55,34.90,35.95,2200,35.95
2015-07-14,34.95,36.70,34.95,35.55,2100,35.55
2015-07-13,34.15,35.90,34.15,35.65,2400,35.65
2015-07-10,35.50,36.20,35.10,35.65,400,35.65
2015-07-09,34.55,36.80,34.55,35.50,1300,35.50
2015-07-08,36.00,36.00,35.05,35.85,1800,35.85
2015-07-07,36.15,37.00,36.00,36.00,1500,36.00
2015-07-06,36.00,36.80,35.55,36.50,400,36.50
2015-07-03,37.55,37.60,36.00,36.00,400,36.00
2015-07-02,36.00,37.35,36.00,36.20,200,36.20
2015-07-01,35.10,36.35,35.10,36.00,500,36.00
2015-06-30,35.30,35.90,35.30,35.60,1000,35.60
2015-06-29,35.10,36.25,35.10,35.60,1700,35.60
2015-06-26,38.00,38.00,36.50,36.80,1800,36.80
2015-06-25,38.55,39.50,37.45,37.50,2700,37.50
2015-06-24,37.55,38.10,37.50,38.05,1100,38.05
2015-06-23,36.75,37.45,36.75,37.45,100,37.45
2015-06-22,37.40,37.40,36.25,37.00,100,37.00
2015-06-19,37.50,37.50,36.00,37.40,900,37.40
2015-06-18,37.50,38.30,0.01,38.25,200,38.25
2015-06-17,37.00,38.00,36.70,37.50,900,37.50
2015-06-16,37.00,38.30,36.20,36.65,3000,36.65
2015-06-15,35.10,36.70,35.10,36.70,300,36.70
2015-06-12,36.25,36.25,35.60,35.65,300,35.65
2015-06-11,35.55,36.55,35.15,35.70,8600,35.70
2015-06-10,35.10,36.00,35.05,36.00,500,36.00
2015-06-09,35.00,36.00,34.50,34.95,1500,34.95
2015-06-08,36.90,36.90,36.90,36.90,1100,36.90
2015-06-05,36.40,37.35,35.80,36.85,900,36.85
2015-06-04,35.20,35.20,35.00,35.00,600,35.00
2015-06-03,35.25,36.40,35.00,35.50,6300,35.50
2015-06-02,37.10,38.00,36.50,36.75,1400,36.75
2015-06-01,38.75,39.25,37.50,38.15,2900,38.15
2015-05-29,40.75,41.85,39.05,39.05,3600,39.05
2015-05-28,39.95,41.00,38.35,41.00,6000,41.00
2015-05-27,36.00,39.25,36.00,38.00,9500,38.00
2015-05-26,35.00,36.45,35.00,35.85,4700,35.85
2015-05-25,35.15,35.35,35.15,35.25,1600,35.25
2015-05-22,36.00,36.00,35.00,35.65,3200,35.65
2015-05-21,35.20,36.30,35.20,36.00,1000,36.00
2015-05-20,37.25,37.60,36.00,36.55,1100,36.55
2015-05-19,36.00,37.00,36.00,36.80,1800,36.80
2015-05-18,36.80,37.00,35.50,36.15,600,36.15
2015-05-15,36.40,36.45,35.25,36.45,100,36.45
2015-05-14,36.60,36.60,35.20,36.35,2200,36.35
2015-05-13,35.10,35.95,35.00,35.80,900,35.80
2015-05-12,35.35,35.35,35.10,35.10,1000,35.10
2015-05-11,35.05,37.90,35.05,36.90,600,36.90
2015-05-08,36.70,36.70,36.70,36.70,000,36.70
2015-05-07,36.85,37.90,34.25,36.70,1900,36.70
2015-05-06,35.70,36.15,34.20,36.05,6800,36.05
