Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,300.00,310.00,300.00,302.80,2400,302.80
2015-07-16,309.00,313.40,300.30,303.50,2300,303.50
2015-07-15,316.00,318.00,303.00,307.10,5800,307.10
2015-07-14,314.00,317.00,312.30,315.70,300,315.70
2015-07-13,313.00,315.00,309.00,312.10,1500,312.10
2015-07-10,314.00,317.00,309.70,311.40,1200,311.40
2015-07-09,312.00,316.20,309.40,312.70,1400,312.70
2015-07-08,324.00,325.00,306.00,310.30,6400,310.30
2015-07-07,326.50,337.90,321.00,325.50,4100,325.50
2015-07-06,315.00,329.80,315.00,326.00,2200,326.00
2015-07-03,318.40,324.00,317.00,320.10,2600,320.10
2015-07-02,313.00,325.00,313.00,318.00,5700,318.00
2015-07-01,309.00,314.90,309.00,311.10,2000,311.10
2015-06-30,317.70,324.80,306.00,308.50,3500,308.50
2015-06-29,313.90,321.80,300.00,318.80,2900,318.80
2015-06-26,317.00,318.00,313.20,314.00,900,314.00
2015-06-25,315.00,324.00,307.00,317.10,1500,317.10
2015-06-24,310.00,317.90,309.00,315.10,3600,315.10
2015-06-23,317.00,318.00,305.00,310.30,1900,310.30
2015-06-22,315.00,320.00,311.00,316.80,3300,316.80
2015-06-19,314.60,318.20,303.00,313.10,2100,313.10
2015-06-18,298.90,320.00,298.90,313.70,4600,313.70
2015-06-17,285.10,303.70,285.10,295.30,4200,295.30
2015-06-16,280.00,288.30,273.20,285.10,4000,285.10
2015-06-15,276.00,281.00,271.20,278.60,2600,278.60
2015-06-12,280.00,280.00,272.00,273.80,800,273.80
2015-06-11,280.90,288.50,265.60,274.80,5300,274.80
2015-06-10,291.00,295.90,276.30,280.00,1600,280.00
2015-06-09,290.00,295.00,290.00,290.80,1200,290.80
2015-06-08,297.00,298.00,286.00,289.30,113200,289.30
2015-06-05,293.00,297.00,290.00,293.80,600,293.80
2015-06-04,297.20,299.20,287.80,291.20,2600,291.20
2015-06-03,307.60,313.90,291.70,295.20,4200,295.20
2015-06-02,315.40,316.40,305.10,306.50,3600,306.50
2015-06-01,311.40,318.00,308.00,312.60,18100,312.60
2015-05-29,312.30,317.00,310.30,312.80,1800,312.80
2015-05-28,313.40,314.90,310.10,312.10,700,312.10
2015-05-27,310.00,317.20,308.00,312.50,2100,312.50
2015-05-26,312.90,314.90,311.10,312.00,1600,312.00
2015-05-25,311.30,318.00,309.80,310.90,800,310.90
2015-05-22,315.00,324.00,308.40,309.90,7800,309.90
