Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,5.70,5.92,5.55,5.92,200,5.92
2015-07-16,5.65,5.65,5.65,5.65,000,5.65
2015-07-15,6.19,6.20,5.90,5.90,2700,5.90
2015-07-14,6.20,6.20,6.20,6.20,000,6.20
2015-07-13,5.70,6.20,5.70,6.20,300,6.20
2015-07-10,5.67,5.99,5.67,5.98,700,5.98
2015-07-09,5.96,5.96,5.96,5.96,100,5.96
2015-07-08,5.50,5.68,5.50,5.68,100,5.68
2015-07-07,5.31,5.41,5.20,5.41,6000,5.41
2015-07-06,5.40,5.40,5.40,5.40,000,5.40
2015-07-03,5.40,5.40,5.40,5.40,000,5.40
2015-07-02,5.40,5.50,5.32,5.40,000,5.40
2015-07-01,5.60,5.60,5.56,5.56,100,5.56
2015-06-30,6.33,6.33,5.76,5.76,000,5.76
2015-06-29,6.40,6.40,6.40,6.40,000,6.40
2015-06-26,6.15,6.15,6.15,6.15,000,6.15
2015-06-25,6.40,6.40,5.60,5.97,2300,5.97
2015-06-24,5.99,5.99,5.99,5.99,000,5.99
2015-06-23,5.22,6.00,5.22,5.99,1900,5.99
2015-06-22,5.76,5.76,5.76,5.76,000,5.76
2015-06-19,5.30,5.76,5.30,5.76,200,5.76
2015-06-18,5.21,5.82,5.21,5.24,3200,5.24
2015-06-17,5.30,5.30,5.30,5.30,000,5.30
2015-06-16,5.30,5.30,5.30,5.30,100,5.30
2015-06-15,5.01,5.74,5.01,5.47,1000,5.47
2015-06-12,5.39,5.73,5.25,5.25,5000,5.25
2015-06-11,5.11,5.64,5.11,5.21,1100,5.21
2015-06-10,5.00,5.60,4.92,5.19,3400,5.19
2015-06-09,5.15,5.49,5.04,5.46,3400,5.46
2015-06-08,6.00,6.00,5.40,5.59,6000,5.59
2015-06-05,5.70,6.00,5.58,6.00,4300,6.00
2015-06-04,5.64,6.25,5.64,6.20,100,6.20
2015-06-03,5.65,6.40,5.61,6.26,500,6.26
2015-06-02,6.00,6.00,5.65,5.99,000,5.99
2015-06-01,6.05,6.05,5.69,5.69,000,5.69
2015-05-29,6.30,6.30,6.30,6.30,000,6.30
2015-05-28,6.28,6.30,6.28,6.30,3000,6.30
2015-05-27,6.35,6.35,6.35,6.35,000,6.35
2015-05-26,5.80,6.35,5.75,6.35,1100,6.35
2015-05-25,6.38,6.38,6.38,6.38,000,6.38
2015-05-22,5.95,6.35,5.94,6.08,1500,6.08
2015-05-21,6.60,6.60,6.60,6.60,000,6.60
2015-05-20,5.90,6.60,5.89,6.60,900,6.60
2015-05-19,5.76,6.54,5.76,6.54,700,6.54
2015-05-18,6.40,6.40,6.40,6.40,000,6.40
2015-05-15,6.50,6.80,5.87,6.40,900,6.40
2015-05-14,5.94,6.50,5.94,6.50,1200,6.50
2015-05-13,5.76,6.59,5.76,6.59,200,6.59
2015-05-12,6.40,6.40,6.40,6.40,000,6.40
2015-05-11,6.00,6.43,5.60,6.40,000,6.40
2015-05-08,5.95,5.95,5.95,5.95,100,5.95
2015-05-07,5.75,5.75,5.75,5.75,4900,5.75
2015-05-06,5.74,6.40,5.74,6.38,3100,6.38
2015-05-05,5.80,6.38,5.80,6.37,800,6.37
2015-05-04,5.94,5.94,5.60,5.94,7600,5.94
2015-05-01,5.40,5.40,5.40,5.40,000,5.40
2015-04-30,5.41,5.41,5.40,5.40,900,5.40
2015-04-29,5.51,5.51,5.51,5.51,000,5.51
2015-04-28,5.51,5.51,5.51,5.51,000,5.51
2015-04-27,5.11,5.51,5.11,5.35,800,5.35
2015-04-24,5.35,5.70,5.35,5.65,2100,5.65
2015-04-23,6.15,6.15,5.70,5.70,500,5.70
2015-04-22,5.60,5.60,5.60,5.60,400,5.60
2015-04-21,6.24,6.24,5.71,5.71,000,5.71
2015-04-20,6.60,6.60,5.68,5.69,500,5.69
2015-04-17,6.10,6.15,5.32,6.11,600,6.11
2015-04-16,5.78,5.78,5.69,5.69,9300,5.69
2015-04-15,5.80,6.38,5.77,6.32,300,6.32
2015-04-14,6.40,6.40,6.40,6.40,000,6.40
2015-04-13,5.56,6.43,5.56,6.40,500,6.40
2015-04-10,5.85,5.85,5.85,5.85,100,5.85
2015-04-09,5.99,6.50,5.99,6.50,7100,6.50
2015-04-08,6.66,6.67,5.56,6.65,1100,6.65
2015-04-07,6.15,6.15,6.15,6.15,000,6.15
2015-04-06,6.15,6.15,6.15,6.15,000,6.15
2015-04-03,5.73,5.73,5.73,5.73,000,5.73
2015-04-02,5.73,5.73,5.73,5.73,000,5.73
2015-04-01,6.60,6.60,5.72,5.73,6000,5.73
2015-03-31,5.80,6.35,5.80,6.35,200,6.35
2015-03-30,5.05,5.80,5.05,5.80,000,5.80
2015-03-27,5.11,6.00,5.11,5.34,13300,5.34
2015-03-26,5.67,5.80,5.67,5.67,2500,5.67
2015-03-25,6.29,6.29,6.29,6.29,15300,6.29
2015-03-24,6.13,7.24,6.13,6.98,100,6.98
2015-03-23,5.77,6.88,5.76,6.81,2400,6.81
2015-03-20,6.50,6.50,6.30,6.33,1800,6.33
2015-03-19,6.50,6.85,6.30,6.55,700,6.55
2015-03-18,6.50,6.77,6.40,6.77,2500,6.77
2015-03-17,6.30,7.32,6.30,6.53,400,6.53
2015-03-16,6.25,6.99,6.12,6.99,000,6.99
2015-03-13,6.31,6.79,6.30,6.79,200,6.79
2015-03-12,6.41,6.99,6.40,6.94,400,6.94
2015-03-11,6.11,6.85,5.75,6.80,1200,6.80
2015-03-10,6.30,6.30,6.30,6.30,000,6.30
2015-03-09,6.30,6.30,6.30,6.30,100,6.30
2015-03-06,6.21,6.21,6.21,6.21,000,6.21
2015-03-05,6.75,6.75,6.21,6.21,1000,6.21
2015-03-04,6.14,6.14,6.14,6.14,000,6.14
2015-03-03,6.60,6.60,6.02,6.14,900,6.14
2015-03-02,7.00,7.00,7.00,7.00,000,7.00
2015-02-27,6.70,7.00,6.57,7.00,1800,7.00
2015-02-26,6.55,6.64,6.55,6.64,000,6.64
2015-02-25,7.50,7.75,7.20,7.21,600,7.21
2015-02-24,7.99,7.99,7.99,7.99,000,7.99
2015-02-23,7.80,7.80,7.42,7.50,700,7.50
2015-02-20,7.15,8.29,7.15,8.23,200,8.23
2015-02-19,7.59,7.59,7.59,7.59,000,7.59
2015-02-18,7.00,7.00,6.90,6.90,1000,6.90
2015-02-17,6.90,6.90,6.90,6.90,000,6.90
2015-02-16,6.94,7.00,6.22,6.90,2000,6.90
2015-02-13,6.96,7.48,6.25,6.58,5100,6.58
2015-02-12,6.35,6.80,6.00,6.80,500,6.80
2015-02-11,6.20,6.20,6.20,6.20,000,6.20
2015-02-10,6.20,6.20,6.20,6.20,000,6.20
2015-02-09,6.20,6.20,6.20,6.20,000,6.20
