Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,175.00,175.60,166.00,166.20,2900,166.20
2015-07-16,160.00,167.30,160.00,167.30,1200,167.30
2015-07-15,151.90,159.40,151.90,159.40,3600,159.40
2015-07-14,146.30,155.00,146.30,151.90,500,151.90
2015-07-13,150.60,155.00,148.10,149.10,400,149.10
2015-07-10,157.90,157.90,151.00,151.50,1100,151.50
2015-07-09,156.70,157.90,156.70,157.90,100,157.90
2015-07-08,151.10,158.00,151.10,151.50,500,151.50
2015-07-07,155.90,155.90,152.50,152.50,000,152.50
2015-07-06,153.00,153.00,149.50,149.50,400,149.50
2015-07-03,155.90,156.00,153.50,153.50,400,153.50
2015-07-02,151.20,159.00,151.10,156.80,1500,156.80
2015-07-01,147.10,157.00,145.00,157.00,800,157.00
2015-06-30,144.20,150.50,143.40,150.10,900,150.10
2015-06-29,149.00,150.00,143.40,143.40,4600,143.40
2015-06-26,155.00,155.00,149.60,150.90,700,150.90
2015-06-25,155.30,157.40,155.30,157.00,1700,157.00
2015-06-24,160.00,163.90,160.00,160.00,1800,160.00
2015-06-23,162.30,167.00,160.00,160.00,4000,160.00
2015-06-22,167.00,173.00,162.50,164.10,3600,164.10
2015-06-19,164.00,171.00,164.00,171.00,4200,171.00
2015-06-18,169.00,172.80,158.50,162.90,7900,162.90
2015-06-17,164.00,164.60,157.10,164.60,7300,164.60
2015-06-16,148.00,156.80,148.00,156.80,5600,156.80
2015-06-15,144.90,150.00,142.30,149.40,1000,149.40
2015-06-12,141.90,144.00,130.40,143.60,2800,143.60
2015-06-11,137.90,138.60,136.00,137.20,1000,137.20
2015-06-10,131.90,132.00,131.90,132.00,100,132.00
2015-06-09,128.00,130.00,125.00,125.80,700,125.80
2015-06-08,124.10,129.00,123.50,129.00,200,129.00
2015-06-05,129.50,129.50,129.50,129.50,000,129.50
2015-06-04,129.80,129.80,123.40,123.40,700,123.40
2015-06-03,135.00,135.10,128.70,128.70,1700,128.70
2015-06-02,131.10,135.40,131.10,135.40,200,135.40
2015-06-01,127.10,135.40,127.10,135.40,200,135.40
2015-05-29,130.00,132.00,126.10,132.00,200,132.00
2015-05-28,138.00,138.00,131.10,131.10,900,131.10
2015-05-27,135.00,138.00,134.90,138.00,000,138.00
2015-05-26,141.90,141.90,141.90,141.90,000,141.90
2015-05-25,138.60,138.80,138.60,138.80,500,138.80
2015-05-22,142.50,142.50,142.50,142.50,500,142.50
2015-05-21,135.00,135.80,134.60,135.80,100,135.80
2015-05-20,129.20,134.00,129.20,129.40,000,129.40
2015-05-19,129.50,129.50,129.10,129.10,300,129.10
2015-05-18,127.00,131.60,127.00,130.00,100,130.00
2015-05-15,126.00,128.60,125.10,126.60,300,126.60
2015-05-14,124.50,129.90,121.20,129.80,1100,129.80
2015-05-13,124.10,125.00,124.10,124.10,000,124.10
2015-05-12,130.00,130.00,124.50,125.00,200,125.00
2015-05-11,127.00,130.00,127.00,130.00,400,130.00
2015-05-08,127.10,127.10,127.10,127.10,000,127.10
2015-05-07,127.10,127.10,127.00,127.10,100,127.10
2015-05-06,131.00,131.00,127.30,128.50,400,128.50
2015-05-05,136.80,136.80,131.10,131.10,000,131.10
2015-05-04,126.30,134.00,126.30,132.20,300,132.20
2015-05-01,129.00,129.00,129.00,129.00,000,129.00
2015-04-30,123.00,129.30,123.00,129.00,300,129.00
2015-04-29,124.10,129.80,123.00,123.40,700,123.40
2015-04-28,129.90,129.90,122.00,125.00,500,125.00
2015-04-27,135.00,135.00,126.60,126.60,1400,126.60
2015-04-24,135.00,135.00,133.20,133.20,5000,133.20
2015-04-23,133.40,133.40,133.40,133.40,000,133.40
2015-04-22,135.20,136.20,133.00,133.40,900,133.40
2015-04-21,132.20,135.00,132.20,135.00,300,135.00
2015-04-20,134.60,135.00,133.00,135.00,1100,135.00
2015-04-17,138.00,138.00,136.10,136.50,300,136.50
2015-04-16,137.20,143.00,137.20,140.50,1100,140.50
2015-04-15,142.00,143.00,140.00,140.30,900,140.30
2015-04-14,141.30,141.30,141.30,141.30,000,141.30
2015-04-13,147.00,147.00,141.30,141.30,800,141.30
2015-04-10,146.00,148.00,142.50,147.00,1400,147.00
2015-04-09,149.10,154.90,146.00,149.90,1400,149.90
2015-04-08,147.00,155.10,147.00,153.00,3500,153.00
2015-04-07,149.80,149.80,144.10,147.80,2700,147.80
2015-04-06,144.50,151.50,144.50,146.00,900,146.00
2015-04-03,144.50,144.50,144.50,144.50,000,144.50
2015-04-02,144.50,144.50,144.50,144.50,000,144.50
2015-04-01,144.50,144.50,144.50,144.50,5000,144.50
2015-03-31,137.70,137.70,137.70,137.70,200,137.70
2015-03-30,123.00,131.20,123.00,131.20,1200,131.20
2015-03-27,124.00,125.00,123.90,125.00,500,125.00
2015-03-26,129.30,129.30,129.30,129.30,100,129.30
2015-03-25,132.20,137.80,130.20,134.40,3000,134.40
2015-03-24,139.00,139.00,137.00,137.00,600,137.00
2015-03-23,137.20,138.10,137.00,137.00,2000,137.00
2015-03-20,138.00,138.00,137.10,137.10,300,137.10
2015-03-19,140.10,145.00,140.10,140.90,5900,140.90
2015-03-18,141.90,143.90,137.00,141.20,2200,141.20
2015-03-17,143.00,143.00,135.10,137.10,800,137.10
2015-03-16,144.00,144.50,141.10,141.20,1600,141.20
2015-03-13,145.10,152.00,142.00,144.10,1400,144.10
2015-03-12,151.00,154.00,145.60,148.60,700,148.60
2015-03-11,155.00,156.50,151.00,152.90,2100,152.90
2015-03-10,157.00,159.00,152.00,153.00,1100,153.00
2015-03-09,155.00,158.00,152.20,152.20,400,152.20
2015-03-06,157.80,157.80,157.80,157.80,000,157.80
2015-03-05,156.30,160.00,155.00,157.80,500,157.80
2015-03-04,168.80,168.80,156.20,157.20,2600,157.20
2015-03-03,160.00,166.00,158.20,161.10,3100,161.10
2015-03-02,161.00,161.00,158.00,158.00,700,158.00
2015-02-27,158.00,158.00,152.00,153.20,45600,153.20
2015-02-26,161.00,161.00,152.00,152.70,1900,152.70
2015-02-25,156.00,164.90,156.00,160.00,1200,160.00
2015-02-24,162.00,166.00,155.30,159.90,400,159.90
2015-02-23,160.00,162.00,156.00,162.00,1000,162.00
2015-02-20,164.00,166.00,160.00,162.80,5200,162.80
2015-02-19,160.00,164.00,159.00,160.60,700,160.60
2015-02-18,161.30,163.00,160.30,163.00,1700,163.00
2015-02-17,166.50,166.50,166.50,166.50,000,166.50
2015-02-16,162.10,166.90,160.00,166.50,1100,166.50
2015-02-13,170.00,170.00,165.00,165.75,800,165.75
2015-02-12,167.00,170.00,165.00,169.90,1000,169.90
2015-02-11,170.00,170.00,162.00,167.00,500,167.00
2015-02-10,159.00,170.00,158.00,170.00,000,170.00
2015-02-09,164.10,167.00,164.00,164.80,5100,164.80
2015-02-06,183.00,183.00,172.60,172.60,4400,172.60
2015-02-05,170.00,181.65,168.00,181.65,7300,181.65
2015-02-04,164.25,173.00,164.25,173.00,2000,173.00
2015-02-03,166.00,170.00,165.10,169.90,900,169.90
2015-02-02,166.05,169.00,165.10,168.10,200,168.10
2015-01-30,171.10,171.10,171.10,171.10,000,171.10
2015-01-29,175.10,175.10,171.10,171.10,200,171.10
2015-01-28,175.10,177.10,175.10,175.10,100,175.10
2015-01-27,175.10,179.70,175.10,177.00,600,177.00
2015-01-26,179.90,179.90,179.90,179.90,000,179.90
2015-01-23,176.10,179.90,175.10,179.90,600,179.90
2015-01-22,180.15,183.00,177.55,177.75,1200,177.75
2015-01-21,176.20,184.90,176.20,183.90,1600,183.90
2015-01-20,181.00,181.10,179.50,180.10,1300,180.10
2015-01-19,183.60,185.90,177.65,179.25,6500,179.25
2015-01-16,184.00,187.00,184.00,187.00,400,187.00
2015-01-15,182.00,186.85,180.55,185.25,1400,185.25
2015-01-14,186.00,186.65,181.55,182.00,1500,182.00
2015-01-13,198.00,198.00,187.10,190.00,400,190.00
2015-01-12,185.00,192.00,181.55,191.35,1200,191.35
2015-01-09,185.10,189.00,181.10,184.00,800,184.00
2015-01-08,188.00,190.90,185.10,189.05,2500,189.05
2015-01-07,187.00,189.10,185.10,185.10,1400,185.10
2015-01-06,190.10,195.00,187.55,192.00,4200,192.00
2015-01-05,190.10,196.00,190.10,194.50,300,194.50
2015-01-02,185.90,189.40,185.55,189.40,3800,189.40
2015-01-01,183.00,183.00,177.80,180.40,5000,180.40
2014-12-31,185.10,189.75,182.55,182.55,1100,182.55
2014-12-30,189.00,193.00,187.50,188.50,5400,188.50
2014-12-29,186.50,188.70,185.05,186.90,100,186.90
2014-12-26,180.10,185.00,180.00,180.35,900,180.35
2014-12-25,180.50,180.50,180.50,180.50,000,180.50
2014-12-24,185.00,187.90,180.10,180.50,300,180.50
2014-12-23,181.55,181.55,181.55,181.55,100,181.55
2014-12-22,177.15,185.00,177.15,184.00,1100,184.00
2014-12-19,185.10,185.10,183.00,185.05,6200,185.05
2014-12-18,181.00,187.50,181.00,187.50,14000,187.50
2014-12-17,180.10,186.90,176.10,178.60,11300,178.60
2014-12-16,190.00,190.00,180.50,185.35,4700,185.35
2014-12-15,189.40,189.80,181.30,189.75,1200,189.75
2014-12-12,196.00,201.75,189.00,189.40,3600,189.40
2014-12-11,200.25,203.10,195.00,198.90,2400,198.90
2014-12-10,188.90,205.00,188.90,200.25,13300,200.25
2014-12-09,209.20,214.80,198.80,198.80,3800,198.80
2014-12-08,217.90,217.90,205.10,209.25,21700,209.25
2014-12-05,207.55,207.55,200.05,207.55,13600,207.55
2014-12-04,197.70,197.70,194.00,197.70,30500,197.70
2014-12-03,188.30,188.30,188.30,188.30,800,188.30
2014-12-02,177.40,179.35,177.40,179.35,2700,179.35
2014-12-01,170.00,170.85,165.00,170.85,8100,170.85
2014-11-28,165.00,167.00,160.10,162.75,2700,162.75
2014-11-27,167.00,167.00,162.55,163.75,2200,163.75
2014-11-26,170.40,170.40,160.00,161.25,1700,161.25
2014-11-25,165.00,167.90,158.40,162.50,3700,162.50
2014-11-24,159.90,164.45,159.90,164.45,10400,164.45
2014-11-21,155.00,158.00,151.30,156.65,3300,156.65
2014-11-20,144.00,155.40,144.00,155.05,87400,155.05
2014-11-19,156.50,157.00,146.55,148.00,2400,148.00
2014-11-18,153.50,156.75,151.10,152.75,2400,152.75
2014-11-17,162.70,162.70,149.00,149.30,2700,149.30
2014-11-14,154.90,159.00,151.00,156.75,5800,156.75
2014-11-13,149.60,155.55,148.60,152.00,11000,152.00
2014-11-12,147.90,148.15,147.90,148.15,3600,148.15
2014-11-11,139.50,141.10,139.45,141.10,2000,141.10
2014-11-10,132.80,139.00,132.80,134.40,22100,134.40
2014-11-07,139.75,139.75,139.75,139.75,500,139.75
2014-11-06,147.10,147.10,147.10,147.10,000,147.10
2014-11-05,147.10,147.10,147.10,147.10,100,147.10
2014-11-04,154.80,154.80,154.80,154.80,000,154.80
2014-11-03,164.90,164.90,153.45,154.80,7800,154.80
2014-10-31,164.00,164.00,158.00,161.50,1600,161.50
2014-10-30,162.00,163.55,158.60,159.90,7800,159.90
2014-10-29,152.00,157.10,147.55,155.80,18600,155.80
2014-10-28,149.90,150.00,146.50,149.65,1500,149.65
2014-10-27,142.90,148.00,140.10,147.60,2400,147.60
2014-10-24,135.50,135.50,135.50,135.50,000,135.50
2014-10-23,135.50,135.50,135.50,135.50,000,135.50
2014-10-22,135.50,137.50,135.00,135.50,600,135.50
2014-10-21,134.90,137.90,132.60,135.00,2800,135.00
2014-10-20,134.90,137.90,132.25,132.25,600,132.25
2014-10-17,131.00,131.50,131.00,131.50,300,131.50
2014-10-16,132.00,134.80,130.00,131.35,2400,131.35
2014-10-15,133.00,133.00,133.00,133.00,000,133.00
2014-10-14,134.90,135.00,131.50,133.00,25900,133.00
2014-10-13,132.10,134.90,132.05,133.50,25900,133.50
2014-10-10,133.85,133.85,132.10,132.10,000,132.10
2014-10-09,128.10,134.00,128.10,130.65,1600,130.65
2014-10-08,131.50,131.60,130.05,130.05,700,130.05
2014-10-07,138.90,139.80,131.60,131.60,2000,131.60
2014-10-06,133.15,133.15,133.15,133.15,000,133.15
2014-10-03,133.15,133.15,133.15,133.15,000,133.15
2014-10-02,133.15,133.15,133.15,133.15,000,133.15
2014-10-01,138.50,138.50,133.00,133.15,500,133.15
2014-09-30,135.55,135.95,132.25,135.50,1500,135.50
2014-09-29,131.10,133.05,131.10,131.80,200,131.80
2014-09-26,130.00,132.90,130.00,130.00,1000,130.00
2014-09-25,130.00,132.00,130.00,130.10,2900,130.10
2014-09-24,132.00,132.75,130.00,131.00,3200,131.00
2014-09-23,135.20,137.00,131.10,131.45,4700,131.45
2014-09-22,136.10,139.90,135.50,138.00,2100,138.00
2014-09-19,135.00,142.00,133.00,142.00,2900,142.00
2014-09-18,130.00,135.80,130.00,135.80,3100,135.80
2014-09-17,132.40,135.00,130.00,130.30,3800,130.30
2014-09-16,138.00,141.90,131.10,131.10,8100,131.10
2014-09-15,137.50,140.90,133.10,137.95,6800,137.95
2014-09-12,141.00,144.00,137.00,137.00,1300,137.00
2014-09-11,147.60,147.60,143.00,143.70,2400,143.70
2014-09-10,145.70,150.90,142.00,148.00,3700,148.00
2014-09-09,142.80,151.00,141.00,143.80,3800,143.80
2014-09-08,140.00,146.90,134.05,144.15,10300,144.15
2014-09-05,142.80,142.80,136.95,140.90,12700,140.90
2014-09-04,135.90,136.95,124.00,136.35,12400,136.35
2014-09-03,130.45,130.45,130.45,130.45,7400,130.45
2014-09-02,124.25,124.25,124.25,124.25,800,124.25
2014-09-01,118.30,118.35,118.30,118.35,1800,118.35
2014-08-29,112.75,112.75,112.75,112.75,000,112.75
2014-08-28,105.50,112.75,105.00,112.75,21800,112.75
2014-08-27,107.75,110.00,105.65,107.40,6800,107.40
2014-08-26,108.00,110.00,106.00,107.25,4200,107.25
2014-08-25,114.80,115.00,107.50,107.50,3100,107.50
2014-08-22,115.25,115.25,113.05,113.05,7300,113.05
2014-08-21,123.40,124.50,116.00,119.00,4600,119.00
2014-08-20,118.90,119.35,117.30,119.30,5800,119.30
2014-08-19,112.00,113.70,112.00,113.70,1300,113.70
2014-08-18,106.00,112.40,106.00,108.30,1800,108.30
2014-08-15,110.80,110.80,110.80,110.80,000,110.80
2014-08-14,105.00,111.00,102.15,110.80,1600,110.80
2014-08-13,112.40,112.40,106.10,107.50,2500,107.50
2014-08-12,114.90,115.00,110.00,111.65,600,111.65
2014-08-11,110.10,114.90,107.35,114.90,2500,114.90
2014-08-08,119.00,119.00,111.65,113.00,3400,113.00
2014-08-07,119.00,124.40,116.00,117.50,1500,117.50
2014-08-06,124.20,129.90,119.05,120.90,5200,120.90
2014-08-05,127.90,128.50,119.10,125.30,3600,125.30
2014-08-04,128.80,128.80,121.80,122.50,2600,122.50
2014-08-01,119.05,123.90,115.00,122.95,8900,122.95
2014-07-31,108.55,118.00,107.00,118.00,14400,118.00
2014-07-30,108.95,112.60,108.05,112.40,3600,112.40
2014-07-29,107.25,107.25,107.25,107.25,000,107.25
2014-07-28,106.25,110.40,105.35,107.25,800,107.25
2014-07-25,114.80,118.85,110.40,110.40,2700,110.40
2014-07-24,112.50,118.00,112.50,116.20,4700,116.20
2014-07-23,110.00,113.55,110.00,113.55,15000,113.55
2014-07-22,106.95,109.20,103.50,108.15,7300,108.15
2014-07-21,101.30,104.80,101.30,104.00,1500,104.00
