Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,1067.85,1073.30,1057.60,1065.65,2400,1065.65
2015-07-16,1052.00,1084.90,1051.00,1055.80,17700,1055.80
2015-07-15,1054.50,1065.15,1033.00,1038.35,4500,1031.35
2015-07-14,1045.95,1070.95,1037.10,1044.20,34800,1037.16
2015-07-13,1064.55,1074.70,1053.00,1057.15,2000,1050.02
2015-07-10,1070.00,1088.55,1051.60,1067.70,1500,1060.50
2015-07-09,1058.00,1085.50,1035.55,1068.30,5100,1061.10
2015-07-08,1035.00,1071.30,1033.00,1057.25,7100,1050.12
2015-07-07,1051.15,1054.90,1035.00,1048.90,1800,1041.83
2015-07-06,1060.00,1064.80,1044.00,1049.05,2900,1041.98
2015-07-03,1100.00,1110.00,1061.00,1066.85,5600,1059.66
2015-07-02,1060.00,1092.40,1060.00,1086.05,7000,1078.73
2015-07-01,1050.95,1084.00,1048.65,1057.90,5000,1050.77
2015-06-30,1031.15,1055.25,1031.15,1048.20,2500,1041.13
2015-06-29,1049.55,1053.75,1000.00,1036.35,4800,1029.36
2015-06-26,1045.00,1071.75,1031.05,1049.55,2900,1042.47
2015-06-25,1045.00,1060.00,1031.00,1054.20,3200,1047.09
2015-06-24,1050.00,1056.90,1030.00,1052.05,4300,1044.96
2015-06-23,1000.00,1079.80,999.05,1049.45,19700,1042.38
2015-06-22,959.85,1017.00,951.00,997.05,5200,990.33
2015-06-19,950.00,955.20,932.85,950.05,2300,943.65
2015-06-18,946.00,953.90,0.01,946.85,3000,940.47
2015-06-17,930.00,948.00,929.10,944.70,2100,938.33
2015-06-16,947.20,948.95,919.00,926.85,2800,920.60
2015-06-15,940.00,953.65,935.15,938.10,3300,931.78
2015-06-12,940.00,959.40,935.00,944.55,2400,938.18
2015-06-11,961.10,962.55,941.05,947.35,4000,940.96
2015-06-10,943.00,967.75,939.40,959.60,4000,953.13
2015-06-09,910.00,949.85,904.00,940.55,7000,934.21
2015-06-08,933.45,948.85,904.00,904.00,2100,897.91
2015-06-05,949.10,949.10,931.50,934.40,7600,928.10
