Date,Open,High,Low,Close,Volume,Adj Close
2015-05-22,641.00,641.00,607.50,614.50,3700,614.50
2015-05-21,596.00,646.00,566.00,617.25,22100,617.25
2015-05-20,590.00,616.25,577.00,614.00,4800,614.00
2015-05-19,561.25,595.00,552.00,590.75,4400,590.75
2015-05-18,539.50,569.00,527.25,544.50,7500,544.50
2015-05-15,580.00,580.00,558.25,566.00,900,566.00
2015-05-14,556.75,568.00,540.25,563.25,2100,563.25
2015-05-13,557.50,557.50,535.00,551.25,2800,551.25
2015-05-12,544.00,544.00,521.00,523.75,1200,523.75
2015-05-11,541.00,550.00,541.00,547.75,200,547.75
2015-05-08,527.50,539.50,527.00,535.00,400,535.00
2015-05-07,527.25,535.25,520.25,526.25,2100,526.25
2015-05-06,539.25,544.00,528.00,533.00,1200,533.00
2015-05-05,548.00,552.00,534.00,534.00,1200,534.00
2015-05-04,558.50,561.50,545.25,551.75,1800,551.75
2015-05-01,535.25,535.25,535.25,535.25,000,535.25
2015-04-30,555.00,555.00,534.00,535.25,1600,535.25
2015-04-29,525.25,566.75,525.00,553.25,5300,553.25
2015-04-28,526.25,540.25,518.00,530.00,8200,530.00
2015-04-27,551.50,551.50,529.00,530.25,7600,530.25
2015-04-24,582.00,591.00,551.00,552.75,10400,552.75
2015-04-23,612.00,615.00,562.25,577.75,20900,577.75
2015-04-22,628.50,634.00,599.00,612.00,2200,612.00
2015-04-21,610.00,634.50,594.50,630.75,15000,630.75
2015-04-20,620.00,638.75,610.75,615.50,4800,615.50
2015-04-17,570.25,647.75,570.25,621.25,8900,621.25
2015-04-16,640.00,641.00,610.00,618.50,3900,618.50
2015-04-15,674.25,679.00,637.00,646.25,12500,646.25
2015-04-14,664.25,664.25,664.25,664.25,000,664.25
2015-04-13,602.00,675.00,602.00,664.25,46300,664.25
2015-04-10,583.25,604.00,580.25,596.00,9700,596.00
2015-04-09,587.50,597.75,577.00,578.25,2000,578.25
2015-04-08,620.00,620.00,587.00,590.25,4700,590.25
2015-04-07,594.25,627.00,590.00,612.50,37700,612.50
2015-04-06,583.75,599.00,583.75,588.25,700,588.25
2015-04-03,592.00,592.00,592.00,592.00,000,592.00
2015-04-02,592.00,592.00,592.00,592.00,000,592.00
2015-04-01,580.00,605.00,566.00,592.00,9100,592.00
2015-03-31,573.50,576.00,564.00,572.25,2200,572.25
2015-03-30,570.00,580.00,570.00,575.25,3000,575.25
2015-03-27,519.00,576.50,508.25,566.50,6200,566.50
2015-03-26,525.00,533.00,515.00,517.75,1100,517.75
2015-03-25,535.25,539.75,528.75,536.00,35900,536.00
2015-03-24,549.00,550.00,535.25,539.50,700,539.50
2015-03-23,554.00,561.00,545.00,548.50,1300,548.50
2015-03-20,561.25,563.00,551.50,553.75,13900,553.75
2015-03-19,573.00,576.00,565.00,567.50,1600,567.50
2015-03-18,568.00,579.00,568.00,573.75,600,573.75
2015-03-17,576.25,585.00,568.00,568.25,8000,568.25
2015-03-16,571.00,575.50,566.00,568.50,2800,568.50
2015-03-13,573.50,582.50,567.00,568.50,3400,568.50
2015-03-12,590.00,590.00,571.00,573.00,2300,573.00
2015-03-11,581.00,596.00,574.00,576.75,2600,576.75
2015-03-10,590.00,602.00,584.00,590.75,4200,590.75
2015-03-09,590.25,603.00,587.00,588.75,2700,588.75
2015-03-06,592.75,592.75,592.75,592.75,000,592.75
2015-03-05,600.00,608.25,591.00,592.75,1600,592.75
2015-03-04,597.25,604.50,592.00,595.50,2900,595.50
2015-03-03,611.25,615.00,595.00,596.75,5000,596.75
2015-03-02,603.25,615.00,591.25,610.00,8400,610.00
2015-02-27,613.25,621.00,608.25,611.00,1700,611.00
2015-02-26,611.00,624.00,611.00,615.50,1100,615.50
2015-02-25,617.75,638.75,608.50,613.50,6400,613.50
2015-02-24,615.00,622.00,604.00,608.50,2500,608.50
2015-02-23,590.00,634.00,587.00,616.00,131500,616.00
2015-02-20,609.75,609.75,591.50,595.50,1800,595.50
2015-02-19,620.50,624.75,590.00,595.00,3900,595.00
2015-02-18,626.00,626.00,610.00,616.00,6000,616.00
2015-02-17,638.00,638.00,638.00,638.00,000,638.00
2015-02-16,605.00,646.50,605.00,638.00,24000,638.00
2015-02-13,609.10,610.00,582.20,595.55,1900,595.55
2015-02-12,588.85,617.70,581.10,595.25,60100,595.25
2015-02-11,577.95,578.00,568.00,569.65,1300,569.65
2015-02-10,550.05,571.00,550.00,564.85,3800,564.85
2015-02-09,546.00,559.95,542.00,556.85,2700,556.85
2015-02-06,566.00,570.00,548.00,555.85,1300,555.85
2015-02-05,570.00,573.45,560.00,563.35,1200,563.35
2015-02-04,574.00,584.00,568.00,570.00,1500,570.00
2015-02-03,571.15,594.50,565.00,577.90,7600,577.90
2015-02-02,577.35,590.95,559.00,589.90,55200,589.90
2015-01-30,566.35,570.00,552.00,562.60,1900,562.60
2015-01-29,554.00,597.90,543.80,562.15,14200,562.15
2015-01-28,588.00,593.00,539.00,543.25,11500,543.25
2015-01-27,604.15,604.15,583.40,589.45,1800,589.45
2015-01-26,596.75,596.75,596.75,596.75,000,596.75
2015-01-23,592.00,611.35,592.00,596.75,8900,596.75
2015-01-22,638.30,678.75,592.15,598.90,39300,598.90
2015-01-21,617.85,657.70,615.00,649.60,16500,649.60
2015-01-20,642.00,658.10,609.50,614.75,18100,614.75
2015-01-19,660.00,661.00,642.85,653.00,1100,653.00
2015-01-16,656.00,666.60,652.00,659.70,1400,659.70
2015-01-15,655.00,677.90,642.25,647.95,6700,647.95
2015-01-14,645.00,655.00,627.00,645.70,2300,645.70
2015-01-13,644.90,662.90,628.30,634.45,1900,634.45
2015-01-12,607.00,648.35,607.00,643.40,4200,643.40
2015-01-09,622.60,643.80,615.15,622.40,5900,622.40
2015-01-08,636.00,648.50,605.25,620.60,6000,620.60
2015-01-07,611.00,640.95,600.00,629.60,2500,629.60
2015-01-06,631.90,662.55,626.20,628.50,5800,628.50
2015-01-05,663.30,663.30,641.10,644.35,2200,644.35
2015-01-02,662.00,669.10,651.00,653.10,4000,653.10
2015-01-01,651.00,669.00,651.00,660.35,900,660.35
2014-12-31,652.75,660.00,648.00,651.75,1000,651.75
2014-12-30,668.00,668.00,652.00,655.85,1300,655.85
2014-12-29,658.00,666.20,653.35,662.25,3200,662.25
2014-12-26,655.20,664.00,642.60,651.05,1400,651.05
2014-12-25,660.10,660.10,660.10,660.10,000,660.10
