Date,Open,High,Low,Close,Volume,Adj Close
2015-07-17,9.97,9.97,9.97,9.97,3000,9.97
2015-07-16,9.71,9.71,9.50,9.50,400,9.50
2015-07-15,9.45,9.45,9.25,9.25,200,9.25
2015-07-14,9.00,9.72,9.00,9.00,900,9.00
2015-07-13,9.26,9.26,9.26,9.26,200,9.26
2015-07-10,8.80,8.82,8.80,8.82,100,8.82
2015-07-09,7.65,8.40,7.65,8.40,200,8.40
2015-07-08,8.70,8.70,8.00,8.00,500,8.00
2015-07-07,8.32,8.32,8.32,8.32,000,8.32
2015-07-06,7.90,7.93,7.90,7.93,1000,7.93
2015-07-03,7.56,7.56,7.56,7.56,500,7.56
2015-07-02,7.20,7.20,7.20,7.20,000,7.20
2015-07-01,7.42,7.42,7.20,7.20,400,7.20
2015-06-30,7.77,7.77,7.03,7.07,1200,7.07
2015-06-29,7.04,7.40,7.03,7.40,400,7.40
2015-06-26,7.98,8.07,7.40,7.40,200,7.40
2015-06-25,7.69,7.69,7.69,7.69,000,7.69
2015-06-24,7.69,7.69,7.69,7.69,000,7.69
2015-06-23,7.69,7.69,7.69,7.69,000,7.69
2015-06-22,7.69,7.69,7.69,7.69,000,7.69
2015-06-19,7.69,7.69,7.69,7.69,000,7.69
2015-06-18,7.69,7.69,7.69,7.69,000,7.69
2015-06-17,7.69,7.69,7.69,7.69,000,7.69
2015-06-16,7.69,7.69,7.69,7.69,000,7.69
2015-06-15,7.69,7.69,7.69,7.69,000,7.69
2015-06-12,7.69,7.69,7.69,7.69,000,7.69
2015-06-11,7.69,7.69,7.69,7.69,000,7.69
2015-06-10,7.69,7.69,7.69,7.69,000,7.69
2015-06-09,7.69,7.69,7.69,7.69,000,7.69
2015-06-08,7.69,7.69,7.69,7.69,000,7.69
2015-06-05,7.69,7.69,7.69,7.69,000,7.69
2015-06-04,7.33,7.33,7.33,7.33,000,7.33
2015-06-03,7.71,7.71,6.99,6.99,100,6.99
2015-06-02,7.35,7.35,7.35,7.35,500,7.35
2015-06-01,7.72,7.72,7.72,7.72,000,7.72
2015-05-29,7.72,7.72,7.72,7.72,000,7.72
2015-05-28,7.70,7.72,7.70,7.72,500,7.72
2015-05-27,6.71,7.36,6.66,7.36,100,7.36
2015-05-26,7.02,7.02,7.01,7.01,500,7.01
2015-05-25,7.00,7.00,7.00,7.00,000,7.00
2015-05-22,7.33,7.33,7.33,7.33,000,7.33
2015-05-21,7.71,7.71,7.71,7.71,000,7.71
2015-05-20,7.71,7.71,7.71,7.71,000,7.71
2015-05-19,7.71,7.71,7.71,7.71,000,7.71
2015-05-18,7.17,7.50,7.16,7.35,400,7.35
2015-05-15,7.53,7.53,7.53,7.53,900,7.53
2015-05-14,8.00,8.00,7.92,7.92,100,7.92
2015-05-13,8.33,8.33,8.33,8.33,000,8.33
2015-05-12,8.76,8.76,8.76,8.76,000,8.76
2015-05-11,9.22,9.22,9.22,9.22,000,9.22
2015-05-08,9.70,9.70,9.70,9.70,000,9.70
2015-05-07,9.70,9.70,9.70,9.70,000,9.70
2015-05-06,9.70,9.70,9.70,9.70,000,9.70
2015-05-05,9.70,9.70,9.70,9.70,000,9.70
2015-05-04,9.70,9.70,9.70,9.70,000,9.70
2015-05-01,9.70,9.70,9.70,9.70,000,9.70
2015-04-30,9.70,9.70,9.70,9.70,000,9.70
2015-04-29,9.40,9.40,9.25,9.25,000,9.25
2015-04-28,8.23,9.05,8.23,9.05,000,9.05
2015-04-27,8.66,8.66,7.84,8.66,700,8.66
2015-04-24,7.49,8.27,7.49,8.25,900,8.25
2015-04-23,7.80,7.91,7.23,7.88,600,7.88
2015-04-22,7.54,7.54,7.05,7.54,000,7.54
2015-04-21,7.19,7.19,7.10,7.19,300,7.19
2015-04-20,6.85,6.85,6.85,6.85,000,6.85
2015-04-17,6.53,6.53,6.53,6.53,000,6.53
2015-04-16,6.22,6.22,6.22,6.22,100,6.22
2015-04-15,5.93,5.93,5.93,5.93,000,5.93
2015-04-14,5.93,5.93,5.93,5.93,000,5.93
2015-04-13,5.93,5.93,5.93,5.93,000,5.93
2015-04-10,5.65,5.65,5.65,5.65,000,5.65
2015-04-09,5.65,5.65,5.65,5.65,000,5.65
2015-04-08,5.65,5.65,5.65,5.65,000,5.65
2015-04-07,5.65,5.65,5.65,5.65,000,5.65
2015-04-06,5.65,5.65,5.65,5.65,100,5.65
2015-04-03,5.65,5.65,5.65,5.65,000,5.65
2015-04-02,5.65,5.65,5.65,5.65,000,5.65
2015-04-01,6.19,6.19,5.65,5.65,100,5.65
2015-03-31,5.90,5.90,5.90,5.90,300,5.90
2015-03-30,6.09,6.09,6.09,6.09,000,6.09
2015-03-27,6.35,6.35,6.35,6.35,000,6.35
2015-03-26,6.65,6.65,6.65,6.65,000,6.65
2015-03-25,6.75,7.00,6.52,7.00,1900,7.00
2015-03-24,6.52,7.20,6.52,6.86,300,6.86
2015-03-23,6.87,6.87,6.86,6.86,800,6.86
2015-03-20,7.22,7.23,7.22,7.22,800,7.22
2015-03-19,7.60,7.60,7.60,7.60,200,7.60
2015-03-18,8.20,8.20,8.00,8.00,000,8.00
2015-03-17,8.40,8.40,8.40,8.40,200,8.40
2015-03-16,7.82,8.20,7.82,8.08,200,8.08
2015-03-13,7.10,7.82,7.10,7.82,000,7.82
2015-03-12,7.05,7.45,7.05,7.45,200,7.45
2015-03-11,7.10,7.10,7.10,7.10,1400,7.10
2015-03-10,7.46,7.46,7.46,7.46,500,7.46
2015-03-09,7.80,7.85,7.80,7.85,400,7.85
2015-03-06,7.60,7.60,7.60,7.60,000,7.60
2015-03-05,7.24,7.61,7.24,7.60,100,7.60
2015-03-04,7.25,7.25,7.25,7.25,000,7.25
2015-03-03,7.25,7.25,7.25,7.25,000,7.25
2015-03-02,7.25,7.25,7.25,7.25,000,7.25
2015-02-27,7.25,7.25,7.25,7.25,000,7.25
2015-02-26,7.41,7.41,7.41,7.41,100,7.41
2015-02-25,7.06,7.06,7.06,7.06,000,7.06
2015-02-24,7.06,7.06,7.01,7.06,400,7.06
2015-02-23,6.73,6.73,6.73,6.73,100,6.73
2015-02-20,7.44,7.44,7.03,7.06,1500,7.06
2015-02-19,7.15,7.75,7.05,7.39,2700,7.39
2015-02-18,7.31,8.05,7.31,7.42,1300,7.42
2015-02-17,7.67,7.67,7.67,7.67,000,7.67
2015-02-16,7.67,7.67,7.67,7.67,000,7.67
2015-02-13,8.19,8.19,8.00,8.00,1500,8.00
2015-02-12,8.25,8.59,8.25,8.25,100,8.25
2015-02-11,8.19,8.19,8.19,8.19,000,8.19
2015-02-10,9.00,9.00,8.62,8.62,800,8.62
2015-02-09,9.07,9.07,9.07,9.07,000,9.07
2015-02-06,9.07,9.07,9.07,9.07,000,9.07
2015-02-05,8.49,8.70,8.49,8.64,600,8.64
2015-02-04,8.93,9.00,8.93,8.93,500,8.93
2015-02-03,9.39,10.00,9.39,9.39,500,9.39
2015-02-02,10.92,10.92,9.88,9.88,400,9.88
2015-01-30,10.40,10.40,10.40,10.40,100,10.40
2015-01-29,10.94,10.94,10.94,10.94,000,10.94
2015-01-28,10.94,10.94,10.94,10.94,000,10.94
2015-01-27,10.94,10.94,10.94,10.94,000,10.94
2015-01-26,10.94,10.94,10.94,10.94,000,10.94
2015-01-23,10.94,10.94,10.94,10.94,000,10.94
2015-01-22,10.25,10.97,10.10,10.94,400,10.94
2015-01-21,10.45,10.45,10.45,10.45,000,10.45
2015-01-20,10.45,10.45,10.45,10.45,000,10.45
2015-01-19,11.00,11.00,11.00,11.00,000,11.00
2015-01-16,12.60,12.60,11.47,11.47,200,11.47
2015-01-15,12.31,12.90,12.00,12.00,200,12.00
2015-01-14,12.31,12.31,12.31,12.31,100,12.31
2015-01-13,10.63,11.73,10.63,11.73,2300,11.73
2015-01-12,10.12,11.18,10.12,11.18,300,11.18
2015-01-09,10.64,10.65,10.60,10.65,2100,10.65
2015-01-08,9.67,10.15,9.21,10.15,1900,10.15
2015-01-07,10.60,10.60,9.67,9.67,200,9.67
2015-01-06,11.14,11.15,10.10,10.10,000,10.10
2015-01-05,10.58,10.64,10.05,10.63,500,10.63
2015-01-02,10.14,10.14,10.14,10.14,000,10.14
2015-01-01,9.67,9.67,9.65,9.66,300,9.66
2014-12-31,9.65,9.65,9.65,9.65,000,9.65
2014-12-30,9.68,9.68,9.67,9.67,000,9.67
2014-12-29,9.66,9.66,9.66,9.66,000,9.66
2014-12-26,9.66,9.66,9.66,9.66,100,9.66
2014-12-25,9.73,9.73,9.73,9.73,000,9.73
2014-12-24,9.73,9.73,9.73,9.73,000,9.73
2014-12-23,10.32,10.32,9.65,9.73,500,9.73
2014-12-22,9.62,10.24,9.62,9.83,500,9.83
2014-12-19,9.73,9.76,9.73,9.76,100,9.76
2014-12-18,9.72,9.72,9.72,9.72,100,9.72
2014-12-17,9.71,9.72,9.71,9.72,100,9.72
2014-12-16,9.81,9.81,9.81,9.81,100,9.81
2014-12-15,10.02,10.02,10.02,10.02,000,10.02
2014-12-12,10.10,10.50,10.02,10.02,500,10.02
2014-12-11,10.15,10.15,10.15,10.15,000,10.15
2014-12-10,10.63,10.63,10.20,10.20,100,10.20
2014-12-09,9.61,10.13,9.61,10.13,200,10.13
2014-12-08,9.65,9.65,9.65,9.65,100,9.65
2014-12-05,9.56,10.12,9.56,10.12,200,10.12
2014-12-04,9.64,9.64,9.64,9.64,000,9.64
2014-12-03,9.85,9.85,9.85,9.85,000,9.85
2014-12-02,9.85,9.85,9.85,9.85,000,9.85
2014-12-01,9.74,10.20,9.74,10.10,600,10.10
2014-11-28,10.25,11.31,10.25,10.25,500,10.25
2014-11-27,10.60,11.65,10.60,10.78,100,10.78
2014-11-26,10.10,11.10,10.10,11.10,1000,11.10
2014-11-25,9.71,10.58,9.71,10.58,000,10.58
2014-11-24,10.55,10.55,10.08,10.08,300,10.08
2014-11-21,10.67,10.67,10.00,10.05,1700,10.05
2014-11-20,9.25,10.18,9.25,10.17,600,10.17
2014-11-19,9.70,9.70,9.70,9.70,000,9.70
2014-11-18,10.75,10.94,10.10,10.12,1300,10.12
2014-11-17,9.95,10.44,9.95,10.44,1600,10.44
2014-11-14,9.05,9.95,9.02,9.95,5700,9.95
2014-11-13,9.45,9.48,9.04,9.48,13200,9.48
2014-11-12,8.70,9.03,8.70,9.03,200,9.03
2014-11-11,8.95,9.08,8.50,8.60,800,8.60
2014-11-10,8.63,8.75,8.35,8.65,2500,8.65
2014-11-07,9.00,9.01,8.41,8.41,600,8.41
2014-11-06,8.67,8.67,8.67,8.67,000,8.67
2014-11-05,8.85,9.57,8.67,8.67,2600,8.67
2014-11-04,9.12,9.12,9.12,9.12,000,9.12
2014-11-03,9.12,9.12,9.12,9.12,700,9.12
2014-10-31,9.59,9.59,9.59,9.59,200,9.59
2014-10-30,10.10,10.25,10.09,10.09,200,10.09
2014-10-29,10.62,10.62,10.62,10.62,000,10.62
2014-10-28,11.17,11.17,11.17,11.17,200,11.17
2014-10-27,11.75,11.75,11.75,11.75,000,11.75
2014-10-24,11.75,11.75,11.75,11.75,000,11.75
2014-10-23,11.75,11.75,11.75,11.75,000,11.75
2014-10-22,11.75,11.75,11.75,11.75,100,11.75
2014-10-21,12.35,12.35,12.35,12.35,000,12.35
2014-10-20,12.35,12.35,12.35,12.35,000,12.35
2014-10-17,12.35,12.35,12.35,12.35,000,12.35
2014-10-16,12.35,12.35,12.35,12.35,000,12.35
2014-10-15,12.35,12.35,12.35,12.35,000,12.35
2014-10-14,12.35,12.35,12.35,12.35,100,12.35
2014-10-13,13.00,13.00,13.00,13.00,300,13.00
2014-10-10,13.00,13.00,13.00,13.00,000,13.00
2014-10-09,13.00,13.00,13.00,13.00,000,13.00
2014-10-08,12.83,12.83,12.83,12.83,000,12.83
2014-10-07,12.83,14.00,12.83,12.83,100,12.83
2014-10-06,13.50,13.50,13.50,13.50,000,13.50
2014-10-03,13.50,13.50,13.50,13.50,000,13.50
2014-10-02,13.50,13.50,13.50,13.50,000,13.50
2014-10-01,13.50,13.50,13.50,13.50,700,13.50
2014-09-30,13.66,13.66,13.66,13.66,000,13.66
2014-09-29,13.02,13.02,12.41,13.02,200,13.02
2014-09-26,11.50,12.40,11.40,12.40,1700,12.40
2014-09-25,12.00,12.00,12.00,12.00,000,12.00
2014-09-24,12.00,12.00,11.05,12.00,400,12.00
2014-09-23,12.62,12.63,11.50,11.55,1600,11.55
2014-09-22,11.85,12.40,11.85,12.03,100,12.03
2014-09-19,11.12,12.28,11.12,11.81,1800,11.81
2014-09-18,12.70,12.70,11.70,11.70,1200,11.70
2014-09-17,13.30,13.30,12.10,12.10,2200,12.10
2014-09-16,12.68,12.68,12.68,12.68,1300,12.68
2014-09-15,12.08,12.08,12.00,12.08,600,12.08
2014-09-12,11.50,11.51,11.50,11.51,1500,11.51
2014-09-11,10.70,10.97,10.00,10.97,1500,10.97
2014-09-10,11.02,11.02,10.10,10.45,300,10.45
2014-09-09,10.20,10.98,10.20,10.50,500,10.50
2014-09-08,10.46,10.46,10.46,10.46,000,10.46
2014-09-05,9.97,9.97,9.97,9.97,000,9.97
2014-09-04,9.50,9.50,9.50,9.50,000,9.50
2014-09-03,10.00,10.50,9.50,9.50,1500,9.50
2014-09-02,10.85,10.85,10.00,10.00,1300,10.00
2014-09-01,11.05,11.05,10.50,10.50,000,10.50
2014-08-29,11.00,11.00,11.00,11.00,000,11.00
2014-08-28,10.69,11.00,10.69,11.00,200,11.00
2014-08-27,10.55,11.39,10.35,11.25,1000,11.25
2014-08-26,10.87,10.90,10.87,10.89,200,10.89
2014-08-25,10.88,11.35,10.88,10.89,500,10.89
2014-08-22,10.88,11.40,10.88,11.40,200,11.40
2014-08-21,11.45,11.45,11.45,11.45,000,11.45
2014-08-20,10.63,11.45,10.63,11.45,300,11.45
2014-08-19,11.95,11.95,11.17,11.17,2100,11.17
2014-08-18,11.75,11.75,11.75,11.75,100,11.75
2014-08-15,11.35,11.35,11.35,11.35,000,11.35
2014-08-14,11.35,11.35,11.35,11.35,000,11.35
